,CSNK1A1L,HHIP,PTCH2,GAS1,WNT3A,ZIC2,WNT9B,WNT9A,LRP2,CSNK1G1,WNT2B,WNT11,WNT10B,IHH,SMO,WNT10A,WNT4,CSNK1G3,SHH,WNT1,CSNK1D,RAB23,CSNK1A1,CSNK1G2,CSNK1E,GSK3B,WNT7A,BTRC,WNT7B,WNT8A,WNT8B,WNT2,WNT3,PRKX,WNT5A,WNT6,FBXW11,STK36,WNT5B,GLI1,DHH,PRKACA,PRKACB,SUFU,BMP4,PRKACG,BMP2,GLI2,BMP7,GLI3,PTCH1,BMP8B,WNT16,BMP5,BMP6
SIDM00519,-0.8613491116462226,-0.9781554267739861,-0.9393578081494475,1.0812799274964449,-0.8159052403356879,-0.38448955559568415,-0.603708781140173,-0.8011436477949192,-0.7825451926110767,0.4750802914175369,0.884432312479872,-0.8304558082643441,-0.31454133185129296,-0.9468660604546064,0.5137522757969075,1.8957689417182395,1.5234917039050204,-0.26013881465335004,-0.7641992220446581,-0.9697800389832493,0.8447003429351443,0.2828109430145057,0.7791010071204019,1.0659398537977902,0.9912631665647312,1.3510624486918985,-0.9216122454333966,0.2639515576624055,-0.6479457945228304,-0.9646863888577806,-0.8439883274866068,-0.8940493879381352,0.7760237785994262,0.009070405730790947,1.0808357762576402,-0.1350309538907119,1.5743847189913815,0.4023567463350987,-0.6103275501572655,-0.7766933266862991,-0.5487189783171689,-0.6642417916566798,-0.19396801661267524,-0.5372732873317738,2.4490508578269994,-0.7547095192082567,0.9540746769882713,-0.6180226229045552,-0.7576440938176318,1.5204101755413524,-0.6221255249865763,-0.8372382814952188,-0.9678818198567822,-0.8819747008824056,-0.8397103233554694
SIDM00917,-0.9057358670531653,-0.7138664645452142,-0.8345853671104801,-0.7797534962683643,-0.7772355767786246,-0.704424556653442,-0.693597865601388,-0.8371096875544206,-0.8447035679511656,0.5145113892967385,-0.789211172438897,-0.5491219616106073,-0.5795430734057055,-0.8882291569352206,-0.648867157590401,0.8147197721984492,-0.6204068927865473,-0.3824519834320298,-0.7317838238960915,-0.9102826111219146,0.5261718799723685,-0.5507418166088158,0.9268750047533527,1.2729188564060356,0.9694332878928931,2.04988231234367,-1.0212595275913874,-0.07900572216303348,-0.8364171475079455,-0.8760326060643516,-0.9297170127601166,-0.5935597057244835,-0.5555568232364749,-0.0030871924810914725,-0.4675096294722655,-0.11086131885591344,1.7502339761398877,-0.06578927575042029,-0.4059985574058303,-0.7291521561290529,-0.4852032245988301,-0.6980003707464469,-0.7685558875984023,-0.6916319380871887,-0.8319041368580711,-0.7451376266929471,1.2624154475794205,-0.8236204540716435,0.5586283316456097,-0.6363796292971703,-0.7732397709317274,-0.7472774664346775,-0.9294512457046094,-0.9454561425092616,-0.8768086956606179
SIDM00309,-0.9000544127292044,-0.8972505914828828,-0.855710174776876,-0.06532980861791543,-0.8922335680225032,0.40871652564418254,-0.6761532344948097,-0.8231843726291196,-0.8995905154754076,0.1540371434539806,0.4271072418368796,-0.8294988567732231,-0.6834601409322497,-0.8207563065331654,0.02221394082633896,0.834664118630433,-0.2837748855743531,-0.30944547107245396,-0.6759388927363215,-0.9706912082691557,1.0171581683758437,-0.007868791649746028,0.7732385002281533,1.1025638777731341,0.36714552334197503,1.5938635558462186,-0.9331791877553454,0.050447896476412,-0.5903650662570663,-0.8790846016868283,-0.9387975069781754,-0.8366477983949671,0.34058631791161814,-0.3506946920234881,-0.1535628056813112,-0.49632513368494974,1.616760389668018,0.13826895347779702,-0.6577882973509022,-0.726723406272392,-0.6145127252448563,-0.6548918264125425,-0.32250331188668446,-0.5999595678439407,2.4054635039987633,-0.796842937710926,-0.5345861901131379,-0.7483603293081058,-0.747166051489407,-0.006625732112649521,-0.7110052894838724,-0.5420044055192486,-0.8967168537212481,-0.9126905138008409,-0.7955484966547333
SIDM00099,-0.8308840037807989,0.6542989642809945,-0.9437031558772047,-0.07298337189690374,-0.8776684723858021,0.3291588701310078,-0.6315145482646964,-0.818729381875385,-0.871483586436426,0.5698820463416014,-0.6680618233137058,-0.8300867168126116,-0.6576266139461817,-0.8733289689258593,0.4568761474699441,-0.7813682852983648,-0.6961832123548339,0.028165056519390306,-0.6863745354466161,-1.013004897941291,0.7413537960323845,0.49944596919120016,1.2310768300559816,1.1549223982554142,1.358051101148111,1.7953402335997541,-0.9591393452969665,0.09008217603446503,-0.7257260153160826,-0.8945513721497378,-0.985026724788037,-0.7876200407054321,0.6124372705966847,0.24545625125314027,0.32016366249384914,-0.5913697852316513,1.7808568270606135,0.19893179168515512,0.5951303933051416,-0.12437798847901418,-0.577604043525206,-0.5869944303847916,0.12689241603057716,-0.6934564787137185,1.6134156601405794,-0.7381890646027427,-0.47514688628271756,-0.5798273263009799,-0.7398527913533107,0.09678145285918303,1.057109372743791,-0.7962345399465984,-0.9557627259979441,-0.916582467278497,-0.42592869997431987
SIDM00276,-0.8051465943246666,-0.9086518927651297,-0.7869836325871128,-0.7411795017551268,-0.7987924649159575,-0.5740634995057038,-0.7527260136252119,-0.8000869009504923,-0.892539404846901,0.24065496470252778,-0.779273159426278,-0.6318455860894079,-0.614973736747614,-0.8869668310286818,0.13285323199316248,1.5794158487166634,-0.757510121802741,-0.38739070239473766,-0.7387632582278163,-0.9252325305774035,1.0732761580995103,-0.09970472291007686,0.3640949649819526,0.9454934102621021,0.7841491822823536,1.6862762082929676,-0.84296023286256,-0.06835565043414672,-0.4543923005209215,-0.8971466490935702,-0.9446073897586287,-0.8446800271967081,-0.1391311925133974,-0.13406283809776876,-0.7274912474714871,-0.41805580104619644,1.085977124041259,0.13602057580635643,-0.13888443553190347,-0.8059085858199958,-0.5178025185499694,-0.726402678006925,-0.18959251099276647,-0.5176278897193408,1.7397976619140194,-0.7414626369710949,-0.6534999986952106,-0.7537918787733319,-0.8575281129754362,-0.7531734188132965,-0.22770690078363018,-0.8138424862320336,-0.9124257554765272,-0.9265515990535452,-0.6828975889969062
SIDM00311,-0.886476228248484,-0.3348914122320593,-0.8993607047270867,-0.22398630130000252,-0.8226890679123049,0.49553033457023365,-0.8236176861961565,-0.9141259652272522,-0.84741572515162,0.5494256643265215,-0.8121723569567791,-0.8959190971349758,-0.6671954526851781,-0.8515320033509548,0.09287166833378036,-0.8606451142469631,-0.8430911770790941,-0.11971706071563498,-0.837058698837658,-0.9192867436833994,1.0753670951377123,0.4146030689723559,0.8472885687482455,1.2130974652067759,0.9114659477843828,1.282951438624949,-0.9438030720508768,-0.0942933784634823,-0.7855084802779485,-0.853475597920043,-1.0487540960489168,-0.79985480891062,0.021037104647142958,-0.43949852066979184,-0.5192246614271693,-0.5919248474369708,1.4505662652265108,0.124905416770646,-0.5239688805151003,-0.5427441642209688,-0.5268866877671408,-0.5088950164142347,-0.11699589132220085,-0.6023040874313423,1.3691919068275278,-0.7612137915489496,-0.6916752250337259,-0.6805795365076356,-0.7882550570837089,0.4719866104406093,-0.60588242294377,-0.7321949691825121,-0.8406372869834161,-0.9126863931461421,-0.7358219542473103
SIDM00970,-0.9075549154284128,-0.8040930087074611,-0.8621629860758021,-0.8508624347162314,-0.7891909759567697,0.4470825959038323,-0.716690134426651,-0.9443024102502328,-0.8978871308546663,0.6097319406887015,-0.7794794549496473,-0.8560472283457293,-0.7059131172553883,-0.8121623652143305,-0.6424310856133534,0.9322425501532191,-0.38666219550485387,-0.459293801809846,-0.2146800123897261,-0.9129302221666779,0.7861285362205581,-0.2336960176626147,0.3442472958862677,1.2101988600981337,1.2368092104696777,1.5783739419319924,-0.9004254642656055,-0.3641967686796801,-0.19381939472166015,-0.9280486597632155,-0.8121734734818622,-0.8293214927119352,-0.29546775199927156,-0.0036272333850462333,-0.24230532326900564,-0.49172789231261554,0.9008343460263489,0.09166165819588155,-0.728770875986109,-0.7122430060969668,-0.5607776175050682,-0.6435096983966702,-0.02148999828132397,-0.5830652468485678,-0.02157230296652071,-0.8275878392458749,1.2191246675577943,-0.7980282114915542,-0.47178809386677434,0.27520028731177515,-0.6461097750824676,-0.46877850520975806,-0.9208810225695623,-0.8664419105819247,-0.9225909421387437
SIDM00103,-0.8910764870815622,-0.9381917730836292,-0.8008984294957644,0.13545918652866662,-0.8410268581760296,-0.8632211716475698,-0.6427339590786465,-0.9879598557047271,-0.8728816110882494,0.2878615629029894,-0.43099446582320955,-0.8784130709611935,-0.6067169852864243,-0.8456968094075071,0.015561733187178777,-0.8194999948538342,-0.9301262018292766,-0.0919354239684465,-0.7240870653841357,-0.967800319341584,0.8873217579234678,0.5657308555416731,0.7563479337857356,1.0067100622575438,0.9926452604528566,1.8739563973929787,-0.7731330693882728,-0.08894716218804347,-0.7647317879794474,-0.9602616983978421,-0.9603529040048436,-0.819873802192795,0.5765800424849691,-0.141904177810424,-0.8023046049998319,-0.5937172221101743,1.151824376785958,0.16841379177194174,1.4358192933764453,-0.7888703933250275,-0.3060096093219181,-0.5592154262132353,0.319056458936254,-0.6160990958248186,1.7328613535232,-0.7280524335108798,-0.7715473598840685,-0.7419371545892182,-0.8291044376634792,0.5215570500838805,-0.6235281387886619,-0.7583148911238121,-0.8772711625622852,-0.8917507152092179,-0.8583773505567426
SIDM00266,-0.8575468653947055,-0.8442378322066257,-0.8647009040676387,2.043052681184217,-0.8697231230659773,2.5568622326232653,-0.6735871304361537,-0.7874826715146896,-0.8531243543408286,0.30589472173747145,-0.7381172513515957,-0.8042099511928055,-0.04679592727614707,-0.8410060219193484,-0.11516704070139974,-0.16027027565404872,-0.8175863979968111,-0.13790125552808422,-0.6356737624175068,-0.8699044867121528,0.21275394453509916,0.1059083935320363,0.9237879576918551,0.9198007340135098,1.518758518838414,1.608867664968994,-0.9521232145848645,-0.02197410981711729,-0.8134773546725079,-0.9571926492061363,-0.9501211079284092,-0.8910101200026245,-0.26835218489523327,0.33201053192936386,-0.1982963785499579,-0.46397442255320354,1.719688051480712,0.3271809587883554,-0.5219833711385421,0.06431825319602577,-0.6473586960719085,-0.7803909825069223,0.36874910338888944,-0.6459289169489542,-0.9655613483510146,-0.8099666108176443,-0.5160136552073514,-0.7980640025289615,-0.8103324326647634,0.30480456620079055,-0.12578152350962937,-0.7472648256327121,-0.9231714615307619,-0.9164275868891452,-0.7022609006808893
SIDM01064,-0.8079328146225268,-0.8996140072042491,-0.7977348803408013,0.565295712337962,-0.8767121574069694,1.658896913585541,-0.6488896163322074,-0.9634809554566856,-0.8148871768451913,0.8840539159095059,-0.8186600140610513,-0.6532174201270808,-0.7482728208518449,-0.7612664334430361,-0.6712013258533155,0.8836439748757167,-0.7608715361407272,-0.06196669614869917,-0.7945272910124296,-0.9175494226223446,0.2734574673403089,0.039646762571276646,0.6688673841193419,0.9757092191506828,1.1933148754010534,1.0044439342394096,-0.9586256802204746,-0.1342460661055962,-0.8543933625382939,-0.899873416091469,-0.8809757047579215,-0.8487207297301881,-0.587094681185943,0.1056745475013724,-0.7997122990421351,-0.5647364593184938,1.5397249906389794,-0.7430959750011571,-0.12317847060858352,-0.6725260507283042,-0.6092822517974514,-0.5473229927479505,0.07765749165441556,-0.6429981491228391,-0.42089047904843924,-0.6808190530892965,-0.7694218448914352,-0.8042483473777343,-0.55927170905413,-0.7716471392173323,-0.37042945890236934,-0.7063118882807602,-0.9443322329267433,-0.7473069586096462,-0.9512291975169129
