,SORBS1,WAS,SNAI2,IGF1R,RHOA,CREBBP,LEF1,ACTN4,PTPN6,ACTN1,SNAI1,ERBB2,WASF2,PTPRJ,WASL,RAC3,PTPRF,WASF1,MAP3K7,FGFR1,IQGAP1,SMAD3,MAPK3,TCF7,SMAD4,ACTG1,INSR,WASF3,CTNNA1,PTPRB,RAC1,TCF7L2,SMAD2,MAPK1,CSNK2A1,CSNK2A2,EP300,EGFR,VCL,CTNNA2,CTNNB1,CTNND1,FARP2,TGFBR2,PTPRM,TGFBR1,ACTB,TJP1,MET,SSX2IP,SRC,NLK,TCF7L1,YES1,FER,BAIAP2,CTNNA3,LMO7,FYN,ACP1,PTPN1,PARD3,CDC42,ACTN2,CDH1,ACTN3
SIDM00519,-0.9186446790895788,-0.9280587846251072,0.00497943950126911,0.24168238824328261,2.336611588025909,0.7804463899523163,-0.7667498242748586,0.5043267825034148,-0.340566845307433,1.5457025545850684,-0.09157456351967092,-0.2561277657813964,-0.5951141998391772,-0.7192761715076439,1.0547330348168285,0.6351820544066088,1.6784420571485266,0.6587749490718254,1.4429260628253475,0.9925237741571317,2.644844893418477,1.3093881103578247,0.5154256853947725,-0.7871562844557515,0.3261291832515681,3.765490955547292,-0.21441901153788814,1.3215305263904498,2.510014987588172,-0.9012817982416774,2.769353667407342,-0.3214029222485103,0.6725102154472932,0.20225978087680163,1.188083196114738,1.0292296977989792,0.42957933691496025,-0.05966289601354394,-0.22537981994882691,-0.8683825457118206,1.2176476867537853,-0.08893816494813149,-0.7506213093567637,0.6853681495679597,-0.5633510497296389,-0.4887481317008841,3.1301584994449243,1.9394143257115308,-0.47561600555413736,0.6408871634908823,-0.22313365013243827,0.7248763498408689,-0.1982741848813393,0.3615152743706451,0.4591605310939815,-0.36861535392599337,-0.8196694973317736,-0.12096565237549664,1.307152286069642,2.1648853371576102,2.0091125272250134,0.6191106098431388,-0.25600809403688,-0.8583548850590816,0.5996811532132683,-0.7538159552167742
SIDM00917,-0.8667413329060427,-0.7525482937302769,-0.5970232579699271,-0.724651281633404,2.6126260305947806,0.3954024949423983,-0.845652064579716,-0.06505458149196605,1.6031943454128226,0.8916537836914151,-0.29932353412923285,-0.6300975969652289,-0.17662275902629057,-0.847764977140711,0.7509936653125916,-0.07227826244569432,-0.8122418617175141,-0.5244797284831125,1.3335708815362415,0.08467401772111477,1.4577384710528662,-0.3992769345693402,0.12581611851856564,0.6162921631342847,0.6018744472152134,3.4423811707248406,0.07986583331952216,-0.5022928762177595,1.713674044796105,-0.8668060774603804,2.1032589178303955,-0.8294919534732412,1.0766636643654866,0.7518296918279702,1.2923163366181507,1.3772478961031382,0.7794190322807186,-0.701575656143487,-0.6991500987102874,-0.7707202916693584,1.2852809793337285,-0.4654904423998338,-0.6930882781733767,-0.6035133333529629,1.4581172399869147,-0.6012794748482913,3.1127066181298892,-0.875587153541646,-0.6733048419393598,0.47469690702027334,0.6796217501346691,0.5990192074708168,-0.7452880684152653,0.5630183337474578,0.2543224047275617,-0.7881356058068774,-0.820043555121857,-0.38849505700210263,1.0727373579708706,2.05548097752667,1.754623057737677,0.5312091637709822,0.44944808904324823,-0.879885830875656,-0.8302974159753143,-0.4276857111405615
SIDM00309,-0.9061358574221332,-0.9252019915189158,0.34039326759214983,-0.19003279365953166,2.857779503124727,0.45239454760209463,-0.8265444768270023,1.4911563171197402,0.08030536800994867,1.3643054481827885,-0.4150571139455451,-0.3743296156063484,-0.30792432475465387,-0.7557500224302433,1.0442837470628963,1.127406172706436,1.5900628966031596,0.6988063890847586,1.3720361928870406,0.4936599235207511,1.9829644961679453,0.694650547024864,0.5986800821643932,-0.7015432307637346,0.33231993069445404,3.6588408169077304,-0.05412817645347338,1.471912273912183,2.4830444858174534,-0.873293315378126,2.5778827866642704,-0.04938563469555932,0.5659886880065685,0.19821987316206793,0.5069720240724012,1.3115050830685326,0.4579589061151084,-0.033408677656909594,-0.28974074527612187,-0.9408828270553387,1.531051666763261,-0.1447692428684455,-0.7358673987075146,-0.17888301134424955,-0.63638886305112,-0.7515624782056892,3.0413373217260644,1.5115203098904548,0.8732093846515993,0.30742820386255204,-0.35902608280166326,0.8648343653089352,-0.42172379788324077,1.2519931539797102,0.9263736178484755,-0.2254721921645269,-0.8372308856792499,0.4844423567313606,2.1707496772515524,2.0608554080086385,1.7870640242726599,0.3607231670209502,-0.1229129380584758,-0.7114612558829494,1.2032511283514795,-0.7633943988458649
SIDM00099,-0.9176102204892571,-0.8610085800494975,1.9074415911424463,0.37613355995859515,2.662829847610818,0.5498496685699232,0.034040901227907885,1.3235505903447977,-0.6120101741715228,1.9009295082638604,-0.4253984969754786,-0.31302835707563065,-0.12282198353031351,-0.7839733588212231,1.3249670516130747,0.7354802762086091,1.7461974988363205,0.4091895805222624,1.4850624809205493,0.8170545542886334,2.139627067671514,0.516896907106455,0.6202538847874911,-0.7347915157505426,0.9889638523853684,3.6956251491267103,0.17550582487835992,0.9748119931188898,2.4668765566174353,-0.8468765480171326,2.5640336413202114,-0.4890676835513929,1.1319607004431007,0.4272251428179874,1.3683409331849534,1.0037927350858948,0.39921775645209767,0.21846877828626285,-0.20925750968980295,-0.9039020373397915,1.4339588043516427,-0.14657995706534685,-0.6591308862388833,0.2764188287044035,2.0162272599965596,-0.3991043129623154,2.9799974161351592,1.2535097774651247,0.6938360648235127,0.5200625724566329,-0.09321407001821022,0.7246340859593783,-0.2503047552254338,1.0061396322761516,0.44933616352530487,-0.3892485178054028,-0.7892358353104364,1.1732383225239216,0.9698603220525946,2.2197086470680447,1.1537436209067844,0.7135281643224594,-0.3063931104141543,-0.8795625438605619,-0.9146071897728487,-0.7099643818058741
SIDM00276,-0.8138765875084489,-0.9327809524995514,1.8810244725742298,-0.40741203898103584,2.5206409028438705,0.3161848239752825,-0.9211039188489438,0.8174963170308274,0.8219184729154284,2.0049494369240244,-0.450898732312378,-0.26410001922606646,-0.38320981199993137,-0.6487407048190941,1.1425571272803774,1.320257080883738,1.5107915072597657,0.049350063671835497,1.2861609568192804,-0.5236253301058503,1.263811484167677,0.45809853087418184,1.1105277507367421,-0.6869865589032614,0.04471356433910901,3.7314976282726335,-0.732778511963785,0.5737792174992048,2.123200865268304,-0.856019294957909,2.537790164982142,-0.41397870405731296,0.30639007044058486,0.3901472004011665,1.3574259592345996,1.2694926270926723,0.26240778424630146,0.24900124400107013,-0.159622909297149,-0.9157161797803411,1.3183493700636075,0.0742310054688411,-0.8062533463821736,0.3985969001546798,0.5545973207935715,-0.6729384347717665,3.189163461947727,1.9487640109185833,0.3077758434506542,0.3706483706686475,0.5275392477335129,0.4539156896251833,-0.6224876156625813,1.1221587951235028,-0.380701760872678,-0.06757904339282403,-0.8136204198535125,0.09585691809004561,1.2409770589816889,2.1035153869875933,1.5184971854000637,0.44073910822245954,-0.18699906706649816,-0.8571759910458661,1.1936296443407253,-0.645171486793442
SIDM00311,-0.8356709318239021,-0.9000899867140846,2.608824670494352,-0.19024781705445357,2.962453528951947,0.5379680922769874,-0.8430178040505248,1.0284461700333447,-0.7275842771008386,1.977954440160454,-0.2183183529775022,-0.2844104108884494,-0.31352424151024033,-0.4762389202325803,0.8436234795295232,1.0092042678574253,1.3835924948063052,0.5956481517945899,1.5217649565572562,1.2196250811804759,1.7979453970893007,1.1456864598072072,0.29001810221540564,-0.4863196877432758,0.4764579269706616,3.7180542573840034,-0.19359475690584566,0.6204243026461753,2.5427915109845625,-0.30275831004136344,2.5336087504973483,-0.4086980928180935,0.7209770976879218,0.38729023043362193,0.9087797804729605,1.4174715490419016,0.3726661133755071,0.11182122054986383,-0.22464231573332102,-0.9043103028068641,1.7525331315109194,-0.3775772975736056,-0.5990388603847676,0.5194520148316456,1.3362996119773267,-0.429418852049095,3.0285771558650887,0.9868075994589622,0.5999032391756205,0.4884391352331929,-0.2006083380364833,0.8916401144598745,-0.19058832911240217,0.8111063041323633,0.6733616033174586,-0.45558720849834033,-0.7981058851862854,0.4105222905394051,1.4117324812219323,2.0851176688242083,1.7462218938345277,0.1891915895576437,-0.029608362448675183,-0.4706585160082816,-0.8511073983279972,-0.7799971057022285
SIDM00970,-0.8267757490901659,-0.9127000731469146,2.037609278391581,-0.17167322440950866,2.798015426118431,0.4361938112367892,-0.8504491830167896,1.1303482913375853,0.6126547607518921,1.6519120763513477,-0.6421796406479602,-0.08106132453348147,-0.20492778850522828,-0.826914038135523,1.4439899219978192,0.19980267442914598,1.921973254306199,-0.06570783250081777,1.1408235307705439,-0.6749385025122266,1.9123937010515508,1.0362821960047388,0.3293145122295789,-0.6940898776794232,0.5498250488021341,3.740781327271597,-0.18781366534341587,0.41443025647066056,2.2586948793605197,-0.7575128400733049,2.70133784532971,-0.12257386523000707,0.8812510655645791,0.8119872597350951,1.1208327653964474,1.0249790904292033,0.950953038465395,-0.4620419677363416,-0.1508654788975042,-0.8825215924447753,1.875124878476745,0.34830894673220564,-0.6122699153336851,0.07593002238863181,1.416308641113379,-0.7997441549426471,2.8398138701074793,1.120372046950549,-0.4468631785306011,0.29202262966223375,1.085885571358944,0.40163342435637606,-0.7587748205084407,1.1344705652423923,-0.15178667299795032,-0.49958365317705944,-0.7847700558924537,-0.24330479252191406,-0.010292471860073364,2.066532269029201,1.0593357120818572,1.0963669646478125,-0.0044976200404464785,-0.9165382562941305,1.583007419094312,-0.8062101382014091
SIDM00103,-0.9492682005499268,-0.8561024572068694,1.2151713116613707,0.023540062073262376,2.784596803999962,0.35132433999866564,-0.8549719750111858,1.3393488227087893,-0.6190684972746465,2.1562233022877053,-0.5080717341274471,-0.33744940059802536,-0.2691936577652089,-0.7452288374593581,1.1936235816428447,1.0316353661159339,1.6317897120362155,0.697547397146467,1.3831803282219355,1.206228634618821,2.1542461614749713,0.4168218500162432,0.80055510601947,-0.6853490195046105,0.41510557535056075,3.728604032543116,-0.005295857444307438,0.8792881336507244,2.3577220623358204,-0.6136357554520441,2.5729208617833472,-0.32664288476617903,0.6547304352838843,0.3533626797819316,1.2381594177991129,1.5116908965621183,0.14464132941274382,-0.0009420409975655662,-0.08693880978961001,-0.940046199371975,1.319050504339812,-0.1831529051948303,-0.5978014023559033,-0.15713019423056115,1.8581262060880288,-0.31765203890663724,2.859653318573004,1.0565694097283715,0.7022074629030362,0.4403361306939473,-0.057982224219576585,0.37907620927071684,-0.3875862553480194,1.1259162843945973,0.3573459332777083,-0.4303297388290461,-0.7756434530813229,0.8887101934220518,1.3198761775309895,2.1838097879462586,1.4575508434260986,0.7498185197134771,-0.28401500007289676,-0.8182699399217394,-0.9058538182479098,-0.687627576375307
SIDM00266,-0.8908674870408934,-0.7262704283587305,-0.16605634112409115,0.43328065627730916,2.6792092150928486,0.5044365911171107,-0.3384008476793809,-0.1307138727507034,-0.6332264740823457,1.3778231393555398,-0.41284369537672,-0.604682494559172,-0.3515914283374685,-0.822918456344585,0.8756692004947332,0.9651475071789204,0.8621638148601127,1.6231603080670205,1.4709432974225625,0.4801144684698076,1.6343873450704776,0.08454986992931454,0.43598438125523226,-0.7361585838228143,0.6734581626959109,3.4886724914879905,-0.22575949848514418,-0.000674153151230975,2.264134672262455,-0.8538552475820881,2.423210183355695,-0.6945217951117894,1.2065827682676198,0.5203234391390296,1.5301953898918108,0.8690439205321019,0.6946840758175171,-0.4727299439307586,-0.4854481890624042,-0.9451345743921411,1.3629373334990487,-0.485778054568831,-0.7371047249005238,-0.2661855431909787,-0.40133094418285004,-0.717075322252523,2.2635325447355523,0.958712902678172,-0.7482514974901306,0.5585973291292534,-0.3861699825009486,0.4163838057985245,-0.3696895716185509,1.5623407543832277,0.0017600445335422409,-0.6671756462677341,-0.8709410775601314,-0.35365004401036454,1.5092997359795841,2.224633331737174,1.234058458122089,0.8068315158846088,-0.15869170900966262,1.1977791937716853,-0.7989717166732344,-0.6311878975779397
SIDM01064,-0.8556838129875755,-0.6653545904591668,-0.5529746837343225,-0.8080556540446873,2.6178962245186987,0.9311953063125066,-0.8129703626216489,0.6696829957689749,0.03950683878386853,-0.5431813803408978,-0.3837646503248037,-0.7070937817670304,-0.28629780892385165,-0.5859354942498932,0.5062736671614094,-0.038295302397666216,-0.7830767489003889,-0.3446990184486611,1.3905928719004024,-0.11945178075025636,1.9081064500656968,-0.18205096731180204,1.0024155733741154,-0.7454782273242749,0.7873520739244022,3.554030155527734,-0.7128938637461991,-0.44050627175644036,2.0927057028545057,-0.5993735499287205,1.8105522688699511,-0.7432987552748739,1.149130373982165,1.324784881453375,0.7269702973680692,0.7916946431236195,0.7549958733303839,-0.6819687123538682,-0.6762973656828773,-0.7721991156267811,1.187079652225721,-0.6263008399777367,-0.759231803196213,-0.560569454632862,-0.6056117298928206,0.033796607007861836,3.0250573482784473,-0.9235022663099877,-0.6382688888875209,0.2753152135875075,-0.4978691802916767,1.3313398336260824,-0.6416339521020705,-0.7175522801655319,0.47805528005196674,-0.7254980781752928,-0.8712444832903755,0.3951261462930761,-0.7862023710063906,2.29782481596145,1.394542371568424,-0.4620590210344882,-0.10113901006162213,-0.8212164603800876,0.2972462104533855,0.8552306137604624
