,PLCB2,GRM5,SOS2,ADCY8,PLCB1,ADCY9,ADCY6,TUBA1A,RAF1,PRKCB,ADCY7,PRKCA,PLCB3,PLCB4,ADCY5,GRM1,CDK1,PDGFD,TUBB4A,ADRB1,TUBB4B,PRKCG,PDGFRB,TUBB2A,MAP2K2,ITPR3,MAP2K1,MAP2K5,LPAR1,ADCY4,TUBA1B,NRAS,GRB2,MAPK3,DRD1,DRD2,MAPK7,PRKG1,SOS1,TUBB7P,PRKG2,MAPK1,HRAS,GJD2,CSNK1D,EGFR,TUBB2B,ITPR1,ITPR2,PDGFC,TUBAL3,GNA11,KRAS,EGF,PRKX,GJA1,GNAI1,HTR2A,TUBA3C,GNAI2,GUCY1A2,HTR2C,HTR2B,ADCY3,TUBA4A,ADCY2,ADCY1,TUBA1C,TJP1,TUBB1,SRC,PDGFA,PDGFB,PDGFRA,PRKACA,PRKACB,GNAQ,PRKACG,GNAS,GNAI3,TUBB6,TUBB,MAP3K2,TUBA3E
SIDM00519,-0.5224688389682631,-0.9647954346433641,0.0498076182111507,-0.8197097615542076,-0.28388167354621846,-0.3761925150605204,-0.3708795690060417,2.6728068702836394,0.41097071018801634,-0.693256665426057,-0.7190695396731633,-0.14177020028773454,-0.17219165357449026,0.07490848976441174,-0.8264178627985858,-0.6383102379071678,1.3881216369779408,0.5336500995101349,-0.8600689843242308,-0.8407254323467821,2.7641445845907033,-0.7837771690016947,-0.3413995178739834,2.123906908332942,1.2117328419628624,0.23130577724304688,1.4682702253736368,-0.4478662654284821,-0.08705901244362994,-0.7573625113558111,2.9022093975869963,1.221839698263148,1.7411622420718154,0.5154256853947725,-0.8794488884537635,-0.9104693290114092,0.10744193577052728,-0.7738641203613367,0.5708231736562318,-0.9598712635018368,-0.8958454438120005,0.20225978087680163,0.8798485214472693,-0.9692714517451361,0.8447003429351443,-0.05966289601354394,1.3416444505887901,-0.7203016974859953,0.41355116441195894,1.5242470486576607,-0.7143793273288784,1.759509928435881,1.5419688881072011,-0.8929978167830748,0.009070405730790947,0.5181809679048691,1.5624281652834855,-0.957008534770394,-0.7306959520485466,1.204096884232378,-1.1277859687413132,-0.9276939074675108,-0.8344225796551026,1.0890773088790928,0.8784654559292774,-0.876292904812085,-0.6225659736773329,2.7936666134136408,1.9394143257115308,-0.8340633942900997,-0.22313365013243827,0.9237323056587069,-0.5727786583839554,-0.5097922111675702,-0.6642417916566798,-0.19396801661267524,1.3348226942570265,-0.7547095192082567,3.0824770249581417,1.3494180606695867,2.4759970924770043,2.555733245692546,1.0286920359164728,-0.9886696321546554
SIDM00917,-0.7484199006984038,-0.9727597483715021,0.777404455271312,-0.736023673057336,-0.8155343332125046,-0.7262704888656341,-0.42718424679709555,2.381403648430918,0.6703226732559828,1.6723657668354104,0.49095225179449475,-0.5834552659254151,-0.625387120020742,-0.7800565199128136,-1.0031337627221115,-0.8323241016787386,-0.06297222719674431,-0.9074525606234912,-0.7619223590432799,-0.28672108241959693,2.2410583340695043,-0.8209437091275041,-0.7330364839617154,1.3007374348141472,1.4353305093647586,0.2803950818865365,2.1682208807797045,-0.04815886053215164,-0.631026461244937,-0.6176678574062296,2.595469937211592,1.5502036363871254,2.0967618944171535,0.12581611851856564,-0.9676676105048515,-0.83418050789357,-0.41370633366135295,-0.6403495025951672,0.5455241666444859,-0.9356651944038592,-0.8445431782027923,0.7518296918279702,0.5785314872233444,-0.8062597505629875,0.5261718799723685,-0.701575656143487,0.7269635960299178,2.084349108020831,-0.23188268718698102,1.2801219036293354,-0.7708638265210469,0.6190993811339816,0.6747655177517772,-0.919667194283133,-0.0030871924810914725,-0.40580144791006384,-0.8015429212983989,-0.9408592988651554,-0.5274544995693209,1.3337234561834943,-1.0714340085707588,-0.8163891817312406,-0.8637031160103344,1.1120563915100519,1.8894700039470151,-0.8639147417245175,-0.7424661071244673,2.4154408758069636,-0.875587153541646,-0.796491638621151,0.6796217501346691,0.8048113347755264,-0.6685680443627056,-0.63225772631521,-0.6980003707464469,-0.7685558875984023,1.333536923318862,-0.7451376266929471,2.997911791706883,1.5765793998814601,1.4673020595500583,2.289688496004179,0.44250619612287206,-0.9343016130057145
SIDM00309,-0.8288201783708491,-0.981843343731525,-0.055147137698300645,-0.8095859802542961,-0.8099176556565033,-0.03929455467457163,-0.4091885176566541,2.2764115552473023,0.7255659061086115,-0.8444723115073255,-0.7092400268259906,-0.2444585548068717,-0.30167521091617444,-0.6675338271001798,-0.866293312010003,-0.8324620727116927,1.4735463914075726,-0.7253333694814766,-0.8976376123011476,-0.6747860458716168,2.571421839312094,-0.7892785415681088,-0.5656181264521617,2.6148107790506514,1.29693709399388,-0.060644982753957216,1.533801591408699,-0.31476220907892205,-0.7701908604393393,-0.7225668182173891,2.7939091098414286,1.256524659301111,1.551214464507327,0.5986800821643932,-1.0413484306824634,-0.8120260315497992,-0.0005075699286102822,-0.6334222463470289,0.6321035255310687,-0.9569846748662906,-0.8639766381957944,0.19821987316206793,1.0882773068400704,-0.8091383553188397,1.0171581683758437,-0.033408677656909594,0.4791604499233159,0.1758981765566195,-0.5964080220174995,0.8246431740491675,-0.8513489144809179,1.5926576742677376,0.44635764588407606,-0.6905337454649281,-0.3506946920234881,1.035977354407385,1.0431219546695902,-0.960774807726218,-0.7348688572264419,1.7260176775013463,-0.9959237312543462,-0.8963427425567494,-0.9395677905570365,1.2981620284639448,1.6187311755054639,-0.8882832658521452,-0.6919039205970113,2.7530350641588086,1.5115203098904548,-0.8435123096118331,-0.35902608280166326,0.8865008859242206,-0.5076810135194458,-0.7274256664601348,-0.6548918264125425,-0.32250331188668446,0.9300509381485954,-0.796842937710926,3.23694400189608,1.2577300723385132,3.0940762344450707,2.8733530750746383,0.6646828347698797,-0.9567274582444838
SIDM00099,-0.828473055770185,-0.9359463896791467,0.23750660699476628,-0.6498613700267414,-0.06562375297592993,-0.18517704180743702,-0.2576992610259169,2.6867426568609956,1.1767266262913327,-0.8126854339693373,-0.4458734750819432,-0.13137744725192088,-0.2828811985284016,-0.010766273318534629,-0.7281494818796146,-0.786223988458468,1.3322680423987743,-0.8560101906788121,-0.8622776502566882,-0.564149300984485,2.761877662628839,-0.7737446713268549,-0.31714104277833766,2.056950189709432,1.6865245406992782,0.4071124894127082,1.4524860221399285,-0.0912683106412606,1.5382468806176752,-0.9230177894996229,2.909345310807087,1.2061207614674792,1.5303667233180474,0.6202538847874911,-0.3811935935305276,-0.7613124700991599,-0.024162582769344926,-0.6902782682250636,0.833796751022729,-0.9192654976417672,-0.862896826298409,0.4272251428179874,1.0093641595797609,-0.8883580565076318,0.7413537960323845,0.21846877828626285,-0.31080747594774377,-0.48277610031675605,-0.6708161837967919,1.0564531830981947,-0.7304028906450968,1.619188059490869,0.6730085000785737,-0.886350060965009,0.24545625125314027,-0.2839623086566693,0.9279949003657944,-0.9809584649291041,-0.8305181054561874,1.3334506185405113,-0.991029239578319,-0.9096991887392422,1.0945200443471301,1.1497249312574733,0.20371070376868322,-0.5990377147306057,0.4569788463465034,2.5465325027039363,1.2535097774651247,-0.8322182442985357,-0.09321407001821022,1.152907459884284,-0.5075803602465088,-0.6312933061823776,-0.5869944303847916,0.12689241603057716,1.6313964212235816,-0.7381890646027427,3.400105283773008,1.772365471261806,2.856960134383757,2.5758641117005436,0.7842176584040265,-0.9614509016839505
SIDM00276,-0.8201330135193009,-0.9957613145141574,-0.0659297637105213,-0.787935756460015,-0.7788636541550895,-0.5225389598422249,-0.3121261130971343,2.2586574961515318,0.6944907569106895,-0.7890798899543415,-0.4374733797239699,-0.40676241488024195,0.003181374961338923,-0.7093503530086754,-0.9070478476260756,-0.7633773955201181,1.6533825095115056,-0.7349948855980704,-0.8758367061007144,-0.6188630196253097,3.0906814285421835,-0.7574964145062062,-0.7453663818845296,2.3343595482281163,1.5730502356630185,0.5243242550444455,2.019959361654287,-0.20152669463789608,-0.03429004262848144,-0.6108730396463931,3.237773369415517,1.9524905147513523,1.9575623215250881,1.1105277507367421,-0.9129369133410529,-0.7590974116110246,0.20853401880959102,-0.823273462337547,0.4636340472715856,-0.875161174675472,-0.8799697234246842,0.3901472004011665,1.1816656923996194,-0.8787233911223521,1.0732761580995103,0.24900124400107013,0.47464203239727387,-0.5443190874339499,-0.7489707943437317,1.077163353343616,-0.802523887483288,1.694768933111216,0.6515748950888393,-0.617326739525956,-0.13406283809776876,-0.5663485640990131,0.5008446396137698,-1.0021125890208564,-0.8172136762906697,1.361698122446652,-1.0332731746646098,-0.4570735030134648,-0.9451804625612631,1.2370817294319385,2.621101956133812,-0.8543191801528256,-0.7197081432223705,3.0127012657105356,1.9487640109185833,-0.868427741929473,0.5275392477335129,-0.2544386692240276,-0.45069797981220244,-0.6782755746943571,-0.726402678006925,-0.18959251099276647,1.2079609471188764,-0.7414626369710949,3.3563369398163165,1.729278170054739,2.074540094596931,2.8254589344847845,0.6042185163479732,-0.8387977872054946
SIDM00311,-0.8575282564558809,-0.9331755407877509,-0.03247697834325912,-0.8338650298806419,-0.6990640606832124,-0.2018835395922187,-0.17004751774736446,3.1581416420502975,0.5447987316773143,-0.8105801305761055,-0.5707866226762848,0.7056643480085137,-0.011229847868629248,-0.14213813901389724,-0.6634210375995113,-0.7731499745911633,1.5404920783529754,-0.7791801749211242,-0.9409069906273237,-0.7982145518109667,3.185916566118772,-0.7393564213780424,-0.3746368084386204,3.0796420384831062,1.3593653195542226,-0.14954882203939818,1.8896826961927777,-0.27859006227764677,0.7897054629509771,-0.8024440377522937,3.2479055226665117,1.5785594577365645,1.635529327971572,0.29001810221540564,-0.9328638366789739,-0.8872250271728533,0.34657547849073717,-0.596212028758563,0.6037743687259487,-0.9849804628943581,-0.7259341888178908,0.38729023043362193,1.1499067182680816,-0.8094331580094355,1.0753670951377123,0.11182122054986383,1.4820752194490994,-0.297196916930855,-0.6355736511643333,0.6097701032741664,-0.7448964785582671,1.99544738342623,0.5102474431294666,-0.4807646145470617,-0.43949852066979184,0.040442868114846424,0.6190998396265972,-0.9376750669680749,-0.8698328122679563,1.7660340308372604,-1.0216377274479327,-0.8361423783419468,-0.9362599964033256,1.4867196035450856,-0.3447085128728541,-0.9197123081666504,-0.4839696158533931,2.9616350197739933,0.9868075994589622,-0.9488597098643862,-0.2006083380364833,0.5427949534708034,-0.7006534144687454,1.4863560720807152,-0.5088950164142347,-0.11699589132220085,1.38581750818193,-0.7612137915489496,3.3097942154221136,1.8407117244370457,2.8553884590397547,2.8825607915774802,0.6186776458314797,-0.9368122955099251
SIDM00970,-0.8729264863234977,-0.9412082136140476,0.06815208203162508,-0.6906937174444193,-0.2056887890907924,-0.7448599744154192,0.0016497048016924222,0.3868490382233431,1.0032059249628758,-0.7355939801807603,-0.7010909604646125,-0.23316708625249377,0.3691638520888408,0.018608130776813853,-0.8502856930618422,-0.7427034785820373,1.7696309093824656,-0.9281528192964889,-0.9606073775186446,-0.7056062036186458,3.1607237680597615,-0.8510645530002491,-0.7313323960086201,1.3612032703267067,1.0350064504926018,0.0232715350514139,1.5480021660770813,-0.29572262518871867,0.056805764088905836,-0.7460463355224911,3.2378397708680335,1.2890579677789475,1.7772022885091538,0.3293145122295789,-0.7379908694777841,-0.8775307098853458,-0.27494476662698586,-0.8416770313957599,0.7419548768709279,-0.9525027829971274,-0.8144959870259191,0.8119872597350951,1.3507311932125972,-0.9582336586931711,0.7861285362205581,-0.4620419677363416,-0.4789575156634128,-0.3849159694104453,-0.8231778836173611,-0.4398353532196122,-0.7201920148016463,1.5944586769210394,0.8955143169693113,-0.9071411571691793,-0.0036272333850462333,-0.37767156226988946,0.7577928930312189,-0.9717795632472942,-0.6855994708064025,1.5581281885373102,-1.0355886159555343,-0.7050777153408434,-0.920784102577408,1.1609521373897784,2.382861658718581,-0.8810710387313534,0.8377013906306389,2.852695952153726,1.120372046950549,-0.829011164359375,1.085885571358944,0.20635956422258805,-0.7777194797983332,-0.683605856009126,-0.6435096983966702,-0.02148999828132397,1.3877255711812926,-0.8275878392458749,3.230436858915878,1.8706812423030812,0.6850728328647377,2.6193091118643306,0.5551403394309566,-0.8186227444779012
SIDM00103,-0.7878343911565672,-0.947877638200008,0.11201949844336118,-0.7545610996114599,-0.8394236156336857,-0.24442607537513414,-0.4929876868343497,2.5900788645657777,0.842042295483723,-0.8670659958030608,-0.42275532301870344,-0.28424573269653736,0.10537069320392656,0.6929036419545747,-0.8117901204860103,-0.7539043995090604,1.010186713654703,-0.8208301879573763,-0.8433468214861038,-0.8533994615433605,2.9022910908113166,-0.7682631555429059,-0.4893605069602958,2.6160897906638003,1.7208696588265395,0.6363394407494628,1.3916393884940752,0.021785436028185758,0.6553339526979131,-0.8249554116357566,2.8885648132091037,1.5912580346491147,1.6238428467390442,0.80055510601947,-0.9339952658537477,-0.8558800080003963,-0.11789028291880435,-0.846112080811885,0.6115918772422926,-0.9321411057123877,-0.7840316114845433,0.3533626797819316,1.4511064022891142,-0.7461916597526267,0.8873217579234678,-0.0009420409975655662,1.3890799493006545,-0.6334190648656081,-0.8590883299385064,1.1768239371450604,-0.8129642175793882,1.7877853420598013,0.019609299068091418,-0.8709323542503448,-0.141904177810424,0.5169874595324064,0.9331583259683843,-0.9892499471482332,-0.9328971994255505,1.7040941639938407,-1.015674024147578,-0.9333296088055667,0.16188968022103126,1.1816378700321182,1.0777182037238948,-0.8645975638065646,-0.6664243563686305,2.5759845714461305,1.0565694097283715,-0.912469792910235,-0.057982224219576585,0.23137660798610885,-0.5650777545370397,-0.17383274304553611,-0.5592154262132353,0.319056458936254,1.1908561462898601,-0.7280524335108798,3.2486743295430394,1.9663959762821708,3.1012580673497596,2.6259618439867034,0.38992711400277663,-0.9746057912833369
SIDM00266,-0.8498200598777886,-0.9802349849778222,0.18691646827734318,-0.8383722459025567,-0.5241061003921688,-0.26475644225969447,-0.269054779103005,2.6975072801572555,0.7998530910773893,2.4447941496261234,-0.7230544883647042,-0.4922111936441592,-0.30980612618380193,-0.43998132982956734,-0.7695400954168218,-0.7872082425895289,1.7499742078375085,-0.5165211405650123,-0.8335008428217241,1.7250301500373004,2.7644766773558036,-0.7934670783701385,-0.70960985344988,1.9131840974985157,1.421884080467031,-0.1795405296831473,1.3033679463501235,0.3166421255811279,0.5675525496149006,-0.7790981750231987,3.1662925037831244,1.6647147494627599,1.4884797745308012,0.43598438125523226,-0.9198534737127383,-0.8450369500388905,0.1396258480590464,-0.5823331162598453,0.5948286514554698,-0.9557745728654412,-0.8693726346565617,0.5203234391390296,0.7427837498526729,-0.807910924364964,0.21275394453509916,-0.4727299439307586,2.3133458748861258,0.8955894175660499,-0.7532473379076112,0.5006342939130843,-0.7982790193796523,1.3661727213425148,0.9111993007529532,1.332916152465452,0.33201053192936386,-0.19721505012545693,-0.30140136424836733,-0.9613360761707026,-0.9052564512813561,1.1658435046116802,-1.0034320191810666,-0.7013515635620905,-0.9124878604734185,0.9219132995513944,0.0017021464310324013,-0.8875121490756173,-0.6623390878355583,2.4755545739730946,0.958712902678172,-0.9204753647083,-0.3861699825009486,0.2817151301678457,-0.7816475923831315,-0.6778363514919016,-0.7803909825069223,0.36874910338888944,1.3619032506322748,-0.8099666108176443,3.306362028489332,1.9219700959908683,2.3371739818286303,2.670646878853958,0.6473129407915423,-1.0318935153979447
SIDM01064,-0.8419211342160129,-0.9384653484589875,0.4878491632261718,-0.7328274176960781,-0.8149221125354579,-0.251120669100297,-0.66266757633644,2.173169273546599,1.1271093323880224,-0.8145439237286827,0.2807882806754634,0.17604218848619743,-0.12677338058176302,-0.737437860661444,-0.7035891690409853,-0.7713488296598239,1.7523243176594547,-0.8213093923086365,-0.8524218658267666,0.4608979698523928,2.7256828967221707,-0.7491547537256324,-0.7211204087121691,2.700043428885498,1.1257725690972324,0.1407450704668801,1.9344409784512715,-0.236014033749753,-0.6888347646024661,-0.27055712673893534,3.182741041264554,1.8509542624253292,1.7085587502100803,1.0024155733741154,-0.9198596633646475,-0.8633878674541726,-0.1940180983340986,-0.8258617582870075,0.8955226757344096,-0.9253520482706249,-0.8575760042328157,1.324784881453375,0.8651038677438343,-0.8255279851026313,0.2734574673403089,-0.6819687123538682,-0.7073771577896615,2.2630260065738272,-0.5372407202241409,-0.43489550792283205,-0.7052874842382444,1.3890441933500592,1.139741061167428,-0.8499676609529545,0.1056745475013724,-0.789041146937174,-0.7615119622024282,-0.9142286161719935,2.3059348647050872,1.680778780777626,-0.9926337453083746,-0.8512023973416364,-0.8146488630089227,1.6605406835355598,1.818934311476726,-0.8710000108144892,1.2536498824211928,2.7229054305639373,-0.9235022663099877,-0.6434182745028076,-0.4978691802916767,0.03996000980825288,-0.6385175427619414,0.5621847384858191,-0.5473229927479505,0.07765749165441556,-0.524437168006727,-0.6808190530892965,2.595688350816121,1.7268781743105956,-0.7374205058642148,2.7127500878456665,0.8930480453836358,-0.4380293003708748
