,GP1BA,EPO,IL9R,CD33,TNF,GP9,ITGAM,CD34,CD36,GP5,ITGA4,ITGA3,KITLG,ITGA2B,ITGA5,FCER2,THPO,IL1R2,IL7R,MME,IL11RA,CD19,MS4A1,TFRC,CD22,KIT,FLT3,FLT3LG,IL1A,CR2,CD14,CR1,TPO,EPOR,IL11,CSF2,CD4,CSF1R,HLA-DRB5,CSF1,IL3RA,IL3,CD59,CD9,CD8A,CD8B,CD44,CD7,CD5,CSF2RA,CD55,DNTT,CSF3,IL1B,IL1R1,IL2RA,ITGA6,IL6R,ITGA2,ITGA1,CSF3R,IL7,CD37,CD2,CD3D,CD3E,CD38,CD3G,CD1B,ANPEP,CD1C,CD1D,CD1E,CD1A,IL4,IL4R,IL5,IL5RA,IL6,HLA-DRB1,HLA-DRA
SIDM00519,-0.8008239591205544,-1.0031939142590065,-0.7720755977691154,-0.7379945178197471,-0.5600337566519754,-0.8809450560941915,-0.9448408908595647,-0.8637705556506055,-0.983320010249022,-0.9489650261772631,-0.6821227591647605,0.09205600190106576,-0.724695171766512,-0.6638353430631249,-0.33092384083229753,-0.6258192285622219,-0.948538516680807,-0.550023152243256,0.4829880629439682,-0.7754991358254126,-0.545898151917608,-0.7593551922531183,-0.9861836319022138,2.7030162667608177,-0.7707971077912834,-0.973283927602634,1.48583844998879,-0.6548284730479772,-0.0696201721501669,-0.8933270080088781,2.0783916994166614,-0.9434407519756688,-0.8395456622369588,-0.7350095420011485,-0.6604978341705252,-0.6216097533500622,-0.8893415969116252,-0.8333628868031102,-1.0386262726376774,-0.5130341265832044,-0.7947884371277854,-0.8465210496793664,1.6480539614735896,2.011648122157144,-0.937336258221774,-0.8903575225384422,1.424467536262385,-0.6870424038072971,-0.8336074162002849,0.9854437206571977,1.8552495351386091,-0.7329673059587991,-0.8063506225216129,-0.2167654205277526,0.34187408794749286,-0.8317730895982748,0.6634384165166023,-0.6594025575310134,0.9110265201367456,-0.48995037754061055,-0.7459678463702849,-0.681965850825623,-0.7766322724915261,-0.7217977351382131,-0.8953536874077132,-0.8878859173572006,-0.972474016177212,-0.8442010559330491,-0.937571387952402,-0.8364035878635845,-0.8807710245898667,-0.021269147121564552,-0.871419324225099,-0.8784820749998599,-0.9271930406874138,-0.5775027360930292,-0.8675141182544702,-0.9386710381318646,-0.06574918497559652,-0.28720554554339617,-0.906367164563807
SIDM00917,-0.3358873777534203,-0.949221612296597,-0.7822028424229241,-0.5472255684954526,1.830999589279416,-0.8240541922572332,-0.5291532725550696,-0.8308599530438121,-0.8002284137952793,-1.0825141754588352,-0.7620170533924799,-0.6596355752874214,-0.8011715552848275,-0.7400576743919218,-0.4858524400225937,1.7104470146294954,-0.90490195763717,1.3568602235652225,-0.9507376962066373,0.7145841063132155,-0.6254393921064092,0.02964591573008377,2.668050077730909,2.7495799957008997,1.9156380491950407,-0.8269206886393036,-0.9113747777032276,-0.17522594019554102,1.5940211196923955,1.5939984657500637,-0.8223492756118116,-0.7270313707717493,-0.7904351993394199,-0.901012187931409,-0.8010262283466254,-0.4444410039062148,-0.8853507588397779,-0.7926092305809521,2.564093744552317,-0.4562832447803891,0.37875679015295616,-0.782377959904495,1.9951272365130108,1.5912851247584554,-0.8880033993129236,-0.8663005975321821,1.8377921039294955,-0.6443269798425272,-0.7823854853377756,-0.9397947205384094,2.1682863242675916,-0.8855444982355947,-0.7847844289645831,-0.7157615594981127,0.18152028573455978,-0.3602791671739865,-0.9011456893296703,0.3193903742735616,-0.8417244183819581,-0.7825082185449326,-0.7564878976130693,0.8027176931245182,0.6859869932655578,-0.7124372269665898,-0.7533741315656707,-0.8942701883997404,1.8744545976647744,-0.827068679438502,-0.7987671889653359,-0.7243092327611087,-0.8134200239114313,-0.7086223194271353,-0.8841410390669507,-0.8958924099005535,-0.7488772612517122,-0.05506622773167931,-0.8178315766669182,-0.9650421228322813,-0.5730148655163706,1.9781012486340996,3.494590086395887
SIDM00309,-0.6143900630140456,-0.9825818926760619,-0.7104255063070095,-0.9019827575315075,-0.8252947442022723,-0.7811171088768792,-0.80179839137684,-0.8071340572904974,-0.9694505598307935,-0.9721354909025857,-0.8757329080998536,0.5519547682780463,-0.6858897940448794,-0.8281095488093168,-0.5199211986086799,-0.8104885493395886,-0.9127456850298002,-0.4456721249688301,-0.4401488560402502,-0.28404870308867697,-0.5909479687906098,-0.7633943988458649,-0.9670113586784111,2.8521689999865645,-0.9173496591549949,-0.8922157968847098,0.8184584104909084,-0.5270213344963534,1.0024350050423831,-0.8469820168834435,-0.5290589212600076,-0.854710618146833,-0.8832859217620668,-0.8614186349616679,-0.7832109158677214,-0.6465416422103746,-0.8854825580157517,-0.9165475807645984,-0.960016427006162,-0.4894085907737723,-0.9227643276405761,-0.8700228737315242,2.3671632483403937,2.507898961418138,-0.8167229835629615,-0.9184153538120557,1.0697311226924924,-0.7179880023055222,-0.8411368865396193,-0.8342472460582862,1.5246391255946865,-0.8205679669372116,-0.7980864908132236,-0.2638700280432006,-0.30387230492467016,-0.8190950615608285,0.6355730277905758,-0.7231721600301295,-0.3674746452568075,-0.9337024268887193,-0.8334596994691488,-0.7669530945881665,-0.7111166091346597,-0.7351714867273776,-1.0267846552120472,-0.9268127314986092,-0.8904594129557629,-0.840378965041138,-0.8722193484792709,-0.8175980638542947,-0.8898015015911739,1.2744467535252582,-0.8500398590538516,-0.8709309496963158,-0.9816497481095143,-0.7466538660319355,-0.7537781344851271,-0.9415135918504962,-0.5258352209916104,-0.2404282112448008,-0.7582596087680119
SIDM00099,-0.8058174193885588,-0.8217624411895196,-0.6272168605535756,-0.8040537254322513,-0.8381578425807334,-0.8348587683638364,-0.9610817380238337,-0.8456375157876993,-0.9229485099043484,-1.0316918116253115,-0.7158013375438856,0.015888038036170272,-0.6712887039804424,-0.752799794549346,-0.3075029035047259,-0.7637660733782323,-0.8017507774351417,-0.60207417143321,1.6425179049734508,-0.791427151617989,-0.6691135949718902,-0.8151870737202614,-0.9468912040830789,1.6585424491582783,-0.7588240839832247,-0.8843414114120594,-0.931837632243215,-0.286524455728084,-0.7335617544899039,-0.8289394487933341,-0.8362120400935583,-0.9128292664589884,-0.7359190782155838,-0.8051644785433614,-0.6886418438861444,-0.5885795519622585,-0.8743210390549863,-0.8537072593355962,-0.8855662207886726,-0.5538151656107442,-0.6451229983340401,-0.9155384639091868,2.5319762703989523,2.321338584221148,-0.905846553043016,-0.8793587053604415,2.4293935342342667,-0.7339638152382326,-0.7377574788655824,0.4793979239085678,1.9266407783407473,-0.8031798939350149,-0.7788124591318106,-0.6613169484086525,-0.6310498950959704,-0.8545036386220314,0.7397001617541373,-0.578357389533659,-0.002309770087660232,-0.9369636631996553,-0.8001965011370127,-0.763720070889738,-0.619945283151665,-0.8046288800072652,-0.8523770980351802,-0.9186809471624761,-0.9415110564185453,-0.774024030619387,-0.9111926460269808,-0.8120268655502815,-0.8748594489368595,-0.7862679228513689,-0.9130788462718554,-0.8440398131265658,-0.9004948197222211,-0.6675860961522929,-0.8250072987568752,-0.9035321410018717,-0.813236293695699,-0.347542825813449,-0.8855155724255507
SIDM00276,-0.8229442976583033,-0.8958276191758657,-0.6859211364091564,-0.8171377473219228,-0.7093612735075637,-0.8014175402206265,-0.9259945842280087,-0.8438243165422493,-0.9349780195503837,-1.018611781101333,-0.8481755148207543,0.13496732555923086,-0.7983959191857456,-0.8348124793165309,-0.6117966547702302,-0.6938088074313643,-0.8393599759220306,0.7565193264742837,-0.7244785678664281,-0.891929311008818,-0.5901354336354967,-0.81998947252609,-0.9294090514032417,2.403768361391746,-0.7971461766183893,-0.9064691751333078,-0.9780586855123078,-0.6087046030805364,-0.15156083468049708,-0.6861854777460759,-0.8152281799459357,-0.990883719624466,-0.7931258390160667,-0.7117452829245021,-0.7170129141124499,-0.610467458621638,-0.8562972938599723,-0.8661805553662142,-0.9916581306334903,-0.5030255069386661,-0.7106664919238236,-0.934533323069126,2.310370831073295,2.926265352198253,-0.8329159405482388,-0.7833931572513155,1.0541378606391425,-0.7333666161550209,-0.705209296191209,-0.8381338352984865,1.9406763916175989,-0.8074304723407004,-0.7739878869513337,-0.45111261766847927,-0.17714103474543064,-0.8444925918628399,0.669787471935834,-0.7952645165165211,1.151069661995485,-0.8042153038819799,-0.7629676139950277,-0.7773248505278092,-0.6848684632401226,-0.7264858801377556,-0.9485327118298268,-0.9462380215940103,-0.7151748171990441,-0.807892556516528,-0.8804851633595853,0.49459369642651657,-0.847378132165529,-0.8242792095636767,-0.8660281793746628,-0.7878310619225535,-0.9522851726014916,-0.332956189686298,-0.9002127589764983,-1.000269751892785,-0.2037712524924354,-0.42318176084016773,-0.8612612736173961
SIDM00311,-0.6989093862779892,-0.9342028859376591,-0.6927906651903103,-0.7915412441166522,-0.7630319113703132,-0.9257696375213007,-0.99006922644476,-0.9083122065671598,-0.7838900012384836,-1.0130253382835086,-0.07085414906357987,0.43737174990329863,-0.42238986204402945,-0.6887818765640178,-0.3010232943691933,-0.7119697114075448,-0.9028892727216201,-0.5591731584322414,1.4871657028305398,-0.5624206661401141,-0.47605065481152,-0.8206238311100338,-0.9235920204420172,2.9232636852881497,-0.8437480523363343,-0.8747400849392194,-0.9106583292843333,-0.1764102253658288,-0.7357228783096136,-0.8261893372037533,-0.6967571099861454,-0.9052319645761749,-0.8681346566818123,-0.8954532962442391,-0.7650171665269134,-0.49713460958519035,-0.9525792054758552,-0.8907597948776997,-0.9068704989248833,-0.4681144174634168,-0.8070968131253414,-0.8901203558210279,2.9626806729688338,2.5757022252349504,-0.8443881593686545,-0.8947506033125615,2.475771337301574,-0.7607549787660519,-0.8251699360595864,-0.8962520579672895,2.6402614777634046,-0.6569317216884515,-0.7448918093667408,-0.6986167104004898,-0.06285607858486672,-0.7432787585361058,0.6641523656689027,-0.8778893883841391,1.2717110425248945,-0.6735303475603186,-0.8574472267847076,-0.5260396853735934,-0.6500333800605042,-0.7449085054612267,-0.7773485658111411,-0.8867908151426424,-0.7025344243198678,-0.8832267374104769,-0.8857045357069626,-0.8061839889438608,-0.8600331435015929,0.6568521298481876,-0.8709003605382876,-0.8997916685050371,-0.866873692571956,-0.5686529199252461,-0.8322675174813061,-0.9438022473610755,1.278100008928427,-0.5868674423644858,-0.8604028326316883
SIDM00970,-0.8847789440374719,-1.0915359584754223,-0.463768780900578,-0.8880623459911476,-0.9528144348089674,-0.8991450104056702,-0.9359981043025057,-0.7987599242558951,-0.8903793994328356,-0.9552798233915228,-0.8483730809648506,0.1768469821509556,-0.45922447689576007,-0.8561637026276979,-0.6538652974758378,-0.6536594997352837,-0.822624807457333,0.8564742239878566,-0.8390648126106593,-0.6285498666523937,-0.6699334411005701,-0.8051301396331002,-0.9560575370210987,2.7281469979805095,-0.877245645041602,-0.8121864155950902,-0.933656834904809,-0.4101345480990593,1.8911977479499542,-0.8114232055469351,-0.7570694585135122,-1.0404189199624523,-0.893316596528636,-0.7152318437526473,-0.7748691348025696,-0.5407567958220008,-0.9203545374223284,-0.7722825129767902,-0.8755449884900229,-0.6631938876560156,-0.8963662639275266,-0.9173445051188092,2.4532428518739975,3.10847949540276,-0.7627368034359896,-0.8442227037639555,0.11223056292004056,-0.7575992015636132,-0.7243571572323395,-0.4296244582308823,1.2203767467787148,-0.8322667866286292,-0.7940133069900698,0.8619130503356253,-0.058330918916109295,-0.8019508220173901,1.593128444132788,-0.7427000232101911,0.43105352101918515,-0.9553041572232343,-0.8539313299463919,-0.5936966735841537,-0.662511974487317,-0.7831837376205986,-0.8774317488138749,-0.8994592850945919,-0.613929736437329,-0.7884393402765009,-0.9488638085561074,-0.8019622365184762,-0.9672386743941549,-0.8254288056542778,-0.944917511260453,-0.9777846361509807,-0.8563244637310119,-0.2050469691579084,-0.8738129336902587,-0.9274411186001453,-0.7280346011888512,-0.44943125610196627,-0.7502764860897346
SIDM00103,-0.7698807469570466,-0.762690547550592,-0.5680806552331722,-0.7547134369824322,-0.7985828210686804,-0.8554091804721832,-0.9761690243933865,-0.8313841232437326,-0.5210109632433801,-0.9725227641944996,-0.7049512001506142,1.3606975463261584,-0.8127130971916547,-0.7946521882028632,-0.2756820711644013,-0.6007330732868696,-0.7829492570717119,-0.20029758683093365,0.4949850877200746,2.311714914723237,-0.5169014049542442,-0.7987586449207091,-0.9096036245747353,1.8390228880595905,-0.6323582077054559,-0.8166987833055024,-0.8509797027345565,-0.16444830288474174,-0.3558077082252422,-0.8685855910680249,0.044617458168909684,-0.9271181881439232,-0.8446580881905329,-0.8194670709472138,-0.7085151425984637,-0.5763506104166625,-0.8608661988468177,-0.8729677315689138,-0.913591553549024,-0.5762120002724332,-0.8996796041201641,-0.7187742464688747,2.765801546521532,2.146823891769867,-0.9653325461723489,-0.7988368382376725,1.7001616247709772,-0.6697087226796657,-0.7539420418590411,-0.9538786096368587,2.748758132412135,-0.716279811247124,-0.8205370181761916,-0.5290849951425801,-0.2816614583636094,-0.8413363291882046,1.640517635021438,-0.6468519947066194,0.32354747588486,-0.9089255143987076,-0.7095882635095918,-0.832650109594613,-0.7080792257409574,-0.7922551429083253,-0.7829319459377696,-0.8653294504630612,-0.6805519124507391,-0.8075298357735216,-0.8687956043000764,-0.692158617605265,-0.9572232073355511,-0.8268947916964012,-0.9403486833516874,-0.8071617025240705,-0.8332045865226951,-0.6516565276788622,-0.8206538940805392,-0.9694614241670387,-0.3129267717127321,-0.3324986756890726,-0.9028877008665502
SIDM00266,-0.790854981526081,-0.9130633441079701,-0.6239107531099132,-0.7786612950661982,-0.6886728367980001,-0.809415840692035,-0.9879181904975406,-0.9212425089823307,-0.9851895152988897,-0.8717724775126153,-0.7375807523366853,-0.8366397616807433,-0.7807390187078461,-0.6910634489552832,-0.32820822969269353,-0.6252571352484755,-0.869268082574796,-0.6787697893459635,-0.8028349696385079,-0.850102459782557,-0.2298433627429133,-0.7911705817005411,-0.9423403167987603,2.271451841049683,-0.8882887834625652,-0.7119304115667727,-0.31340754454275843,-0.6515317592603698,0.6958285692628143,0.7554355086995375,-0.8361814087642498,-0.8764223383237351,-0.8056907530149248,-0.7155452179607451,-0.7734672052094165,-0.5380023161451661,-0.8977705963630613,-0.8458781264439771,-0.8695237638441671,-0.5002552743891857,-0.6287142732626939,-0.866738647902201,0.7118963918820013,-0.020199474663071933,-0.8083815871009254,-0.8812181905744572,-0.6034401327418051,-0.7082602272501423,-0.7807975972832678,-0.9161616127557187,1.3619859692502183,-0.8766529294557345,-0.8634206915107167,-0.21590178351473444,-0.7054070253040112,-0.7229022672146941,0.27571016831712136,-0.6152640391045494,-0.43495975458155317,-0.12510655933019899,-0.8395834579974891,-0.8451841918826797,-0.7167377348737894,-0.7701268022335858,-0.928492620427092,-0.9327777576411418,-0.7687696479297025,-0.9121587093029354,-0.9043743681332818,-0.827542490602055,-0.9505658783604032,1.9963322519748143,-0.9147448513240669,-0.8818807907794163,-0.8215947046643177,-0.81782061102984,-0.785609961393071,-0.943048398990827,-0.8609391685527416,-0.35737153835192254,-0.8858743292050493
SIDM01064,-0.8511532941588231,-0.938188714659973,-0.8504126942208726,-0.7289884697350023,1.2615577021538715,-0.7981046838037947,-0.49779351723723103,-0.8059984351435708,-0.9092852435451554,-0.8508933151717989,-0.8288864661826276,-0.667937318319128,-0.7196643266559739,-0.7921440483883032,-0.6818507265320368,0.927170213905709,-0.7960469096978471,3.288368773269088,-0.6482936291697504,-0.7918694849079042,0.013298450609022742,-0.8453246327661762,-0.8604169615378763,3.3775554491908237,-0.6704394949358945,-0.8644551771523948,-0.8479826093456352,0.0055699499788734305,-0.5716978788573104,-0.9027180777837596,-0.7347809822108665,-0.8481418308719962,-0.7326247118790143,-0.9667949648746373,-0.7591361984765391,-0.6589215034887966,-0.8848590133041605,-0.8701965059306442,2.5597213838742223,-0.3303823865585132,2.2261180567606416,-0.8818443452759771,2.6551890670652245,0.32881075583193786,-0.9103354314920529,-0.7803315205603071,1.431717680493207,-0.7041699672985537,-0.7498626890627468,-0.519520864526619,0.9631288496933671,-0.8312432449113147,-0.7401504891230147,-0.9442081731163728,0.18891728236456753,2.2316961283177816,-1.0060986940600265,0.4394411255152174,-0.8991748061896326,-0.841332781228743,-0.8074918905087621,-0.4449420644445288,-0.29092824463696276,1.8509381894446706,-1.004864148050743,-0.8655130758457301,-0.7975746791607861,-0.807580206012378,-0.8679033769433621,-0.7200577050309689,-0.8401113819820449,-0.8324743811898573,-0.9306112468515735,-0.7333188777664807,-0.5609866696001622,0.13049844183173182,-0.7421805862317838,-0.9300084696447835,1.0169902188629425,2.5233771458313368,3.410092265365584
