,GCK,CALM2,PPARGC1A,ELK1,CALM1,EIF4E,EIF4EBP1,PRKAG2,FBP1,HK2,HK1,RHEB,BRAF,PDPK1,IKBKB,EXOC7,AKT1,SHC4,AKT2,NRAS,AKT3,PYGB,PYGM,ACACB,INPP5K,PYGL,ACACA,PIK3R5,PDE3B,PHKB,PHKA2,PHKA1,FLOT2,KRAS,SHC3,SOCS1,PRKX,PRKAB2,CALML5,PRKAB1,PRKAA2,PRKAA1,PDE3A,SOCS3,FOXO1,PRKACA,PRKACB,G6PC2,PRKACG,IRS2,CBLC,CALML3,FLOT1,CRK,SH2B2,CRKL,RHOQ,PRKAG1,PRKAR1A,PRKAR2A,PRKAR1B,CALM3,PTPN1,SOS2,RAF1,SHC1,PRKAR2B,TSC2,SORBS1,SLC2A4,MTOR,MKNK1,SOCS2,FASN,PHKG1,BAD,PHKG2,PRKCI,GYS1,GYS2,INPP5D,MAPK9,HK3,MAPK10,MAP2K2,PTPRF,MAP2K1,PRKAG3,RPTOR,PPP1R3C,RAPGEF1,PPP1R3A,RPS6KB1,RPS6KB2,PRKCZ,TSC1,GRB2,PPP1CC,PPP1CA,PPP1CB,MAPK3,PKLR,INSR,SOS1,RPS6,PPP1R3D,MAPK1,HRAS,MAPK8,PCK2,PCK1,GSK3B,CBLB,CBL,EIF4E1B,FBP2,LIPE,MKNK2,EIF4E2,ARAF,TRIP10,PPP1R3B,PIK3R3,SOCS4,PIK3CA,PIK3CB,PIK3CD,SHC2,SREBF1,IRS1,PIK3CG,IRS4,PIK3R1,PIK3R2,CALML6
SIDM00519,-0.851856790810811,3.405443011020229,-0.9326785079852166,-0.7840267385326611,2.0679101728721148,-0.8198824720562281,2.0313432249463306,1.0893574653609186,-0.648032084980427,0.01468437794139422,0.8728449019245373,1.08522147116545,-0.5413997596560421,1.2480937511442078,-0.13511638424224445,0.3623343838584276,-0.3955558339139622,-0.9148373248866729,-0.7032513775795374,1.221839698263148,-0.29600760340522414,0.5318881917440882,-0.07633787572346029,-0.5895864126264033,0.14259694222249877,2.4954560398708843,0.04143448515804447,-0.8367236396892249,-0.3518232362803178,0.21658159999565624,0.5384104191154214,0.07108500844269496,-0.12090433345408907,1.5419688881072011,0.2172080272673925,-0.7865429481900047,0.009070405730790947,0.05075970636039685,-0.7856983964087129,0.19068401784506617,-0.6675840276501216,-0.27933054517075334,-0.8910139489044214,-0.08505715328462327,-0.09171048232647819,-0.6642417916566798,-0.19396801661267524,-0.9005579995358337,-0.7547095192082567,2.124287134227986,-0.7927789540679651,-0.8929151937982222,1.3594198596523748,1.2446644240034146,-0.7245191521497105,0.034940508580002146,2.8353353133042885,1.3286393698763845,1.5772043104334057,0.3764675691190771,-0.25307061525106433,0.07201739826156277,2.0091125272250134,0.0498076182111507,0.41097071018801634,1.7754572859967834,-0.932070590575671,-0.40031723297811184,-0.9186446790895788,-0.8996948666260057,-0.22371018627477357,-0.5588291773241284,0.2556745291791566,0.8429598485561878,-0.5603763099068912,1.3580295249854797,0.7709717621052048,2.0679900953764774,-0.7627403731628323,-0.9014628610518279,-0.6445948568621265,0.7229490449626709,-0.7483145559433166,-0.8000735354340742,1.2117328419628624,1.6784420571485266,1.4682702253736368,-0.7391197009223579,-0.6770386014227895,0.21176350122662727,-0.15120287779731728,-0.895533725329477,0.6891289766408747,0.03515906037870421,0.13262809780131538,0.1155680037934311,1.7411622420718154,2.6691031273684325,2.2778510656409945,-0.3179556892114843,0.5154256853947725,-0.776407906036647,-0.21441901153788814,0.5708231736562318,3.4868903920920964,-0.05974236132575812,0.20225978087680163,0.8798485214472693,-0.3898911071975693,-0.520767737402791,-0.9713397927461586,1.3510624486918985,-0.647993994586536,-0.03141944906364873,-0.7060432310036802,-0.7992528123398597,-0.8566889393460435,0.9990602641678025,0.5576444171661096,0.07456749189187163,-0.37447530943416735,0.07115302663627819,-0.7187735136670106,-0.8617051515061537,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,0.6351820544066088,0.027788215481758118,-0.4435836720259733,-0.8386561761109992,-0.8263879871868793,-0.22309303738012728,-0.07939079386696714,-0.7289957667192392
SIDM00917,-0.9308760474518427,2.9377746023401605,-0.8555965366796938,-0.40131305647021154,2.017225902945296,-0.758993243029447,2.170942178395428,-0.444754545915904,-0.7021280097365227,0.9878059854859959,0.6073633654010221,-0.3446197161427619,-0.08737606934962737,1.1117795845019818,0.36611728776337293,0.47406673662656496,-0.44961501627394507,-0.8928742589394802,-0.43991493639764384,1.5502036363871254,-0.53140709085529,0.11816541297981985,-0.6731967053697558,-0.7044831257380413,0.5683691176113173,-0.2583633693021928,-0.3196029692773038,0.4079912195723818,-0.5635680417656792,0.14934284499922948,0.5093480710381518,-0.9430705326474991,0.5282003544414432,0.6747655177517772,-0.9705805088038854,0.9911035056942923,-0.0030871924810914725,0.3558827817046363,-0.8438875245171338,0.6610131669478344,-0.8058248723213525,-0.3356137034329139,-0.9131069975243776,-0.6590895983233006,-0.5182838873921791,-0.6980003707464469,-0.7685558875984023,-0.838126928839499,-0.7451376266929471,1.091507257011763,-0.8999405698822873,-0.7875357893135947,1.4906802640484953,0.5399892258928097,-0.10478362631069657,0.40700550208776304,2.6390201963776825,1.3854640419503543,1.7752226218233738,0.2274820384430899,-0.14963987300827594,0.37466265137866067,1.754623057737677,0.777404455271312,0.6703226732559828,0.12774549222024534,-0.6296395983913573,-0.4028097823605014,-0.8667413329060427,-0.8834444058284323,0.0006267952656839542,-0.5199723270907857,-0.15883623333019153,0.49620044837268834,-0.5609352662683119,0.7032882367405254,0.6042728999817731,0.3140617561630908,-0.593661326349428,-0.8639922681225161,0.07375993449014455,0.3279819575978883,-0.7808321119030809,-0.4789249487721815,1.4353305093647586,-0.8122418617175141,2.1682208807797045,-0.7557245912013029,-0.8203538181901907,-0.566672817605944,0.42182521484708857,-0.8684124262454715,0.29835394152441674,-0.13190756479274365,-0.6398279575333379,0.08358282547740908,2.0967618944171535,2.5598023261929037,2.1656333773028362,-0.4818221338672584,0.12581611851856564,-0.7749853803013764,0.07986583331952216,0.5455241666444859,3.678472239013959,-0.02834120804770332,0.7518296918279702,0.5785314872233444,0.7084240651382601,1.5628348025876244,-0.8772411303974126,2.04988231234367,-0.7149193416171191,0.018010350725628243,-0.8706157279156824,-0.3914919080481729,-0.5694582766409043,2.0898568522752763,0.472304807401857,0.3104583380836929,0.13785530964850934,-0.5017998384361755,-0.33826179106292537,-0.3115787007045401,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.7111083577729086,-0.33877391187536615,-0.634857320265725,-0.7207299110933022,-0.5581370125635631,0.09639864077465503,-0.45814276637380663,-0.7107302263572529
SIDM00309,-0.8654967979506697,3.288812513982851,-0.6646372344300893,-0.6731966554500092,2.1810960642285777,-0.801526728830621,1.8527698353680302,1.4821637341424128,0.8097814494072972,0.23534756228249887,1.2193397084238555,1.0871994664016091,-0.5982155072109197,1.0417012936541494,-0.03539533274547862,0.48378729857455327,-0.2912125403265399,-0.9150806248763022,-0.5673413731578653,1.256524659301111,-0.323607853268389,-0.12141745649439581,-0.6823054958751136,-0.5933256468647696,0.45368055549132674,1.4257153956136692,0.0767295894549805,-0.8541154838838494,-0.5882521688206384,0.5066349167931323,0.7214468409778256,-0.25445155274262526,-0.17053167425694396,0.44635764588407606,0.44619944357772084,-0.8293436956899854,-0.3506946920234881,-0.32790772852887656,-0.925941766277124,0.07080334252704917,-0.3270748791955065,-0.3390231429193135,-0.9045114001887604,-0.709968724027556,-0.3023497376807371,-0.6548918264125425,-0.32250331188668446,-0.8744728788856433,-0.796842937710926,1.4753599176538554,-0.9262680849602798,-0.7432149974902954,1.325824755656567,1.308878414367355,-0.8581669565732074,-0.11725484951057555,2.7388363528313158,1.12821118014297,1.4818912789581264,0.6652907274412537,-0.3531819204779445,0.4199465953508991,1.7870640242726599,-0.055147137698300645,0.7255659061086115,1.4934606146991267,-0.8134474561356495,-0.36307541778909463,-0.9061358574221332,-0.9131706874536848,-0.2046267553936103,-0.3953683958633821,0.4693003860788844,1.2592699159924372,-0.6090605627025258,1.4346878852123166,0.4053872083781766,1.9306334869094381,-0.2767858000663054,-0.9288208932685439,-0.7453242757512184,0.7807549866059781,-0.7458371428922206,-0.8191751222390329,1.29693709399388,1.5900628966031596,1.533801591408699,-0.7603929929354775,-0.7044219930398913,-0.1327665687990499,-0.5336829171384402,-0.9294273887165525,0.627212806327107,0.08900680572302652,0.48785634927585225,-0.28618514271325185,1.551214464507327,2.692446101999217,2.089666817517967,0.09146383849094515,0.5986800821643932,-0.7836999865545959,-0.05412817645347338,0.6321035255310687,3.2317994780669097,-0.07399344209525317,0.19821987316206793,1.0882773068400704,-0.39617924839638224,-0.1836013138611848,-0.9947996642237837,1.5938635558462186,-0.8057084974725208,-0.3420208379162094,-0.8256115895592715,-0.7288773969762321,-0.4869026034485958,0.799622556596841,0.39885912600171797,0.07713419241059723,-0.43433495152924967,0.0017228854228587204,-0.5719067588538529,-0.8612153757462647,0.9023372519923574,0.4332412209128918,-0.5018997117469767,0.6434067479086082,0.16460132358139576,-0.5626684858600401,-0.7952065883643438,-0.6847588939732595,-0.33145082133245723,-0.1603682274832688,-0.8365190917981722
SIDM00099,-0.9140020422628103,3.346714649910355,-0.8219649636650571,-0.5237087186392813,2.4110779704303242,-0.6925178284027477,1.9070370050475083,0.8506958312817223,-0.6724822889005005,0.1200636428588885,1.3125618397379044,0.8120971673360026,-0.4747716843383623,0.9734616798497266,-0.178519674526836,0.6701230282649836,-0.2291313922542609,-0.855564847017962,-0.5616008280392394,1.2061207614674792,0.4590628778438762,1.1266477055581756,-0.6630783587993471,-0.6652942372952481,0.4195249278087753,1.8695124988125738,-0.3617213969293093,-0.8097681129008282,-0.42614784323368937,0.17617698021105976,0.41294905222874695,-0.6690018022284693,-0.4730460427096035,0.6730085000785737,-0.709476890474113,-0.19595091992640845,0.24545625125314027,-0.09172004551680613,-0.9201892349624028,0.41257285900680346,-0.43641158513789957,-0.17406254146970138,-0.9133972897819408,-0.8613565730986802,-0.447926103211925,-0.5869944303847916,0.12689241603057716,-0.8440222625693281,-0.7381890646027427,1.0977814616918724,-0.8588552445705597,-0.8482326855644008,1.6312506522638868,1.3090162296449548,-0.8100596970782827,0.11344628506884087,2.895229141552905,1.8823057433184922,1.2825762679522656,0.10481971784230956,-0.24734670382096113,0.3371163731411872,1.1537436209067844,0.23750660699476628,1.1767266262913327,1.8449289938861713,-0.8650549037079919,-0.27636856367964546,-0.9176102204892571,-0.8612573548185906,-0.27999962201641565,-0.5495538751369815,-0.33298676321099574,0.6813066347513278,-0.639811327935576,1.2518102860044347,0.7201199698721134,2.0028859206687057,-0.5573654612227561,-0.7588240839832247,-0.6330770555164758,0.3390362523399091,-0.6674179921082567,-0.7705711201622135,1.6865245406992782,1.7461974988363205,1.4524860221399285,-0.7637110677052983,-0.6814016411590408,0.7703184817579903,-0.09575529299604095,-0.8664106290117413,0.40582766185537367,-0.35470584222096785,-0.25255558546287876,0.3252363732484674,1.5303667233180474,2.661218946963459,1.8398135744634367,-0.40395373862765394,0.6202538847874911,-0.7419947159271147,0.17550582487835992,0.833796751022729,3.5193465661556367,-0.2569076659597851,0.4272251428179874,1.0093641595797609,0.13335399968062153,0.8156044688297786,-0.9518379246629353,1.7953402335997541,-0.5636716404629954,-0.002930302308622005,-0.8224122199477153,-0.7766994471654115,-0.7274340073417233,1.2216325080939612,0.5219317532678371,0.007434448992897634,-0.07691733829316343,0.1797274029756102,-0.745840851085465,-0.41832806985156173,0.9772417205774084,0.2470462313405816,-0.60403659056009,0.8991220131854462,-0.07686176255874433,-0.036740656709425924,-0.7412131459935081,-0.7219101589174964,-0.30151261608262947,-0.29295489699624994,-0.7477793077570957
SIDM00276,-0.870078532919965,3.240136851313997,-0.7938638137234689,-0.5465460043217087,2.640025073890035,-0.8280277550407317,1.8989063136795037,1.4597518160200762,-0.4323966448350795,0.5539035868355162,1.5279334381796006,0.9671634175088114,0.4225250613223542,0.833516480644265,-0.22945576373960963,0.8145221881275332,0.11933883765264834,-0.9086837356651726,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,0.6178048887962837,-0.665447642848825,-0.5732440366135313,0.7280530410610359,2.0819375632868877,-0.04310995448981765,-0.8267639290855728,-0.41785120083383437,0.1991015623834647,0.8669040085843404,-0.013488106226868772,-0.09044899874398839,0.6515748950888393,-0.17374398306805527,-0.7578794856643887,-0.13406283809776876,-0.014936585530832153,-0.946973893608282,0.20325754277477498,-0.35750665213871724,-0.09503180392762578,-0.9338039092556761,-0.6411683874823257,-0.4848161184318683,-0.726402678006925,-0.18959251099276647,-0.9277700812222082,-0.7414626369710949,1.012175613081893,-0.8458751624680838,-0.7270777119510755,2.000364024473612,1.2893929818752554,-0.5633976571397175,0.10948548738996396,1.8831582592308922,1.4485825986443797,1.7494304791286652,0.16184240206834913,-0.18895622235633963,0.3278868998570511,1.5184971854000637,-0.0659297637105213,0.6944907569106895,1.2360285556403219,-0.8176220831759441,-0.42514070220823214,-0.8138765875084489,-0.8408001463399994,0.02324145318821019,-0.21099360668454373,-0.6463637968261183,1.3215853833081055,-0.43103742184995664,1.2834932020677752,0.7940505730359166,1.8120032929601702,-0.6516673051043111,-0.8619129399086897,-0.6677738451485075,0.22516520348511637,-0.8228190604383028,-0.693685319706086,1.5730502356630185,1.5107915072597657,2.019959361654287,-0.7034198583189955,-0.7013190066165045,-0.2583968723453495,-0.15633270574607927,-0.9047738395502095,0.12627098334408426,0.14335860824793964,0.9488431417238821,-0.10197142016614358,1.9575623215250881,2.485535958399745,2.6242095109708483,-0.4896288876957792,1.1105277507367421,-0.7843056258198139,-0.732778511963785,0.4636340472715856,3.3149027185374966,0.048220499024961304,0.3901472004011665,1.1816656923996194,-0.0691404580401485,0.7416376797674441,-0.9095681404847161,1.6862762082929676,-0.44320454736521914,-0.07779895785991249,-0.8512592969078415,-0.7527875666178487,-0.7699314709459228,0.9883723207064322,0.5597325556426138,0.3319259955565263,-0.07148632414117964,-0.18530094291587512,-0.6488194164256283,-0.7823020450948065,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.8931849684240403,0.11544309224359368,0.5560974851628155,-0.8724342233570149,-0.783483967092334,-0.49045962005312094,-0.4121884693058777,-0.6295154616598309
SIDM00311,-0.8608042374066757,3.301473029237035,-0.8347291847590258,-0.6672810289345888,2.3985497785788255,-0.6818106317264593,2.3545004931606432,1.000813811448846,-0.6216480905820867,1.0784918106849626,1.7179456415340506,0.7488938525581541,-0.7453538371884136,0.9924763886210323,-0.1436366764423288,0.4308297041503456,-0.04068572253821361,-0.9014738711073031,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,0.48786156547978776,-0.6433510924373977,-0.6737463006462355,0.3127193240235862,1.639173363796249,-0.25827882505059846,-0.751888574666709,-0.6242917032465448,0.289485186641602,0.36991639632106454,-0.23965051572875848,-0.21043171744581834,0.5102474431294666,1.381402266667887,-0.7376119924322165,-0.43949852066979184,-0.34051944414341573,-0.8082354228107739,0.07414708251777713,-0.6629143808157649,-0.19102290521584547,-0.8629896740468991,-0.7254499797297228,-0.4469434427113543,-0.5088950164142347,-0.11699589132220085,-0.8989250110153957,-0.7612137915489496,0.5912480432919356,-0.8287666590836056,-0.90894741819379,1.1753747628795783,1.222587437599316,-0.6907657983325834,0.20913883553329307,2.4065791080460266,1.6194923080802293,1.558610405792864,0.8069921114210246,-0.6194771184829285,0.3964635671903048,1.7462218938345277,-0.03247697834325912,0.5447987316773143,1.1941706855572498,-0.4983878905012882,-0.5299517534330968,-0.8356709318239021,-0.8713847365309729,0.03901809182694378,-0.5483759908580578,-0.2929414754678812,0.6624120054115143,-0.6448556754278243,1.179641852767542,0.3237249519926754,2.4006665962488554,-0.2334844544734934,-0.8336536594085039,-0.7579816717625386,0.5474182472045206,-0.8724701867505567,-0.8049432169992577,1.3593653195542226,1.3835924948063052,1.8896826961927777,-0.8006478049389042,-0.6853891090001963,0.5612299873322176,-0.21211238884906125,-0.8849047389753656,0.8941608847471052,-0.2305903542709228,0.24616512042417918,-0.054850137739118544,1.635529327971572,2.5956159398338534,2.2132241015140384,-0.4899323458559017,0.29001810221540564,-0.8123729671874719,-0.19359475690584566,0.6037743687259487,3.570569685510728,-0.3730296744424348,0.38729023043362193,1.1499067182680816,-0.07582413085830866,0.5335854535840204,-0.9358074124728981,1.282951438624949,-0.002421370819849334,-0.0810526231746209,-0.9385919003162659,-0.7558938128304016,-0.8126898524889408,0.5940941774037661,0.4741554731495033,0.08589945360217498,-0.19176937874630592,0.07853245959546336,-0.677359328236902,-0.6783795602177564,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,-0.22817501325306394,-0.30616559297139906,-0.2848084396692028,-0.7787929081177212,-0.6224968022461734,-0.1528127154303174,-0.2815786822959473,-0.8262110264974655
SIDM00970,-0.8127138879874172,2.997127622667184,-0.8415285453931782,-0.7488246410809445,2.9816846982138316,-0.800062477699909,1.9733316991102905,1.0079332906611596,1.6002493661036274,1.0831821691631967,1.6211494532565083,0.6239690125884663,0.16764458696924706,1.2089254783997123,-0.0316694772888078,0.6841095776319114,-0.10547988580351268,-0.8732184163463943,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,0.21064022081779274,-0.7540321350261296,-0.6817314549894224,-0.1919043945827655,2.5786411343353746,0.0910250679018899,-0.8149726060877294,-0.16673529040544813,0.33375043396267123,0.5885582601563107,-0.05845713706290787,0.4418406419186536,0.8955143169693113,0.31463617934483623,-0.8726795102076353,-0.0036272333850462333,0.04350105098691508,-0.8660533697298957,0.20845550340590527,-0.7912535894730398,-0.24425768572681933,-0.9085316201305689,-0.8301128613864039,0.0761126156007925,-0.6435096983966702,-0.02148999828132397,-0.8756620268608777,-0.8275878392458749,-0.3581124812228324,0.9850910999284843,-0.7680933459775284,1.0642278796626985,1.107503557714046,-0.6233670239583565,0.5703371447563536,1.9156354141867766,1.4001443715676436,1.432408216080772,0.5156243698820986,-0.4162729141409641,0.5755221068530932,1.0593357120818572,0.06815208203162508,1.0032059249628758,1.093737430029109,-0.9396893402348988,-0.5651633648478575,-0.8267757490901659,-0.8257856952914312,-0.08777845381550912,-0.34752388688516733,-0.9673722207461772,1.6580016441065046,-0.47469427486684385,0.926248724312014,0.5854673952317748,1.8913261874366305,-0.02765665202022843,-0.8657960306526317,-0.5852904881654436,0.17957833961123676,-0.9169784988868717,-0.0005214666553748757,1.0350064504926018,1.921973254306199,1.5480021660770813,-0.8316102542719221,-0.7089923618538777,0.44712253643644806,-0.40354373131039006,-0.8806111878071169,0.434859948864825,-0.1859696791394609,1.1488491438852768,-0.22439632557894418,1.7772022885091538,2.7661270261580393,2.3029748098906118,-0.4192933597820453,0.3293145122295789,-0.8650316453786014,-0.18781366534341587,0.7419548768709279,3.465950788857911,0.04723220992153144,0.8119872597350951,1.3507311932125972,-0.3662241185702077,0.37070217563053226,-0.8865654963797573,1.5783739419319924,-0.6440513887172788,-0.372850295071207,-0.8810281399801057,-0.8002635103032052,-0.6190358657521925,0.8350390943817493,0.7002272283514848,0.016143176077876336,-0.2873734523129763,0.1761896932081279,-0.4642723288066422,-0.623148520396898,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.8370006192797307,0.042450583314895284,0.4802128873385446,-0.8051315465966639,-0.6724583895381969,0.024174200640533106,-0.3230373291454919,-0.8652414681128265
SIDM00103,-0.8472998312581437,3.3787375877429024,-0.30207665095128766,-0.5670632686165039,2.350299357280336,-0.7721275556480147,2.1714437596891183,1.3286071064689307,-0.7110531907866597,1.7664864651931547,1.6850886314318008,0.8834526519297663,-0.3199136617291577,0.9419679025363212,0.1526785008488658,0.9145773290404631,-0.06847722136698463,-0.8961283271701918,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,0.9121503484345209,-0.5463072528299043,-0.6395225325884406,0.5649292531382759,2.7473565508044944,-0.26266618217155147,-0.8467818040121766,-0.5341538251226953,0.4598785534459954,0.244670736190668,0.026012701968457588,-0.015554461429573424,0.019609299068091418,-0.16048396266523843,-0.7756148140795807,-0.141904177810424,-0.051082594648030256,-0.8485331953771983,0.3682177864273558,-0.8245646930413032,-0.3951590475236151,-0.9164346913592578,-0.7046357257404244,-0.08897887607116148,-0.5592154262132353,0.319056458936254,-0.850646164936155,-0.7280524335108798,1.2550382845557928,-0.8914532999648367,-0.7985815630346397,1.6465232897086717,1.2453190119225184,-0.7296329974528935,-0.10922721032177976,2.9019275704037906,1.7221332590371192,1.3229219249300348,0.5719550334103591,-0.43194793893723904,0.36799501682737706,1.4575508434260986,0.11201949844336118,0.842042295483723,1.6799060352227027,-0.7494667841443986,-0.14481905535678793,-0.9492682005499268,-0.8664869267359537,-0.4002499698683956,-0.4220455425181517,-0.592543489262147,0.979453911605638,-0.7178965239814715,1.506035085821319,0.4934196954787197,1.8032963079164126,-0.4192110074085631,-0.7677917878558095,-0.6621347121450256,0.06579980602104345,-0.8320424784181192,-0.8092251083840144,1.7208696588265395,1.6317897120362155,1.3916393884940752,-0.8309882774283492,-0.7423414762090045,1.8528856313925564,0.20947627032507973,-0.8213396204218091,0.30031106169452504,-0.20046928129675043,-0.8337183163826827,0.1827886088494549,1.6238428467390442,2.6082499410233693,2.0059867322452583,-0.525798493559705,0.80055510601947,-0.8341732326940375,-0.005295857444307438,0.6115918772422926,3.678689352250557,-0.11069187897124064,0.3533626797819316,1.4511064022891142,-0.40114405850187046,0.7001919680304667,-0.9724739990703349,1.8739563973929787,-0.49930878613587715,-0.4006511678695992,-0.7187357149197191,-0.6381879969736433,-0.7228183394120485,1.0505304468036443,0.3680175522200207,0.0004835080749557808,0.06117542156299132,0.8708101525993514,-0.8018036490477344,-0.7734435652952023,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.393073193246736,0.013486575436676885,0.10073035652218339,-0.8415395909860525,-0.7084238119156647,-0.19631857119045654,-0.10318863179885122,-0.7354375173791132
SIDM00266,-0.9203336529953521,2.9941010345052836,-0.9026135079715938,-0.5910757786974721,3.5543218072134084,-0.6326368079501403,2.908317900995055,-0.028150207516371956,-0.5482109043166243,1.3963905478109235,0.8779630766330278,0.3395027861323814,0.1151396341686013,0.6750494982901337,-0.2454207720614906,0.009253930426844057,-0.3555052293772311,-0.8662850694336253,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,0.5003700401132518,-0.6797176067638453,-0.024465516671967693,0.14709641823928327,1.7191451615596127,-0.08204248702817413,-0.8496389728152324,0.1911065977772374,-0.10465559449726809,0.9064821460444167,-0.5373186698890926,-0.32504105873561123,0.9111993007529532,-0.724148075907903,-0.8628892302505423,0.33201053192936386,0.5520394656316314,-0.6894949735774384,0.2850394174372932,-0.6429799528274376,-0.433540571841085,-0.9627519755153499,-0.7715215888242779,-0.2411835508957855,-0.7803909825069223,0.36874910338888944,-0.8791640368401177,-0.8099666108176443,2.5351804051168005,-0.8287662823695146,-0.7968717278372824,1.102023821750127,1.158112894856864,-0.7831001775256673,0.37430815062844575,2.647042699957245,1.7774141990473609,1.3020015423065567,0.5523580764102789,-0.4700658965810989,0.14106793089805592,1.234058458122089,0.18691646827734318,0.7998530910773893,1.5400359956754033,0.04388691159249138,-0.2827333452942677,-0.8908674870408934,-0.8236112243437496,-0.09193443216896079,-0.5524783540562682,0.9802922382546275,1.7322034718176018,-0.6842411217793944,0.8550364573565588,0.2397428268258649,1.888191169921789,-0.5070395229572591,-0.9003474470937475,-0.7471451250078748,0.4323758508759002,-0.9004506970951371,-0.3600812305976859,1.421884080467031,0.8621638148601127,1.3033679463501235,-0.7227764669494978,-0.7594224227057867,0.19432490382621462,-0.38103937789541825,-0.9193376625559941,0.3124598235535927,-0.46062109873695345,0.4826239544240373,0.06642249948290792,1.4884797745308012,2.876663801413975,1.8630661083364346,-0.5464420700201927,0.43598438125523226,-0.7518317989959907,-0.22575949848514418,0.5948286514554698,3.709292154612476,-0.3652732544740849,0.5203234391390296,0.7427837498526729,-0.30005824183715535,1.1423020406974322,-0.8841199365630958,1.608867664968994,-0.5242393306366948,0.09627253022619521,-0.8852339203025038,-0.8202034905005181,-0.8171112274665043,1.0475900766967872,0.39958562649248974,-0.1599034263136676,-0.23179868719964095,-0.3191934661214135,-0.5568906287862644,-0.5227082622938958,0.975240071825603,-0.33462897669646635,-0.6595534890448225,0.14542831781025914,0.05023631281618007,0.3390993745449397,-0.6325575608303017,-0.7229982020766618,-0.043248545248515055,-0.44868059800330085,-0.5547975582084855
SIDM01064,-0.9352146283943806,3.1039004230882568,-0.8657418400518652,-0.734554988093518,2.764487050354022,-0.6296199373037088,1.1048692587293882,0.36336258308025066,-0.44770765553859493,0.46040730652207634,1.1505061654248148,0.05402054023118915,-0.3823909016943919,1.5397970858077232,-0.051216720492121844,-0.11435529485497159,0.12561007301362406,-0.7577685515402328,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,-0.0981941355066778,-0.6979755978210717,-0.5164717061249076,0.43724995784390336,-0.36000232233568635,-0.38254558336356764,0.00999373611543667,-0.5211529388711827,-0.24607686129791279,0.33410543952149335,0.9603880444588739,0.8137227442041574,1.139741061167428,-0.8469511923744635,0.9845245960425025,0.1056745475013724,-0.34465545793899344,-0.8267772031766903,0.32155678021948375,-0.7578736138716626,0.17199441797815895,-0.9138641007417054,0.07942893756764902,0.642153748104976,-0.5473229927479505,0.07765749165441556,-0.9162873713441665,-0.6808190530892965,0.21663335405689035,-0.8783249358451041,-0.766686096323822,1.9087572622136204,0.23453807024904166,-0.815651017642677,0.5056436354050513,1.8718824930559075,1.3740285086715311,1.0227485862903376,0.21465778970448443,-0.507264139173932,0.6075850662639282,1.394542371568424,0.4878491632261718,1.1271093323880224,0.32009308019923066,-0.3715969217036038,-0.4379508537130851,-0.8556838129875755,-0.8422343657262831,0.05294810681312053,-0.06714872723594695,1.3808149044621483,0.4389903334229715,-0.7237399368183596,1.1711456279706722,0.3951901906777155,1.5459154551539112,-0.5944442159968029,-0.7110992612178914,-0.3939216172902523,1.5451934254228694,-0.6519672388145558,-0.8948051722627113,1.1257725690972324,-0.7830767489003889,1.9344409784512715,-0.739525692658752,-0.8325130265550792,-0.5577269755932258,0.37142081453044107,-0.7855164096481799,0.3721451255392191,-0.14944063715153091,-0.3908068370725033,-0.13502512261475244,1.7085587502100803,2.93224165120046,2.258967133157781,-0.32446162696118624,1.0024155733741154,-0.7626777218484814,-0.7128938637461991,0.8955226757344096,3.6546712438767335,-0.300849294527363,1.324784881453375,0.8651038677438343,0.49006099709420986,0.6631232376814669,-0.941576874297403,1.0044439342394096,-0.8287468115394749,-0.010160713992846956,-0.8582325569329887,-0.7888612124919064,-0.8231056972547199,0.8763577661338836,0.20159432281825668,0.11853981156144153,0.5514819029951716,-0.26973922508616505,-0.5222596854068073,-0.3782225280720388,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.6029364535680753,-0.1946374746133938,-0.44830557261726045,-0.7788569289509498,-0.6785879751150234,0.8846240816513324,-0.3221179351293593,-0.7553292354973423
