,HLA-DRB5,HLA-DOA,HLA-DOB,IL3,TNF,CCL11,EPX,FCER1G,MS4A2,HLA-DMB,FCER1A,IL9,CD40LG,HLA-DPA1,CD40,HLA-DPB1,IL13,HLA-DQA1,HLA-DQA2,HLA-DQB1,RNASE3,IL4,IL5,IL10,HLA-DRB1,HLA-DRA
SIDM00519,-1.0386262726376774,-0.759487187615111,-0.8995066411033797,-0.8465210496793664,-0.5600337566519754,-0.76644605183382,-0.8862482421447513,-0.589081500954868,-1.0218790075280464,-0.6528306856265902,-0.9036053973511594,-0.8498768793610323,-0.8809258530671084,-0.14036690293772516,0.7556309314959715,-0.6835902490495037,-0.8805088955737076,-0.8552762103619947,-0.8500095596348652,-0.9122944676291965,-0.8600689843242308,-0.9271930406874138,-0.8675141182544702,-0.8536327205195777,-0.28720554554339617,-0.906367164563807
SIDM00917,2.564093744552317,0.34617692899567964,0.12764982889070794,-0.782377959904495,1.830999589279416,-0.8727611958162209,-0.792610987981627,-0.25668701604711314,-0.7993360462221617,0.9145743162847568,-0.8119168423510454,-0.9064198367331708,-0.7726088462316814,3.5048573757347694,3.0185796191821663,0.42175124772919653,-0.8431255098011188,2.8754514899834267,-0.6888859523753298,0.4211067066924665,-0.885959075239558,-0.7488772612517122,-0.8178315766669182,-0.8572141517941781,1.9781012486340996,3.494590086395887
SIDM00309,-0.960016427006162,-0.7349895016732227,-0.8650262547556056,-0.8700228737315242,-0.8252947442022723,-0.8015333063043807,-0.9278034140946153,-0.7227210819485265,-0.8477085405241028,-0.702628022902575,-0.8177956812885382,-0.7638432632512463,-0.7930068416082126,-0.31685623071890795,-0.09459870333919498,-0.820810202798485,-0.9129512453576132,-0.8822903017517721,-0.8334600041818734,-0.7269201019206271,-0.9390677796864715,-0.9816497481095143,-0.7537781344851271,-0.8284773833065676,-0.2404282112448008,-0.7582596087680119
SIDM00099,-0.8855662207886726,-0.7591319998223833,-0.8509585785792771,-0.9155384639091868,-0.8381578425807334,-0.7066308213752958,-0.9049977627328052,-0.5726199139991015,-0.866854588234418,-0.6384798976138358,-0.8578989636123857,-0.7116827873836347,-0.826034249357654,-0.6696810121536299,-0.7347886175356101,-0.8052691501803051,-0.8967612692441943,-0.8360266712271515,-0.7175044414193924,-0.9120635014572644,-0.8333274048903778,-0.9004948197222211,-0.8250072987568752,-0.8578138576088669,-0.347542825813449,-0.8855155724255507
SIDM00276,-0.9916581306334903,-0.759468284672014,-0.2016403598949984,-0.934533323069126,-0.7093612735075637,-0.8755791784350383,-0.9446208064299316,-0.7038372507889541,-0.9051345150401511,-0.45326220425159125,-0.832297056897756,-0.5748981668658547,-0.7708399116371276,0.2515226328457574,0.5995141011266852,-0.6126236524364589,-0.9281846658402625,-0.896588229704589,-0.7795969948078352,-0.7637220139450531,-0.8255499661174388,-0.9522851726014916,-0.9002127589764983,-0.7896059243898568,-0.42318176084016773,-0.8612612736173961
SIDM00311,-0.9068704989248833,-0.8078909537741438,-0.9008898153248025,-0.8901203558210279,-0.7630319113703132,-0.8599568435921099,-0.9258521939435027,-0.6863904261090722,-0.8643966630941818,-0.7143681679650374,-0.8358904649312494,-0.8288559742497895,-0.8211018253688963,-0.26491364605303597,1.1005456651389136,-0.6971919202266059,-0.9054926841253845,-0.8367602643151758,-0.8443897017756382,-0.7821481246194653,-0.9999601879116842,-0.866873692571956,-0.8322675174813061,-0.7882661454750398,-0.5868674423644858,-0.8604028326316883
SIDM00970,-0.8755449884900229,-0.7738828000186729,-0.8644795362332542,-0.9173445051188092,-0.9528144348089674,-0.9110832477681263,-0.782240097721405,-0.7869812036387362,-0.8997930279845233,-0.46547376106870697,-0.7956441778338282,-0.7846810096951922,-0.8554872832435594,-0.2908684676498212,0.3478553319942334,-0.8010047431387585,-0.843441762096804,-0.8481901017126019,-0.852247864580324,-0.7245226127527773,-0.9769766873205569,-0.8563244637310119,-0.8738129336902587,-0.8775637011727477,-0.44943125610196627,-0.7502764860897346
SIDM00103,-0.913591553549024,-0.7458778443958731,-0.8746732181425017,-0.7187742464688747,-0.7985828210686804,-0.9570437585091124,-0.8865884603238686,-0.6086454454038864,-0.8172159828162842,-0.6158311292088278,-0.7498874528071574,-0.8196120759090412,-0.7901236509869108,-0.014606005088172187,0.42989452965257147,-0.43747900117128874,-0.9068389704197788,-0.8705528104410781,-0.714399399536755,-0.8214621981494243,-0.8136102826835331,-0.8332045865226951,-0.8206538940805392,-0.8873494022381585,-0.3324986756890726,-0.9028877008665502
SIDM00266,-0.8695237638441671,-0.6614686722720333,-0.8273876326163914,-0.866738647902201,-0.6886728367980001,-0.8332535465166209,-0.897137175362323,-0.5426725691264814,-0.9656288896549271,-0.5495218626620307,-0.9141988031027186,-0.9258232937024028,-0.8448909171229004,0.3645437775747787,0.906066289592875,-0.37230222210173347,-0.9269483526953852,-0.9272710252616172,-0.7070607866133303,-0.8111739066562624,-0.981324871812095,-0.8215947046643177,-0.785609961393071,-0.8662196745749828,-0.35737153835192254,-0.8858743292050493
SIDM01064,2.5597213838742223,0.26198006825270514,-0.680158197205942,-0.8818443452759771,1.2615577021538715,-0.8183964769639153,-0.8109630167363535,-0.7886746484256089,-0.9182919328920003,1.1949111794702933,-0.7547561990455384,1.5137258819148804,-0.7689878989113619,3.591794618345647,1.5576623811316819,1.419922603441871,1.6733268425637091,3.169894136401991,-0.7081885708248863,0.9082229504652144,-0.8456084973668541,-0.5609866696001622,-0.7421805862317838,-0.7432726821938074,2.5233771458313368,3.410092265365584
SIDM00098,-0.9467289163968523,-0.827024979593289,-0.8905966486861764,-0.8232706844111087,-0.7417031340419986,-0.8685581775161453,-0.8601244203795113,-0.50903483838477,-0.8081949521742519,-0.5865601925332562,-0.7140547099413941,-0.7533813744072064,-0.7799837041284752,-0.6630284236791765,-0.6963768319261092,-0.7731565727264909,-0.9411312891644291,-0.6996106600512483,-0.7867141125858624,-0.7659517783804939,-0.7732339014176567,-0.8836438598625841,-0.7941992238171479,-0.7903674943226788,-0.3787225790915622,-0.7401867983396774
SIDM00225,-0.8878933160869023,-0.8573120958481689,-0.896975281051048,-0.7920433242111051,-0.7278087225899333,-0.7509042388137827,-0.8815748318489456,-0.7626770233419828,-0.8145053902138071,-0.5133053817272143,-0.8043945156785222,-0.6023644444647885,-0.8181112068453431,-0.5605064293166352,-0.7297009407472806,-0.6437245519187396,-0.8695511356869954,-0.785122849708839,-0.7963305575890531,-0.7700768941691026,-0.9365385251231594,-0.9399443161763985,-0.9075823257424676,-0.7872423614524849,-0.4372289474218245,-0.7670464928725623
SIDM00846,-1.0032218252754408,-0.7723679237222216,-0.9177039104515265,-0.9144322269615,-0.7958212129566247,-0.5189912614535129,-0.9512621029523994,-0.4765231660699149,-0.8980183477296444,-0.5767724904081722,-0.8543558354155874,-0.9826530300413241,-0.7891083458842173,-0.49986848660483363,-0.666486758257714,-0.7217268455895463,-0.8913880465883852,-0.8366690332538627,-0.7970568493275144,-0.7919555073165746,-0.8047715321267583,-0.8217010089976022,-0.7663684294922023,-0.9205060673615564,-0.30348135906085394,-0.5108336012509387
SIDM00291,-0.11726977893918603,-0.7555327635249518,-0.9651243155595305,-0.8444324838630932,-0.6350193019167573,-0.8973353118588887,-0.9743257577276888,-0.6597534805514155,-0.8928124059535186,-0.1594614923930281,-0.72842764779089,-0.9207504922498574,-0.7921230788018265,0.9601841380469424,-0.65389286044965,-0.5464811445517659,-0.7953199559837917,-0.803661787735858,-0.8306296617521467,-0.702789826160302,-0.8163516684600798,-0.8625015927107266,-0.6400204990655195,-0.8717007893949416,0.005634127767187163,-0.1161485191118744
SIDM00520,-0.8933978145011346,-0.798349768649226,-0.9721119229792833,-0.8014030582517084,-0.795223583456106,-0.8152530289259778,-0.9810995983924887,-0.6314263289759717,-0.9321971864778803,-0.6358949567841463,-0.7973852753280827,-0.8957658191434822,-0.8336134795719125,-0.6377297059213544,0.7670956383709292,-0.8135510573477684,-0.8969433174945949,-0.8416518672682294,-0.7459405138978616,-0.8736142341397525,-0.9131650414578601,-0.8990816637865423,-0.868206398942848,-0.90549514453863,-0.09622622792271796,-0.8985903628365964
SIDM00003,-0.9432442458561048,-0.8295533481060443,-0.9394863332426355,-0.9235721043235293,-0.7054782993116544,-0.8811003975187952,-0.8765823583932074,-0.5775113217659549,-0.959664479832768,-0.3517618065361384,-0.7432950593460615,-0.8072482035651091,-0.7942145247056666,0.654894453964464,0.8555453549862794,-0.6790991248888133,-0.8875432930104534,-0.8174521485667815,-0.7314647760685744,-0.7212728650662709,-0.7734435126907185,-0.7944211845711513,-0.8523718059970288,-0.7720307348000687,-0.3425296798455898,0.6950036521100194
