,CACNA2D1,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,ITGA9,CACNG8,RYR2,JUP,LMNA,CACNG6,ATP2A2,CACNG7,ITGA4,ITGA3,ITGA2B,ITGA7,LEF1,ITGA5,EMD,ACTN4,ITGA11,DSC2,DSG2,ACTN1,DMD,CACNA2D3,CACNA1D,SLC8A1,CACNA1C,CACNA1F,CACNA2D2,CACNA1S,ITGB4,ITGB5,ITGB6,ITGB7,ITGAV,ITGB1,TCF7,ACTG1,CACNA2D4,PKP2,CTNNA1,CDH2,TCF7L2,ITGA10,SGCD,SGCG,SGCA,ITGA8,SGCB,CACNG2,CTNNA2,DAG1,CACNG3,CTNNB1,GJA1,ITGB8,ACTB,ITGA6,ITGA2,ITGA1,CACNG5,CACNG4,TCF7L1,DSP,DES,CTNNA3,ACTN2,ACTN3
SIDM00519,-0.3915534843027527,-0.691001126582928,-0.8543822133728614,-0.4845805739212113,-0.9160620681576422,-0.6540811201921105,-0.8299001018324714,-0.5493845649198209,-0.8202151985270927,2.227583365093628,2.1480282229624,-0.7688048070315725,0.8592396318544177,-0.7157624965123075,-0.6821227591647605,0.09205600190106576,-0.6638353430631249,-0.4890758836666831,-0.7667498242748586,-0.33092384083229753,1.2861149367239002,0.5043267825034148,-0.6213763632956402,-0.9320247857794095,1.1717336296739111,1.5457025545850684,-0.34621731667568073,-0.7387446381919069,-0.9267804143791178,-0.4087435367499114,-0.8599463753321505,-0.5919623709124651,-0.7935916790936406,-0.7536578846054568,-0.2631398660332098,1.3856967405957306,-0.6703264774870937,-0.665481587489008,0.0009008262244029427,2.086497938027983,-0.7871562844557515,3.765490955547292,-0.7946663096137327,1.2847696210065844,2.510014987588172,1.8132517244769604,-0.3214029222485103,-0.873784416947437,-0.9087283561592323,-0.8135061569335413,-0.8548541226067914,-0.7304007155354405,0.40504646275005995,-0.9279109537200317,-0.8683825457118206,0.32220606023343284,-0.7252436111037359,1.2176476867537853,0.5181809679048691,-0.4053639929168636,3.1301584994449243,0.6634384165166023,0.9110265201367456,-0.48995037754061055,-0.6797433361539624,-0.2988766119764976,-0.1982741848813393,2.3748042841868027,-0.4064722133559987,-0.8196694973317736,-0.8583548850590816,-0.7538159552167742
SIDM00917,-0.23073419661021724,-0.7123680846377393,-0.6527597819459082,-0.7428480336277032,-0.7490902821167378,-0.7120248906167009,-0.27836192835523066,-0.600564992462109,-0.8768934148787829,0.9875418860439534,1.606123243089582,-0.7863409840453268,0.2159415427739219,-0.7062013830553261,-0.7620170533924799,-0.6596355752874214,-0.7400576743919218,-0.7265277488181835,-0.845652064579716,-0.4858524400225937,1.1965055233851183,-0.06505458149196605,-0.8030619125846273,-0.668864772964089,0.6252926295692229,0.8916537836914151,-0.5570400714041164,-0.7036202883132403,-0.68834948379689,-0.7486964592947566,-0.8989352661310939,-0.6492499505738857,-0.8107589287136783,-0.7925092387689823,-0.7643712793779506,-0.17873638705210945,-0.9103041864323191,0.4798854354507409,-0.9024899812836101,-0.5999323053013581,0.6162921631342847,3.4423811707248406,-0.7271605268252077,-0.8462953576367863,1.713674044796105,-0.7196867235250534,-0.8294919534732412,-0.9001908952543967,-0.88565313355032,-0.9526595728587768,-0.7808148209430327,-0.8420425537598755,0.25908663825453065,-1.0420590782612036,-0.7707202916693584,-0.3541575887950316,-0.5740681459382636,1.2852809793337285,-0.40580144791006384,-0.8029778385870237,3.1127066181298892,-0.9011456893296703,-0.8417244183819581,-0.7825082185449326,-0.6258112383339456,-0.6593892331323882,-0.7452880684152653,-0.9276103851857234,-0.48965112902738417,-0.820043555121857,-0.879885830875656,-0.4276857111405615
SIDM00309,-0.40722974543797164,-0.7721170460291674,-0.9022083260010233,-0.6608739000724695,-0.9013629760216975,-0.6488102756775784,-0.8870712218535854,-0.6491288319671399,-0.6493403347052716,0.7702231481874142,1.9264024329055842,-0.7927884375947349,0.9596384616930871,-0.7627239553152962,-0.8757329080998536,0.5519547682780463,-0.8281095488093168,-0.49269661136805004,-0.8265444768270023,-0.5199211986086799,1.2749186496487641,1.4911563171197402,-0.7197482817177382,-0.7680341910205413,1.124991517912527,1.3643054481827885,-0.15637075500229924,-0.7599588596237107,-0.892140631001195,-0.8430195065136842,-0.8985738596381093,-0.627145881601741,-0.7753701767717505,-0.7115613422902661,0.17195164031638707,1.5134434780188968,-0.689643199389786,-0.7446717730834719,0.02318201200707048,1.6650003876070572,-0.7015432307637346,3.6588408169077304,-0.79704614490906,1.5982255412260942,2.4830444858174534,1.7996804039255327,-0.04938563469555932,-0.8887559795583783,-0.8556106462149966,-0.8743480109985591,-0.9127835981763843,-0.8746273567587348,0.6049459217401895,-1.1052769586730586,-0.9408828270553387,0.5595013555281001,-0.9025698401336252,1.531051666763261,1.035977354407385,-0.7682747172242385,3.0413373217260644,0.6355730277905758,-0.3674746452568075,-0.9337024268887193,-0.4963310314637459,-0.7597556834094003,-0.42172379788324077,1.649198768231232,-0.5468244131426409,-0.8372308856792499,-0.7114612558829494,-0.7633943988458649
SIDM00099,-0.3993794699507153,-0.6974250872579655,-0.8297718891123789,-0.7028852405760161,-0.6789177529919744,-0.7492969460190118,-0.8773244183236929,-0.6081253783654046,-0.8705724044312186,0.1845244708188344,2.268892969106227,-0.5335714118547047,1.0827085160579375,-0.7961521423575978,-0.7158013375438856,0.015888038036170272,-0.752799794549346,-0.5360501790971077,0.034040901227907885,-0.3075029035047259,1.3603279289806451,1.3235505903447977,-0.5310547381218049,-0.8592988341218877,1.2418645959324126,1.9009295082638604,-0.6511348423710044,-0.7362786243172026,-0.8726638848981728,-0.7545522973836538,-0.8819801281143722,-0.6300371130952537,-0.8949452473200465,-0.8934494623745697,-0.29558437689098105,1.796034740393581,-1.0222142965708962,-0.6637093158772014,-0.33164264619797185,2.1164613662544722,-0.7347915157505426,3.6956251491267103,-0.7827193672388743,-0.3544525107460846,2.4668765566174353,2.2200240393918578,-0.4890676835513929,-0.6198450791306085,-0.8145557774612995,-0.8786109258404903,-0.8570145144958808,-0.7653986708698698,0.6140957138728081,-0.9481602067409723,-0.9039020373397915,0.09626229546308235,-0.7375741543141161,1.4339588043516427,-0.2839623086566693,-0.6350100546246159,2.9799974161351592,0.7397001617541373,-0.002309770087660232,-0.9369636631996553,-0.5129510091315191,-0.35379744341644953,-0.2503047552254338,1.861590964108095,-0.47269272413277696,-0.7892358353104364,-0.8795625438605619,-0.7099643818058741
SIDM00276,-0.3422305520383572,-0.711255626129326,-0.9292895817357918,-0.7092430071927941,-0.9379070591895857,-0.667492613371543,-0.9396989825035806,-0.692832227868967,-0.8816824494142521,2.359358509829526,2.09055820400615,-0.14353418553975142,0.5786476557236497,-0.7529850645794294,-0.8481755148207543,0.13496732555923086,-0.8348124793165309,-0.6151191786270258,-0.9211039188489438,-0.6117966547702302,1.4753070913487636,0.8174963170308274,-0.7262445740658572,0.409368246495857,1.4980344714717702,2.0049494369240244,-0.6840502772365037,-0.769439559227453,-0.911619553627882,-0.5565844626301767,-0.9475335632409008,-0.6528849787401175,-0.8831414875525175,-0.7232178654711192,0.10439188977784487,1.6682914628414856,-0.09822908646888183,-0.6907687720304181,-0.25759247262240875,1.9783318848585798,-0.6869865589032614,3.7314976282726335,-0.8695500863947576,1.0965020704056563,2.123200865268304,0.5091117083945756,-0.41397870405731296,-0.9021664547851839,-0.8724962944737966,-0.9238227432652867,-0.9215693716243848,-0.7984839721774005,0.18318758281344055,-1.0558091582621054,-0.9157161797803411,0.32251358374617073,-0.7230671310891835,1.3183493700636075,-0.5663485640990131,-0.390223295025274,3.189163461947727,0.669787471935834,1.151069661995485,-0.8042153038819799,-0.7185563701514897,0.03668516376636779,-0.6224876156625813,2.1462567924771303,-0.4104045716980178,-0.8136204198535125,-0.8571759910458661,-0.645171486793442
SIDM00311,-0.5111957196285999,-0.6672459023058581,-0.8809611125668354,-0.8176323588998518,-0.9406315034166496,-0.7250603314452047,-0.880303578755901,-0.5125477654469327,-0.865999362026393,-0.32972924288564437,1.780310633552349,-0.7142890113578361,0.6644975619990958,-0.797844327925898,-0.07085414906357987,0.43737174990329863,-0.6887818765640178,-0.6954663457559017,-0.8430178040505248,-0.3010232943691933,1.391351645282661,1.0284461700333447,-0.5852171011960592,-0.8628573445076053,0.7583540135873468,1.977954440160454,-0.0569414023564414,-0.6109227757244672,-0.9071954875508508,-0.6103844749735715,-0.9109247693103822,-0.6484544999160443,-0.803857071890477,-0.789517563182541,-0.8219410774145588,1.8778594952628878,-0.9082468169473575,-0.7087395077694401,-0.28451586249452937,2.109828675533141,-0.4863196877432758,3.7180542573840034,-0.8314273939942874,0.3950941630291518,2.5427915109845625,2.0537591173627363,-0.4086980928180935,-0.8494940897936895,-0.8743236890568893,-0.8690725044355132,-0.8727452090806002,-0.8568766925778432,0.7023879882969024,-0.968418672843837,-0.9043103028068641,0.20528252196813895,-0.8650506202677345,1.7525331315109194,0.040442868114846424,-0.5991147373797197,3.0285771558650887,0.6641523656689027,1.2717110425248945,-0.6735303475603186,-0.688650187758457,-0.45322462561650534,-0.19058832911240217,2.02265094465774,-0.4738747906085353,-0.7981058851862854,-0.4706585160082816,-0.7799971057022285
SIDM00970,-0.5688131928301128,-0.7287321400143956,-0.8783248909687317,-0.608451391100944,-0.9277647448714021,-0.7632833281098538,-0.8737798552778344,-0.4535406822578905,-0.9293387037806685,2.660955712411418,1.989851290430051,-0.8678111296912844,1.0137500368866244,-0.7207381463675375,-0.8483730809648506,0.1768469821509556,-0.8561637026276979,-0.7229292080169238,-0.8504491830167896,-0.6538652974758378,1.1129793779354322,1.1303482913375853,-0.7129821386080933,-0.8635665980417045,1.3761230861068585,1.6519120763513477,-0.780727259968647,-0.5981657388308415,-0.6532647387976468,-0.6399737675328219,-0.9687990573362196,-0.6040073971420742,-0.7976654463027388,-0.8084663223505886,0.06350888779199039,1.372217963432028,1.0643107874075661,-0.5950328498261548,-0.24391583092028785,1.694698650979929,-0.6940898776794232,3.740781327271597,-0.8058794963006214,0.24827673307197565,2.2586948793605197,-0.7725188599582032,-0.12257386523000707,-0.8121277627892138,-0.8685667380924583,-0.992413800495176,-0.9491214589056743,-0.8495280016857213,-0.14331745681699323,-0.9196026567168982,-0.8825215924447753,0.24531033928985446,-0.7274852931378539,1.875124878476745,-0.37767156226988946,-0.7199015517929959,2.8398138701074793,1.593128444132788,0.43105352101918515,-0.9553041572232343,-0.5375022539358938,-0.2087585771201274,-0.7587748205084407,1.0902912781587568,-0.5689394226952859,-0.7847700558924537,-0.9165382562941305,-0.8062101382014091
SIDM00103,-0.5040176724249252,-0.738680725443973,-0.8497774787323592,-0.7742634961214706,-0.9246380466879596,-0.7247772432555728,-0.9442137235094437,-0.5554044862665867,-0.8709547750021496,-0.032125129476878005,2.3240185122633057,-0.7986463492830225,0.8765461561870056,-0.7537047311131145,-0.7049512001506142,1.3606975463261584,-0.7946521882028632,1.5982998535982063,-0.8549719750111858,-0.2756820711644013,1.4771266230468487,1.3393488227087893,-0.6387384506842162,-0.9386074131871398,1.2731141276347135,2.1562233022877053,-0.6492786352900103,-0.8405478643085601,-0.885752070746853,-0.8397488658089172,-0.8723192999102393,-0.5666967177655473,-0.7820331296125179,-0.7691125414372325,-0.4042469760340823,1.6145262502177598,-0.937998841326354,-0.7357209433811243,-0.7335315627056597,2.443566252914627,-0.6853490195046105,3.728604032543116,-0.8056190910725896,0.36575019537001346,2.3577220623358204,1.1966107145771945,-0.32664288476617903,-0.8511549869288678,-0.9032308490372432,-0.8374152120567109,-0.9529502480986278,-0.7987954970562944,0.42177131842209936,-0.9518141622589474,-0.940046199371975,0.025167307668631664,-0.7638614327281565,1.319050504339812,0.5169874595324064,-0.6019615293486564,2.859653318573004,1.640517635021438,0.32354747588486,-0.9089255143987076,-0.6718001025155634,-0.8100064188863388,-0.3875862553480194,-0.7149996798950765,-0.5146762037526937,-0.7756434530813229,-0.8182699399217394,-0.687627576375307
SIDM00266,-0.29869940892852187,-0.7793365138247981,-0.7215442000940089,-0.821611607496383,-0.9053032093079226,-0.7625376375434977,-0.862587542946882,-0.6308843334224804,-0.8227696388632848,0.3569805085359631,1.3095662699011361,-0.8283417039304367,0.7062116299192687,-0.688423664937046,-0.7375807523366853,-0.8366397616807433,-0.6910634489552832,-0.012533723495948326,-0.3384008476793809,-0.32820822969269353,0.968790814750388,-0.1307138727507034,-0.7213091070785927,-0.8929670960127659,0.8821421067508206,1.3778231393555398,-0.8136117237912587,-0.8148340798544589,-0.8972024279831587,-0.8912774148162452,-0.8612174626844602,-0.5907975434770865,-0.7926931963065753,-0.6854903321761104,-0.7853970854637333,1.046807904393501,-0.9652159618858713,-0.8013513590161238,-0.38548394037421735,1.627616334486582,-0.7361585838228143,3.4886724914879905,-0.842808844504028,-0.543660219369745,2.264134672262455,-0.7246853238400243,-0.6945217951117894,-0.9551040502249634,-0.8439050312879923,0.4673136068061718,-0.9419108518198558,-0.7937310943028407,0.941938595394833,-1.054017863185672,-0.9451345743921411,-0.17808736269553677,-0.7176477525122846,1.3629373334990487,-0.19721505012545693,-0.8784999681816742,2.2635325447355523,0.27571016831712136,-0.43495975458155317,-0.12510655933019899,-0.6374808783657351,-0.7782349710830928,-0.3696895716185509,1.1815748267732777,-0.6324523614093214,-0.8709410775601314,1.1977791937716853,-0.6311878975779397
SIDM01064,-0.2484178091728888,-0.732605944326476,-0.8280759801993426,-0.7078746423980904,-0.8419395665075634,-0.6706057112391728,-0.8090345317541426,-0.6137968240653666,0.3837054190490448,-0.7958088967322495,1.209568753886617,-0.8545935057250686,0.49916440224965164,-0.8604546120638095,-0.8288864661826276,-0.667937318319128,-0.7921440483883032,-0.730661416033451,-0.8129703626216489,-0.6818507265320368,1.1450227775055188,0.6696829957689749,-0.7026271434434503,-0.8899349114699858,-0.9387647363965176,-0.5431813803408978,-0.6280454941894017,-0.8316661775272737,-0.8954114719759686,-0.8345120406521807,0.18335384756784337,-0.615860413254957,-0.8232813408016001,-0.7351450489649145,-0.7591233345901603,-0.23313144217138207,-0.9351976906965567,-0.33577131766268087,-0.7395640198512876,0.9275137453301685,-0.7454782273242749,3.554030155527734,-0.6309773922132335,-0.9700364530931057,2.0927057028545057,-0.6449889488945177,-0.7432987552748739,-0.8489410906477759,-0.8498668154759287,-0.7561130513177687,-0.8983159632532142,-0.8716022726646382,0.52345534734536,-0.9850213335660212,-0.7721991156267811,-0.3345321417350764,-0.7473330404979546,1.187079652225721,-0.789041146937174,-0.7888709639136522,3.0250573482784473,-1.0060986940600265,-0.8991748061896326,-0.841332781228743,-0.5720111803308822,-0.6576369469771475,-0.6416339521020705,-0.8186423100449842,-0.515917617819349,-0.8712444832903755,-0.8212164603800876,0.8552306137604624
