,CACNA2D1,CACNB1,CACNB2,ADCY8,CACNB3,ADCY9,CACNB4,ADCY6,CACNG1,ADCY7,ADCY5,TNF,ITGA9,IGF1,RYR2,CACNG8,CACNG6,LMNA,CACNG7,ATP2A2,ADRB1,ITGA4,TPM2,ITGA3,TPM1,ITGA2B,ITGA7,ITGA5,EMD,ITGA11,DMD,CACNA2D3,CACNA1D,SLC8A1,CACNA1C,TNNI3,CACNA1F,CACNA2D2,CACNA1S,ITGB4,ADCY4,TNNC1,ITGB5,ITGB6,ITGB7,ITGAV,ITGB1,TPM4,ACTC1,ACTG1,CACNA2D4,MYBPC3,TPM3,ITGA10,SGCD,SGCG,SGCA,ITGA8,SGCB,CACNG2,DAG1,CACNG3,PRKX,PLN,TGFB2,MYL3,TNNT2,MYL2,TGFB1,ADCY3,ADCY2,ADCY1,ITGB8,TTN,ACTB,ITGA6,TGFB3,ITGA2,ITGA1,CACNG5,CACNG4,PRKACA,PRKACB,PRKACG,GNAS,DES,MYH7,MYH6
SIDM00519,-0.3915534843027527,-0.691001126582928,-0.8543822133728614,-0.8197097615542076,-0.4845805739212113,-0.3761925150605204,-0.9160620681576422,-0.3708795690060417,-0.6540811201921105,-0.7190695396731633,-0.8264178627985858,-0.5600337566519754,-0.8299001018324714,-0.8069700227069544,-0.8202151985270927,-0.5493845649198209,-0.7688048070315725,2.1480282229624,-0.7157624965123075,0.8592396318544177,-0.8407254323467821,-0.6821227591647605,1.1284163911760878,0.09205600190106576,1.4075087173871157,-0.6638353430631249,-0.4890758836666831,-0.33092384083229753,1.2861149367239002,-0.6213763632956402,-0.34621731667568073,-0.7387446381919069,-0.9267804143791178,-0.4087435367499114,-0.8599463753321505,-0.6731199220402921,-0.5919623709124651,-0.7935916790936406,-0.7536578846054568,-0.2631398660332098,-0.7573625113558111,0.847774882492689,1.3856967405957306,-0.6703264774870937,-0.665481587489008,0.0009008262244029427,2.086497938027983,1.778180135671463,-0.6724782508564707,3.765490955547292,-0.7946663096137327,-0.7611896086195368,-0.00525236377603938,-0.873784416947437,-0.9087283561592323,-0.8135061569335413,-0.8548541226067914,-0.7304007155354405,0.40504646275005995,-0.9279109537200317,0.32220606023343284,-0.7252436111037359,0.009070405730790947,-0.9624522494500669,-0.5502732194059194,-0.924244103651519,-0.6624309520990644,-0.7655024916566378,-0.7328772199613526,1.0890773088790928,-0.876292904812085,-0.6225659736773329,-0.4053639929168636,-0.7949066915875479,3.1301584994449243,0.6634384165166023,-0.8042327848341712,0.9110265201367456,-0.48995037754061055,-0.6797433361539624,-0.2988766119764976,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,3.0824770249581417,-0.4064722133559987,-0.822839390601478,-0.4349816799047846
SIDM00917,-0.23073419661021724,-0.7123680846377393,-0.6527597819459082,-0.736023673057336,-0.7428480336277032,-0.7262704888656341,-0.7490902821167378,-0.42718424679709555,-0.7120248906167009,0.49095225179449475,-1.0031337627221115,1.830999589279416,-0.27836192835523066,-0.7610539101750744,-0.8768934148787829,-0.600564992462109,-0.7863409840453268,1.606123243089582,-0.7062013830553261,0.2159415427739219,-0.28672108241959693,-0.7620170533924799,-0.4035644085433916,-0.6596355752874214,-0.3954390227121774,-0.7400576743919218,-0.7265277488181835,-0.4858524400225937,1.1965055233851183,-0.8030619125846273,-0.5570400714041164,-0.7036202883132403,-0.68834948379689,-0.7486964592947566,-0.8989352661310939,-0.6753492265528925,-0.6492499505738857,-0.8107589287136783,-0.7925092387689823,-0.7643712793779506,-0.6176678574062296,-0.5253483369409415,-0.17873638705210945,-0.9103041864323191,0.4798854354507409,-0.9024899812836101,-0.5999323053013581,1.4018668862550434,-0.9654988323696737,3.4423811707248406,-0.7271605268252077,-0.7889413892991317,-0.2229392020940833,-0.9001908952543967,-0.88565313355032,-0.9526595728587768,-0.7808148209430327,-0.8420425537598755,0.25908663825453065,-1.0420590782612036,-0.3541575887950316,-0.5740681459382636,-0.0030871924810914725,-0.968792430820436,-0.7962043363591329,-0.7121984183401213,-0.8718434795355956,-0.5708504543953569,-0.05252370331954249,1.1120563915100519,-0.8639147417245175,-0.7424661071244673,-0.8029778385870237,-0.632303234098117,3.1127066181298892,-0.9011456893296703,-0.8931751692380971,-0.8417244183819581,-0.7825082185449326,-0.6258112383339456,-0.6593892331323882,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,2.997911791706883,-0.48965112902738417,-0.7374797192665867,-0.2878199153302258
SIDM00309,-0.40722974543797164,-0.7721170460291674,-0.9022083260010233,-0.8095859802542961,-0.6608739000724695,-0.03929455467457163,-0.9013629760216975,-0.4091885176566541,-0.6488102756775784,-0.7092400268259906,-0.866293312010003,-0.8252947442022723,-0.8870712218535854,-0.8123720685046184,-0.6493403347052716,-0.6491288319671399,-0.7927884375947349,1.9264024329055842,-0.7627239553152962,0.9596384616930871,-0.6747860458716168,-0.8757329080998536,0.974783192832822,0.5519547682780463,0.5573754189491604,-0.8281095488093168,-0.49269661136805004,-0.5199211986086799,1.2749186496487641,-0.7197482817177382,-0.15637075500229924,-0.7599588596237107,-0.892140631001195,-0.8430195065136842,-0.8985738596381093,-0.7911569926622486,-0.627145881601741,-0.7753701767717505,-0.7115613422902661,0.17195164031638707,-0.7225668182173891,2.2505539783203847,1.5134434780188968,-0.689643199389786,-0.7446717730834719,0.02318201200707048,1.6650003876070572,1.994580347261951,-0.8918296381179733,3.6588408169077304,-0.79704614490906,-0.6602411927137595,-0.32402259701727515,-0.8887559795583783,-0.8556106462149966,-0.8743480109985591,-0.9127835981763843,-0.8746273567587348,0.6049459217401895,-1.1052769586730586,0.5595013555281001,-0.9025698401336252,-0.3506946920234881,-0.9766002134843338,-0.9214273137731334,-0.5792623814595758,0.08369301665150929,-0.8320432949923473,-0.398022946651397,1.2981620284639448,-0.8882832658521452,-0.6919039205970113,-0.7682747172242385,-0.7587692052824981,3.0413373217260644,0.6355730277905758,-0.7927969404487873,-0.3674746452568075,-0.9337024268887193,-0.4963310314637459,-0.7597556834094003,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,3.23694400189608,-0.5468244131426409,-0.823653191088552,-0.5535356304020488
SIDM00099,-0.3993794699507153,-0.6974250872579655,-0.8297718891123789,-0.6498613700267414,-0.7028852405760161,-0.18517704180743702,-0.6789177529919744,-0.2576992610259169,-0.7492969460190118,-0.4458734750819432,-0.7281494818796146,-0.8381578425807334,-0.8773244183236929,-0.8420840144334021,-0.8705724044312186,-0.6081253783654046,-0.5335714118547047,2.268892969106227,-0.7961521423575978,1.0827085160579375,-0.564149300984485,-0.7158013375438856,0.915447765814196,0.015888038036170272,0.8406536581444766,-0.752799794549346,-0.5360501790971077,-0.3075029035047259,1.3603279289806451,-0.5310547381218049,-0.6511348423710044,-0.7362786243172026,-0.8726638848981728,-0.7545522973836538,-0.8819801281143722,-0.6343159326664101,-0.6300371130952537,-0.8949452473200465,-0.8934494623745697,-0.29558437689098105,-0.9230177894996229,-0.6624705378600525,1.796034740393581,-1.0222142965708962,-0.6637093158772014,-0.33164264619797185,2.1164613662544722,2.2581096440785347,-0.7596182570292054,3.6956251491267103,-0.7827193672388743,-0.7655900689825423,-0.38513212864213814,-0.6198450791306085,-0.8145557774612995,-0.8786109258404903,-0.8570145144958808,-0.7653986708698698,0.6140957138728081,-0.9481602067409723,0.09626229546308235,-0.7375741543141161,0.24545625125314027,-0.9511482223947919,-0.08776125432368843,-0.7794924265477501,-0.5034417724757386,-0.9124838324086932,0.3631753301796315,1.1497249312574733,-0.5990377147306057,0.4569788463465034,-0.6350100546246159,-0.6897486964201204,2.9799974161351592,0.7397001617541373,-0.8431826104721083,-0.002309770087660232,-0.9369636631996553,-0.5129510091315191,-0.35379744341644953,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,3.400105283773008,-0.47269272413277696,-0.7223793275693872,-0.7734517880488895
SIDM00276,-0.3422305520383572,-0.711255626129326,-0.9292895817357918,-0.787935756460015,-0.7092430071927941,-0.5225389598422249,-0.9379070591895857,-0.3121261130971343,-0.667492613371543,-0.4374733797239699,-0.9070478476260756,-0.7093612735075637,-0.9396989825035806,-0.8100300141193602,-0.8816824494142521,-0.692832227868967,-0.14353418553975142,2.09055820400615,-0.7529850645794294,0.5786476557236497,-0.6188630196253097,-0.8481755148207543,1.0205192470312476,0.13496732555923086,1.1863231539624775,-0.8348124793165309,-0.6151191786270258,-0.6117966547702302,1.4753070913487636,-0.7262445740658572,-0.6840502772365037,-0.769439559227453,-0.911619553627882,-0.5565844626301767,-0.9475335632409008,-0.6313065308074185,-0.6528849787401175,-0.8831414875525175,-0.7232178654711192,0.10439188977784487,-0.6108730396463931,1.1954879466030894,1.6682914628414856,-0.09822908646888183,-0.6907687720304181,-0.25759247262240875,1.9783318848585798,1.7036198044374,-0.9001964563338036,3.7314976282726335,-0.8695500863947576,-0.7663721162588613,-0.3176043086729943,-0.9021664547851839,-0.8724962944737966,-0.9238227432652867,-0.9215693716243848,-0.7984839721774005,0.18318758281344055,-1.0558091582621054,0.32251358374617073,-0.7230671310891835,-0.13406283809776876,-0.976052575008884,-0.5075501905398743,-0.7703110482058652,-0.902399863607151,-0.8861007793774383,-0.48433843117361014,1.2370817294319385,-0.8543191801528256,-0.7197081432223705,-0.390223295025274,-0.7535912878261322,3.189163461947727,0.669787471935834,-0.878878674651359,1.151069661995485,-0.8042153038819799,-0.7185563701514897,0.03668516376636779,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,3.3563369398163165,-0.4104045716980178,-0.6823217224714805,-0.663378895250653
SIDM00311,-0.5111957196285999,-0.6672459023058581,-0.8809611125668354,-0.8338650298806419,-0.8176323588998518,-0.2018835395922187,-0.9406315034166496,-0.17004751774736446,-0.7250603314452047,-0.5707866226762848,-0.6634210375995113,-0.7630319113703132,-0.880303578755901,-0.8127392125710633,-0.865999362026393,-0.5125477654469327,-0.7142890113578361,1.780310633552349,-0.797844327925898,0.6644975619990958,-0.7982145518109667,-0.07085414906357987,1.746778571062431,0.43737174990329863,1.389763590297112,-0.6887818765640178,-0.6954663457559017,-0.3010232943691933,1.391351645282661,-0.5852171011960592,-0.0569414023564414,-0.6109227757244672,-0.9071954875508508,-0.6103844749735715,-0.9109247693103822,-0.6663639130916938,-0.6484544999160443,-0.803857071890477,-0.789517563182541,-0.8219410774145588,-0.8024440377522937,-0.7157261662834367,1.8778594952628878,-0.9082468169473575,-0.7087395077694401,-0.28451586249452937,2.109828675533141,2.0691030237321777,-0.9006688772989416,3.7180542573840034,-0.8314273939942874,-0.824565800906777,-0.3382673124598491,-0.8494940897936895,-0.8743236890568893,-0.8690725044355132,-0.8727452090806002,-0.8568766925778432,0.7023879882969024,-0.968418672843837,0.20528252196813895,-0.8650506202677345,-0.43949852066979184,-0.9232888508535142,-0.46941732480073955,-0.9782898496405438,-0.8491727914488179,-0.7096952696945884,-0.13474756891173795,1.4867196035450856,-0.9197123081666504,-0.4839696158533931,-0.5991147373797197,-0.813989311364052,3.0285771558650887,0.6641523656689027,-0.8596516129349381,1.2717110425248945,-0.6735303475603186,-0.688650187758457,-0.45322462561650534,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,3.3097942154221136,-0.4738747906085353,-0.7352050580120044,-0.5128212581276824
SIDM00970,-0.5688131928301128,-0.7287321400143956,-0.8783248909687317,-0.6906937174444193,-0.608451391100944,-0.7448599744154192,-0.9277647448714021,0.0016497048016924222,-0.7632833281098538,-0.7010909604646125,-0.8502856930618422,-0.9528144348089674,-0.8737798552778344,-0.7702518987849236,-0.9293387037806685,-0.4535406822578905,-0.8678111296912844,1.989851290430051,-0.7207381463675375,1.0137500368866244,-0.7056062036186458,-0.8483730809648506,-0.4280392427304721,0.1768469821509556,-0.1288426102687718,-0.8561637026276979,-0.7229292080169238,-0.6538652974758378,1.1129793779354322,-0.7129821386080933,-0.780727259968647,-0.5981657388308415,-0.6532647387976468,-0.6399737675328219,-0.9687990573362196,0.18573408492552307,-0.6040073971420742,-0.7976654463027388,-0.8084663223505886,0.06350888779199039,-0.7460463355224911,1.5620495676331614,1.372217963432028,1.0643107874075661,-0.5950328498261548,-0.24391583092028785,1.694698650979929,2.0950105746089824,-0.9761248750969378,3.740781327271597,-0.8058794963006214,-0.7331817984490607,-0.06999964916926125,-0.8121277627892138,-0.8685667380924583,-0.992413800495176,-0.9491214589056743,-0.8495280016857213,-0.14331745681699323,-0.9196026567168982,0.24531033928985446,-0.7274852931378539,-0.0036272333850462333,-0.9094715652280027,-0.9062378848792261,-0.9790131430924022,-0.8298435059222842,-0.8087801062004353,-0.24560597450788194,1.1609521373897784,-0.8810710387313534,0.8377013906306389,-0.7199015517929959,-0.7046695727189229,2.8398138701074793,1.593128444132788,-0.862421172009199,0.43105352101918515,-0.9553041572232343,-0.5375022539358938,-0.2087585771201274,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,3.230436858915878,-0.5689394226952859,-0.7629789207597116,-0.5314263557897543
SIDM00103,-0.5040176724249252,-0.738680725443973,-0.8497774787323592,-0.7545610996114599,-0.7742634961214706,-0.24442607537513414,-0.9246380466879596,-0.4929876868343497,-0.7247772432555728,-0.42275532301870344,-0.8117901204860103,-0.7985828210686804,-0.9442137235094437,-0.7969174172790026,-0.8709547750021496,-0.5554044862665867,-0.7986463492830225,2.3240185122633057,-0.7537047311131145,0.8765461561870056,-0.8533994615433605,-0.7049512001506142,1.3716438092289547,1.3606975463261584,0.7850831253781718,-0.7946521882028632,1.5982998535982063,-0.2756820711644013,1.4771266230468487,-0.6387384506842162,-0.6492786352900103,-0.8405478643085601,-0.885752070746853,-0.8397488658089172,-0.8723192999102393,0.29295843104556374,-0.5666967177655473,-0.7820331296125179,-0.7691125414372325,-0.4042469760340823,-0.8249554116357566,-0.5576325074136588,1.6145262502177598,-0.937998841326354,-0.7357209433811243,-0.7335315627056597,2.443566252914627,2.570967502356757,-0.8453229070474982,3.728604032543116,-0.8056190910725896,-0.7967835685517944,-0.2830885737627439,-0.8511549869288678,-0.9032308490372432,-0.8374152120567109,-0.9529502480986278,-0.7987954970562944,0.42177131842209936,-0.9518141622589474,0.025167307668631664,-0.7638614327281565,-0.141904177810424,-0.9753407958635488,-0.1489624022248841,-0.8334292355476325,-0.7433471002482634,-0.781010651896609,-0.5518795733650771,1.1816378700321182,-0.8645975638065646,-0.6664243563686305,-0.6019615293486564,-0.7741890283555821,2.859653318573004,1.640517635021438,-0.8756849230558732,0.32354747588486,-0.9089255143987076,-0.6718001025155634,-0.8100064188863388,-0.5592154262132353,0.319056458936254,-0.7280524335108798,3.2486743295430394,-0.5146762037526937,-0.6178473518759606,-0.5230435670407566
SIDM00266,-0.29869940892852187,-0.7793365138247981,-0.7215442000940089,-0.8383722459025567,-0.821611607496383,-0.26475644225969447,-0.9053032093079226,-0.269054779103005,-0.7625376375434977,-0.7230544883647042,-0.7695400954168218,-0.6886728367980001,-0.862587542946882,0.3009426408206368,-0.8227696388632848,-0.6308843334224804,-0.8283417039304367,1.3095662699011361,-0.688423664937046,0.7062116299192687,1.7250301500373004,-0.7375807523366853,0.6611965297607392,-0.8366397616807433,-0.43470749733049163,-0.6910634489552832,-0.012533723495948326,-0.32820822969269353,0.968790814750388,-0.7213091070785927,-0.8136117237912587,-0.8148340798544589,-0.8972024279831587,-0.8912774148162452,-0.8612174626844602,0.8587383022105924,-0.5907975434770865,-0.7926931963065753,-0.6854903321761104,-0.7853970854637333,-0.7790981750231987,-0.534435265393953,1.046807904393501,-0.9652159618858713,-0.8013513590161238,-0.38548394037421735,1.627616334486582,1.6838969767343108,-0.8747636683230126,3.4886724914879905,-0.842808844504028,-0.6986652545984903,0.330469296555627,-0.9551040502249634,-0.8439050312879923,0.4673136068061718,-0.9419108518198558,-0.7937310943028407,0.941938595394833,-1.054017863185672,-0.17808736269553677,-0.7176477525122846,0.33201053192936386,-1.024776207197121,-0.8524898453995975,-0.6362253207607231,-0.9310165360558182,-0.8402903158844421,-0.17615706719771163,0.9219132995513944,-0.8875121490756173,-0.6623390878355583,-0.8784999681816742,-0.5584569387205723,2.2635325447355523,0.27571016831712136,-0.6472016918770039,-0.43495975458155317,-0.12510655933019899,-0.6374808783657351,-0.7782349710830928,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,3.306362028489332,-0.6324523614093214,-0.764146591798814,-0.554373879046253
SIDM01064,-0.2484178091728888,-0.732605944326476,-0.8280759801993426,-0.7328274176960781,-0.7078746423980904,-0.251120669100297,-0.8419395665075634,-0.66266757633644,-0.6706057112391728,0.2807882806754634,-0.7035891690409853,1.2615577021538715,-0.8090345317541426,1.0895075749060357,0.3837054190490448,-0.6137968240653666,-0.8545935057250686,1.209568753886617,-0.8604546120638095,0.49916440224965164,0.4608979698523928,-0.8288864661826276,1.5488386432364085,-0.667937318319128,-0.579167961273732,-0.7921440483883032,-0.730661416033451,-0.6818507265320368,1.1450227775055188,-0.7026271434434503,-0.6280454941894017,-0.8316661775272737,-0.8954114719759686,-0.8345120406521807,0.18335384756784337,-0.7811848764180859,-0.615860413254957,-0.8232813408016001,-0.7351450489649145,-0.7591233345901603,-0.27055712673893534,-0.5590350185147003,-0.23313144217138207,-0.9351976906965567,-0.33577131766268087,-0.7395640198512876,0.9275137453301685,2.1584764448490668,-0.9166677715658004,3.554030155527734,-0.6309773922132335,-0.7438766326798354,-0.27260482846867734,-0.8489410906477759,-0.8498668154759287,-0.7561130513177687,-0.8983159632532142,-0.8716022726646382,0.52345534734536,-0.9850213335660212,-0.3345321417350764,-0.7473330404979546,0.1056745475013724,-0.7515906626617476,-0.8588586741547825,-0.8020746636634801,-0.8416544828892777,-0.834811026614557,0.06787615621053905,1.6605406835355598,-0.8710000108144892,1.2536498824211928,-0.7888709639136522,-0.5123881224051419,3.0250573482784473,-1.0060986940600265,-0.8664130507518361,-0.8991748061896326,-0.841332781228743,-0.5720111803308822,-0.6576369469771475,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,2.595688350816121,-0.515917617819349,-0.8776788620201819,-0.3945479523912369
