,GGT7,CSAD,GGT5,GAD1,BAAT,GAD2,GGT6,CDO1,ADO
SIDM00519,-0.5593965332280869,0.5099048291083589,-0.5740919246951359,-0.34603594329631365,-0.8201261123722164,-0.9743958025023094,-0.8343104027998501,-0.9801050319784077,1.4492306642925001
SIDM00917,-0.687921036613258,0.6002068391863568,-0.7234885363061568,-0.7584036041928812,-0.8449836690834798,-0.8644450153228179,-0.8740583990448163,-0.917703224298292,1.6589382054653492
SIDM00309,-0.5614944798026479,-0.05169931091704244,-0.694463683700607,0.5781935862445545,-0.7712369127028784,-0.8918326296997277,-0.7838587120821718,-0.9504359087217223,1.1167998624481756
SIDM00099,-0.8567819040176885,0.6637744260479916,-0.7814544783239226,-0.07897458795191185,-0.7939980112949907,-0.9150868201531409,-0.7951426603546748,-0.9992702403778008,1.6507422724119045
SIDM00276,-0.6541955670525608,-0.22757252069097075,-0.8151339910042457,-0.16781939639631047,-0.8827955315729019,-0.9077661115840937,-0.8121539048929157,-0.9695969000691481,1.1095745244188928
SIDM00311,-0.6628220083622929,0.5235840504204581,-0.5524660092369904,-0.5431207954389837,-0.8809476116538619,-0.8894264826667805,-0.7975508766031535,-0.87869435206855,1.1721634105788987
SIDM00970,-0.4276842354837111,0.09983566613688091,-0.8342246479199757,-0.2791871913119201,-0.875397932640701,-0.9212351900009538,0.5579703961530522,-1.0169342891325681,1.5146786566813686
SIDM00103,-0.7427785220057906,0.2575167889298247,-0.7734731552605199,-0.38385892519082304,-0.8184971891094295,-0.9443267995857301,-0.7851882209586099,-0.9144621228431226,1.5263338641024708
SIDM00266,-0.3391005541178608,1.0199258346537137,-0.8493928799532559,-0.7313544410521599,-0.8776623930127113,-0.9124655952639844,-0.8253513482911672,0.1944965892791491,1.7418134787562556
SIDM01064,-0.7170959996877528,-0.17885673773158134,-0.7778829640076794,-0.3734773597679325,-0.856570146195206,-0.8722528493409409,-0.7853641747264509,-0.8982521421558173,1.374087281653215
SIDM00098,-0.8028782940642295,0.3492317920301437,-0.6545115362321577,-0.4790961111595918,-0.8561744578800268,-0.8892271296168526,-0.8062999732249009,-0.9233144896306025,1.0256435482363269
SIDM00225,-0.03161440484669337,0.27634941901070803,-0.6485413867854345,-0.06669316510104108,-0.9393382216405459,-0.9181196497991891,-0.7935794662583378,-0.5737226513516696,1.391386671246712
SIDM00846,-0.5206338619296136,0.5036888964038283,-0.7999323929240866,-0.5652376962845864,-0.8278441961788279,-0.8868535480891232,-0.8103653877170968,-0.9156704493365773,1.2571680260342992
SIDM00291,0.3376068787294809,0.5879315185645864,-0.6802148242862451,-0.130756033266215,-0.858007446158582,-0.954769292840023,-0.7804765549853188,-0.8131463131594405,1.706265177170771
SIDM00520,-0.8842372065848552,0.6122106001985423,-0.872726014227195,-0.05382291936633478,-0.8479149679264334,-0.946191190764725,-0.8429684185709918,-0.9485504263371441,1.3890338119305365
SIDM00003,-0.5202400986467949,0.4446946465701891,-0.9323752174839106,-0.37947258454717137,-0.8480338951346746,-0.906348270024369,-0.7859064273346142,-0.8633217192743287,1.3530988478123052
SIDM00136,-0.7102637132489444,0.9005595636176259,-0.8640937225273901,-0.1039091541163515,-0.6947358373145922,-0.9060788584472268,-0.2928895991108738,-0.9668914621226679,1.323091950951457
SIDM01155,-0.2904279859043558,0.3755006146884948,0.005013561812794315,-0.785642781231814,-0.842942381950179,-0.8216176167000384,-0.8693379958484334,-0.6102994694255957,1.4573229103042882
SIDM00224,-0.6944660074297502,0.38049376193347473,-0.789754094196088,-0.49400240760408276,-0.8067162334193448,-0.880329817759466,-0.7665933953885269,-0.8568769011807602,1.5290580389434092
SIDM00783,-0.5961507115883916,0.7366375275158152,-0.7613630781891276,-0.10010230100024739,-0.8838577791885268,-0.9078444865486891,-0.7914281103116827,-0.9927859492884062,1.66374502278922
SIDM00490,-0.4743173304252331,0.37304040594972915,-0.8946397806452867,-0.4364731439517151,-0.8624632926878588,-0.9401429556338469,-0.7590847495756927,-0.8200635846470775,1.6644596445013198
SIDM01090,-0.8093049983061873,0.3538020317184801,-0.7254403269302203,0.03303098896904819,-0.8344883262540161,-0.8588853944040088,-0.8696779126291228,-0.9348551497527424,1.4837086780072901
SIDM00394,-0.7721896906987035,0.2869137897310668,-0.6854298816185463,-0.10953973651703486,-0.8176608953966679,-0.9451159616371738,-0.8079559894084708,-0.9354686937884552,1.2706477833330954
SIDM00538,-0.13164297881323617,0.2158192433238706,-0.7248577188078145,-0.6363141176828502,-0.729608711171666,-0.8003212163975114,-0.7084536296541338,-1.0108754779547011,0.6984367020056622
SIDM01140,-0.45098679228056365,-0.5484063131336754,-0.8080868592997511,-0.20203879450851878,-0.8907893901980752,-0.9180480058573002,-0.757012168354517,0.8174767726690411,1.3979498154242267
SIDM00101,-0.6082066689049144,0.6742998091021537,-0.8296905634813249,0.11066239550320099,-0.8531057703251295,-0.9792877114063543,-0.8161523783188224,-0.891643514068362,1.4222541491552394
SIDM00114,-0.5590447916607716,1.18198563890637,-0.5736788320864388,-0.30400860300626725,-0.9135318259253123,-0.9257170154033542,-0.8109537915498874,-1.0700568888690283,1.003348443158772
SIDM00102,-0.8035920986068383,0.8507492948021829,-0.7189402355446564,-0.6999682919996478,-0.8300970495860662,-0.9754200934240925,-0.7868048636739088,-0.9784598851174812,1.1096953769146396
SIDM01122,-0.38628651225950256,0.05425136535196126,-0.8261333203661083,-0.8014832080078756,-0.8233172761639089,-0.8782643634653803,-0.8492588988088621,2.0170316939401367,1.0738229020185752
