,TBPL2,TAF2,TAF4,TAF7L,TAF1,TAF9B,TBP,GTF2A1,GTF2B,GTF2A2,TAF11,TAF12,TAF5L,TAF13,GTF2IRD1,TAF9,TAF10,TAF7,GTF2H1,TAF6L,GTF2F2,GTF2F1,GTF2E2,TAF4B,TAF6,GTF2E1,TAF5,GTF2I,TBPL1,GTF2H3
SIDM00519,-0.8850516830930364,1.1945532843966002,1.0629620625552834,-0.7810290437868762,0.2403838036672014,0.3866227021413652,0.6508708390133853,-0.645643584001374,1.4804026373561219,2.0211360973455226,1.1538409958810802,0.6970687432274159,0.8485424221867456,-0.516221631903804,1.4471563492684119,1.8829977613936197,1.8220986409053215,2.646420668036709,1.5311693272027038,-0.5161122596813289,1.8114763989427793,1.1744132261471634,1.7459265808892352,-0.8958436317780876,-0.4822176980828254,-0.1596006461620817,0.45743371854341036,-0.5227435533051649,1.2249828217608125,-0.14964073441320472
SIDM00917,-0.7721894241168966,1.2373370068570098,0.7612434606561147,-0.7537119274279778,0.13177952375166033,0.5342265423059573,0.6134780507012342,-0.4048773555938943,2.153293971239222,2.2834726369326335,1.0792569333690274,1.3570287844351605,0.5328285665267415,-0.49342432190881985,-0.4151956555584695,1.931406674830782,2.545497695642729,2.3600969578986604,1.6992981014560518,-0.5612542911010286,1.7045910287826767,1.08100016431151,2.5106729764836393,-0.13824358268867282,-0.4420193837538469,0.3885571102334384,0.38988652061381424,-0.9142737970165774,2.0168165952467088,-0.04159130903555522
SIDM00309,-0.8855866867910738,0.7817031584195845,0.8126163810106698,-0.7007855865283498,0.2662837893808662,0.4408950009376571,0.5052178836017189,-0.586683688579632,1.5177515177732126,2.0264807213078924,1.1686721774356,1.0509041786689723,0.4623758147896174,-0.6559747184579476,1.1764923668605503,2.1263805733957297,2.471916122016267,2.0770209109380957,2.057699396391733,-0.4360508454025485,1.9605184502889519,0.8829970551093006,1.6787787327297932,-0.7047093577964195,-0.6663760862956613,0.1448426956962021,0.384814085449095,-0.8725844609069673,0.9559399885495639,0.07218679096621436
SIDM00099,-0.9396736779485432,1.224612330378216,0.7898270744147686,-0.7157238643455308,0.6157947346246562,0.5010008437620533,0.6113940393029874,-0.3793071716028654,1.900801059918329,2.0056876647013784,0.9012089140173599,1.2128871743923353,0.7063163534396824,-0.0401448921520239,1.4015331894728706,2.2833946379385117,2.4411970828957092,2.536318653049097,1.9339140976766966,-0.6771977574099007,2.1591105632809793,1.1094168212306197,2.1751835470068523,-0.3368904372645069,-0.12742791023166974,0.055898641544260275,0.3792523769717283,-0.6698869524382938,0.9683594238931535,0.10669044007991672
SIDM00276,-0.8282153833878572,0.638515507797918,1.0097196230211443,-0.8091078886369465,-0.1220645011608739,0.2337938227837133,0.7269916523125667,-0.5379188381308387,1.888917873319529,2.0686613807588303,1.282713960359292,1.5663461866552977,1.2155928583333504,-0.4954347369425946,1.394414344839843,1.6639719987421941,2.3747257207349106,1.8251989165058065,1.2061038587676962,-0.416631724496469,1.4550317478042911,0.6649965232180577,2.1740553648380856,-0.7923412398740604,-0.21147530776116097,0.04397004374172313,0.4621388268271054,-0.9503570508189755,1.8452055013679394,-0.060456771150890015
SIDM00311,-0.8497633355735228,1.2685750175486843,0.9422190951860422,-0.6795720619408095,0.24848782946577672,0.41426398748940946,0.8362519636998306,-0.3961148754905566,1.787649807766595,1.7388868201052345,1.3530293153559994,1.3418772484363946,0.8102180942249044,-0.2332295626200939,0.9451378287185739,2.153094548652572,2.3795004092453076,2.2687046383414926,1.791984501418391,-0.5571200090247201,1.5720400960961185,0.9226208687757127,1.9484248125580637,-0.644964244210799,-0.35521351502980686,-0.08207744619642718,0.6550255536687768,-0.7514967494290468,1.5410044856200298,0.06297358559582479
SIDM00970,-0.8098056307349645,1.1567142313728027,1.3813460686963832,-0.6654870114404068,0.46864374767676686,0.6507279090983785,0.22781593815511883,-0.6354004497619468,2.200154264896959,2.0776659451226824,1.1507120932281243,1.1493564764548179,1.0288275589924643,-0.6447172279767036,0.8362939344736637,1.3759806133090962,1.9462119588049922,2.066504240835247,1.3438483192143937,-0.6256941132884664,1.6311585303434613,0.6873322861220841,2.169123031531649,-0.8908612544906847,-0.28219363861946356,0.0670368352644723,0.25597602658419766,-0.4535406935412458,1.5815465490602028,0.33329703661864757
SIDM00103,-0.90518887912782,1.0967324563123737,0.728195263611429,-0.7682901201809087,0.2445745217772722,0.3208890556447227,0.5496222425744416,-0.5835578264280876,1.3626757590379917,1.912812163979982,0.6182829651215231,0.8673652421873751,0.5931645432658027,-0.28515566521354146,1.6186344305698592,2.168890149287641,2.3153203885327454,2.6708883666301766,1.7259881271761708,-0.5922222568650136,2.2071477297903246,1.0999120173336234,1.98964166914429,-0.5059857587793528,-0.1828324084947618,0.007464633809771899,0.20881710677013698,-0.5987927149151874,1.2996881861331555,-0.22104100885922548
SIDM00266,-0.8327254741735661,1.13900581896512,0.8929112109953202,-0.7533130337385208,0.5067653524415925,0.5785951548947315,0.7029472282106706,-0.36175889313302895,1.7719337071533465,2.2229171543688153,1.128307260346818,1.360306571232211,0.23182633628126068,-0.2541421541374829,1.2980280726992028,2.2242488217245056,2.5060821269465485,2.1719238121770745,1.5641534678177897,-0.6045298363412872,1.995918912947985,0.9613435858801987,2.3575003522182683,-0.3316646308924956,-0.13593222221612947,0.1738956268358823,1.0139209748598788,-0.8266038035906172,2.280042006230586,-0.023343299321042354
SIDM01064,-0.7713311514032821,1.700947625937684,0.49480349010515673,-0.758078902683186,0.22674581673262276,0.9686501590433674,0.653114272873939,-0.46631956795885854,2.2104412418287454,2.2350492373510082,1.0809737434080113,0.9311544487017653,0.7586140723786307,-0.5227755563669433,-0.9371194338373254,1.8994596941011526,2.4120986685740853,2.112025108606663,1.3496591465686054,-0.4446200084489975,1.9545719915435709,0.7484610034151059,1.8262046698034657,0.5159535680438533,-0.305891228798232,0.441379761714576,1.1200385408869211,-0.6394467569879647,1.6735946248947229,0.027504996109570384
