,RPE65,CYP3A5,UGT2B28,CYP4A11,CYP3A4,RDH8,DHRS3,ADH1B,ADH1C,ADH4,ADH5,DGAT2,ADH1A,RDH10,CYP26A1,UGT2B11,CYP2C9,AWAT2,CYP26C1,CYP2C19,CYP2C8,CYP2B6,UGT2A3,CYP2A13,CYP3A7,CYP26B1,DHRS9,DGAT1,ALDH1A1,RETSAT,RDH12,LRAT,DHRS4,CYP1A1,CYP1A2,ADH7,ADH6,UGT2A1,ALDH1A2,CYP3A43,RDH16,UGT2B10,UGT2B7,PNPLA4,UGT2B4,UGT2B17,UGT2B15
SIDM00519,-0.8944843330893194,-0.7241817474445538,-0.82031647201751,-0.614436203822954,-0.8964939900580688,-0.8544331450175087,1.2979434181114806,-0.8639936704632867,-0.8865377809181778,-0.9246894509836264,1.4931135479183482,0.00454544685840353,-0.8972642907709713,2.43545851048659,0.8545530225658008,-0.9668374874718498,-0.9006245067195148,-0.7878377636209278,-0.9126250779181106,-0.8216669352747868,-0.9642306991770149,-0.7404426594290838,-0.9755920119544125,-0.6992051415855728,-0.8884159421327231,-0.6425934029069958,-0.9153073256292162,0.8871601569793962,1.1191892284661606,0.43706230115177025,-0.755352716903987,-0.8832665040128149,-0.6048764847080348,-0.969541526190708,-0.8595976412251743,-0.7999371153626388,-0.7747153403065632,-0.9042632837709682,1.279981071625841,-0.8983061797306987,-0.7847057782411566,-0.8136425030719703,-0.7881922421034362,-0.45258564935494267,-0.9822907899181706,-1.0507368802864394,-0.8346090656911848
SIDM00917,-0.921417861504883,-0.8598181344526225,-0.8003932286815031,-0.5484942115618944,-0.8848248680807167,-0.8692069804860314,-0.7625945167063347,-0.8668439199695565,-0.8150553637703514,-0.9204021218444922,1.1455941180254978,0.2574018334800434,-0.7725774738490442,-0.3454340390220791,-0.9086586772566398,-1.0244361502091766,-0.8335405051421858,-0.7305202258842067,-0.8417562424484731,-0.8825989147505446,-0.9696361074706138,-0.3256711244786066,-0.9296821275975992,-0.6116419740811443,-0.8658670022914701,-0.8515479103049748,-0.8300854341588794,0.29892203511652904,-0.37836887764603866,0.5541300745057778,-0.9211101770928296,-0.9653267796892143,0.13339368317666458,-0.8864913934596663,-0.9408739339991185,-0.8820351704267511,-0.748018008523109,-0.8555782531987597,-0.8900142364705513,-1.0292294831130941,-0.7091980289618645,-0.830892609094296,-0.7401498117258457,-0.43216493708897413,-0.9102517800415708,0.1910455290305892,-0.7194089580653549
SIDM00309,-0.873319903180608,-0.5774843599937453,-0.8070125815292547,-0.6962775749869374,-0.8506540475801644,-0.7382070238897347,0.9625595109199598,-0.8887183344914309,-0.8245196013651369,-0.9403106886783873,1.553993935262898,-0.06893581049527035,-0.8872896747363866,2.586086691470336,0.49337867232004345,-0.9345691724377109,-0.853730703507499,-0.7078745526752417,-0.7398885234277345,-0.8882208189352758,-1.0566298863596728,-0.7610376306989808,-0.9423795121048735,-0.664168338686729,0.1344599281340213,-0.7010292160079187,-0.9525139787533068,0.20130875620216532,-0.7680688198131682,0.6901176740115681,-0.960588436548253,-0.9240981719488184,-0.6707291087426428,-0.874664436430996,-0.8757767662587655,-0.715599381672713,-0.8766172495321594,-0.881424689446013,0.8859711469104412,-0.995695942975797,-0.793887051997797,-0.9799512328916787,-0.8086807680226303,-0.38115885343760053,-0.9434718914778469,-1.0158685466878936,-0.9107215858057593
SIDM00099,-0.8785993245184083,-0.572180233211101,-0.7239348108304712,-0.6465783724065638,-0.8660326053873985,-0.780279465401527,-0.7453167077117463,-0.8269146587852985,-0.8621557082615988,-0.8854880254952894,1.8193570674188622,-0.5870051143622677,-0.987828231416663,1.1072320152544846,1.7301083656616925,-0.9503559895003176,-0.8882618079268578,-0.6750731831455956,-0.8063013558993857,-0.8424703966672882,-0.969858263118518,-0.7629991028964965,-0.9172709158309721,-0.6362357163284106,-0.629298766503107,-0.6631105738145708,-0.9353904372455084,0.5659663061879991,-0.6731055139231523,0.8543516385749306,-0.9289396724489752,-0.9901797300838548,-0.23519503979959705,-0.9285652822132329,-0.8374298576385106,-0.8670489196765222,-0.7927259969301272,-0.7894889988141145,-0.8441327302180736,-0.8107043570410777,-0.7509582965840433,-0.9314442936494274,-0.6452563150686119,-0.2864972897180197,-0.9512975048674717,-1.0250560029306743,-0.8647849849280048
SIDM00276,-0.9389862690552392,-0.8522776311852674,-0.683542219825438,-0.5956059660062517,-0.9357303584382178,-0.7233780284314533,0.5519833683023473,-0.8155535563952719,0.057271847344521606,-0.8909251959568735,1.2484476224471972,-0.3940173271521299,-0.8283695572375359,0.4500472372836496,-0.8686516476781011,-0.9824906556451823,-0.916286885202106,-0.7307045816235556,-0.7809748534975269,-0.8466304145569195,-1.0045235933440069,-0.7646634462618472,-0.9703098908795459,-0.7078383412649436,-0.8892562751570464,-0.8794129887212089,-0.8487881983129214,1.1492920400983584,0.7685418951329164,0.3250409248839926,-0.9335503984403553,-0.7546344860141372,-0.09761696833979987,-0.8213774436822636,-0.8950896749445737,-0.8872468249286143,-0.7580648031074187,-0.8626312100008882,-0.9081661098196628,-0.9546795304512699,-0.6786488586644691,-0.843052717652555,-0.7897514042333919,-0.5522744252315271,-0.9935646626331794,-1.0612419988128055,-0.827480726584247
SIDM00311,-0.9096292966033764,-0.8825408539434803,-0.7655543728869196,-0.5667415817865045,-0.9093417888834024,-0.8635765546237101,0.7785581961388941,-0.7611277518148802,-0.756682904280826,-0.9904433143650033,1.95318936679265,-0.3543619451070049,-0.9677750127508427,1.2024532825487333,-0.7673901540202037,-0.9382193360420664,-0.904375128199863,-0.7204259525035289,-0.7900668867606259,-0.7931718119654442,-0.9373360932609647,-0.8095727315206481,-0.9212547752531339,-0.8433827983028653,-0.8464639288781505,-0.5627354497610546,-0.9995705008116035,0.46505613851822136,-0.7303802490438772,0.3561451781015911,-0.8864916866835674,-0.9199233538256061,-0.5743293424535546,-0.8224617181269839,-0.7717094951457953,-0.8680359316192019,-0.7550490335675363,-0.8083436238400878,-0.11273650981932438,-0.8625962623802835,-0.5201809253801847,-0.8803820812056731,-0.9030402014050612,-0.5822024498146016,-1.0316916503671039,-1.0604807042078208,-0.896525161195093
SIDM00970,-0.8783552235702524,-0.0027906003241154067,-0.8381245557622392,-0.65992885125319,-0.8849027209459569,-0.890274278469859,1.0206247017276695,-0.8150242130896151,-0.7928066946601496,-0.8927754489628261,1.7099275011940989,1.1018807481549344,-0.9171948463586909,0.041780998721429645,-0.6499906491799224,-1.0083395456659905,-0.8200548639990504,-0.7740959861448026,-0.8775449916572075,-0.8895243036692521,-0.9103785293545108,-0.7683670308261966,-0.9002148254246108,-0.7436119017536923,-0.4501143201143669,-0.7414693151677617,-0.9171700920680278,1.07470286969493,-0.8083305477215262,0.13516559327113511,-0.9631971228229248,-0.9177303605825792,0.3839465532117284,-0.8294593528799306,-0.8255272496945147,-0.8153819257416929,-0.7713124435329201,-0.8144136820398553,-0.874085230966218,-0.9014613815069711,-0.8000662121836638,-0.8420200451141695,-0.7555930864907768,-0.3449061874444277,-0.98687876025118,-1.0126214878689273,-0.8567025082469868
SIDM00103,-0.8232848064932515,-0.7889700588477045,-0.8014826063347923,-0.6021590407304915,-0.9352949257800942,-0.7992006047743828,0.28754996367187347,-0.8908604158767134,-0.8535660708136315,-1.0223034566746192,1.9251759839969573,-0.33135979812460314,-0.8827647053872165,1.0159284277548468,-0.8306506657075521,-0.8721697320264769,-0.82292726037636,-0.7916616259144796,-0.8871205151665554,-0.7639999876281398,-0.9561044607108066,-0.8234258250114335,-0.956050263172138,-0.7089465834201469,-0.8117098036824965,-0.877554514953535,-0.9176757092822531,0.6513965611701823,-0.5988473026127473,0.6463452659583099,-1.0113589571536081,-0.8880335828763898,0.14136035762207547,-0.9155368394193062,-0.8907128789912832,-0.8124479978251832,-0.7924359787075794,-0.8394946533168942,-0.8425497340434961,-0.9314321465556115,-0.8886727303396783,-0.8962325681924299,-0.8326916053243125,-0.16522066918204373,-0.9934736543805543,-1.0328781822069153,-0.8569153754104231
SIDM00266,-0.818242536963767,1.0561774427678103,-0.7930657289755331,-0.5888250868275653,-0.9227875281873379,-0.7935893682216443,-0.5839716365625625,-0.8868621942949583,-0.8745974852188635,-0.937587049701355,1.7384996067940814,0.12712726361166782,-0.9037726226685252,-0.27145585708369757,-0.8079066512046984,-0.9567034788102454,-0.8813818046973435,-0.7058631676160692,-0.8685857026744276,-0.9472315002818571,-0.9495357348670088,-0.7347082686062195,-0.9637016174958742,-0.8290953511764503,-0.747665781194796,-0.5173911885124753,-0.9454212570003773,1.1564152187913659,1.8336545900963934,0.4896631957289197,-0.8630219728683654,-0.617851007899804,-0.05588245130598146,-0.9204019018050188,-0.874071466483248,-0.8155017324503779,-0.8109027286021374,-0.8501808671803883,-0.8029272498134927,-0.952449596515776,-0.8705232164210047,-0.8543325455427438,-0.7795239061140025,-0.650293900364378,-0.9804455810288456,-1.0362888754175024,-1.0503499681557618
SIDM01064,-0.798251737391106,-0.8580775394260363,-0.7914102568807918,-0.651073435394108,-0.8988631646710569,-0.772451119347424,-0.7826840849361686,-0.854009946277104,-0.8500028666623597,-0.937290247774769,1.0593909845911706,1.229163271512885,-0.5993474984851579,1.8169704223714558,-0.8199039136848849,-0.7362692051402573,-0.8614905376375549,-0.7167528415228682,-0.8277690959118884,-0.7677720813291204,-0.9390413858893444,-0.7032076830811195,-0.8814729325127854,-0.6800501649302402,-0.8976696608309968,-0.9318644714607482,-0.9258416883406299,0.23605905733347896,-0.7148810637027955,0.4841318183698589,-0.8846606371025472,-0.9560845296810191,0.8493439511230059,-0.9953253767174097,-0.9639984984278166,-0.7905561357647367,-0.7666016470171295,-0.7727916312462797,-0.8025246554835593,-0.8907891042391812,-0.5821953374597335,-0.8199123305446021,-0.7411651663062993,-0.7480445260889712,-0.9213748659044738,-0.9748527805476254,-0.7599006955685264
