,EPHX2,CYP2E1,ALOX5,CYP4A11,CYP2J2,PLA2G3,AKR1C3,PTGIS,ALOX12B,CYP4F2,PTGES2,ALOX15B,ALOX15,PLA2G6,PLA2G2E,PLA2G10,PLA2G2A,PLA2G4A,PLA2G5,PTGS2,PLA2G12B,PTGS1,PLA2G2F,ALOX12,CYP2C9,GPX7,GPX6,CYP2C19,CYP2C8,CBR1,CYP2B6,CBR3,CYP2U1,PLA2G1B,LTA4H,PTGES,GPX5,GPX1,GPX2,GPX3,GPX4,CYP4F3,PLA2G4E,GGT6,GGT7,GGT5,HPGDS,PLA2G2C,PTGDS,PLA2G2D,PLA2G12A,TBXAS1
SIDM00519,0.4077721091072685,-0.13761166106064918,-0.8744098659288255,-0.614436203822954,-0.9153073256292162,-0.6850179934614118,0.5964889148334755,1.3510033474699774,-0.7667114093713413,-0.8702741237867208,1.1513183184349045,-0.9096341107192326,-0.7276636999661655,-0.7554360435351557,-0.8433965079575642,-1.0091032468882672,-0.908346409006008,-1.0116036917247377,-1.0585534009949649,-0.796398457584215,-0.6626791441003931,-0.5908612368040758,-0.9895476338726719,-0.8240780699246874,-0.9006245067195148,-1.0331841246226532,-0.6338608999610483,-0.8216669352747868,-0.9642306991770149,1.3277076245283435,-0.7404426594290838,0.7795420443537464,-0.5699846206741566,-0.8607035765925894,2.1334274989101876,0.0670780324205898,-0.9149953167879891,3.179517172281839,-0.7144442250270076,-0.9404015176317116,2.914832907638229,-0.9869281429889195,-0.915282395936786,-0.8343104027998501,-0.5593965332280869,-0.5740919246951359,-0.8066133438535316,-0.8463618549593636,-0.18554407974253803,-0.8869410620692143,0.9829538935460095,-0.8296052883206798
SIDM00917,0.19102728913767122,-0.8464875760748738,-0.16006578844333683,-0.5484942115618944,-0.2445128103425286,-0.7055607273055641,-0.17199306797209676,-0.8082513665503638,-0.23103814192954927,-0.7353151945894193,0.7822569334341766,-0.9208483493571461,-0.7521561735110363,-0.6983322727342728,-0.8268625016050603,-0.9810378849179168,-0.8391205397817006,-0.8022800340243171,-1.0038074211075247,-0.8534756915549503,-0.8662341496460776,0.37445174297927586,-0.9505741889748194,-0.845993473158308,-0.8335405051421858,-0.8830720892511449,-0.5766649395218426,-0.8825989147505446,-0.9696361074706138,1.0764240316751663,-0.3256711244786066,-0.2546220781353019,-0.47782893714267227,-0.8616015082723868,1.310624121191405,-0.6448242332875916,-0.8624021440517079,2.9910308463171176,-0.7902961985004571,-0.94338574593318,3.4714249414607634,0.397397656161237,-0.6117874873680419,-0.8740583990448163,-0.687921036613258,-0.7234885363061568,-0.9545418355246924,-0.5902381844032991,-0.8102682917185388,-0.7835150385827508,0.9387272697614286,-0.5729120824776287
SIDM00309,0.662266368582428,-0.6510213106379527,-0.973306963776623,-0.6962775749869374,-0.34656259339634704,-0.6997536519140191,0.7130930281729935,1.109645359317964,-0.7065761413769406,-0.9074061239872343,0.41923502232379206,-0.9002656041822903,-0.8383714231924251,-0.698775437850522,-0.8110858275877346,-0.9720171270898533,-0.9554116438070824,0.37204762457276763,-1.045958199149002,-0.8701890631582929,-0.8266731319775593,-0.8003114070371401,-0.9321267724225204,-0.9735821867670064,-0.853730703507499,0.5645324644574258,-0.7188532590281946,-0.8882208189352758,-1.0566298863596728,1.3547448267368363,-0.7610376306989808,0.653261608422717,-0.44043643417003037,-0.9305593624071036,2.0784449300529975,-0.1901785475795444,-0.9701923166322931,2.8427601429963176,-0.6407409819675378,-0.8907006299399457,3.2478917762519686,-0.8059929898428213,-0.8396045563178794,-0.7838587120821718,-0.5614944798026479,-0.694463683700607,-0.9151438797487786,-0.8320019248002899,-0.844352512785441,-0.7977798730879978,1.70553371557291,-0.8065544711026871
SIDM00099,-0.6592542484329457,-0.5478414853490231,-0.9353904372455084,-0.6465783724065638,-0.9861021701454202,-0.6520919920808488,0.9012516060129161,-0.9459777067796067,-0.8216597559111838,-0.8332346848039502,0.6083106370695808,-0.8803633562816601,-0.804583007407554,-0.7387936053109125,-0.6719447568385949,-1.0210522435705907,-0.858795850759276,-1.0218854526357262,-0.9976272469691949,-1.0144948648567913,-0.8568144494221323,-0.712425641564006,-0.972993659074612,-0.8895914971822988,-0.8882618079268578,-0.20872388406413356,-0.6662038452238613,-0.8424703966672882,-0.969858263118518,1.6279330203566775,-0.7629991028964965,1.145943645609089,-0.5296864472021316,-0.8556420818499619,2.1727545995511965,0.004966570363089772,-0.8626482417092611,3.0456106820742503,-0.6751503697351215,-0.5515892166448717,3.28628537668671,-0.978955615627447,-0.8210140128213779,-0.7951426603546748,-0.8567819040176885,-0.7814544783239226,-0.9243140119927375,-0.86124548210325,0.1571917891339361,-0.7504937461532906,0.43443701066540386,-0.7990748964830728
SIDM00276,-0.6505118735964595,-0.6578742495629705,-0.3762325351713622,-0.5956059660062517,-0.20022154914600784,-0.6799268319117648,3.230668217971953,-0.6486879609344554,-0.5436355439355984,-0.8537682025314253,1.1871290480465058,-0.8524981199389722,-0.8385377203440136,-0.6837233923198708,-0.9156763157550357,0.3876511881634544,-0.8057537278720598,-0.6802706896435589,-1.0456382015192203,-0.9194690877417911,-0.8849210300509877,-0.6240694946453524,-0.9713400771111201,-0.849114348984876,-0.916286885202106,-0.8046905554343243,-0.6647572561529481,-0.8466304145569195,-1.0045235933440069,1.7571003874657276,-0.7646634462618472,0.9675750197309514,-0.6705544901251737,-0.9329671401851335,2.277318410741191,-0.14293016985525575,-0.9369025314383058,2.876057651306437,2.6621967595454237,0.25952458623650115,3.1484166412791907,0.27675632031647734,-0.6196206763585796,-0.8121539048929157,-0.6541955670525608,-0.8151339910042457,-0.9240869548184584,-0.825849163375806,-0.6462364305071839,-0.80878416615467,1.0599953897512413,-0.6281730429314305
SIDM00311,-0.5710998975841683,-0.7259946624184879,-0.9903573829153597,-0.5667415817865045,-0.5795791118835931,-0.7036655802229366,2.283049421841278,-0.16187552387277201,-0.6018862083991111,-0.8239236013521042,0.9430727150060614,-0.8657769843695055,-0.7967479079773152,-0.8051409034030218,-0.8394633264695162,-1.054186096606148,-0.8547788795453823,0.13027171813925953,-0.9550506598284961,-0.43020602098408267,-0.8069346609114783,-0.7340915012913689,-0.9974412198044029,-0.8395852250834995,-0.904375128199863,-0.2556341078035617,-0.7071791529535824,-0.7931718119654442,-0.9373360932609647,1.837260981835513,-0.8095727315206481,1.1912207627561682,-0.7320577247636818,-0.8780408538143946,1.8994197800276724,-0.7626667847626772,-0.9066017805235195,3.051024364453274,-0.8485339019446831,-0.9282536383597217,2.8431898901437127,-0.9590739912736003,-0.8672145225539768,-0.7975508766031535,-0.6628220083622929,-0.5524660092369904,-0.9463547292830962,-0.8579385075539958,-0.7632267413221514,-0.8653644261684323,0.9595621741522522,-0.8031171496008012
SIDM00970,0.7152149749527159,-0.8053141733897253,0.47793050144895316,-0.65992885125319,1.2153282515700283,-0.6784045593186835,3.1389278194454833,-0.7718910418668329,-0.7514065794557819,-0.9220139786235289,0.7552226810807979,-0.9403663914281509,-0.7671365008908387,-0.7574719229506964,-0.6888230047759513,1.3217577016747517,-0.3908837056288941,0.6571301454544184,-0.994838682054863,1.238955745219103,-0.8011085379766891,-0.7657710076116719,0.4334215230072857,-0.7314863013567556,-0.8200548639990504,-1.0478164143525555,-0.6888487467025731,-0.8895243036692521,-0.9103785293545108,1.5041099699443172,-0.7683670308261966,0.3990254126488375,-0.636748241374173,-0.8362080727679566,2.2120555608057777,0.9225993876213527,-0.8642337433836417,2.9402181087025188,3.2833314129887854,-0.9631613924419973,3.0362275605699613,0.01132354198238837,-0.7967784638565522,0.5579703961530522,-0.4276842354837111,-0.8342246479199757,-0.8057029211483427,-0.8498109810761587,-0.7961986376617468,-0.848123374276097,1.2699804597788635,-0.7853927573440844
SIDM00103,0.22789911312171673,-0.5118668080339999,-0.9214945633716112,-0.6021590407304915,-0.7892909015497652,-0.645315576779291,-0.09171608395727747,-0.8416094589712169,-0.7588797122461639,-0.8104098654089839,1.2501532650786165,-0.8629951813670562,-0.7968684650109203,-0.6726244867374868,-0.79915342753613,-1.0820791556080098,-0.7998276058930084,-0.9942213356313719,-0.9444389806237633,-1.0275622997954168,-0.8693087562790918,-0.7123312792675868,-0.9606979439575039,-0.6600053815147479,-0.82292726037636,-0.0021630716534669276,-0.6670296876302986,-0.7639999876281398,-0.9561044607108066,1.648036491326174,-0.8234258250114335,0.9038490949547655,-0.380651330896706,-0.8928968330839427,2.473969295611298,0.04396054379750215,-0.8088362646601369,3.1224348074260213,-0.7469015597961667,-0.8828828234925427,3.107296436422634,-0.9781711312053405,-0.9498515779066433,-0.7851882209586099,-0.7427785220057906,-0.7734731552605199,-0.8548048917028983,-0.7861875438867996,-0.6945782995492158,-0.7947851954592112,0.500807688870367,-0.7842854703707159
SIDM00266,-0.5998230823032392,-0.7607707666829119,-0.9607479661046495,-0.5888250868275653,0.49073919285176626,1.7826819544649817,0.9230219920728536,-0.8319879635587127,-0.5509805369228057,-0.8868516637213674,0.954733921595889,-0.9142819070821899,-0.8590189763310638,-0.7591196404868659,-0.9374146182193293,-0.7518317989959907,-0.8801709330413998,-0.3083381519564571,-1.018096110526356,-0.88391880953411,-0.9458011921767625,-0.7652447546961327,-0.9138732875823558,-0.9079538939036814,-0.8813818046973435,1.7869056709224322,-0.5427416461358118,-0.9472315002818571,-0.9495357348670088,1.2303674601598331,-0.7347082686062195,0.7283940202107041,-0.8080759309500192,-0.836883294058943,2.5662425050054956,-0.6971688352595331,-0.9503826556011934,2.724993152362851,-0.7215506532824782,-0.972612234059577,3.2759450949173505,-1.0361281485759926,-0.7870936499375204,-0.8253513482911672,-0.3391005541178608,-0.8493928799532559,-0.872335587473928,-0.8172758917945459,0.1290207857604384,-0.835237241354834,1.6893030339626087,-0.7483264135331963
SIDM01064,-0.8039060795821845,-0.7186108875263566,-0.8583039311017018,-0.651073435394108,-0.8686610398730619,-0.5925676505631666,-0.6880889998343731,-0.8896587361183826,-0.642657746334425,-0.8687929888398714,0.6439238989362427,-0.8959998666313247,-0.7681502087369314,-0.7122782191068401,-0.76018020586711,-0.8006073310145412,-0.8125914513044605,1.0999819084382731,-0.9390141126265353,-0.9303105823854808,-0.7970281733185461,-0.703576659398263,-0.8022317497224494,-0.735042024973413,-0.8614905376375549,-0.805066583763171,-0.6602877281944826,-0.7677720813291204,-0.9390413858893444,1.5418974662978837,-0.7032076830811195,1.5038864267174208,-0.6377878785105411,-0.9008787124480435,2.073894896282134,-0.720095695758264,-0.8613700418068814,2.499719379335193,-0.7665921129236756,-0.8656622098881246,2.914303218965591,-0.8861905914352968,-0.7291847804771081,-0.7853641747264509,-0.7170959996877528,-0.7778829640076794,-0.8697109270669828,-0.736715753611964,-0.7419491457769234,-0.776347159391237,0.774666341696827,-0.5694825545270799
