,SRD5A3,AKR1C4,CYP3A5,HSD3B2,UGT2B28,HSD3B1,COMT,SULT2B1,CYP3A4,CYP7A1,CYP11A1,AKR1C3,HSD11B2,SULT1E1,HSD11B1,HSD17B2,HSD17B3,HSD17B1,CYP19A1,CYP17A1,CYP11B2,CYP11B1,UGT2B11,UGT2A3,CYP3A7,HSD17B8,AKR1C2,AKR1C1,CYP1A1,CYP1B1,STS,UGT2A1,SRD5A2,SRD5A1,CYP3A43,CYP7B1,AKR1D1,HSD17B12,UGT2B10,UGT2B7,UGT2B4,UGT2B17,UGT2B15
SIDM00519,0.9502932628293763,-0.8237198918944576,-0.7241817474445538,-0.9564565519881173,-0.82031647201751,1.8014687756341694,0.999045876152368,-0.9061419060334446,-0.8964939900580688,-0.9479146661828053,-0.8558796539360052,0.5964889148334755,-0.7477834274939051,-0.8781905845158358,-0.8636828746406333,2.034224599358801,-0.8322264551815123,-0.3337926533581806,-0.9020767646057989,-0.8984161036950733,-0.9494196712184029,-0.840182001917961,-0.9668374874718498,-0.9755920119544125,-0.8884159421327231,0.7717355404760974,-0.7156979743063517,-0.4010641932212791,-0.969541526190708,1.8907011642994254,-0.7190267024639804,-0.9042632837709682,-0.6312726337035641,-0.24027325176286898,-0.8983061797306987,-0.8707407231178059,-0.9191990693359745,0.8432167123442724,-0.8136425030719703,-0.7881922421034362,-0.9822907899181706,-1.0507368802864394,-0.8346090656911848
SIDM00917,0.2631874724248242,-0.8711158192148913,-0.8598181344526225,-0.920841029451204,-0.8003932286815031,-0.8771271609942178,1.476692038048022,-0.9188278852607917,-0.8848248680807167,-0.8484144303456282,-0.8959488129180122,-0.17199306797209676,-0.7033305635776167,-0.9034637586669929,0.09376481426572413,-0.8445406417043022,-0.9690491056272827,-0.6165840196546793,-0.8914592585086542,-0.9534065401316656,-0.7962277653962637,-0.847618873870857,-1.0244361502091766,-0.9296821275975992,-0.8658670022914701,1.1016900693103158,-1.0113492821072778,0.9825037063333822,-0.8864913934596663,0.5073645952798883,-0.49640982308900244,-0.8555782531987597,-0.7183357642166691,0.6250314890474341,-1.0292294831130941,1.048581727615828,-0.8947631003227959,1.3727611503604265,-0.830892609094296,-0.7401498117258457,-0.9102517800415708,0.1910455290305892,-0.7194089580653549
SIDM00309,0.9040363031656588,-0.8318970503525251,-0.5774843599937453,-0.9493627467221541,-0.8070125815292547,2.867754473400251,0.933201919074598,-0.880134542047164,-0.8506540475801644,-0.8378511059891465,-0.6751835769304644,0.7130930281729935,-0.5975505101638267,-0.9674961881749209,-0.8906846682213226,0.7740887718525872,-0.9342208142573767,-0.3573494797720671,-0.9216085583821516,-0.9317661285094384,-0.8356894517804979,-0.8583604772527564,-0.9345691724377109,-0.9423795121048735,0.1344599281340213,0.10971779393913829,-0.8424851766198771,-0.7695348910593833,-0.874664436430996,-0.024282561124855256,-0.11641159002536425,-0.881424689446013,-0.7618984577049985,-0.08638714203034656,-0.995695942975797,-0.9571250359818796,-0.5414222594484616,1.495178136589714,-0.9799512328916787,-0.8086807680226303,-0.9434718914778469,-1.0158685466878936,-0.9107215858057593
SIDM00099,0.8618795246038046,-0.8124064202977784,-0.572180233211101,-0.8087878105261765,-0.7239348108304712,-0.7537828668585185,1.6059682594310196,-0.8159694962874261,-0.8660326053873985,-0.8933045145655631,-0.8275610338306775,0.9012516060129161,-0.7003590968204859,-0.9288838007717112,-0.8698399320692134,-0.8856358657188644,-0.864096016657498,-0.6422080101946551,-0.8437375077406108,-0.8177681888883496,-0.9304581003828678,-0.8392238345785966,-0.9503559895003176,-0.9172709158309721,-0.629298766503107,0.6526173298607745,-0.7130020367647716,-0.5944839373361117,-0.9285652822132329,0.9196521122231874,-0.6043000294746631,-0.7894889988141145,-0.7456488710774126,0.053670722447128075,-0.8107043570410777,-0.9415186219162703,-1.0169090717230655,1.3294775804125718,-0.9314442936494274,-0.6452563150686119,-0.9512975048674717,-1.0250560029306743,-0.8647849849280048
SIDM00276,0.6712126061315137,-0.700236163947018,-0.8522776311852674,-0.8786477412327044,-0.683542219825438,-0.6063752395224152,1.4475081236630805,-0.5881664638519107,-0.9357303584382178,-0.8857020536418566,-0.7533670217763062,3.230668217971953,-0.7250306437406262,-0.9367167900978136,-0.7399241086844592,0.7968458281407412,-0.9152311385725574,-0.6552926431905454,-0.8585839527438832,-0.9214199157720119,-0.8903245253657702,-0.8134506513012757,-0.9824906556451823,-0.9703098908795459,-0.8892562751570464,1.1570596114976197,2.804922254913533,3.4181284044117675,-0.8213774436822636,-0.07526392431615811,0.21332696062884948,-0.8626312100008882,-0.7116451058201524,0.7109783268660873,-0.9546795304512699,-0.8011153252276967,-0.6683701520886016,1.0545989779379334,-0.843052717652555,-0.7897514042333919,-0.9935646626331794,-1.0612419988128055,-0.827480726584247
SIDM00311,0.5452326693826454,-0.6097887055217948,-0.8825408539434803,-0.8964859116795636,-0.7655543728869196,-0.8423562847565411,1.3767062240465637,-0.9845192603240985,-0.9093417888834024,-0.8881489395832861,-0.4943150211872678,2.283049421841278,-0.7261770054529536,-0.9296987917209636,-0.7822099065971606,-0.8568766925778432,-0.8804169092111049,-0.4717686660672991,-0.8542748317540463,-0.7810102685310597,-0.9696288607676048,-0.8379800735453522,-0.9382193360420664,-0.9212547752531339,-0.8464639288781505,-0.7644724042317553,1.6217408808541978,2.556729903416153,-0.8224617181269839,0.4639569252905829,-0.7389210808834791,-0.8083436238400878,-0.724015217636265,-0.11119891144091557,-0.8625962623802835,-0.6771578754738976,-0.9091359284906363,1.1675682961422336,-0.8803820812056731,-0.9030402014050612,-1.0316916503671039,-1.0604807042078208,-0.896525161195093
SIDM00970,0.6185371491510308,-0.19663152417747337,-0.0027906003241154067,-0.8478524800407603,-0.8381245557622392,-0.7658948204104096,2.028677764975145,-0.6791409740834935,-0.8849027209459569,-0.9424440922794897,-0.8077917975090857,3.1389278194454833,-0.2265648492186311,-0.9255349019471676,-0.8818101612443322,2.087137264596735,-0.8310644689935838,-0.4080327365638449,-0.9105797398588867,-0.899909976514548,-1.048519051316339,-0.8480772555954575,-1.0083395456659905,-0.9002148254246108,-0.4501143201143669,1.0218069250638506,2.6801196084621264,2.9307623321010468,-0.8294593528799306,-0.8010572211756208,-0.2811332350775077,-0.8144136820398553,-0.8110981948977425,-0.2609495284144058,-0.9014613815069711,-0.7096566141194111,-0.8585931865063466,0.9154362685892056,-0.8420200451141695,-0.7555930864907768,-0.98687876025118,-1.0126214878689273,-0.8567025082469868
SIDM00103,0.4674942963858016,-0.71753959602721,-0.7889700588477045,-0.8452450509148671,-0.8014826063347923,-0.6703849711748537,1.2024621126118082,-0.911099773137367,-0.9352949257800942,-0.8604267542555263,-0.8689176976242327,-0.09171608395727747,-0.6521925761164281,-0.8831360350112452,-0.808929040898154,1.9030746835549852,-0.8530006335254319,-0.7334245405156917,-0.8838863555498715,-0.8540093658388288,-0.8893870120464874,-0.836527435291222,-0.8721697320264769,-0.956050263172138,-0.8117098036824965,0.4553450350611184,-0.5431100216135625,-0.5210225133216881,-0.9155368394193062,-0.2551758634564205,-0.3402815476061388,-0.8394946533168942,-0.623405328104998,0.2577432415745022,-0.9314321465556115,-0.8433961758073608,-0.7679675416086442,1.479333850581238,-0.8962325681924299,-0.8326916053243125,-0.9934736543805543,-1.0328781822069153,-0.8569153754104231
SIDM00266,1.4330803439910926,-0.6615531261009261,1.0561774427678103,-0.9129300543519338,-0.7930657289755331,-0.7582832555495862,1.2060209309565841,-0.715599194183774,-0.9227875281873379,-0.9701430721202751,-0.9119339432149547,0.9230219920728536,-0.6702580258306889,-1.0084163425705506,-0.6370788693831053,0.1717676780411933,-0.836043039590806,-0.4086675911268754,-0.8478278629748762,-0.9094869963824914,-0.8735511713458979,-0.8572054628540154,-0.9567034788102454,-0.9637016174958742,-0.747665781194796,1.6511287924473395,0.7017962950533942,0.9240970903282348,-0.9204019018050188,0.48947398061799813,-0.6853706600581125,-0.8501808671803883,-0.617921737666568,-0.3728368037023008,-0.952449596515776,0.5515997997471631,-0.9676676389459296,1.6680014261972387,-0.8543325455427438,-0.7795239061140025,-0.9804455810288456,-1.0362888754175024,-1.0503499681557618
SIDM01064,0.7033811474983069,0.6324451832066855,-0.8580775394260363,-0.7458942836146568,-0.7914102568807918,-0.8534197510662871,1.7104743390941433,-0.7640630052463778,-0.8988631646710569,-0.7747722996541856,-0.8501908678826074,-0.6880889998343731,-0.7533924677411994,-0.9462645816283368,-0.8454001541054385,-0.8406723979967058,-0.7899064572996081,-0.720089835754718,1.053922362169396,-0.8431034791355916,-0.9029478963664418,-0.7851205906243096,-0.7362692051402573,-0.8814729325127854,-0.8976696608309968,0.7349492565667715,-0.8989106742399183,-0.7903911640999195,-0.9953253767174097,0.2578117464312207,-0.626548757026615,-0.7727916312462797,-0.6157933595867451,0.0921740685274343,-0.8907891042391812,-0.890995706766037,-0.8384823503230797,0.6851108643247685,-0.8199123305446021,-0.7411651663062993,-0.9213748659044738,-0.9748527805476254,-0.7599006955685264
