,ALAS1,COX10,ALAS2,ALAD,CPOX,BLVRA,UGT2B28,BLVRB,UROS,HCCS,UGT2A1,GUSB,FTMT,MMAB,FECH,HMOX1,HMOX2,UGT2B11,PPOX,FTH1,UGT2B10,UGT2B7,UROD,UGT2B4,COX15,HMBS,CP,UGT2A3,EARS2,UGT2B17,UGT2B15
SIDM00519,1.6655585868378076,-0.30799597384658656,-0.8848814580932296,0.6446057140468169,0.14750278280946277,2.313792659860601,-0.82031647201751,1.50628110743099,1.0953784731991525,1.1910044117468017,-0.9042632837709682,2.0984424754996764,-0.7818129724324654,0.30316794553134885,-0.14690915548228523,1.1945840010987308,1.0556565776812332,-0.9668374874718498,0.47904142391790644,2.886851814642664,-0.8136425030719703,-0.7881922421034362,1.2723716193576537,-0.9822907899181706,0.42540036511286317,1.4977203177709857,-0.9523933571946479,-0.9755920119544125,0.11484509846060277,-1.0507368802864394,-0.8346090656911848
SIDM00917,1.5774333719937237,-0.1257743920105084,-0.882689722368386,-0.01658304470898306,0.5080224008851989,1.938689612727665,-0.8003932286815031,1.7305032266587372,1.1592679006046136,1.1228603650272841,-0.8555782531987597,1.9841508690064054,-0.8154646066832466,0.6566680974529445,0.3924899046579218,0.8833524280607463,0.4746953462023296,-1.0244361502091766,0.10061391554896572,2.7427028685487786,-0.830892609094296,-0.7401498117258457,0.9551168390694331,-0.9102517800415708,0.4773698188757772,1.0277001041474054,-0.9448725277411675,-0.9296821275975992,-0.10236138524831914,0.1910455290305892,-0.7194089580653549
SIDM00309,1.4870294624207405,-0.4458477110396074,-0.9133854972175899,0.0018326826467106496,0.1479348047122113,1.9980923711703875,-0.8070125815292547,2.268062277518323,1.5380906627390718,1.46264045455596,-0.881424689446013,2.0429822207105683,-0.8007280119271658,0.6438157667689337,0.06249040188105985,-0.0010788876650338326,0.9022836630872256,-0.9345691724377109,0.44915731416398663,3.2379915374420305,-0.9799512328916787,-0.8086807680226303,1.697166084167969,-0.9434718914778469,0.7977322799151736,1.5239188019298366,-0.8908174979482699,-0.9423795121048735,0.15500928602923764,-1.0158685466878936,-0.9107215858057593
SIDM00099,0.9313615590471663,-0.4196738616549087,-0.8019188926469202,-0.22312488823071866,0.08668296121142895,1.4846931139024477,-0.7239348108304712,2.2708744935410636,1.125411797280843,1.3959418672259598,-0.7894889988141145,1.8886265194174343,-0.8410570126990773,0.32785189577031215,0.14832814199317354,-0.0009124791715357867,0.4782529193286532,-0.9503559895003176,0.4835566256633291,2.738216368462619,-0.9314442936494274,-0.6452563150686119,1.4934557442280323,-0.9512975048674717,0.6609906722277348,1.1606205650428763,-0.8927095117470957,-0.9172709158309721,-0.23529777390567683,-1.0250560029306743,-0.8647849849280048
SIDM00276,1.5624266062170016,-0.2399992246472983,-0.9192552877896197,-0.07607623182450507,0.11472382692418245,1.798628011282722,-0.683542219825438,2.3797535998464494,0.6975772714894234,1.405014955712926,-0.8626312100008882,2.2650178888030843,-0.8361521850535234,0.8680749041819751,-0.07699369661697614,0.37050570921715764,0.6909979027240364,-0.9824906556451823,0.27896144831980896,2.9706584136579637,-0.843052717652555,-0.7897514042333919,1.3154262013995943,-0.9935646626331794,0.7500454435605727,1.9067339236555785,-0.9175829867390882,-0.9703098908795459,-0.2671273422097949,-1.0612419988128055,-0.827480726584247
SIDM00311,1.5091125297876749,-0.36855932291658955,-0.8637864672209962,0.25878469117505004,1.1104049631415136,2.140869123797538,-0.7655543728869196,2.2487293782641085,1.1180477359726109,1.02582838847943,-0.8083436238400878,1.7542827524438147,-0.9172112592614631,0.3830222311603421,0.05977589208059152,0.8747523519313494,0.78913956760257,-0.9382193360420664,0.11253979076686649,2.7118181102311825,-0.8803820812056731,-0.9030402014050612,1.5136924055427377,-1.0316916503671039,0.5161493522280056,1.5345963164432868,-0.9711952518534414,-0.9212547752531339,0.03237544744270767,-1.0604807042078208,-0.896525161195093
SIDM00970,1.9369398717694322,-0.5299825702843226,-0.864516652270341,-0.21630975553770082,0.09970552504832735,0.9953583827360734,-0.8381245557622392,2.0473790802112473,0.7915306913470318,1.1279169468028984,-0.8144136820398553,2.239763696414414,-0.9325757503708252,0.6176539331177886,0.26693110775327145,0.21294037612859293,0.5713808410061426,-1.0083395456659905,0.10271108261195547,2.6422424173220898,-0.8420200451141695,-0.7555930864907768,1.0195532236238245,-0.98687876025118,0.18874691447505001,1.4301448629406992,-0.8901050383452629,-0.9002148254246108,0.08439221010497028,-1.0126214878689273,-0.8567025082469868
SIDM00103,1.1827553802233204,-0.370668333043932,-0.8339092433448204,0.1700328154230614,0.19554053497043808,1.9627242054755576,-0.8014826063347923,2.3709409443609757,1.7188298975192662,1.3154943164167783,-0.8394946533168942,1.8820308612475356,-0.875637137103957,0.3887059203344384,0.16560266926446146,0.02857843115609368,0.67673189491409,-0.8721697320264769,0.7207001857442593,2.9034928608700787,-0.8962325681924299,-0.8326916053243125,1.8414789311525066,-0.9934736543805543,0.3359213484463744,0.8672539225667336,-0.9447755929479347,-0.956050263172138,-0.003953753707435947,-1.0328781822069153,-0.8569153754104231
SIDM00266,1.5303579502987383,-0.2592813101426644,-0.7658115356926296,-0.18219534623125588,-0.008614412387079533,1.675148375148297,-0.7930657289755331,1.7708641647011325,1.1254780682908292,0.8958653459683743,-0.8501808671803883,1.9758662638261915,-0.7396473689702298,0.7869460626120331,0.002068555953899842,-0.26457496544950393,0.4074821237820852,-0.9567034788102454,0.46186572123146874,2.6286319159073948,-0.8543325455427438,-0.7795239061140025,1.1888863971742123,-0.9804455810288456,0.7246931814517258,1.7223241364164585,-0.921952825675571,-0.9637016174958742,0.3326825516943549,-1.0362888754175024,-1.0503499681557618
SIDM01064,1.404840866668933,-0.45564005696423837,-0.7430959750011571,0.38934985452246995,0.2997788712685754,2.4905491593513123,-0.7914102568807918,1.7782525193496386,1.7196903721073693,0.9895081245311171,-0.7727916312462797,1.9242031597156506,-0.7679425464174782,0.3167219840722713,0.4334952876442266,0.09055538212707612,0.5106948929297777,-0.7362692051402573,0.08801672236926603,0.4085681431688868,-0.8199123305446021,-0.7411651663062993,0.998759957171205,-0.9213748659044738,0.37952019367317635,1.6413511733116208,-0.9267129079564113,-0.8814729325127854,-0.2453037434877047,-0.9748527805476254,-0.7599006955685264
