,RPL35,RPL23,RPL3,RPL3L,RPL31,RPL4,RPL5,RPL32,RPL34,RPS11,RPS12,RPL36AL,RPL35A,RPL37A,RPL37,RPL38,RPL14,RPS15A,FAU,RPS16,RPL27,RPL24,RPL28,RPL27A,UBA52,RPL30,RPL36,RPS20,RPS19,RPS18,RPS4X,RPS4Y1,RPS5,RPL22L1,RPS6,RPLP2,RPL22,RPL18,RPL18A,RPL19,RPS3A,RPS27L,MRPL13,RPL15,RPL13,RPL41,RPL10,RPL11,RPL8,RPL9,RPL13A,RPS26,RPS25,RPS29,RPLP1,RPS27A,RPS28,RPS24,RSL24D1,RPS23,RPL10L
SIDM00519,3.859393763079423,3.0015902237555245,-0.43700251028056936,-0.8154674683593252,1.3396160431834894,0.33846169542519017,3.2976923251630206,2.392889123137154,0.5293152937722606,3.333056399079494,3.7103627673662234,2.2633542247278897,-0.08438009727431388,0.0143074399724559,1.232572611286492,2.285156289522261,2.8832780348071854,3.839235095034399,3.6531939755121106,0.30830079040286906,3.3089702635624336,3.6491799836894527,-0.36134807079838455,-0.6829027524060417,0.3694728640329459,3.507944256065293,0.9327232837372017,-0.5801883839687445,-0.41199070238462404,-0.3998602411836279,-0.6202288436061723,-0.8344225796551026,3.45759420301288,-0.7412703865605569,3.4868903920920964,-0.6710056112489552,2.3921644636008232,1.8100680889352878,-0.8549096843224848,3.573124463748491,-0.30856287306163355,3.620336328278493,1.518874490732605,2.473014110085611,2.8285583284076186,2.3029227368229304,0.8805249354864704,3.4531319744187745,3.632201048237231,-0.6492758742527605,2.9067156514500128,0.19336049105648015,3.3980694615559766,3.091828566977688,3.707868758783957,-0.4932071398140237,-0.20550271835469322,-0.3214067524198149,2.259865693688915,3.7385867465200646,-0.8289428136862815
SIDM00917,3.9162848758912645,3.091963922435323,-0.22773734819429872,-0.9350284201293656,1.3966018201622898,0.38189131470705173,3.568312470455192,2.4464583839839507,0.6459007668421447,3.705765682778857,3.6375817676995776,2.74344335525748,-0.09783961416114331,-0.059075433464723694,1.2730714489883415,2.266528705154017,3.3532748168749027,3.840979018295831,3.7616801428148694,0.5312960512692166,3.273049406404751,3.8533900057818045,-0.2600241152763402,-0.7102178617462951,0.2482257322473098,3.538151885599808,0.8564578467714794,-0.4027370811650033,-0.4732653028848539,0.12939942015643796,-0.6397015363118794,3.323781875034989,3.504142069941545,-0.5733305321189265,3.678472239013959,-0.6630887761652896,2.470558513139784,2.020454247075819,-0.7947222328723175,3.6926633205106087,0.009083479154210476,3.5768108813379675,1.60628803393305,2.8423156400954306,3.367543487782895,2.241299343942595,0.5850598604025359,3.6658376148156013,3.5688052922789564,-0.13842208480836526,3.261625091127093,-0.22344052258700337,3.3105372565506848,3.5638131888212374,3.741658114781823,-0.47556199702051927,-0.4884267469333991,-0.3446584031428925,2.8823084819026263,3.6550928906864386,-0.8326732994169692
SIDM00309,3.4194072004392893,2.912346804166497,-0.4263260362211747,-0.9592556308497906,1.1154963393932735,0.4105201363602616,3.2678365381035133,2.59795051563447,0.7550733016384258,3.53504333040214,3.744537721134412,2.4433725145740794,0.20369753511031036,-0.2776683287896808,1.320577647596349,2.0477020078446695,3.386909482961579,3.74575226453012,3.629439373909223,0.5669963258608739,3.117132725119851,3.6888267922586846,-0.24233317590742093,-0.0475173631916832,0.37378868698614764,3.205822303173789,1.0481838742985594,-0.5917217809774782,-0.5623312725798554,-0.45861120208283906,-0.6041510389505175,-0.6833985404813929,3.432150680591156,-0.3945790424364984,3.2317994780669097,-0.6390920351680793,2.3487256786242763,1.8816797153717466,-0.8314029224345877,3.52961208260146,-0.24703939484449772,3.2876226150231505,1.218717614105871,2.782781213503998,3.1026255143700685,1.9454851317391746,0.9754692039336257,3.547489713356471,3.2329709664372195,-0.3993704952613137,3.18218888910246,0.5454236006812364,3.2238921741019353,3.0738891455027466,3.5871711926464305,-0.3747073376394652,0.13822973050858828,-0.34562097630633476,2.1247978845748308,3.5712547457947066,-0.7531541140672057
SIDM00099,3.8695457538427176,2.9885477939523453,-0.26729254567158683,-0.8436584020965491,1.374592894833363,0.5278697812811315,3.6571550960294785,2.56512973998693,0.4603777629147821,3.7276182223983882,3.628754581636423,2.7453761944357455,0.023245504325662424,0.23246824286918008,1.4371406414926167,2.1597599209312426,3.181298452405138,3.732951528200481,3.647187736789845,0.307815713696589,3.288272824725141,3.740939714518023,-0.25152320443860204,-0.6605090500255617,0.13538074539187717,3.509225210748178,1.0062601509621754,-0.34172075020030007,-0.3757731323622739,-0.13806077028875327,-0.5551770344867423,2.958541757087477,3.5063588493523974,-0.3681946038927638,3.5193465661556367,-0.7239302922941201,2.4217385874921167,2.0542985449752016,-0.7585176737229223,3.628283828814735,-0.3161650905886314,3.6427254235110422,1.3212404960371948,3.1146397858149,2.577801513289349,2.1781638238223264,0.9367235449035682,3.4964483604046808,3.5494223604759805,-0.4392988912205456,3.2758724773552923,0.16648694215308865,3.207820226127941,3.449986950219863,3.629003182706055,-0.44697461095239016,-0.1624477503531815,-0.2624859341580788,2.567091011725093,3.696385935106383,-0.8776095597668462
SIDM00276,3.6975691775958848,2.850669798516609,-0.523578645944601,-0.7364408063157837,1.0933666133416722,0.09830126935869621,3.3714244343254585,2.291268772082602,0.5837191442384977,3.355324293831744,3.654264649411951,2.3328905882882482,-0.12086495836503096,-0.32241031476115406,1.2760793918820432,2.0363903367057645,2.986389089740618,3.484553881918855,3.72622195838946,0.46113064421153505,3.1461979728737663,3.5966042815569015,-0.278721865733591,-0.681862501832008,0.06229988373131099,3.3597859410878943,0.7410742389365714,-0.448203658290747,-0.5110344093845554,-0.48655972703964134,-0.6166657703171915,-0.762507432057503,3.2662783568371907,-0.7055369703322197,3.3149027185374966,-0.6533585433122587,2.2632891326940663,1.8744926718714818,-0.8325266413708975,3.3520527749621847,-0.32706759384764905,2.864759040541934,1.5538694176491012,1.6531171950019248,3.05859259630525,2.1909230263623525,0.7877776246180355,3.510414928721767,3.624182053974831,-0.4510419887835092,2.978007268558362,0.7148678066617148,3.2122771178023757,3.273172092357636,3.69070830282743,-0.6537912052531148,-0.2920105742090566,-0.40422207155986495,2.171243111631242,3.331168753542034,-0.8399984980670517
SIDM00311,3.8156491921314077,3.024180651277722,-0.39059685124757415,-0.6740680580039289,1.3153481008934929,0.4211277768189091,3.346917682275797,2.2989502300053304,1.1799391231617697,3.428166465990201,3.5910564560570997,2.444383549471187,0.3007652684776733,0.013372687481563216,1.2698305908849576,2.0548028116456076,3.3816029892574737,3.6211281904376538,3.6374039681622916,0.6056377053129806,3.2779225783131087,3.7156265017103456,-0.20761876173943083,0.16373484553301235,0.2505551885991137,3.406393326315239,0.9153432198682965,-0.4807093418107208,-0.5229892041273666,-0.4338256682735836,-0.530354168026834,3.3620392850713205,3.394842056688314,-0.455612034059093,3.570569685510728,-0.8106278903751749,2.4832178072925437,1.8321431738481353,-0.8379694229069312,3.562232896097468,-0.10679085475404133,3.4212565175503844,1.727575809512469,2.538358489058493,3.160886875436956,2.183100109130015,1.090112817662508,3.551850238757479,3.567982910625158,-0.6514148803692643,3.1627226528052566,0.45320499217427757,3.210461301299582,3.232158279688229,3.6466871064189976,-0.24453808684736764,-0.013206319062321092,-0.4527529502415922,1.9492822355714505,3.5374261105851796,-0.8075825472700171
SIDM00970,3.665449447591776,2.8679404599574805,-0.23717603699104522,-0.8507090386657424,1.1493393016033309,0.4388065374477827,3.274696029270704,2.4661699856276966,1.2185308265719188,3.7033641395616423,3.4209547513683582,2.5141441081004787,-0.005363381091481651,0.2451465361551686,1.245425157186787,1.8724679105613686,2.9671215930112105,3.5962929052197925,3.557090941819699,0.8078732907576835,3.1745480447487617,3.5778846873444263,-0.20550578497025535,-0.11149863317944678,0.13496727426211716,3.426581347126965,0.6651576756367286,-0.33526438548538573,-0.6236837433909154,-0.6203507530154405,-0.6818250904680178,2.999466977967255,3.5326363856346332,-0.5713755182288074,3.465950788857911,-0.7100661369813213,2.8707420467668117,1.9738608806478277,-0.8834499570070143,3.3743731100680887,0.0322488134050885,2.6854269681773277,1.7581562383967115,2.6233130092480694,2.927531719561991,2.2080176646116967,0.7926591613990314,3.5143514237354485,3.518231581530364,-0.3530616826551194,3.2248070459066427,0.4047012789597565,3.0519558084162206,3.3296203938550577,3.652474147603734,-0.5203643688768422,-0.16939055911258635,-0.4437237087771819,2.171953973601809,3.4823230912862257,-0.8352412077738666
SIDM00103,3.918865207588157,3.045482773753763,-0.34881821843557437,-0.8114730896382686,1.5537915672665894,0.4281784857344576,3.3241087058684746,2.539958414728803,0.8312637006064275,3.602288443234128,3.655462280273573,2.6669699236643596,0.08573306222192414,0.09054117556228185,1.4046249833870985,2.064016742487213,3.1788555103939733,3.8196247411664532,3.718977911371097,0.3516461324716184,3.236791392825882,3.7852596128809526,-0.18710357295958213,-0.40472245753446573,0.2396138501157763,3.45927769189729,0.9464734647274597,-0.43920932417825415,-0.5887588599113132,-0.4177267366087181,-0.516683054133311,-0.8536311199692015,3.5582229437701667,0.5562359598051649,3.678689352250557,-0.7285052079618545,2.5906264476191776,2.017091560392016,-0.8211715265055313,3.616158434361227,-0.186565894228929,3.7071641258867696,1.60309109576753,3.1536396706903833,3.4702907968072627,2.124216989949682,0.7404069556446878,3.429036700913857,3.6462792715664025,-0.2595314274046231,3.3317422137942883,-0.158184822567711,2.9876858851609183,3.3916966296070767,3.7295435643748,-0.6909922767790985,-0.3284463737967021,-0.36313628764006306,2.665129041026598,3.5747215787400837,-0.9082014060902938
SIDM00266,3.8587822238897074,2.9577399643574824,-0.21282577290964977,-0.8787154260256224,1.9073945255279836,0.5583859448336354,3.5948490670706863,2.501197908047693,1.2533337579781867,3.816304598948159,3.68550600406861,2.5969794341412764,0.3522577925357511,0.311773959249413,1.3758339229075027,1.95970391847768,3.350829593398326,3.8226217484795657,3.6137071851918923,0.6834354679407303,3.3006460608012897,3.734475026191778,-0.23126125535960906,-0.4509377189390864,0.2697541788215023,3.5081811918147032,1.1809173146570728,-0.4705043083317949,-0.48720653310257067,-0.1059557812394032,-0.6521090391107436,-0.5501828638605826,3.58374581855852,0.0380816410490694,3.709292154612476,-0.6306210344652731,2.7851797658667654,1.950391338098687,-0.8546265736209798,3.6165466021612946,-0.12593434346996488,2.6129478535512347,1.468259288737474,2.9596319255436687,2.80134644787505,2.280071293407004,1.1165880094655354,3.692242163107839,3.7615303371451327,-0.2480778093877109,3.271724056445198,0.46929754035471904,3.2857307017368944,3.4843658713627508,3.733257827875799,-0.6274735091376028,-0.4973538058039501,-0.31146169686565073,2.77401795178632,3.780304246625652,-0.8967841126529967
SIDM01064,3.73795363286359,2.8920776177599223,-0.28405893868651355,-0.8812557557971783,1.3530095065587378,0.47322361825243114,3.468982177504898,2.4491224201753243,0.644610233668184,3.560748374393907,3.6395678440347576,2.717767468846838,-0.3933099537544847,-0.14065005323474528,1.4316475243857931,1.6352614611064424,3.234062454146069,3.737913446467857,3.6655044596271082,0.6852571518050284,3.1917762921746076,3.742605969293997,-0.250576254875864,0.13551515736798844,0.03872802011336623,3.320528137005746,0.7683081721964585,-0.4711671721641513,-0.5092509846210057,-0.3769949802598593,-0.5604053719702159,2.956583682270323,3.403592527091795,-0.7015993945409866,3.6546712438767335,-0.5453018507685388,2.451585755290805,1.9509276611462916,-0.8194601053372411,3.49802764333669,0.06833646745757717,2.8984648460074878,1.9124297415515634,2.5616221124216314,2.6720101889855123,2.2342337676217894,0.7588887064698701,3.5619528333345483,3.3462002885735203,-0.6407321251748369,2.9966176744166306,0.3913256794284897,3.2198666620629552,3.3688336028719994,3.7040537609669113,-0.18098966236716163,-0.3099672988142935,-0.40300864515535245,2.5266298079973013,3.5588054279093413,-0.921295455289583
