,RAD54L,XRCC3,RAD51B,NBN,RAD52,RAD51D,XRCC2,BLM,EME1,RPA1,RAD51,POLD3,RAD50,RPA3,RPA2,RAD51C,POLD1,POLD2,MUS81,TOP3A,RAD54B,TOP3B,SSBP1
SIDM00519,-0.4144763813818465,-0.653214650744871,-0.6958557117863592,0.9494768659128554,-0.7408373777601255,-0.3936775021221547,-0.5475701547288325,0.620121784964587,0.576019265670089,1.0199962751745408,0.49846253912533395,-0.24936848684332732,1.0339972357348755,1.4185303772704332,1.297476143247851,1.0748097307228217,0.3165848762445895,1.9498326923352205,1.0835668450507767,-0.3890193496586961,0.25472134376205546,-0.7661850438965856,2.497366567933896
SIDM00917,-0.5210168297527611,-0.7691187530635039,-0.3221278318175889,2.2729135638002154,-0.6282610295219941,-0.30655333429866033,-0.6791344807247918,0.6609809939175776,-0.21809101404269,0.8938098834241912,-0.5910051177038392,-0.15151569130918577,1.2720269470242367,1.5723315369111255,1.9387927910450704,1.3405209203393613,0.23644065543540851,1.4422157912653375,1.243346552899509,-0.49210881292610215,0.45645914693622475,-0.7545640686879906,2.2412399935990788
SIDM00309,0.3846530264195412,-0.9282079003509079,-0.7235091506626672,0.6376252873600452,-0.6488731934746031,-0.3482555518169045,-0.6138999471004757,0.49106332270874287,0.4464257934493528,1.020300056303163,0.13149006882139408,-0.13277874643576304,1.389608899044719,1.5183868527498223,1.8772496252033897,1.2785365445641363,0.4855099255343653,2.108978496090682,0.9137832603646678,-0.40539985687309416,0.308512446107511,-0.8315785896982777,2.5575664556560054
SIDM00099,0.02809711756127422,-0.7933639434624723,-0.759807707868658,0.7760587169865669,-0.24695976225168673,-0.3725565583142311,-0.5636751091065924,0.03414544867075907,0.5987837560920058,0.8306037336091929,0.3645202555198482,-0.07231240517742589,0.9652393684665017,1.2716767434247465,1.3293418742384464,1.0857060538931695,0.10783445113612303,1.8477326628684752,1.0745135776158354,-0.4392604219617204,0.4907864834655525,-0.8317218493473855,2.37633818374597
SIDM00276,0.7259684291944384,-0.6115893744555567,-0.6489864510665966,1.033880025694121,-0.7236080382180329,-0.3801098975558574,-0.5985646163473047,0.7428534545164518,0.7656498360332223,1.1210831579637184,0.9734725880191235,0.1381613907523391,0.1582589669258244,2.0597926609058246,1.5020510570202696,1.2018895453023641,0.5988639408418579,2.1725104258122925,1.458614839854806,-0.11522447479739416,0.9266628274897624,-0.7010308238974678,2.5668222162357814
SIDM00311,0.5703121874917653,-0.7790686261849927,-0.7252459860195732,1.057112572934438,-0.7656823897568983,-0.28085008945455686,-0.5105066232003577,0.9256610659405478,1.0886302280749018,0.8449839128498353,0.0214356449800298,0.11750128245092141,1.0716548758971995,1.6960682306073087,2.0177624920070993,1.5171581473358222,0.3475943435645107,1.9148410002474876,1.0735733464616608,-0.3400828993549272,1.1097536069832206,-0.8270477223262965,2.4811677996663195
SIDM00970,0.7043274665148274,-0.544764668163839,-0.6326373314438791,1.3675981754896793,-0.582773526675108,-0.43245662684528824,-0.3418187815593479,1.5428547583504721,0.7361361016004327,0.7494328251234996,1.0989017121590612,0.27893309120855664,0.3282879776001414,1.792940262583739,2.133304345614857,1.1045498372889613,0.9271603799365454,1.9766710874095759,1.3323475240377076,-0.5243330287038731,1.387079320858427,-0.6617976429715029,2.434591284058609
SIDM00103,-0.0899457919843266,-0.7391586244799757,-0.6255593326139499,0.8162506880981418,-0.7774130824238319,-0.3648664966607502,-0.7413766928616111,0.08271060623311743,0.4381275060588953,0.7845451062670067,-0.016481256602080708,-0.09967040348670823,1.0223892119310083,1.2050163693968814,1.1422137631214453,0.8327358962913316,0.19028650149354615,2.256905844742905,1.1707058536486608,-0.48906681253333795,0.18302125388047547,-0.7778945486720484,2.5099656063276012
SIDM00266,0.0484951175844515,-0.8517422776220501,-0.7654081374364515,0.3617423987963659,-0.4781016858397733,-0.6173524638434605,-0.6942226635117202,1.118989563464016,0.7597510288313849,0.7948505466979907,0.2633800833143531,-0.15931160319621784,0.7512350807313597,1.4813996617949452,2.144979063584971,1.4655510029714414,0.7896802950401414,2.1764890347533314,1.1131924238694189,-0.3596807248628616,1.3246409969170088,-0.7214329783017679,2.3069107221620184
SIDM01064,0.8159150090461884,-0.7363114134777542,-0.5977957339000158,1.2698287605054082,-0.4397982777437118,-0.35366603511409084,-0.5014498024143483,1.7998546861098055,1.1069884230662885,0.9458913019841614,1.155885726008934,0.29049725161110174,1.254805147119032,1.463707760719896,2.382273721554794,1.9004297379410737,1.2491542433695075,1.675223970914805,1.41973912225649,-0.3382320028926706,1.2121723678565768,-0.6527997005872782,2.4245414530286387
