,ST6GALNAC4,ST6GALNAC3,ST6GALNAC6,B4GALNT1,GLB1,ST6GALNAC5,SLC33A1,ST3GAL5,ST3GAL2,ST3GAL1,HEXB,B3GALT4,ST8SIA5
SIDM00519,-0.21623460629266497,-0.21145745239430147,-0.37126665815797666,-0.564700493669055,1.6752053816951888,-0.7053207930464587,0.8059291817784321,0.6637276584624875,-0.6053577462317702,0.24970519852152692,2.9666386345170626,-0.5322807735864954,-0.8603154165661931
SIDM00917,-0.17455150348388365,-0.8035011348576911,-0.3613665940783728,-0.6600166570924415,1.718281251049374,-0.9358307028143222,0.9908187718567152,0.3546656262786677,0.6107114103918635,-0.3001396963123799,2.0502039312738103,-0.18610002802835826,-0.8926394998031002
SIDM00309,-0.3253682615069245,-0.1513904651454385,-0.5899533747403227,-0.7134435953089909,2.015947495909379,-0.9275765293242937,1.2550201885432666,0.5852152032668488,-0.4106421691700134,-0.478038974634223,2.551099684632923,-0.6541416343296521,-0.934127182050855
SIDM00099,-0.5785432783257342,-0.7911623969610324,-0.27047982244473545,-0.6830428498399762,2.1315244285947155,-0.4338843856314288,0.9334920951847984,0.6818113534466393,-0.5296572244164625,0.06444188213508938,2.607453557214673,-0.4334660560941937,-0.8598764572853315
SIDM00276,-0.5327656496799255,-0.7632414283105379,-0.4778108814720256,-0.3844236340375938,1.5121758071734541,0.1458296073640939,0.5510559953546766,-0.6508272165846632,-0.5352499440248611,0.20065693552165595,2.3296042686510585,0.41766588658773096,-0.898118595619867
SIDM00311,-0.2941094751125764,-0.7709299465309054,-0.0769759496693012,-0.5424780409040769,1.9994451970580627,-0.9173112559378056,0.6959627734969852,-0.33715404684253775,0.005140792885034629,-0.2648895634550316,2.683327266669489,-0.8445205011874951,-0.8940130785540796
SIDM00970,-0.45135690649127724,-0.8235448495810944,-0.5617147773271735,-0.7326136224390163,1.6679272554772433,-0.8977160131929889,0.9668750388691636,0.7478502188205057,-0.5503244293884723,1.3070811867320087,1.7104474490255577,-0.39843225095762425,-0.9046481405774712
SIDM00103,0.17212356166247783,-0.8129076251075676,-0.05006430630316343,-0.6393471795636907,1.5419966569361414,1.037919468051166,0.9309403486884752,-0.5996578252627389,-0.46843938145256364,-0.23259425943431555,2.699360565859833,-0.944704401400696,-0.9099643279515751
SIDM00266,-0.24639936175512817,-0.4975774205138682,-0.4324471205416264,-0.6638878789934572,1.5103851422036285,-1.0026336449246123,1.0016192741781182,0.28205150246850885,-0.5149397702298895,-0.2913049598486608,2.1770014275720135,-0.6880538107792905,-0.6625916395119325
SIDM01064,0.5129419285057397,-0.7747714728688389,0.1384894568102811,-0.44044747988710337,1.900677309127898,-0.9920366207698094,1.1071779791531942,-0.8278397006264251,-0.33042490559999715,0.4460915083163271,2.2254115848582146,-0.5201457537572314,-0.9208565313043166
SIDM00098,-0.5999090561439303,-0.7663058759891388,-0.37466963586997526,-0.554878253952665,2.015664790972788,-0.47519253374035353,1.0248411389728642,0.5497574701042899,-0.28162086300405614,-0.20753462825884322,2.7826945251250796,-0.49307650854690244,-0.909852808868423
SIDM00225,-0.5875599740285146,-0.44803437770391524,-0.42894603094501077,-0.5001842413051754,1.5843883858823948,-0.8183173512541273,0.8676959576884514,0.726790811392518,0.17048148036137203,0.8309240862820799,2.3632054885870404,-0.8577123006021599,0.30577126590827564
SIDM00846,0.7760731003269123,-0.8044994006597658,-0.5470703833423839,-0.5022942907638684,2.027104596637837,-0.9549474799745237,0.9501605346168257,-0.6843572695213972,-0.4169894093052444,0.3246236839116918,2.7032567818681654,-0.5254636196469354,-0.9383229488709106
SIDM00291,-0.6863102598812336,-0.31194136671711403,-0.3436559142666403,-0.7289596771852819,2.3324716968642236,-0.8657696579723415,0.8273692828118528,1.1261228065467737,-0.23523491314350395,-0.1693771916229433,2.536105502280719,-0.45135339571870564,-0.7711695108961174
SIDM00520,-0.3076714263780044,-0.7166743969852205,-0.487028107030479,-0.38288124596925627,2.092231358887218,0.17974610254757312,1.3051596654824114,-0.5109508306926757,-0.510732817996365,-0.029772831458240532,2.5391994029367475,-0.7929776679037299,-0.8570840072867669
SIDM00003,-0.695386311833045,0.5421117458203447,-0.4855291435018741,-0.5310719739176676,1.6833037297993103,-0.9141219463481897,0.9541436373137866,0.8984439103053355,-0.1731519907107335,-0.39517659155968077,2.6375378808328827,-0.8310579593559125,-0.9280632727851212
SIDM00136,0.01215410344755782,-0.7919740757418303,-0.33313706918020847,-0.6727753395385562,1.8055324984589711,-1.0016528074081887,1.161309372791808,-0.4278025220617188,-0.20089299964852095,1.5825291906482073,2.477417680876237,-0.06571323653846098,-0.9302341708376345
SIDM01155,-0.01996681000164936,-0.7737988754919657,-0.21717672302756233,-0.6253351394861068,1.707782388435072,-0.9598158059321037,0.6895298315263114,0.23762065144451802,0.019110937110105867,0.5519442107362033,2.706426079217674,-0.7985864538688245,-0.4673962725119404
SIDM00224,-0.6374941356799768,-0.787909192788476,-0.6697435854036855,-0.6816796990185533,2.0967656853658068,0.6125300860465899,0.7745662481793926,0.779616524838391,-0.5566615498939393,0.36637531971924214,2.4322102078358583,-0.9046968438455806,-0.8968389197787254
SIDM00783,0.21611065046706832,-0.6618163760573025,-0.5349377041425543,-0.6141557613357127,1.6616085555963305,-0.7378736466070976,1.2190957979408834,-0.17933783086567495,-0.5117650527184914,-0.3932957646217683,2.4382826462456806,-0.7156683135778196,-0.9096881476578015
SIDM00490,0.4654822617239407,-0.5975482065071522,0.11392829649279165,-0.4732085966723497,1.8409202492583352,-0.2671245199751801,1.672929756935921,-0.16923359467635335,0.059159360602275,0.7352048015815371,2.4423401950749435,-0.8301274065571463,-0.8762464455420336
SIDM01090,1.837531553163248,-0.7694051138352799,0.0825231247142301,-0.6721730360365274,1.8405876990509864,-0.9555429968704763,1.0148081404500604,-0.7060424792874236,-0.42647390092125737,-0.05337407962817843,2.690686527832665,-0.9010768449038175,-0.8373411158179378
SIDM00394,-0.24106953920643034,-0.8092160724709193,-0.46690916910693325,-0.6612018740568348,2.186231875764561,-0.9322424572089443,1.0126848782056443,-0.5297976283107855,-0.6699959012504136,0.0169624572825337,2.8877331183070125,-0.497621586733268,-0.8111259465087541
SIDM00538,0.2587131612741173,-0.8276460388222139,-0.5651762042518892,-0.5967751180840544,1.9183975260959476,-0.9702172036786824,1.0327813711892275,-0.6580673942025943,-0.5223315349150467,-0.09522936528554417,2.0354531518398953,-0.5831382016490048,-0.7526455121712465
SIDM01140,-0.2043284613593221,-0.4161933630714818,-0.5772795694282129,-0.6750478704995343,1.7075296434066896,-0.8869968803682301,0.8151380002666097,-0.49635401478728997,0.07498627125773161,-0.5993743218405457,2.1274072313241135,-0.6918170814215922,-0.9340074599844896
SIDM00101,-0.31580243778532946,-0.868370525418968,-0.29589078931164164,-0.520726973950704,2.2039173958803246,-0.9862358493637025,0.5962120184840016,-0.13328480545131205,-0.4830752985354647,-0.43589326666600986,2.9335490460269646,-0.5164193842228689,-0.9388091051820748
SIDM00114,-0.36103232258163026,-0.7990065759550637,-0.2454012594576515,-0.639461552250053,1.8315788654197462,-0.9077605024199711,0.9823351326542006,-0.7937639587324569,-0.22695788827510088,-0.5111430775007427,2.1072806971180134,-0.43022738233267893,-0.9068109267317218
SIDM00102,-0.028125271887591632,-0.770991465397298,-0.39061430678813075,-0.4655697392010359,1.5437400227713338,-0.8840239750822262,1.0189810575510103,0.30286751491373515,-0.35561647635051713,0.31585365982102737,2.5131546330280745,-0.6660694459097682,-0.897877655661116
SIDM01122,-0.5029581722554325,-0.8461130312025867,-0.6484402768670264,-0.4788855612719349,1.649299710125159,-0.9725682164916633,0.49669641337014936,-0.22937660312550784,-0.37746602832216697,-0.6778246103176849,2.532732633515445,-0.44791588193842535,-0.8425896291078392
SIDM00261,-0.5844549115256439,-0.7020997168455517,-0.4526779319036784,-0.6439625021096904,1.8819658712502223,-0.9504522004639346,0.7728203984782099,-0.0005088442164749073,-0.24679249647548288,0.24124788911874107,1.5314571128540377,-0.7238129166254058,-0.9018319724418171
SIDM00154,-0.665053652183753,-0.8218669748683141,-0.6762748679871092,-0.6741539567998468,1.9425052726829022,-0.9739202658820747,0.9516822608060557,1.1797138082639367,-0.5936413273231631,0.21997826810187782,2.414962099451502,-0.10484856804380038,-0.8886557225654702
SIDM00104,-0.07691374651060494,-0.5081341564142144,-0.4884292313387012,-0.705608156373411,1.7491020305617315,0.1409165147932314,0.850980104303553,-0.43269109479976675,-0.42692016676435846,0.20976155403260777,2.9001949409181584,-0.10629994276518288,-0.8547911065501809
SIDM00267,-0.29385262413185753,-0.793284583456253,-0.6994039924204354,-0.342501175131887,1.3390615592782067,-0.9528223787976678,0.9164815134839446,-0.613654141535211,-0.5762849202393925,0.7152106487505767,2.2136840080623865,-0.12531906461904432,-0.8892367770931491
SIDM00100,-0.4548611947809417,-0.7235671420519064,-0.27922522882775097,-0.5153502540993419,1.719571712765596,-0.7978405367627641,1.141256982294581,0.5367875691189868,0.030352201689305053,0.8832805748390956,2.220845701391757,-0.7104420957536595,-0.8571026730106442
SIDM00826,-0.020221117025383564,-0.7679060814685603,-0.6783797984386013,-0.6958638794472981,1.418678556803117,-0.8076452090092251,1.7562813084614293,-0.3164911352761508,-0.5168937332350922,-0.41930989410115765,2.7732038484891195,-0.03659823398476023,-0.8234145362553664
SIDM00310,-0.4442771701691737,-0.7813720109561259,-0.5009726882220802,-0.22110113179543217,1.8121526329863624,0.29140236365216854,0.7988242634522862,0.6589461494133579,0.17418213177876976,0.8956649878994647,2.8748102384364436,-0.21859950209610235,-0.9444442352678467
SIDM00482,-0.12820469812256255,-0.7756448460548864,-0.6144220048345889,-0.7020112637553486,1.1348456741580737,-0.9251132879041954,0.8321945216259322,0.5997461864896483,0.40314023299695495,-0.5738146299037786,2.1030678071300897,-0.8096651591180433,-0.8303967504185241
SIDM01247,-0.5342461487262145,-0.6740350045809832,-0.6137557692325918,-0.6503286349784905,1.0481943682366517,-0.952896123491382,1.185561023511874,0.04106585511156366,-0.36603394778553994,-0.3852791734880823,-0.6448264542251787,-0.6120188549468183,-0.6392166583948429
SIDM00817,-0.42212576366002263,-0.8224873718437878,-0.6219102143459058,-0.5768414349040454,1.2831770254976167,-0.9643441612130957,1.3369082096293003,-0.1847836701907067,-0.3843621905737956,0.0996952747604039,2.84163530060794,-0.6228887863824637,-0.8731322140484895
SIDM00448,0.9076661147790303,-0.6200547399463404,-0.625982922399629,-0.6323675690798599,1.3641790906975226,-0.9035305218062641,1.4929540900909208,1.011380449444587,-0.07857260103903921,-0.25747681395681077,1.9248833959634697,-0.48550927748427186,-0.7070455518114884
SIDM00086,-0.18816912530391533,-0.7489993901756016,-0.4804754712132774,-0.5991140157681109,1.675774814014208,-0.9247072746310049,1.4322905847819958,-0.630211439184543,-0.24085096384681243,0.34390299931984647,2.8072698846417463,-0.6206734727806257,-0.8127788122486227
SIDM00466,-0.20285449399804895,-0.7104547049377765,-0.22545144976123083,-0.6302378359360516,1.1998118141875,1.9096790416672702,1.2577360627768481,-0.21315690755398972,-0.5686773384654834,-0.08570345681036652,2.37592478767619,-0.21895302291376212,-0.8277921308227361
SIDM01132,0.02077005967809623,-0.5645087145683295,-0.36262074688710416,-0.5213327279707333,1.963965666503883,-0.9197910003587695,0.7241413454421923,-0.34187246153167744,0.0272786469804297,-0.15340857495636115,2.547640447894066,-0.6055320436310747,-0.8192413416316691
SIDM00465,-0.1255196362382013,-0.7852480663007365,-0.6188245420639832,-0.7019173999027537,1.8591890307864616,-0.9653546838032591,1.0780578018820166,-0.5253191444333526,-0.5855167972637639,-0.6204028145426902,2.7847772992100155,-0.5960458943950607,-0.8331512960844782
SIDM00565,-0.4077417176073646,-0.8310838889581511,-0.6582286464497782,-0.6234616198773532,1.3709867225053782,0.7271755269503958,0.7561609306917051,-0.3832792615454518,-0.6695803099990513,-0.10621805287951899,2.7470710302579313,-0.4535254765062783,-0.8441771508324841
SIDM01092,0.4321283213317149,-0.6947637206970279,-0.48366688793355267,-0.6708120850813944,1.4725469274819531,-0.8745259622275453,1.4465299945979997,0.6336339761471858,0.27766781838246396,-0.19474874094469952,1.8868928365170887,-0.3646953321036408,-0.8848322312529544
SIDM00218,-0.36813452541522573,-0.6907650666480875,-0.2587937961476423,-0.6473678902670433,2.049830383974875,-0.03925471985543544,1.4329070469202356,-0.4592034532889243,-0.7085784648819168,-0.018489058031244933,2.4759024722393237,-0.6448508748999163,-0.7689831107466648
SIDM00044,-0.2070922536292417,-0.7856878949215482,-0.25353099600205814,-0.3646143468882978,1.9995197267343632,-0.9487609868661813,1.5715706995740364,-0.5269611485508378,-0.34570942804545873,-0.45804572441143976,2.8361318278780314,-0.7712802587529677,-0.8028041466827615
SIDM00362,0.5223128660208834,-0.6719922048857663,-0.29106543321392736,-0.688206725800975,0.9192907319314172,-0.9602088530150755,0.8410928557248399,-0.18815884696461388,-0.2231458135369224,-0.4197785450599457,1.4850666530733019,-0.61670265132957,-0.8210553402896031
SIDM00813,-0.4031406406753804,-0.6656292486303182,-0.544204705476958,-0.6987000327829401,1.7264215386518122,-0.9632512634781304,1.0243255746103468,-0.30940270157377314,0.14183723174896334,-0.19138981956683027,2.1080362405193402,0.03667997756151914,-0.5769152703045607
SIDM00364,-0.06418907643024725,-0.6542640050012667,-0.26932256036805796,-0.6982969687179615,1.3101954471587995,-0.9787929405035211,1.6095231715918172,-0.44981575498833,-0.3722440174270891,-0.5144360023948764,2.4253143647172792,-0.7133405441102644,-0.4680650511806548
SIDM00792,0.1331891438763631,-0.7337250644091554,-0.591778046672626,-0.576896697732879,1.735110909932463,-0.9423994480491371,1.6298839541517316,0.1333744027291128,-0.7016874521230094,-0.6722067141572325,2.1084843980395673,-0.23664204818142076,-0.644459433186756
SIDM00241,0.1451286943122859,-0.7787834552941543,-0.741032482702437,-0.7621612496622175,1.4855096809865143,-0.96436039915487,1.1177775683106486,-0.40733220059368114,-0.7000481957027755,0.3688492085346363,2.248597048249676,-0.5928377733668232,-0.8656346637681392
SIDM00091,-0.2912961964870159,-0.5760536778445038,-0.5177553932357212,-0.7298223537665495,1.7368576778520555,-0.932110645181727,0.9598658609816809,1.3193459709501094,-0.4504756524753133,1.0622022036825818,2.4848826176772705,-0.5390897084067358,-0.9029043760203441
