,NCAM2,EGR1,NCAM1,ELK1,NOTCH1,PRKX,C6,CCL5,C5,IL1B,SOD1,STIP1,MAP2K2,HSPA1A,MAP2K1,BAX,PRKACA,PRKACB,PRKACG,IL1A,HSPA5,PRNP,C9,C1QB,C1QA,LAMC1,C1QC,MAPK3,FYN,C8A,C7,IL6,C8G,C8B,MAPK1
SIDM00519,-0.7893841674317531,-0.14026389926204624,-0.7425725697420542,-0.7840267385326611,-0.5217060943691294,0.009070405730790947,-0.9030508576103123,-0.3219774777435255,-0.495479005241168,-0.2167654205277526,3.235557521260157,1.5208347420226047,1.2117328419628624,2.6501021367749034,1.4682702253736368,1.1283881213024127,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,-0.0696201721501669,2.013322528200494,2.17071723110043,-0.9420982199317257,-0.8284827955650852,-0.5239746563272963,2.418454787062464,-0.858059608392747,0.5154256853947725,1.307152286069642,-0.7084936115464693,-0.8718176826350038,-0.06574918497559652,-0.7693873461790143,-0.8077004069201315,0.20225978087680163
SIDM00917,-0.860375742846483,0.18450516424414612,-0.7387010398697567,-0.40131305647021154,-0.5122238888023264,-0.0030871924810914725,-0.9284152704615724,1.5810691863936355,-0.5588061776669128,-0.7157615594981127,2.93680660728284,1.2855506294225931,1.4353305093647586,2.408338445961112,2.1682208807797045,2.0651725725111083,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,1.5940211196923955,1.2750859958446203,1.4054243348090973,-0.9795542171198738,-0.8733555120349572,-0.2890540517309097,0.9390085236376848,-0.8834939384973209,0.12581611851856564,1.0727373579708706,-0.7468486026639539,-0.8326654940059455,-0.5730148655163706,-0.7638224113677594,-0.7171066404633881,0.7518296918279702
SIDM00309,-0.40100491805787675,-0.3664034218297381,-0.738082211133191,-0.6731966554500092,-0.7748662803832526,-0.3506946920234881,-0.938866701075303,-0.7494871161450463,-0.724567283683529,-0.2638700280432006,3.2213579350357198,1.5672131584407092,1.29693709399388,2.5312393387769627,1.533801591408699,1.2889181462810615,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,1.0024350050423831,1.3590627146268142,1.3347804664216218,-0.902088512886485,-0.7921027259112977,-0.5532709603915592,1.7804193141735638,-0.6620247313073511,0.5986800821643932,2.1707496772515524,-0.6761532344948097,-0.8617346961803035,-0.5258352209916104,-0.733736966954814,-0.8520908558400183,0.19821987316206793
SIDM00099,-0.804374547775027,1.3113049879203063,-0.4715292751778058,-0.5237087186392813,-0.5574870436852638,0.24545625125314027,-0.928202600296122,-0.6856084021375127,-0.28464357303462634,-0.6613169484086525,3.1771265219851124,1.2927996932337067,1.6865245406992782,2.5524761385760755,1.4524860221399285,1.778221651865239,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,-0.7335617544899039,2.29696737678618,2.0423190887165674,-0.9354989038777225,-0.8409825555127204,-0.4239775850873359,1.72872835623795,-0.7637374996760362,0.6202538847874911,0.9698603220525946,-0.7065317737953316,-0.8636109325089616,-0.813236293695699,-0.7318542887471801,-0.8845182590830923,0.4272251428179874
SIDM00276,-0.797571509019436,0.07911375362746431,-0.7413840181726775,-0.5465460043217087,-0.7326194408150684,-0.13406283809776876,-0.8757914083386275,-0.7966182986974407,-0.5331197727707544,-0.45111261766847927,3.269740045698792,1.9631686660265983,1.5730502356630185,3.0087878149589096,2.019959361654287,1.1320674877821444,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,-0.15156083468049708,1.4307298806724233,1.5158862715681667,-0.9625384251279809,-0.8091479311026475,-0.47873217896666653,1.5448143573048398,-0.7217168327265787,1.1105277507367421,1.2409770589816889,-0.7236290753865409,-0.8737180477554447,-0.2037712524924354,-0.6793904342677533,-0.8317134649261944,0.3901472004011665
SIDM00311,-0.9093297950969682,0.5753459463010885,-0.617069902470772,-0.6672810289345888,-0.7095312214792556,-0.43949852066979184,-0.9754692533717059,2.6065702328105425,-0.35490564026736376,-0.6986167104004898,3.3034092051487,1.7202354528356534,1.3593653195542226,2.7369482822588087,1.8896826961927777,1.007198245658985,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,-0.7357228783096136,1.879761561306915,2.6172580145216164,-0.9323226237344044,-0.8364310664658732,-0.4155282746566342,1.7416232465179657,-0.8039249398881325,0.29001810221540564,1.4117324812219323,-0.7929076536740447,-0.8398627549681815,1.278100008928427,-0.6525582777998635,-0.6195566310357327,0.38729023043362193
SIDM00970,-0.8949244488217426,1.2951606186830116,-0.7599426703378063,-0.7488246410809445,-0.5648407453867132,-0.0036272333850462333,-0.8812430192368592,-0.7800737977166667,-0.5582556510215592,0.8619130503356253,3.1189533735743655,1.4494714001673177,1.0350064504926018,2.807885324774813,1.5480021660770813,1.341199287042788,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,1.8911977479499542,1.4050107453303167,1.4375867930771606,-0.9534229253718595,-0.8316524039667564,-0.5007755154842267,1.529592866310352,-0.7920993171746353,0.3293145122295789,-0.010292471860073364,-0.7507416014652641,-0.8742944111945391,-0.7280346011888512,-0.8125247616816073,-0.7320347676758566,0.8119872597350951
SIDM00103,-0.5298587016215583,0.31715315039007413,-0.6121677218138252,-0.5670632686165039,-0.7007102824809016,-0.141904177810424,-0.8888081930764689,-0.40439660552982293,-0.21228699440577745,-0.5290849951425801,3.233731808483555,1.459847435302653,1.7208696588265395,2.683658246192157,1.3916393884940752,1.3909918724212125,-0.5592154262132353,0.319056458936254,-0.7280524335108798,-0.3558077082252422,1.7316200308159662,2.524569584880536,-0.9391422047733452,-0.7584840984370682,-0.28836340033777164,2.0423243913650926,-0.776435322865215,0.80055510601947,1.3198761775309895,-0.6534200192139789,-0.817976904698665,-0.3129267717127321,-0.7230989615361152,-0.7384067318290946,0.3533626797819316
SIDM00266,-0.015902586588800532,0.40262352447176913,-0.5948670775528881,-0.5910757786974721,-0.8450219200511189,0.33201053192936386,0.2598029896018036,-0.7286578393815804,0.1277774493297638,-0.21590178351473444,2.95701860817438,1.3221516703883611,1.421884080467031,1.9437240953708337,1.3033679463501235,0.7778950231981702,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,0.6958285692628143,2.556629088673547,1.8464293391402908,-1.0047789004085184,-0.8291174031283335,-0.30796627858714065,1.282968225698058,-0.8306965827812931,0.43598438125523226,1.5092997359795841,-0.6489559948241166,-0.6149018609680016,-0.8609391685527416,-0.7638582418331851,-0.7785037459106979,0.5203234391390296
SIDM01064,-0.6906103932872389,-0.2816767125600846,-0.7190907372311521,-0.734554988093518,-0.48925252839574546,0.1056745475013724,-0.9483450019113712,0.2926152772714306,-0.5351562907308852,-0.9442081731163728,3.043805883924543,1.4278336077059595,1.1257725690972324,2.669403199037595,1.9344409784512715,1.0152931764565603,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,-0.5716978788573104,1.3777806969793978,0.8359996788380413,-0.9709589246881787,-0.8037991248132901,-0.5091808108476895,-0.7113395961304901,-0.8028668014852047,1.0024155733741154,-0.7862023710063906,-0.6469693299893736,-0.781398269637379,1.0169902188629425,-0.5373816898659927,-0.7894787340519839,1.324784881453375
