,PAX8,HRAS,CCDC6,TFG,KRAS,CTNNB1,LEF1,CCND1,MAP2K2,TCF7L1,BRAF,MAP2K1,RXRB,RXRG,RXRA,PPARG,TP53,RET,NRAS,TPR,MAPK3,TCF7,NTRK1,MYC,TPM3,CDH1,MAPK1,TCF7L2
SIDM00519,-0.7961588459518185,0.8798485214472693,0.3688487402148353,1.488145757806433,1.5419688881072011,1.2176476867537853,-0.7667498242748586,1.4576129059103546,1.2117328419628624,-0.1982741848813393,-0.5413997596560421,1.4682702253736368,-0.26789981353743914,-0.8671989843390221,0.6223185880347919,-0.1700906585253548,-0.5490992699972357,-0.7562503197163823,1.221839698263148,2.0018944670228844,0.5154256853947725,-0.7871562844557515,-0.989107384644747,2.1568489899129997,-0.00525236377603938,0.5996811532132683,0.20225978087680163,-0.3214029222485103
SIDM00917,-0.783679715752704,0.5785314872233444,0.21768147041438568,1.984775329287762,0.6747655177517772,1.2852809793337285,-0.845652064579716,-0.5683018791586874,1.4353305093647586,-0.7452880684152653,-0.08737606934962737,2.1682208807797045,-0.11107106572296516,-0.825796317543983,0.4172663715719339,-0.3640478483180394,-0.5377656233603392,-0.8189476342344821,1.5502036363871254,1.789040340826838,0.12581611851856564,0.6162921631342847,-0.9843538536901542,2.8043043388059963,-0.2229392020940833,-0.8302974159753143,0.7518296918279702,-0.8294919534732412
SIDM00309,-0.5720326809556042,1.0882773068400704,0.5380654201286574,1.9089348328010556,0.44635764588407606,1.531051666763261,-0.8265444768270023,1.750803738259115,1.29693709399388,-0.42172379788324077,-0.5982155072109197,1.533801591408699,-0.13070142208776891,-1.017779917657865,-0.1299889697400401,-0.4836466316349483,-0.4883528195407754,-0.7989900903993702,1.256524659301111,1.803764405972168,0.5986800821643932,-0.7015432307637346,-1.0326645235989056,2.5090390498281514,-0.32402259701727515,1.2032511283514795,0.19821987316206793,-0.04938563469555932
SIDM00099,-0.7526586851649161,1.0093641595797609,0.346046024305044,1.9740755794667286,0.6730085000785737,1.4339588043516427,0.034040901227907885,1.9893804939894844,1.6865245406992782,-0.2503047552254338,-0.4747716843383623,1.4524860221399285,-0.18224330928209767,-0.9177369605752332,0.3019017433800442,-0.0892813221649675,-0.4606656978346491,-0.8171139954719306,1.2061207614674792,1.6832581112134173,0.6202538847874911,-0.7347915157505426,-0.8785748059294002,2.8580368365656548,-0.38513212864213814,-0.9146071897728487,0.4272251428179874,-0.4890676835513929
SIDM00276,-0.7327412040162853,1.1816656923996194,0.7740679407910703,2.0868527823036827,0.6515748950888393,1.3183493700636075,-0.9211039188489438,1.110777565362061,1.5730502356630185,-0.6224876156625813,0.4225250613223542,2.019959361654287,0.11281690019491557,-0.9127967189285877,0.6273179601490205,1.2639958822345088,-0.3152874840479835,-0.8383251550134475,1.9524905147513523,0.7453679413257424,1.1105277507367421,-0.6869865589032614,-1.0051333665100775,2.115272456379971,-0.3176043086729943,1.1936296443407253,0.3901472004011665,-0.41397870405731296
SIDM00311,-0.8434747880658563,1.1499067182680816,0.38485366912768454,1.9997734698000669,0.5102474431294666,1.7525331315109194,-0.8430178040505248,1.1408512642531226,1.3593653195542226,-0.19058832911240217,-0.7453538371884136,1.8896826961927777,-0.30908518314063327,-0.9653775300495114,0.5809582883918367,0.886441704822219,-0.4660973343828472,-0.6724055442351351,1.5785594577365645,1.4618576630500257,0.29001810221540564,-0.4863196877432758,-0.8390763323326269,2.967969496653463,-0.3382673124598491,-0.8511073983279972,0.38729023043362193,-0.4086980928180935
SIDM00970,-0.22409574625752435,1.3507311932125972,0.6315267938518118,1.4737886512621203,0.8955143169693113,1.875124878476745,-0.8504491830167896,2.0377973060067225,1.0350064504926018,-0.7587748205084407,0.16764458696924706,1.5480021660770813,-0.258225501266485,-0.9498949336668708,1.0638361103115348,2.5533724248740395,-0.6567645675008575,-0.8283066451089485,1.2890579677789475,1.769781740167584,0.3293145122295789,-0.6940898776794232,-0.9264545306949441,2.8190670787098924,-0.06999964916926125,1.583007419094312,0.8119872597350951,-0.12257386523000707
SIDM00103,-0.7296200565723435,1.4511064022891142,0.6084647127787567,1.777600713969524,0.019609299068091418,1.319050504339812,-0.8549719750111858,1.692495608595488,1.7208696588265395,-0.3875862553480194,-0.3199136617291577,1.3916393884940752,0.04614482880642706,-0.8957544925934747,0.2987497200555495,1.5215535293443523,-0.5608796842096238,-0.6120810311045415,1.5912580346491147,1.6995451527262033,0.80055510601947,-0.6853490195046105,-0.932528980487198,2.9416310920056388,-0.2830885737627439,-0.9058538182479098,0.3533626797819316,-0.32664288476617903
SIDM00266,-0.8226513044124143,0.7427837498526729,0.4300614022939964,1.7822479707267382,0.9111993007529532,1.3629373334990487,-0.3384008476793809,2.5759797624614174,1.421884080467031,-0.3696895716185509,0.1151396341686013,1.3033679463501235,-0.068863008347731,-0.778794521329002,0.39520691193177704,0.7911041600776344,-0.6844618064062402,-0.843844558820136,1.6647147494627599,1.7046679725097253,0.43598438125523226,-0.7361585838228143,1.0449184106929315,2.4907638735127424,0.330469296555627,-0.7989717166732344,0.5203234391390296,-0.6945217951117894
SIDM01064,-0.6620104509300588,0.8651038677438343,0.9054010251474381,2.236719588851028,1.139741061167428,1.187079652225721,-0.8129703626216489,-0.7509793774513629,1.1257725690972324,-0.6416339521020705,-0.3823909016943919,1.9344409784512715,-0.06694816192885211,-0.9169660559268452,0.11711991448442115,1.9581987025887575,-0.5881384431654524,-0.8606572099561012,1.8509542624253292,1.9296295086209896,1.0024155733741154,-0.7454782273242749,0.9670589696921357,2.881343173952386,-0.27260482846867734,0.2972462104533855,1.324784881453375,-0.7432987552748739
SIDM00098,-0.4917332391677286,1.3875517393560706,0.23225381237789947,2.061515319277425,0.47466145476394606,1.1847327015843487,-0.7068986728575346,1.6140950636714726,1.7985337293991823,-0.40966948356273286,-0.7822293700544648,1.3068758587456268,0.16737489121341692,-0.918345870804778,0.8349728424244163,-0.110271156667358,-0.2857234055097085,-0.7901046674322355,1.796453302028577,1.7042389947901397,0.3043844854751119,-0.6310401565802424,-0.9111757542563518,2.3982683497107904,-0.22890675241050404,-0.8382583698631063,0.45912016079758144,-0.47987986709415936
SIDM00225,-0.7410595058380737,1.1051907729656958,-0.07887641101590286,1.91679415920256,0.879071646217962,2.132991620564796,0.7546718776563459,2.0388315196239675,1.273364272885486,-0.313556633708981,-0.37593296330682047,1.7672558841865322,-0.11849605859982237,-1.0229220463046895,-0.033560720986816374,1.6105115073579366,-0.6204080570580509,-0.8138172832161197,1.8397846356450012,1.9469974848964955,0.42574360123698995,-0.6120152136276269,-1.0252480764945249,1.805070708867808,-0.19020054032841702,-0.8833461458571928,0.5101479725257008,-0.09047966366725571
SIDM00846,-0.8305841834167031,0.6951875006183451,0.0674203519040314,1.71629161844398,0.705831098423714,2.2337033467864043,-0.8522335206061834,0.07087854832076719,1.1338849989723598,-0.6902312467859295,-0.7589388476329242,1.8566577901095587,-0.0919220573784203,-0.8531627366759071,0.6153103081929171,0.38747119730656143,-0.5811015847484154,-0.8414920390130443,1.689101416942715,1.6540086298507106,0.40456292514070263,-0.5186419668267465,-0.9326473505947042,3.130524928138079,-0.06704645238121243,-0.8552838084429766,0.3639110576930663,-0.13349142318003934
SIDM00291,-0.5758678811976651,1.0154145333144973,0.08145518013089606,1.9464979996820078,0.9636772611317815,2.8124769493023374,0.9914871875769924,1.394041590551702,1.2604308368381785,-0.6275945068417674,-0.11087046888498304,1.6589398477165531,0.2527391341103366,-0.9117378270697215,-0.044565311585130316,-0.7115606379547433,-0.5084398361676555,-0.8147601746265626,1.374692858095759,-0.5464805661490549,0.8556571961413694,-0.6006786525323217,-0.7104477137082044,2.9740459902471432,-0.15969360084117742,0.5619050414283527,0.5321205356572491,-0.32555578224171416
SIDM00520,-0.5887232904124579,1.5161091203354689,0.33838101630197187,1.954964994133521,0.17721634025831323,1.438357307192851,-0.8535234627173709,1.9365871753526132,1.5326932560318176,-0.4050463082134792,-0.5368144346923572,1.5191012332163636,-0.044918379169443495,-0.8681847502103158,0.4121426829651195,-0.13074125063860167,-0.5243050792613837,-0.8646282233174846,1.533903796599923,1.668055129613648,0.5000866377405552,-0.7213972304341316,-1.0722758934495973,2.5422411621911642,-0.2649494531861576,-0.7337348324747057,0.26042457304454064,-0.2467814588438119
SIDM00003,-0.7840757383450249,0.8197722327603156,0.19225943524962752,1.905814884243411,0.568297621257225,1.965475059810824,0.5357666464399241,1.164899253512414,1.5988747555684801,-0.34735395058080565,-0.36580442658776524,1.7012680244644953,-0.2513095819737443,-0.6063709891035232,0.19989784403672978,-0.8178896075618857,-0.5195021342956749,-0.8147667827918174,1.6405661255028405,1.5514785322728597,0.46660514256326746,-0.5145826995763334,-0.9690498527527115,2.6661248089944,-0.03434806618749849,-0.8701003068147007,0.7243979395425967,-0.4361330439927213
