,HLA-DRB5,HLA-DOA,HLA-DOB,CD80,CD86,CD28,TNF,IFNG,HLA-C,HLA-B,HLA-DMB,HLA-F,HLA-E,HLA-A,IL2,CD40LG,HLA-DPA1,CD40,IL12B,HLA-DPB1,HLA-DQA1,HLA-G,HLA-DQA2,IL12A,HLA-DQB1,PRF1,FAS,FASLG,GZMB,IL4,IL5,IL10,HLA-DRB1,HLA-DRA
SIDM00519,-1.0386262726376774,-0.759487187615111,-0.8995066411033797,-0.8773960331696109,-0.8494147967707412,-0.9311927655030178,-0.5600337566519754,-0.9300840824322217,0.10087621872552131,3.187525623381969,-0.6528306856265902,-0.11745663116171481,1.8938241351479466,0.2917932877761825,-0.9240046300844071,-0.8809258530671084,-0.14036690293772516,0.7556309314959715,-0.9078612974835442,-0.6835902490495037,-0.8552762103619947,-0.7405098487993936,-0.8500095596348652,-0.1732660053484683,-0.9122944676291965,-0.78224999423855,1.426481890672693,-0.7823200060139647,-0.8682762410128446,-0.9271930406874138,-0.8675141182544702,-0.8536327205195777,-0.28720554554339617,-0.906367164563807
SIDM00917,2.564093744552317,0.34617692899567964,0.12764982889070794,1.826736739893343,2.2939909671583387,-0.6433808897176444,1.830999589279416,0.0483493715889996,1.4991358427298656,3.6663476765561325,0.9145743162847568,0.9128778657408331,2.4692638527606587,0.41087511245564706,-0.8903612096981379,-0.7726088462316814,3.5048573757347694,3.0185796191821663,-0.5848995554409336,0.42175124772919653,2.8754514899834267,-0.4421501975428262,-0.6888859523753298,-0.4113101972766817,0.4211067066924665,-0.7347480535519665,2.5215052797383217,-0.8068097076991405,-0.9005710954226578,-0.7488772612517122,-0.8178315766669182,-0.8572141517941781,1.9781012486340996,3.494590086395887
SIDM00309,-0.960016427006162,-0.7349895016732227,-0.8650262547556056,-0.8756893981451909,-0.8970896840721696,-0.9736594079017136,-0.8252947442022723,-1.080285910491681,0.6130801415639899,3.214183508295408,-0.702628022902575,-0.19134190533736564,1.742302695727907,0.45833903870003895,-0.8973873176543059,-0.7930068416082126,-0.31685623071890795,-0.09459870333919498,-0.8779990737646883,-0.820810202798485,-0.8822903017517721,-0.7355329370315681,-0.8334600041818734,-0.6676006313017869,-0.7269201019206271,-0.7561218218574102,0.9070731447325172,-0.8104885493395886,-0.837143629849791,-0.9816497481095143,-0.7537781344851271,-0.8284773833065676,-0.2404282112448008,-0.7582596087680119
SIDM00099,-0.8855662207886726,-0.7591319998223833,-0.8509585785792771,-0.9153341784676792,-0.8352389370433234,-0.9910990043675716,-0.8381578425807334,-0.931121734606555,-0.3079279357089392,1.3362267561079113,-0.6384798976138358,-0.6987640886749437,1.6973635217737335,-0.25139688400941435,-0.8355179391865548,-0.826034249357654,-0.6696810121536299,-0.7347886175356101,-0.9321540167843939,-0.8052691501803051,-0.8360266712271515,-0.8202349040241574,-0.7175044414193924,-0.7390069908009805,-0.9120635014572644,-0.8334746813290703,0.930903134078281,-0.9146445239494626,-0.8859563555130472,-0.9004948197222211,-0.8250072987568752,-0.8578138576088669,-0.347542825813449,-0.8855155724255507
SIDM00276,-0.9916581306334903,-0.759468284672014,-0.2016403598949984,-0.8830804637983855,-0.888641716585704,-0.9223655621736347,-0.7093612735075637,-0.9907004059819221,0.5194126399542155,3.0843788911716468,-0.45326220425159125,-0.3431963101276266,1.8079058088730555,0.29573848814796166,-0.853053712366457,-0.7708399116371276,0.2515226328457574,0.5995141011266852,-0.8642806201423239,-0.6126236524364589,-0.896588229704589,-0.7481770720729634,-0.7795969948078352,0.1493108560269076,-0.7637220139450531,-0.8010180112043774,-0.04318668410329701,-0.8148084170734019,-0.9041189937956847,-0.9522851726014916,-0.9002127589764983,-0.7896059243898568,-0.42318176084016773,-0.8612612736173961
SIDM00311,-0.9068704989248833,-0.8078909537741438,-0.9008898153248025,-0.9333903376864,-0.8897458545697337,-0.9411540743837576,-0.7630319113703132,-0.9983434829906185,0.7097756397736831,3.3890163809674654,-0.7143681679650374,-0.07759214012071514,2.0609499708310124,0.6301123685812894,-0.8947551983743558,-0.8211018253688963,-0.26491364605303597,1.1005456651389136,-0.8905014002495889,-0.6971919202266059,-0.8367602643151758,-0.686297610704079,-0.8443897017756382,-0.3693355378255847,-0.7821481246194653,-0.7987195447794959,0.36575852301577094,-0.7443431153920639,-0.8703540484362817,-0.866873692571956,-0.8322675174813061,-0.7882661454750398,-0.5868674423644858,-0.8604028326316883
SIDM00970,-0.8755449884900229,-0.7738828000186729,-0.8644795362332542,-0.8623098708920847,-0.7858965953472125,-0.9345641858074027,-0.9528144348089674,-1.0016024397027243,-0.07375931608414199,2.2606561659210125,-0.46547376106870697,-0.5735949976064759,1.387628358318968,-0.07781346723921073,-0.9685678471241579,-0.8554872832435594,-0.2908684676498212,0.3478553319942334,-0.9347543444801301,-0.8010047431387585,-0.8481901017126019,-0.8439017854416965,-0.852247864580324,-0.8531308427409137,-0.7245226127527773,-0.7715658445194866,-0.3874832023965425,-0.8365462245567281,-0.8359706205057077,-0.8563244637310119,-0.8738129336902587,-0.8775637011727477,-0.44943125610196627,-0.7502764860897346
SIDM00103,-0.913591553549024,-0.7458778443958731,-0.8746732181425017,-0.8787626600903105,-0.849583314479646,-0.9285399505055926,-0.7985828210686804,-0.9662912596215301,0.6718124363882514,3.2166080832566806,-0.6158311292088278,-0.5402776651666361,2.239664566829769,0.8174712922398781,-0.946801039619253,-0.7901236509869108,-0.014606005088172187,0.42989452965257147,-0.9064598300519332,-0.43747900117128874,-0.8705528104410781,-0.6912647615748149,-0.714399399536755,-0.07200702243971076,-0.8214621981494243,-0.8664910255045645,0.8964305047705046,-0.7783009211564911,-0.7523639141810545,-0.8332045865226951,-0.8206538940805392,-0.8873494022381585,-0.3324986756890726,-0.9028877008665502
SIDM00266,-0.8695237638441671,-0.6614686722720333,-0.8273876326163914,-0.8951051895649392,-0.7784463507029376,-0.9507617311332528,-0.6886728367980001,-1.0339788944272246,-0.14377543901388148,2.269403907977295,-0.5495218626620307,-0.730954635279651,1.13524007771094,0.12995319763612048,-0.9394326481390457,-0.8448909171229004,0.3645437775747787,0.906066289592875,-0.8230027830372577,-0.37230222210173347,-0.9272710252616172,-0.794555972592737,-0.7070607866133303,-0.6029143542640338,-0.8111739066562624,-0.7480232316149349,0.3025587382148227,-0.7825221958441149,-0.8524911983122689,-0.8215947046643177,-0.785609961393071,-0.8662196745749828,-0.35737153835192254,-0.8858743292050493
SIDM01064,2.5597213838742223,0.26198006825270514,-0.680158197205942,0.35024018260585893,1.9345792136160118,-0.8958202328794158,1.2615577021538715,-0.8997361848249146,2.084415258299299,3.4034288725146906,1.1949111794702933,0.2266160600755611,1.7336106290850721,0.6787109632888305,-0.9395830653140689,-0.7689878989113619,3.591794618345647,1.5576623811316819,-0.812206662984279,1.419922603441871,3.169894136401991,-0.6721752179475249,-0.7081885708248863,1.012873667397358,0.9082229504652144,1.8249678833069867,2.2598797043841197,-0.8084632995821914,-0.8365803942263734,-0.5609866696001622,-0.7421805862317838,-0.7432726821938074,2.5233771458313368,3.410092265365584
