,LNPEP,ACE2,REN,ANPEP,CMA1,CTSA,CTSG,THOP1,AGT,AGTR1,ACE,AGTR2,NLN,ENPEP,CPA3,MAS1,MME
SIDM00519,-0.5661522704008483,-0.827402424770841,-0.9311260712450334,-0.8364035878635845,-0.9302197499828668,2.2105549947233762,-0.7507706343011006,0.7778926505155405,-0.7891639754559951,-0.6512376129901314,-0.6854802385451817,-0.860444482724028,0.2798113959800599,-0.9876865760862424,0.3421964212823608,-0.9572828737948186,-0.7754991358254126
SIDM00917,0.2851572297756108,-0.8295589522859612,-0.8380590550124956,-0.7243092327611087,-0.3267832169112717,1.4171175194544872,-0.5432628380327319,0.9635119428903187,-0.900178311467293,-0.8676385280338333,-0.6923181466857741,-0.7934809789004504,-0.06638033690043074,-0.9718006312556027,-0.9050550831749906,-0.8982179439299112,0.7145841063132155
SIDM00309,-0.8833486224588503,-0.8753494066707311,-0.9052936446853189,-0.8175980638542947,-0.8803087032271828,2.315326668590056,-0.7448491740253573,0.7838492295417664,-0.9245985908418168,-0.9906866310784317,-0.7624006273685989,-0.9262336169722517,0.42802484950634706,-1.0261075540373399,0.09690724278897031,-0.9615732130792486,-0.28404870308867697
SIDM00099,-0.6887396198837119,-0.8537252997922322,-0.8836192879135684,-0.8120268655502815,-0.9801694980638969,2.1335506963123105,-0.6639852019501258,0.16896123928738968,-0.5432554972691841,-0.8599952704043731,-0.7299900366657174,-0.8896417451170978,0.6475584314252706,-0.9434832035084408,-0.766498716078217,-0.8861740430498606,-0.791427151617989
SIDM00276,-0.6418681913776296,-0.04156943475120847,-0.6523514464841309,0.49459369642651657,-0.9460259340171557,2.448472627268072,-0.7753074992990104,0.9965028401631584,-0.9281106798608376,-0.9225626360114709,-0.7120651857266971,-0.9095320564704071,0.7553464231299857,-0.9823734790550546,-0.8693996321309985,-0.8845571102455078,-0.891929311008818
SIDM00311,-0.405731275462196,-0.8257283930267398,-1.0055088056173405,-0.8061839889438608,-0.7358874218804664,2.2905086572720514,-0.7434244247134216,1.1519363887987109,-0.9045858158238543,-0.8605472863833498,-0.7029566163762098,-0.9020054494339811,0.7661329595080462,-0.8791983300070152,-0.533581989989756,-0.9186982959290041,-0.5624206661401141
SIDM00970,-0.6128492992085428,-0.6893061037400288,-0.8922163351385032,-0.8019622365184762,-0.8743707046299347,1.4431465360869618,-0.7577154997713162,0.805140399443409,-0.8799531456655942,-0.8814812125413624,-0.6535956140817191,-0.8866667957545016,-0.2310771040200889,-0.5079509380015749,-0.8630846793105814,-0.8705155013661874,-0.6285498666523937
SIDM00103,-0.763243414079529,-0.9028682426349908,-0.9536496064170429,-0.692158617605265,-0.8376480371937135,2.273643534657701,-0.6941121251515219,1.02945478394129,-0.6210133172380424,-0.877329705203886,-0.719474480860089,-0.9071172311444371,0.3089827257349274,-0.9635467133202618,2.296911338824326,-0.9156353871098893,2.311714914723237
SIDM00266,-0.662172092182754,-0.8439316607229383,-0.8832854775034796,-0.827542490602055,-0.9180332262653262,0.939629952085603,-0.7624806088879464,0.7605347791229746,-0.928447942849847,-0.8068827020565827,-0.6548141354714619,-0.8194740711474522,0.7815735794462534,-0.7184879247607809,-0.6350195632142933,-0.923991763372644,-0.850102459782557
SIDM01064,-0.20597616382608439,-0.8390029438254019,-0.9238451418602904,-0.7200577050309689,-0.7988901498806517,1.2056055927634848,-0.6833349031904216,-0.7124386321513129,0.285260292438771,-0.8759255248069583,-0.6751226830184007,-0.9240460421599441,0.26490679260768574,-0.8832463472087433,-0.7658376566335211,-0.8778706781665333,-0.7918694849079042
SIDM00098,-0.7123596261889314,-0.8310211992536242,-0.8672001216839017,-0.9243422709018023,-0.8877964840956567,2.342532667178116,-0.6050165141260418,1.2200207014855233,-0.8161752417207369,-0.9562741833643632,-0.6716803693194486,-0.8727628990121766,0.8203702555085098,-0.930803164027488,-0.11386706749533541,-0.9306167393495945,0.004439891645228553
SIDM00225,-0.674095205458862,-0.8760003848459265,-0.8689459094898793,-0.04671082221668158,-0.8445352608674992,2.116912936091666,-0.7355999610728561,0.8676013612138912,-0.8493247478140546,-0.8812264491372813,-0.6946325710457245,-0.946681517096346,0.20262417337074265,-0.9272701931366959,-0.8763042775974145,-0.9279874714841422,-0.8428360204719976
SIDM00846,-0.5213710013962057,-0.8584720108217387,-0.8825780966310248,-0.564957838159358,-0.776506467415808,1.9747579515949645,-0.7269627061810293,1.2249607357774916,-0.7228690065949213,-0.880970296816023,-0.6556815153893389,-0.8795427337468315,0.5126149070377258,-0.97125121055859,-0.7587281464244758,-0.7976613869965863,-0.8111427392086014
SIDM00291,-0.5648053516258627,-0.8164213645095072,-0.7940146480135906,-0.7210227952012992,-0.8253682285769802,2.7413014074286846,-0.7677843116370869,0.49110712557684705,-0.8154192774720534,-0.9218100680380987,-0.5530357974155308,-0.8736289105901884,0.05283432049503803,-0.9633672709825575,-0.7632860144222481,-0.9309412622485453,-0.48439292787236427
SIDM00520,-0.4983680828799054,-0.8652852163182315,-0.7681036681913502,-0.6333693326944373,-0.8613146720614796,2.402080375139422,-0.7222280138903817,0.855953573572008,-0.8428652803807695,-0.8070055857302132,-0.6101165168600403,-0.8729612366673932,-0.023349561456646933,-0.9367578158028558,0.8530644538028875,-0.8711886652273589,1.6758875982079742
SIDM00003,-0.48031344087217115,-0.8459803609232381,-0.8257290243142887,-0.8873506489166318,-0.8232832901300199,2.1174099648942826,-0.7861591631832512,1.2762930636366359,-0.8892265447164401,-0.8885875332784432,-0.765700900786633,-0.8728643700343872,0.5329326822630341,-0.8904753097183461,-0.7801104944345664,-0.8745233946605911,-0.845609509047323
SIDM00136,-0.7085373435875585,-0.8540174710726695,-0.7190183769552453,-0.6644470454235911,-0.9257145617580216,2.060718696004352,-0.5571417202217007,0.8290376086072969,-0.30625481533407317,-0.8742538213746079,-0.7421465107806702,-0.8655521193381781,0.2726084949886938,-0.922792709950543,-0.8011288285927377,-0.9144202186424739,-0.8968416195016693
SIDM01155,-0.3517447747961721,-0.9245923918874505,-0.9228540912295229,-0.78476160718245,-0.870045085581647,2.1594328749826976,-0.7357638171767766,1.1220721103727334,0.34407225649799367,-0.9593087936252832,-0.7403094677924379,-0.8457755206290515,0.5533355961551152,-0.8350283090701136,-0.7716644780076354,-0.8185563071612104,0.10857232109934262
SIDM00224,-0.7526252891419248,-0.8096928388533041,-0.8089811271842481,-0.8467957020724256,-0.9628527121719396,2.388985850979563,-0.7341097165242603,0.7067298691898964,-0.7798437183844754,-0.9288307247243636,-0.6560190469646919,-0.9099122652886072,0.49233978142454016,-0.8846963055915315,-0.7960090910402898,-0.6550955561942091,-0.8387425047628345
SIDM00783,-0.7714090663159272,-0.8856682350114635,-0.8783124922770931,-0.8411604239828154,-0.939475091915158,1.374074975393123,-0.6221089946462476,1.2026382955623798,-0.9293859431335256,-0.8767372535058038,-0.7278018113118645,-0.9033862606080212,0.5399692029875041,-0.6935556859377929,-0.8374997758241308,-0.9892374379736286,-0.8291186182560466
SIDM00490,-0.6862666985448818,-0.8417878841468377,-0.7590287882132493,-0.8303182705913528,-0.9009305133841643,2.3666599184172448,-0.7696101022226711,0.42752930145170803,0.8663774096505642,-0.7279748085035133,-0.624354124972464,-0.8757047828804972,0.4439789468854114,-0.904178313039215,-0.8852997690028369,-0.8902970444036544,-0.7777273597801596
SIDM01090,-0.6106105427663873,-0.8978561495064201,-0.7679389438572448,-0.800793272082927,-0.8400872574533508,2.225125510970956,-0.7052386407747325,1.4762863745739314,-0.8973063825603995,-0.8613315401547265,-0.7546882527105089,-0.8284657037824731,0.49460920792507374,-0.9766837340243693,-0.7825080870432436,-0.9297256879904622,-0.8891520574333207
SIDM00394,-0.8469480532997218,-0.7081687535355644,-0.896221683440393,-0.645430547441524,-0.9441548415732477,2.1558015536413224,-0.7771213274371588,1.0166033583641791,-0.8123585305742701,-0.9424493819960565,-0.794901609344413,-0.8382754502242565,0.21200136793474617,-0.950897885762316,-0.8662929974022616,-0.8922396571165476,-0.7920232640987452
SIDM00538,-0.6904242854172814,-0.7874662041366375,-0.8659710203878297,-0.7005565436101602,-0.6831482075838495,2.2479908016544754,-0.7002628271211593,0.41725711600886434,-0.8416383643881299,-0.8931916807600642,-0.6508466906781588,-0.8862133348234748,-0.32140767718799695,-0.8860700826206553,-0.8374793680494045,-0.9082054646371547,-0.8104914363301661
SIDM01140,-0.8912135531832508,-0.8731020459430107,-0.9029025887984503,-0.6283659207059843,-0.6925980437457036,0.8395407662248944,-0.7576770884012086,1.362646691995831,-0.7845484135383045,-0.8874006245555711,-0.7489528106992888,-0.8629039335815751,0.8674417446341287,-0.9284247189484325,-0.9039809843527644,-0.8137714285090001,-0.7965928008141723
SIDM00101,-0.6037381322257505,-0.8596786915105068,-0.8027871295829092,-0.8942846296774732,-0.7767439367109438,2.629383847994199,-0.7159866344976931,0.7493392315138919,-0.693524133586447,-0.8983799744328858,-0.7137428865678388,-0.8771113252487632,0.0512412609960494,-0.9553327426448953,-0.6828489242310372,-0.939887895966083,1.0366455754775759
SIDM00114,-0.4849536886522321,-0.8316009046193292,-0.76459023843306,0.4385070134674747,-0.9514802469220961,1.8988019243428258,-0.7696362990044499,0.6638609660932979,-0.9763223814698955,-0.9712711953536234,-0.700942580358033,-0.8648426558645508,0.5193368598366067,-0.4728748572007949,-0.799070073130609,-0.9212426150525527,-0.8503586625758618
SIDM00102,-0.7201248784680521,-0.8353147956160162,-0.9752611651476433,-0.7468630861878754,-0.8745721929994078,2.949751900371441,-0.8439894504595448,0.8209458552133304,-0.8002974093979206,-0.35698471051878966,-0.6773113640697996,-0.8328292972508968,0.2355466109722883,-0.8863708357632817,1.2696684876884363,-0.9431920186750171,1.9009385351442367
SIDM01122,-0.12334793210548022,-0.9060724215539594,-0.8713900428164463,-0.5616917458045695,-0.9148967914253234,2.0777918474524557,-0.7144964118874781,1.0088581400419716,-0.9512912368914118,-0.910343547210519,-0.7517714273447137,-0.7994562764879446,0.13167067793397705,-0.9631769339152496,-0.7481527888264072,-0.8194114797144828,-0.6872980925248209
