,ATP6V1G1,UQCR10,NDUFA4,PPA2,NDUFS7,ATP6V0A1,ATP6V0B,ATP6AP1,MT-CO3,COX5B,COX4I1,ATP6V0A4,ATP12A,NDUFA2,NDUFA3,NDUFA1,UQCRQ,ATP6V1H,LHPP,ATP6V0D2,COX7A2L,ATP6V1C2,COX5A,TCIRG1,ATP4B,ATP6V1D,ATP4A,SDHA,ATP6V1A,ATP6V1E1,NDUFA4L2,ATP6V1B2,ATP6V1B1,ATP6V1C1,COX10,SDHB,SDHC,ATP6V1G3,COX7B,COX7A1,COX7A2,COX6C,COX6B1,ATP6V1F,COX7B2,ATP6V0A2,UQCRB,ATP6V0D1,COX6A2,UQCRH,UQCRC2,UQCRC1,NDUFB3,NDUFB1,NDUFB2,NDUFA10,NDUFAB1,ATP6V0E2,NDUFA7,NDUFA8,UQCR11,NDUFA6,NDUFV3,ATP6V1E2,MT-ND4,COX6B2,PPA1,COX4I2,MT-ND1,ATP6V0E1,NDUFB10,NDUFS8,NDUFC1,NDUFS1,NDUFB6,NDUFS4,NDUFB7,NDUFV1,NDUFS6,NDUFB9,NDUFS5,NDUFS2,NDUFB4,NDUFS3,NDUFB5,CYC1,COX11,COX15
SIDM00519,2.907465011311493,2.8717436117353654,-0.29394091983170373,-0.03950385594746771,1.8054672487911094,-0.20059881179149502,1.5196592605107913,1.3947301542864174,3.862569912718719,2.9774593418774993,1.9640332531308697,-0.02087325456552204,-0.7554713236213351,2.2794415572297844,2.6139800458754836,3.2301551158983792,2.2478182051361455,1.0439494101047369,-0.3205554113697593,-0.9072002982864708,2.3363657605532535,-0.827963009765431,2.8630510921314696,1.252682822241085,-0.9490947968061608,1.7793514150834784,-0.840491619384632,2.374708395974643,0.905105922565385,2.1852263963548015,-0.8073938186549812,1.2346398017616511,-0.45273724834585866,1.5531267160709008,-0.30799597384658656,1.7959278315655325,2.4465927780302943,-0.4946481256628702,3.007197721442201,-0.8955042119619918,2.9381557230627746,2.3169151251033875,3.1318812234144797,2.5008979181890854,-0.8376372800045262,-0.2605739971444991,-0.14741648203320848,1.436049661142533,-0.9435131670941967,1.0364666972439447,2.5541954866984056,1.0338915132721955,0.9394232949200425,2.4896328253157165,3.0867382084103485,1.8265295438809943,2.932130410771814,-0.4935853712224422,2.369174909232661,2.1026857864505537,1.3498773224470086,2.476979433554559,1.3335428059077148,0.10056582644675856,3.976607072570011,-0.6811072423798128,3.4567804856089346,-0.906546274622956,3.1366300892828405,2.776160872637635,2.337704251923193,1.706622818749828,2.6104941821622725,1.5738509069192494,2.3796115690726825,2.756778209229791,2.4426519057806777,1.829401192978448,3.3204494495805834,2.3511459931465826,2.626849137093461,1.1299256588464992,2.892004166484689,0.18307211457727443,1.899654971160509,2.502579863318232,0.6796675028276136,0.42540036511286317
SIDM00917,2.3944422849663862,3.0614508721382636,-0.4058561428202305,0.31993552988174845,1.941605577163341,-0.08631967104613343,1.9617679464179987,1.1492829781447036,3.677958864306688,2.970567169358438,2.246557157966709,-0.8736148877949553,-0.588511165133238,2.4045482665965663,2.6364321279790643,3.0733803999166076,2.1246672555679926,1.2212478567701608,-0.48332921811999746,-0.27620945095051097,3.0409921222460112,-0.7706056041287815,2.9372378445530947,1.4095064685663588,-0.933978625918515,2.0165828726783657,-0.7298731581660908,2.0421108979814617,1.4113627934318338,2.516752248270955,-0.7199304538754822,1.611811617071035,-0.8935853131867245,0.7510685324571527,-0.1257743920105084,1.9734580413423115,2.314409107988728,-0.8971935829170196,2.9010157358100144,-0.9949777178408387,2.832251948796705,2.4001324759772973,3.081767226684848,2.260140323180828,-0.8999900001068128,0.5772754179851607,-0.44446861592390796,1.5433563211987602,-0.8084164951300262,1.6643039253809968,2.7185408278200462,1.1439864903403674,0.7000327459659514,2.834497497509193,2.4870727938169943,1.6323388696835464,2.8487430906875386,-0.6022886565255863,2.433297559721159,1.892691736615515,0.6948953859251366,2.7580856283141886,0.2976499255328116,0.13352268952292443,3.7149231078192937,-0.5060102748472888,3.448355065860408,-0.682864036581286,2.836840361977694,2.5091746385994966,1.6496127629963115,1.5254904026978917,2.463563256891285,1.3083510160513128,2.102924236662697,2.7215743633876306,2.1364731546032125,1.675152238979228,2.599505830728849,2.313496083359178,2.237858401850689,0.7258454806660635,3.272272124720095,0.2041795862540469,2.4820099488043756,2.373556274422809,0.9842511167989787,0.4773698188757772
SIDM00309,2.2210616853795213,2.8001159540260265,-0.3534629778694106,0.09889426870332389,1.8213083851077947,-0.2502169445580526,2.1106327720909084,1.337500630948071,3.6061249598679197,2.9606543411455277,2.1779599430043453,-0.6378497587850042,-0.594962400521819,2.3557326788211013,2.304860029932269,3.2521855000304543,2.27220627331566,1.2579923068213208,0.40539474345711957,-0.8198629987297726,2.5237550549400507,-0.8099950726496012,2.828338236998217,0.8769131060804838,-0.8145014701652209,1.902819426270316,-0.8461080937860203,2.0430240609087362,1.5468982109380953,2.4250257737905154,-0.7935149836790847,0.9906293320683801,-0.33026737417654634,0.9980398243917682,-0.4458477110396074,2.1311905020926676,2.278753433097384,-0.9934238625374116,2.980769131965067,-0.930843680094797,2.829090084870947,1.950610124321013,3.1431526378249193,2.454779782214314,-0.8982025438718771,-0.12648053171652965,-0.5554371908248736,1.7641720218225254,-0.7212306408447935,1.1898269926665166,1.989132680751659,1.6766599861211482,0.9924555276287974,2.459214997546807,2.968730746612531,1.3804383893621874,2.829875505997478,-0.44057622434410637,2.5190037256104896,1.6501262237679668,1.197907037195355,2.1741343448532335,0.8464355817049795,0.12643982764197795,3.6849734970150596,-0.7457877903285507,3.3305740081186896,-0.8247247725783244,2.7528392634706145,2.7346133324056483,2.2276521241781255,1.7993633053175933,2.5075356439771994,1.7410335853862144,2.0911701475757645,2.6564188749368416,2.4695529192792254,2.0169540231151877,2.731829058304928,1.8262063401442552,2.7050932648340895,0.8465206466186704,2.9918367008797846,0.3949768471772534,2.2559802490181666,2.0397627165910617,0.9628936499302635,0.7977322799151736
SIDM00099,2.5010218991393596,2.6207881557566175,-0.48043519867953205,0.06996752331867788,1.6130894895304373,-0.48949013460945645,1.8503448374897904,1.1855805540293767,3.725890820412927,3.03959936598121,1.760449916951654,-0.821853075753285,-0.48449615987676986,2.0939448817144934,2.3824543426295914,3.0421923456946844,2.114703955546781,1.2535817068253483,-0.4023827218539457,0.14241924446798002,2.708328527144328,-0.7446270582952864,2.728772408302283,0.8261881263372265,-0.8702346671561684,2.103963079979293,-0.6026622726982699,2.2499999599688043,0.8957683038405856,2.0279992668368902,-0.8381989735141564,1.78240481951656,-0.4323605790096464,1.1231556874446922,-0.4196738616549087,1.648826684729052,2.1604756393634648,-0.8758078102116572,2.78526019991043,2.104456315630593,2.7182878537128374,2.1463690348058493,3.0213924256480604,2.522900809748225,-0.8793425728578984,-0.23842620074957033,-0.18095405930029332,0.8518554611070398,-0.8449315419053656,1.464040025742948,2.2029163477388978,0.9679362781494374,0.4237291164703365,2.645522892303461,2.6558541718311184,1.786284092458406,2.359082609736613,-0.7403532747525846,2.3133917536005226,1.9367597709223368,1.0407449521387557,2.1947109654108155,0.774572924722825,-0.06928484851216725,3.777305171637729,-0.6898140319668599,3.11060648430218,-0.812589273545618,2.608420394625518,2.5289037028995947,2.158690278380694,1.6083028358468685,2.325656152559548,1.3019907058140512,1.8734562712159462,2.6117511486886236,2.349978262615842,1.7454350860698746,2.687534237566526,2.255554614930616,2.7149869560499176,0.7262410260859452,2.8066126581117636,0.3091897899883044,2.1756229925057915,2.3682323095515114,1.262466292271272,0.6609906722277348
SIDM00276,2.4662264190120013,2.889761248684471,-0.5183725383644817,0.19917728392384032,1.3150056225807776,-0.33582199827688586,2.0994378816566184,1.807950755832988,3.636124736357085,2.817586980119351,2.0583651729541828,0.33474281828533337,-0.6603919238155608,2.109092172356666,2.1288339266146195,3.05156098193859,2.0780981853695555,1.256633452195935,-0.37471443070945604,-0.6823841895776848,2.4583223525542826,-0.7959522911427194,2.7362354804034137,0.9497929254009825,-0.9587955349930308,1.9260550297942935,-0.7427888671789473,2.4453436111173152,1.0469811322852232,2.349813824861233,-0.8268471295655351,0.986663215871402,-0.6507804738104336,1.14948660456975,-0.2399992246472983,1.909327186603605,2.278087024735032,-0.9987876131903619,2.7962126835428207,-0.9754631321118463,2.9403476769491226,2.1315456494025105,2.912749995477266,2.8255224177875538,-0.7995193732162669,-0.2713210104100718,-0.400883322288765,1.701294386361307,-0.8408857770008366,1.295638792056172,1.8499285097055214,1.117089317320639,0.8720577346584706,2.756342073131159,2.955322287123919,1.6709730631599222,2.737234387579139,-0.5547287265040993,2.0982932417967723,1.9625427378181548,0.856551444692032,2.2503839282282634,0.7243120207214379,0.19857770754199938,3.790483441676353,-0.692333006581198,3.1243774611113495,-0.9022160801668198,2.561247784887783,2.288842402219206,1.8234616123144336,1.767021319026229,2.802808412919517,1.4074404249188792,2.107614011269186,2.251714728732945,2.200161506318467,2.105069490093354,2.9555647973410877,2.1956535255448735,2.758959257370965,0.7343017199718616,3.0519007479960694,0.16927186838485683,1.9341155689985345,2.5777580247148673,0.8403524419825116,0.7500454435605727
SIDM00311,2.2644081270167313,2.80302313808871,-0.5239693146721328,0.005422275721492749,1.3505560405320325,-0.3607218230492301,1.8114655644210458,1.356489928321301,3.5679596843367367,2.6648840102608697,1.9946237082021752,-0.6030845360693259,-0.7516492241727282,2.151896687402712,2.0313834457337094,2.97456991665718,2.1957522438905865,1.306798768135302,-0.3152197813325981,-0.7296714411722941,2.3540663639441823,-0.7201023699776503,2.726241594935203,0.9021687759712688,-0.8967783780719031,1.9291052769974901,-0.7891097411419771,1.9829914656455725,1.2705430010286605,2.060162523854552,-0.8903372110305433,1.3224329699161004,-0.8677098789880288,1.5558048330916556,-0.36855932291658955,1.9336413097884553,1.9669366265055825,-0.836721611707752,2.7337410922030245,-1.0210813802365974,2.7762018377590203,2.1589684286674076,2.7664377255608965,2.165017208711869,-0.7805865277452985,-0.07831120492194346,-0.15707987281716873,1.5870360524779976,-0.8941562614163296,1.0193750722790476,2.03790654323593,1.416602514428008,0.677497492125803,2.4759612349361024,2.7835134680333984,1.460898834764143,2.6149365499380792,-0.6898305077292037,2.0078523874670844,2.048010079491008,0.9638613905252394,2.3604511929335508,0.23757430564344362,0.022534974559913417,3.5232370464975653,-0.7642751060922864,3.3159989526172406,-0.885576141419287,2.589991142234988,2.5916776300567372,2.0820646409381465,1.6044490644505607,2.528978611349894,1.2329909988404526,2.492513574328965,2.5638354635910576,2.219923460933643,1.79500146965017,2.681861950544985,2.4117159608714753,2.410909515323092,0.44233377380913413,2.537598933812452,0.35944513764290337,2.1573497327899473,2.426680870340117,1.2243118004182607,0.5161493522280056
SIDM00970,2.5480772212412064,3.3061555733720835,-0.37818409534410563,0.23245589719306808,1.3732945724089847,-0.6227232538941051,1.824164644128188,1.4301245202860653,3.6558224606302057,2.7044467273575403,1.9613771893361374,-0.1834073335877168,-0.62562804695346,1.9229259339972284,2.670425339927546,3.1449035138441475,2.278806678517597,1.0640121198951444,-0.31306885053170397,-0.8970806245554135,1.9999158019245338,-0.9215684393379479,2.9528254135252086,0.8483937255957914,-0.8603031141025222,1.6082804463803406,-0.7886539464074964,2.073865623273684,0.9053859245915241,2.046871788048204,-0.846811836805021,0.8274824549410654,-0.8041166242949351,1.1446427770671446,-0.5299825702843226,1.8898398550642632,2.3846449461358574,-1.0167887184395468,2.904965217328487,-0.9780596367846325,2.8389025322545507,2.372432436770787,3.3608538865009066,2.212404530155551,-0.8738076356279902,-0.3283356554405496,-0.09330900847086689,1.3119153298660657,-0.8414275416397562,1.6567194229589306,2.2302690711099338,1.3615226922174768,0.6785837467977198,2.8849853732553155,3.0127062497587205,1.7254609485484984,2.7777511096138467,-0.6171378508445311,2.186633886206724,1.8863314877164208,1.0223979959417906,2.568653751567278,1.1504620614509944,-0.19140946947063492,3.8042027099989912,-0.7845414419881207,3.424152975587687,-0.9423947679904816,3.053234655478105,1.8369668993033992,2.232313182976116,1.4196536797053882,2.6084205185775358,1.2264702224144695,1.94586739905926,1.9820451128471908,2.2280948095397624,1.4969580883610558,2.6808959882038352,2.441970514184741,2.729352496997331,0.7303969330122458,3.0292299374670324,0.2522688275315328,1.9550670233742133,2.68193609898832,0.7888410019321552,0.18874691447505001
SIDM00103,2.698730320451988,2.4541130845619983,-0.5953485364516666,-0.010460939967726166,1.8185372286495702,-0.433623370405663,1.7473690623889526,1.1299963386379424,3.728426944887844,2.9442107079459188,2.0273056436341466,-0.11881102461503124,-0.6491421224870768,2.0197645022189397,2.3060893622102343,2.883266918556573,2.1547812759328706,1.1762761371366048,0.5725222799443156,-0.8265572089176918,2.671537723617825,-0.8732304161912626,2.8285614743971275,0.8288714111545904,-0.9805382737422793,2.1718111069499177,-0.75362900687527,2.0521371455577038,0.9022488055925546,2.1902246672065826,-0.8562672445124079,1.6344304923155153,-0.8340025380730789,1.4543920507109132,-0.370668333043932,1.5660941729295272,2.2175594154506926,-0.5110209820686333,2.6960183665705832,-0.80562922800111,2.7496281266972726,2.1790364570106093,2.9776579663286395,2.7838505154110673,-0.8203539673978565,-0.24217821462670766,-0.11880114156254427,1.617769459007423,-0.8579679204578198,1.5467250640500472,2.4261753931063854,1.4689498840303647,0.5025263935129658,2.440766608846104,2.4308257863675675,1.7987000220135052,2.811523629375483,-0.5634531741366781,2.0028843950593744,2.127771704981388,1.0558641686774364,2.06876511554321,0.5254371575711373,-0.42909931392257794,3.8342051942424815,-0.7219768069818232,3.262135554145589,-0.9677322755265984,2.664098246215688,2.030049514855766,2.2854015600620565,1.724484531869512,2.779658856044452,1.481760802072686,2.4061573864020356,2.773472591780038,2.3361677292975203,1.9586291709440569,2.7044050965767057,2.3337973122311046,2.720041614557674,0.8162527235888317,2.9180259325376365,0.3817552629549723,1.9734501386104482,2.5539240376457175,1.168485600959819,0.3359213484463744
SIDM00266,2.6815412222852975,2.6757156894414362,-0.5986288713480191,0.4903633599565701,1.961787488534704,-0.37406288503485924,1.718060020204827,1.094173107066291,3.6755033891555478,2.97131762566905,1.8540351318579433,-0.8971558811357331,-0.6052999997570989,1.9958759626668594,2.5368234479010607,2.9350810091118906,2.207261380782209,0.7810383759985414,-0.4142952832691387,-0.8728874929288386,2.6214667560131195,-0.7164495466013804,2.9640017337976077,0.02512181707537012,-0.9203477152539444,2.1380984537306165,-0.9016313475644406,1.643703006763596,1.2276779714208543,2.23910915765209,-0.8951349095920739,1.128691630817959,-0.22438943697027044,0.8047402730173104,-0.2592813101426644,2.181510118763013,2.416494699398866,-0.83180528298944,2.691769744274513,-1.0090230173434838,2.8129213979077408,2.078588070212031,2.9516468739452546,2.0419410169790586,-0.7496683247579762,0.2827615096051464,-0.11238732346303185,0.6840059066962224,-0.8880739685131752,1.9522675554311164,2.494169120914538,1.7414427171509856,0.47433496549537935,2.8431437652589233,2.467777446556984,1.8398799848145357,2.9315078595565995,-0.7190408649933885,2.5987010939821853,1.9232342680038186,0.970487079179769,2.7336349568571245,0.34150622461720825,0.19993442125474703,3.802233478366549,-0.7809221044720396,3.385796661082566,-0.9131105810355786,2.7045689528650327,1.6156165118131522,2.277346398902745,1.6431021967323074,3.1727451259030954,1.7536088633186562,2.377924413873826,2.6180350933141994,2.534929843548474,1.9194930568398514,2.6820001052611673,2.584757923720163,2.550355042586298,1.3715531369039538,2.8744186077018443,0.4250970792135293,2.354231126284552,2.9224596918034105,1.2431114676293642,0.7246931814517258
SIDM01064,1.9162180693511066,3.003416024886976,-0.6270962544277191,0.2825993651354644,1.73129265979287,-0.3987203525328494,1.9254884763587692,0.8226066954259099,3.5994530728213783,2.8543674416180185,1.6555953914383483,-0.763905179627945,-0.5413441790464196,2.1540597210007517,2.5181317573444013,3.1380434686999665,2.2033593757823597,1.204282425766123,-0.7301249093265858,-0.7869158028816086,2.568198657241533,-0.6904570887375447,2.9208330553865003,1.161407847963382,-0.8360027901975302,1.5978905538456087,-0.8688443301298187,2.5232775990081064,0.6613687019972625,2.1321439447607102,-0.8015673552116257,0.9181487583250952,-0.756890199727895,0.9901396018796591,-0.45564005696423837,1.859089970112888,2.0610933705862915,-0.9643292400365727,2.6978047179664353,-1.0409266953588725,2.9459858486195034,2.2848142024336413,3.0542960116785802,2.202963735278934,-0.760643574463554,0.41684229119850347,-0.12538383070003628,0.9333313467406501,-0.8574409443468478,1.009186716981493,2.165423229596105,1.288712954035356,0.8580745821497697,2.8752026275688607,2.857767934069986,1.5492670485303386,2.8489809719110126,-0.396734207760901,2.574834751030366,1.9166488172201814,1.0469021347881386,2.216028938663448,-0.04243263208181871,0.6052710649483474,3.7077453978039876,-0.6214998956833925,3.5649485775020664,-0.9717653674010659,2.819960583885582,2.920146764863215,2.087223536981422,1.5813891039813885,2.479944929620607,0.7428154161651505,2.2663208921854103,2.269841659147622,2.134946410430127,1.8007284225484073,2.870764784477862,2.522558659576255,2.533427040669361,0.538912408293041,3.001512069110377,0.3034808187878912,2.468940351743359,2.425686012845801,1.8653804364513005,0.37952019367317635
