,PSMD11,PSMD12,PSMD13,PSMB11,PSMD4,POMP,PSMD6,PSMD7,PSMA5,PSMD8,PSMA4,PSMA3,PSMF1,IFNG,PSME4,PSME3,PSMB9,PSMD3,PSMC6,PSMD1,PSMC4,PSMB3,PSMC5,PSMD14,PSMB2,PSME1,PSMC3,PSMB5,PSMB4,PSMB7,PSMC2,PSMB6,PSMB8,PSMA7,PSMB1,PSMA8
SIDM00519,2.356171680507489,1.7180483009496712,1.364583466821869,-0.835490438880053,2.7475981623418955,2.1243055398998476,2.0136222657020015,1.9825335120771896,2.3378934808788263,2.25859229766089,2.65086146256682,1.8578890401707406,0.49136109373115366,-0.9300840824322217,0.5252897033647882,0.5722470109735242,1.8110229074088655,1.9673293165923216,-0.820854270751557,2.6521721677001953,1.6467079575031913,2.8885943800248977,2.9045050255611393,2.625542805051046,1.9919279438130866,2.206684632989792,2.225147357129964,1.6576055210279226,3.0551723661352446,2.005112023414038,0.5685721940963343,2.903511453951289,2.159393251154687,3.1052343026316174,3.3864248363194847,-0.9232293482451059
SIDM00917,2.216546200023146,1.3204777418620042,1.5306537756760321,-0.8899939495061454,2.5141186521626016,2.1373149675791305,2.4294539204402796,2.2987387237050667,2.674579906127302,2.334780168688342,2.780042373824378,2.413203703970067,0.7360628834011274,0.0483493715889996,0.8596916711635428,0.5879128135686608,2.7252153328684865,1.7584159847910752,-0.7552804081897756,1.9691713495111196,1.9217410535411872,2.717520691897301,2.638866194266098,2.3541805098293875,2.307356483992097,2.8383405566979154,2.349014617689033,1.3369042671085574,2.9270179576657966,1.697798617188099,0.3047405205073815,2.321710943091267,2.482240542198925,2.832512912262793,3.3276483642803654,-0.12728971404375314
SIDM00309,2.257251866363153,1.7152307635075075,1.7727955546083554,-0.6770515355259006,2.3601184835256537,2.1679310351223045,2.525539135072494,2.372555122949119,2.5662158962677384,2.633975654969975,2.726647286745786,2.1649062874725162,0.19481960475521887,-1.080285910491681,0.23706763240121115,0.5259737865588666,1.465671363024415,1.9709527723858824,-0.8361748532245562,2.2051846130593056,1.9347644940544846,2.8746435653079723,2.6727737079858085,2.6507122844487494,2.3837582329864593,2.3071512733429405,2.539228424741378,1.5373587708709708,2.774198226440722,1.6212483453097404,0.31367504258709267,2.8218373064613567,2.0823408868149413,3.008484303784784,3.352151587214782,-0.8364322577750793
SIDM00099,2.1257455359242137,1.49706052899412,1.5551934610604536,-0.7619231909624467,2.5043177234696232,1.6388124215335111,2.0736027008978635,1.8972658179904802,2.9031158601904825,2.6218373303653326,2.466717492244111,2.093657013993043,0.6840353831644947,-0.931121734606555,0.7383462121026365,0.3275088246098002,-0.05113557994843422,1.5907218819727689,-0.6960184707405441,2.2454651305388786,1.8606495445795839,2.5557802307507975,2.622738305551612,2.448602613439826,2.12886506612423,2.2903659288406515,2.583301796957747,1.8208661586042887,2.961269511350441,2.0050700905651504,0.32172303377087236,2.582528951925849,0.49506786126766184,2.968163822871853,3.2810719410810547,-0.7906927811107785
SIDM00276,2.466862644096751,1.7817937820292031,1.7562791562736282,-0.7512727294159585,2.8306082529032457,1.7761436681495588,2.0617235210210305,2.2020189410642392,2.7023371859798204,2.3108135025238163,2.467507267999008,2.559022684307663,0.709109492917997,-0.9907004059819221,0.5629036662656799,0.71296083019849,1.8827397842400262,1.9451575944544335,-0.6751856160599176,2.3157966027592005,1.8735087851570327,2.914099806935288,2.8143046115852823,2.347034600241327,2.508827301911033,2.4933826816322657,2.68459014304208,1.9496724321595833,3.042555632804016,1.7888537649647824,0.12665088891163737,3.127780769841463,2.133796244947373,3.1945812938265514,3.3948539250456355,-0.8386574048431585
SIDM00311,2.5847526219889803,1.9979109304243505,1.4990847992442657,-0.6569239270196445,2.4143499727141395,1.8408072632105736,2.592765938262448,2.3261024323946584,2.7287611613391696,2.373494155230413,2.668765677701103,2.5092291577722134,0.7077040480678346,-0.9983434829906185,0.7938196636547793,0.8622025423429783,1.9511908269205909,2.0589353419026835,-0.6768038959144359,2.5407694491573123,1.885705065724113,3.0410402616083965,2.954507536564763,2.5276885878101,2.266831352950067,2.3775852809794435,2.787813864557662,1.7238810939007065,2.761972691638665,2.0703069915434598,0.4338352831527907,2.7737085351434545,1.825161389359582,3.201585218078547,3.4543434774543904,-0.8465040930573335
SIDM00970,2.154882163137821,1.8293592310324858,1.4681513557613464,-0.9209579712890075,2.2816495992441745,1.835323908147202,2.2022710891472395,2.40473201401052,2.7023389316572874,2.5892525680043246,2.7113821617818403,2.3770614020289957,0.5521759287464051,-1.0016024397027243,0.6702910230149719,0.7507230080832459,0.6443984182236492,1.8116035858889856,-0.701866490821815,2.301959922202696,1.8322470205248929,2.7396933805018433,2.6763927854444103,2.2134083388172465,2.114953103644649,2.5967724193541115,2.394439732210441,1.6301937309124235,2.5889894071973054,1.387568427290196,0.4312336939534559,2.3338517362725266,1.3992516255946181,2.9903609004986618,3.1040618049116224,-0.9758000502667175
SIDM00103,2.0718063701942557,1.3878299267890517,1.6761690929862496,-0.8281117101036504,2.3008571936189406,1.709365255451477,2.4448720331074814,2.2026753995417265,2.802137339365777,2.642236789274498,2.438340807907648,2.263159296507794,0.7456592697245296,-0.9662912596215301,0.4245758495278908,0.5277545212199363,1.7290047883194766,1.7403626242730492,-0.6687713020372786,2.3978754381642298,1.8242736205328336,2.749227146709039,2.6345423000449637,2.5133718267369933,2.061254555501534,2.613774874255836,2.7195238837049804,1.680664465218834,2.79082761245906,2.053410873350593,0.4466327419716494,2.8195421198322963,2.0598167026835106,2.992138914082533,3.2680534511354797,-0.7076180799587953
SIDM00266,2.1807563657454088,1.4298421033736752,1.8013013088993275,-0.802406688180356,2.7626807501564588,1.9403479239297592,2.283572949946097,2.0399928829318297,2.3415984350906287,2.704735443003782,2.553991989711557,2.3656837146752365,0.40508461085994885,-1.0339788944272246,0.7911018063371282,0.684413722257015,-0.7149504421386593,1.6927368080483298,-0.6513064132608634,2.3584757699541883,2.4879647858995293,2.7364289490314264,2.8319179195828927,2.8102534649308155,1.9714349474060717,2.2658034561583866,2.5063094030383835,2.1818322592802084,3.061155690262036,2.1184334025538134,-0.057787559478823136,2.843495768446705,-0.03092745894513715,2.871187696849137,3.298307529743658,-0.8078704123983735
SIDM01064,1.885673374254167,1.352435965192936,1.8083444037330192,-0.720738260687168,2.587189281909241,1.8627580190855817,2.3326557588601053,2.360351159276493,2.742175319575436,2.6359074348624274,2.4811743022736,2.533390668178515,0.21039191256392073,-0.8997361848249146,0.8514871440571377,0.40155088196277144,2.0874468188010376,1.8376458771857087,-0.626969384188885,2.4465113864799246,1.7443158290795264,3.0632823883526097,2.3728699724931226,2.5933278330610223,2.2703184907694696,2.9227337555740363,2.776911237366887,1.3889521818394661,2.9501297502280224,1.8681883288631504,0.4935820872644478,2.653094722065944,2.261659882281816,2.653695018300294,3.37328754695232,-0.8353006907512205
