,JAM3,PPP2R2D,MAGI2,TJP3,MYH13,EPB41L3,MYH14,CTTN,MYH15,MYL7,CRB3,CLDN20,AKT1,AKT2,MYL12A,AKT3,NRAS,EXOC3,CTNNA1,JAM2,CSNK2A1,CLDN18,LLGL1,LLGL2,CSNK2A2,KRAS,CLDN17,PARD6B,MAGI1,GNAI1,GNAI2,MYL2,VAPA,MYL5,SYMPK,MYL10,IGSF5,ASH1L,YES1,MAGI3,GNAI3,CLDN16,MYH3,MYH2,MYH4,MYH7,MYH6,MYH9,MYH8,MYH11,MYH10,CDC42,ACTN2,ACTN3,PARD6A,PRKCB,PRKCA,CLDN10,CASK,CLDN8,CLDN2,CGN,CLDN6,MYL9,TJP2,CLDN5,CLDN1,RHOA,MPDZ,PRKCI,ACTN4,PRKCG,ACTN1,PRKCD,F11R,PRKCE,CLDN19,PRKCQ,CLDN15,PRKCZ,CLDN22,ACTG1,RAB13,HRAS,CTNNA2,PARD6G,TJAP1,SPTAN1,PPP2R2A,CTNNB1,PPP2R2B,RRAS,CLDN11,PPP2CB,PPP2R1A,MYL12B,PPP2R1B,MRAS,CLDN4,EXOC4,CLDN3,RAB3B,ACTB,TJP1,SRC,PTEN,MYH7B,HCLS1,CDK4,AMOTL1,CLDN14,CLDN9,PPP2R2C,CTNNA3,EPB41L2,EPB41L1,EPB41,PARD3
SIDM00519,-0.1740124223377273,0.8702459144365389,-0.4854929926598161,-0.7946381146994862,-0.7715854534651667,-0.8004113489656345,-0.5933645052771922,1.7406012459047024,-0.9100224211551563,-0.16742580615153183,-0.48996729295178876,-0.7348916858567228,-0.3955558339139622,-0.7032513775795374,3.017832617977578,-0.29600760340522414,1.221839698263148,0.9799181230026447,2.510014987588172,-0.9162821623167544,1.188083196114738,-0.9146677411745338,0.5323045745188698,1.0998651345278476,1.0292296977989792,1.5419688881072011,-0.8038348763101617,0.40487455782418114,-0.7783716256514099,1.5624281652834855,1.204096884232378,-0.7655024916566378,0.2708233063233939,-0.07396185184496354,-0.41082168425057214,-0.7710095518914568,-1.111799339356529,0.7313740140483489,0.3615152743706451,-0.5481797304704777,1.3494180606695867,-0.8488195976010747,-0.8981165824432245,-0.8621727286748688,-1.0202958931344466,-0.822839390601478,-0.4349816799047846,0.8344320575654655,-0.8397826502729027,-0.7645570999935253,1.635651050042145,-0.25600809403688,-0.8583548850590816,-0.7538159552167742,-0.1721732902683624,-0.693256665426057,-0.14177020028773454,-0.8970144193213436,0.6198546186567074,-0.9457976366090692,-0.7747189982617163,-0.3128806059869195,-1.0907035895808324,1.3239280985053734,1.1207994858298307,-0.8492727574014024,0.3867175180784917,2.336611588025909,1.4418398105162826,2.0679900953764774,0.5043267825034148,-0.7837771690016947,1.5457025545850684,-0.16217541688124437,1.309798122590218,0.2467610685660952,-0.7327908484179779,-0.9051919164249741,1.7587572826804687,0.13262809780131538,-0.6722182457401955,3.765490955547292,2.362222816682243,0.8798485214472693,-0.8683825457118206,-0.06453401380331736,0.07721371618887944,0.1127161726570739,1.3420273123778337,1.2176476867537853,-0.11593373129784042,1.1644265436289876,0.03280020693156257,2.3131850173963175,0.7447594215576702,3.146233940379521,0.2608362555348689,-0.4027775364694435,-0.6112583836847866,0.1875640219270808,-0.6787416550888945,-0.1223533627549277,3.1301584994449243,1.9394143257115308,-0.22313365013243827,1.2291206931556173,-0.857698460689206,-0.9466823861867273,2.234465398685669,0.5981084345393102,-0.793515975491653,-0.6289886167739939,-0.02712764557802301,-0.8196694973317736,0.3973639696436322,-0.07052029137316526,-0.6945386015270565,0.6191106098431388
SIDM00917,-0.7392815610931477,0.8564279943525801,-0.6914892064428262,-0.9559659424196064,-0.769442930051576,-0.8318010356986595,-0.6112736594363115,0.0063028508836366634,-0.9174402418011274,-0.6416055410383602,-0.4050427937525617,-0.5500039785426643,-0.44961501627394507,-0.43991493639764384,3.2857399069961146,-0.53140709085529,1.5502036363871254,0.843812126338111,1.713674044796105,-0.9196798288664224,1.2923163366181507,-0.850110905499772,-0.14780095506919,-0.20986630615198548,1.3772478961031382,0.6747655177517772,-0.746355074517268,-0.5331126941658254,-0.7206412422587267,-0.8015429212983989,1.3337234561834943,-0.5708504543953569,0.5246764630838162,0.8654784558431347,0.24148281370025246,-0.9354060693974062,-0.9709783399935873,0.8660036967693218,0.5630183337474578,-0.743258213900133,1.5765793998814601,0.9899113624449818,-0.8522956005822997,-0.8516950887073628,-1.0347614452506386,-0.7374797192665867,-0.2878199153302258,0.5343081937691897,-0.9127928688310593,-0.7270855212573211,-0.19143564778090846,0.44944808904324823,-0.879885830875656,-0.4276857111405615,0.2244611272764985,1.6723657668354104,-0.5834552659254151,-0.8671842377255568,0.32526482732839945,-0.9677653292638198,-0.6944322991856166,-0.4724007917229444,-0.833309976951814,-0.5334793082961188,1.649755872951376,-0.9458917192443452,0.8609231361907544,2.6126260305947806,-0.7136469768522004,0.3140617561630908,-0.06505458149196605,-0.8209437091275041,0.8916537836914151,1.5657473081576383,0.8473669178244688,-0.34761794029644505,-0.8117359223507762,-0.7558514489149276,0.06736353954636219,-0.6398279575333379,-0.9019472324109917,3.4423811707248406,1.3857907505387075,0.5785314872233444,-0.7707202916693584,-0.14729029468309313,0.4212829047443452,-0.41789464172960217,1.9892907396937405,1.2852809793337285,-0.9442335840923626,-0.21040691666815217,-0.7473849658066815,1.801482297960035,0.8724956301614748,3.2029997325043356,0.008589338708260839,-0.8582484022823237,-0.602027137843485,0.3991733259137634,-0.8657385644309619,-0.8065253105223614,3.1127066181298892,-0.875587153541646,0.6796217501346691,1.6334552938488958,-0.7868968947317242,1.049347331340251,1.8123176406853694,-0.17486784179146017,0.3516358573193355,-0.7790546953190349,-0.7777146469267701,-0.820043555121857,1.248063789230035,-0.795379680264062,-0.21030710284206547,0.5312091637709822
SIDM00309,-0.22217326812909924,0.7638911102650324,-0.28947407528550234,-0.7785472701339775,-0.7827340528396164,-0.878899872831129,-0.6142866611438066,1.5804507317872618,-0.9610978448688096,0.6124933038915512,-0.6260091806397208,-0.8053043904682762,-0.2912125403265399,-0.5673413731578653,3.2998080118874977,-0.323607853268389,1.256524659301111,0.8093947329556841,2.4830444858174534,-0.901453340485617,0.5069720240724012,-0.9513594112579576,0.29213640038633215,1.152498153456566,1.3115050830685326,0.44635764588407606,-0.7029321268792792,0.5721538572669627,-0.622462875579051,1.0431219546695902,1.7260176775013463,-0.8320432949923473,0.6821305349250352,0.5646071958099502,-0.15182387786243873,-0.801927291786356,-0.9131356480791549,0.6596669849466932,1.2519931539797102,-0.6192373574723867,1.2577300723385132,-0.8058004508567642,-0.7390608628096261,-0.8823340770846041,-0.9767813708304212,-0.823653191088552,-0.5535356304020488,-0.3489863024648153,-0.902652601689842,-0.8024961645685361,1.6657535370146073,-0.1229129380584758,-0.7114612558829494,-0.7633943988458649,0.30864790044689333,-0.8444723115073255,-0.2444585548068717,-0.8282760208832741,0.38849012248407616,-0.9547249921581702,-0.7876607287379829,1.1082255607307259,-0.9202370273374822,1.4717446433803438,0.902538084623424,-0.8310350209864741,-0.4046714582682708,2.857779503124727,1.1449474632844923,1.9306334869094381,1.4911563171197402,-0.7892785415681088,1.3643054481827885,-0.16192114428717402,0.7018119115385888,-0.010849607542058605,-0.827680868467964,-0.9230638654061724,0.514162926826565,0.48785634927585225,-0.58133293253688,3.6588408169077304,2.2790943603348777,1.0882773068400704,-0.9408828270553387,-0.5702784051285045,-0.01741090129638788,0.14364905630206196,1.3698815769323684,1.531051666763261,-0.12046342585509802,1.6940320857733637,2.0612705477934026,2.1843999219309045,1.0802815444112424,3.385991637883604,0.20175189135711027,-0.17153589319404597,-0.579872418470474,0.46411394009278173,-0.8843064999003322,-0.6605860780628312,3.0413373217260644,1.5115203098904548,-0.35902608280166326,1.5772688397020425,-0.8865022717008397,-0.8647729156225897,2.108265807077271,0.1737673439048872,-0.7903637452649894,-0.7381129296544007,-0.18444061483695212,-0.8372308856792499,0.7762564406956506,0.3112832855775652,-0.556206271228612,0.3607231670209502
SIDM00099,-0.5841418537962981,0.5758339606828904,-0.19658347765751039,-0.9936923412539792,-0.730084911359582,-0.6314421811368106,-0.7237259608923591,0.8590403366337668,-0.963313613748948,-0.6542653099807656,-0.7383021367568652,-0.676341081956411,-0.2291313922542609,-0.5616008280392394,3.4736505915462974,0.4590628778438762,1.2061207614674792,0.7131407322312402,2.4668765566174353,-0.5058698373953896,1.3683409331849534,-0.93482025924469,0.20581704377930035,0.006708024929594728,1.0037927350858948,0.6730085000785737,-0.6140025452142484,-0.7882392047077096,-0.8768164220299853,0.9279949003657944,1.3334506185405113,-0.9124838324086932,0.5574191312589176,0.6826436648625954,0.10029054335078924,-0.7234808576740465,-1.015202002818739,0.8460229346537339,1.0061396322761516,-0.5260153984704791,1.772365471261806,-0.8925796352893427,-0.4769326384189093,-0.7904418299375824,-1.0029699625979993,-0.7223793275693872,-0.7734517880488895,0.9151275972654007,-0.9079722886220911,-0.6789254758234754,0.9728730076140267,-0.3063931104141543,-0.8795625438605619,-0.7099643818058741,-0.37464896110092455,-0.8126854339693373,-0.13137744725192088,-0.8014288870086779,0.5060246022256241,-0.9525469833462678,-0.7273966990074554,-0.7346509805872753,-0.9760573489073676,1.6290767829335053,0.7099132837999294,-0.9516444513727488,-0.1495228392937134,2.662829847610818,0.7391112528726338,2.0028859206687057,1.3235505903447977,-0.7737446713268549,1.9009295082638604,0.08749614809878069,-0.09805315689427403,-0.011093741128729333,-0.7914503742218524,-0.7971101179302654,-0.1883533763591241,-0.25255558546287876,-0.7320992307099677,3.6956251491267103,1.5821948360211446,1.0093641595797609,-0.9039020373397915,-0.06758656452552025,0.12184299613906399,0.05293256839517909,1.9097841663023418,1.4339588043516427,-0.45309007228718384,2.2011844695171514,-0.5417200285528502,2.5945016931685094,1.1569291592876152,3.4293579308814595,-0.26397111345171087,-0.40032212270499,-0.5583456191727584,0.5892584850603817,-0.7939489689751694,1.308127816357878,2.9799974161351592,1.2535097774651247,-0.09321407001821022,1.5501048087287475,-0.9099745511404098,-0.8742959834049877,2.35319881192637,-0.06651999820918195,-0.7879111303365511,-0.8938905045413919,-0.6888715448864934,-0.7892358353104364,1.2779129005334857,-0.32777224302757124,-0.7666595694604627,0.7135281643224594
SIDM00276,-0.7372856980093423,0.9488384516572631,-0.6215208888098209,-0.7035358586992099,-0.8056696271920558,-0.8582602140231365,-0.4461964727083759,1.5319360596690763,-0.9623829725442823,-0.5754140154523726,0.8175864169593214,-0.7845846465975969,0.11933883765264834,-0.5956790432627415,3.0464450458579657,-0.5519477570600904,1.9524905147513523,1.3304405694046602,2.123200865268304,-0.8289526373289451,1.3574259592345996,-0.829741435573573,0.5587380488712228,1.6575587815601216,1.2694926270926723,0.6515748950888393,-0.7186200635903384,0.7770177131400424,-0.8178231771225701,0.5008446396137698,1.361698122446652,-0.8861007793774383,0.31637739918679997,-0.7476835451355509,-0.3786140063770987,-0.6890249155638605,-1.061234275523241,0.06326454740305905,1.1221587951235028,-0.4756314560905158,1.729278170054739,-0.9166730294977636,-0.8789115417976189,-0.9245125955063833,-0.9459205720705438,-0.6823217224714805,-0.663378895250653,0.7147823395377534,-0.8964711962718948,-0.7687275418919269,0.9459632892717439,-0.18699906706649816,-0.8571759910458661,-0.645171486793442,0.4256983997785889,-0.7890798899543415,-0.40676241488024195,-0.8389039488711784,0.5134313605527505,-0.9322087462088987,-0.6548190023427444,1.569721644427421,-0.8211023838822943,0.7625797242605553,1.8185744333606153,-0.9835780912155138,0.944913797285946,2.5206409028438705,0.15522194136111753,1.8120032929601702,0.8174963170308274,-0.7574964145062062,2.0049494369240244,0.6637941091877231,1.3425733596298097,0.21101288368288423,-0.7570179454312473,-0.5998812591545832,-0.00877953928932434,0.9488431417238821,-0.8216823702897715,3.7314976282726335,2.443203111524971,1.1816656923996194,-0.9157161797803411,-0.7231300783295473,0.2113765298480527,-0.32094554524160035,1.7378835422589656,1.3183493700636075,-0.7954970839127562,1.7751996858421903,1.050199029999753,2.3557738643704207,1.0136013201486003,3.34588834939907,0.21674865593997988,-0.7453129163533719,2.8758743577081685,0.14536417150699912,1.1712371079969321,-0.6850421936706788,3.189163461947727,1.9487640109185833,0.5275392477335129,0.900585957550162,-0.8282015812052577,-0.8773021887297593,2.049498912743563,0.9374127778398671,-0.7779258919914619,-0.539927308672863,-0.729233010732165,-0.8136204198535125,1.3029225945531677,-0.1119463890368028,-0.5714875902054216,0.44073910822245954
SIDM00311,0.6580002034683994,0.823002825712082,-0.6280001424511932,-0.991599476195234,-0.7573525360216359,-0.8928070217989235,-0.6469767867194812,1.3813421126224186,-0.9444099769077676,-0.7931355468708227,-0.7789919698014051,-0.7757426399611623,-0.04068572253821361,-0.6105409974472994,2.742573725120705,-0.27243689547260147,1.5785594577365645,0.5812648561907497,2.5427915109845625,-0.8385623170425764,0.9087797804729605,-0.90894741819379,0.40002792895858025,-0.3896182684418948,1.4174715490419016,0.5102474431294666,-0.8246959293971414,-0.2754428895259333,-0.6855703039141494,0.6190998396265972,1.7660340308372604,-0.7096952696945884,0.21042857616253505,-0.1081271351832699,-0.2853181330155816,-0.7012892899132229,-1.0744450871571838,0.3084818495166412,0.8111063041323633,-0.5656243033934395,1.8407117244370457,-0.8758686743940299,-0.7068111411233472,-0.8228021587194913,-1.0156337570721758,-0.7352050580120044,-0.5128212581276824,0.67828718401985,-0.8312914410438563,-0.7197103546373501,0.9511582071001209,-0.029608362448675183,-0.4706585160082816,-0.7799971057022285,-0.28141688473089044,-0.8105801305761055,0.7056643480085137,-0.8419099737223736,0.48918720160307877,-0.9066850626605218,-0.7469390624975539,-0.8445856774152101,-0.8979781203323859,1.2043880947257883,1.6794873726367625,-0.9221370314398468,-0.044163808531560905,2.962453528951947,1.2267042338043048,2.4006665962488554,1.0284461700333447,-0.7393564213780424,1.977954440160454,0.3732942372692227,-0.2839579983762916,0.6361110097270698,-0.801536855767741,-0.8144072120552219,-0.12738983464259568,0.24616512042417918,-0.8750652493461755,3.7180542573840034,2.4823180021246625,1.1499067182680816,-0.9043103028068641,-0.47952490670611075,0.24153394684439186,0.21257350506559572,1.3655605662072794,1.7525331315109194,-0.2398424051141434,2.019753951950349,1.4892880642853252,2.14150776480264,0.8190079611583896,3.0987208132939545,-0.07971200905591741,-0.4835808404862922,-0.5760257217815438,0.11362387160507888,-0.8623423494672012,-0.4659914343152874,3.0285771558650887,0.9868075994589622,-0.2006083380364833,1.271290093423999,-0.9398151619727222,-0.8949107658007391,2.154206687974875,0.2416613265770421,-0.19253644824704835,-0.9280960788545913,-0.778447314935208,-0.7981058851862854,1.0502799253801263,-0.46207787611552437,-0.8106583266144645,0.1891915895576437
SIDM00970,-0.7345926363487001,1.155497430252822,-0.7243813882065031,-0.24393588623237505,-0.7026596515245201,-0.7062933983658788,-0.06792531859349926,1.340492753505431,-0.9563040087523225,-0.7000694337393149,0.6239828190957029,-0.8474040660684334,-0.10547988580351268,-0.32945864135872244,3.012070850197596,-0.8508602838977936,1.2890579677789475,0.6039290458356026,2.2586948793605197,-0.9126484593394634,1.1208327653964474,-0.9467861557503526,-0.049713770645815246,1.198015659131818,1.0249790904292033,0.8955143169693113,-0.5952106159591077,0.13798274975071198,-0.7111483718974992,0.7577928930312189,1.5581281885373102,-0.8087801062004353,0.5638653604201502,-0.1294810524785178,-0.06472982087538129,-0.8559419693075635,-0.9257286393612437,0.825033870813365,1.1344705652423923,-0.4168453544489359,1.8706812423030812,-0.9354373853731855,-0.8547599773258127,-0.8793158055239082,-1.0102320148262103,-0.7629789207597116,-0.5314263557897543,0.8731527903416626,-0.885408533591745,-0.7837672838860151,0.4458960139900296,-0.0044976200404464785,-0.9165382562941305,-0.8062101382014091,0.2810402711253843,-0.7355939801807603,-0.23316708625249377,-0.8923512179483408,0.7448386854820963,-0.8996991269620315,-0.7246890501546346,1.1105197188782165,-0.9096842561917565,-0.49436934934466753,1.7419257517526847,-0.8890818107192362,1.1825652834122222,2.798015426118431,0.351377217647639,1.8913261874366305,1.1303482913375853,-0.8510645530002491,1.6519120763513477,1.3945888705784915,1.3050243050415238,0.11704625043704507,-0.7906113440328003,-0.8303802041829504,-0.30616972856867003,1.1488491438852768,-0.8969760441780216,3.740781327271597,2.162756870249257,1.3507311932125972,-0.8825215924447753,0.6362018795010145,0.12272028851867511,-0.4034074889032314,2.1491541227384148,1.875124878476745,0.15383548390813356,1.6928699393670872,-0.8423101322157902,2.443523958218484,1.1898177755524166,3.275022966327796,0.12402837437917921,-0.8895759800755317,2.3020805880456394,0.32639197272267095,-0.8741452418862679,-0.7430677726906372,2.8398138701074793,1.120372046950549,1.085885571358944,0.979103906486245,-0.8157523482320108,-0.6049311583668042,2.0836698866468724,-0.37196457894057644,-0.7941056446839252,-0.8121734734818622,-0.7456087505936867,-0.7847700558924537,-0.3576846746662733,0.7781529113467593,-0.39755710316644854,1.0963669646478125
SIDM00103,0.17910305753053815,1.3402892564573525,0.03525288409660445,-0.8543644437776026,-0.7640071643609804,-0.910033977258834,-0.6493282653856649,1.3285736715053076,-0.9431300286818917,-0.5744724619435065,-0.8334426521907656,-0.702695145043135,-0.06847722136698463,-0.5499446939252121,3.2900120646510795,-0.24893693507670495,1.5912580346491147,0.7890578945521015,2.3577220623358204,-0.8363487980105646,1.2381594177991129,-0.8154748663735055,0.6010208195064403,-0.24959544335408804,1.5116908965621183,0.019609299068091418,-0.49968800719756995,-0.5972551621343231,-0.7356756602120245,0.9331583259683843,1.7040941639938407,-0.781010651896609,0.6792057010134281,1.253113438203879,-0.21692559703215508,-0.8757225230214579,-0.950321991936784,0.4210289899091037,1.1259162843945973,-0.40818319978561496,1.9663959762821708,-0.929958106532993,-0.8534682290340013,-0.8262035919258202,-1.005217151487501,-0.6178473518759606,-0.5230435670407566,1.0566215377419148,-0.8039324102488203,-0.7154689525237125,0.8035343125685712,-0.28401500007289676,-0.8182699399217394,-0.687627576375307,-0.19546251986247523,-0.8670659958030608,-0.28424573269653736,-0.8103950464564491,0.20373107868439816,-0.9292210390192255,-0.7123785344619425,-0.7797248828985356,-0.9116753781681767,2.1054828993224066,1.2193020443667175,-0.8947973380535711,0.376064160219975,2.784596803999962,1.1603417507556995,1.8032963079164126,1.3393488227087893,-0.7682631555429059,2.1562233022877053,0.350730680716894,0.3334984901898532,1.0314702720977094,-0.7577697229560847,-0.8407918647791499,-0.4053182175384066,-0.8337183163826827,-0.7562013227449014,3.728604032543116,2.1650943426849194,1.4511064022891142,-0.940046199371975,-0.17843987381432252,0.21668475780801508,0.006436320954459548,1.4941413270638602,1.319050504339812,-0.488341429334738,2.153542537824952,0.8622052385454854,2.571323359728546,1.4013222235786624,3.4781078163865065,-0.37538084504721186,-0.31246743022225837,-0.5338364053117884,0.47158995619465605,-0.9092150603740552,0.5592768551182707,2.859653318573004,1.0565694097283715,-0.057982224219576585,1.4321080197998055,-0.8468921689406493,-0.8637229605397159,2.343809602022163,0.3954439025573662,-0.30845405876964516,-0.8069333046734847,0.4051415759477171,-0.7756434530813229,1.0729625539824315,0.2844463377181047,-0.7650345485526286,0.7498185197134771
SIDM00266,-0.09772833640075418,0.47072859392858446,-0.3224785402163687,-0.9800792358210011,-0.7613952989922869,0.30671625220575466,-0.6405960207206729,0.7317740932707196,-0.855001424498169,-0.6487431400380776,-0.585298910015407,-0.8029889885392135,-0.3555052293772311,-0.5117967119573102,3.182330984369619,-0.8347357449295455,1.6647147494627599,0.5651279600107713,2.264134672262455,-0.6900818804082333,1.5301953898918108,-0.8893688020570553,0.18440339352805643,-0.2212295029752943,0.8690439205321019,0.9111993007529532,-0.6343797832850371,0.9815780569153514,-0.5301474245222989,-0.30140136424836733,1.1658435046116802,-0.8402903158844421,0.568875355686356,0.29606449171145155,-0.1457786822282776,-0.4253617110356655,-0.9561534229558019,0.8577512500704053,1.5623407543832277,-0.41450807095198416,1.9219700959908683,-0.7592628564781083,-0.9017691323518598,-0.8011342302400631,-1.0579327434078147,-0.764146591798814,-0.554373879046253,0.044171406599760835,-0.871270916699806,-0.7711134060883602,1.0389735188088267,-0.15869170900966262,1.1977791937716853,-0.6311878975779397,-0.38844107389933213,2.4447941496261234,-0.4922111936441592,-0.928369787561227,0.25522237455422087,-0.9338649679894618,-0.6999207043098356,-0.1934303871956909,-1.0536416529048491,-0.7279199362075487,-0.3011937496925131,-0.8565516606433066,0.681996976732886,2.6792092150928486,1.2776073476553114,1.888191169921789,-0.1307138727507034,-0.7934670783701385,1.3778231393555398,-0.05871988004598698,0.1639797264013015,-0.4401287169458169,-0.8068981332436282,-0.8875007637108979,0.21713680441315505,0.4826239544240373,-0.7986416697257647,3.4886724914879905,2.9004020222184366,0.7427837498526729,-0.9451345743921411,-0.5750498557014466,0.02066952040049136,-0.3518943476256549,1.528541513070044,1.3629373334990487,-0.8106097380818494,1.2782177004487945,-0.7793305759348836,2.403318143003788,0.7658391543278876,3.281900657154813,-0.092720134336156,-0.5680728384196319,-0.703893198920832,0.20526290666014105,-0.6249791108410439,-0.10407743691765395,2.2635325447355523,0.958712902678172,-0.3861699825009486,1.0316435530116193,-0.7509305254523362,-0.21814983945681674,2.1912185207380555,0.2506683588347556,-0.8146421866472525,-0.8307403052291051,-0.7812156398117321,-0.8709410775601314,1.9509397825231403,-0.6693688766323606,1.1681210726114983,0.8068315158846088
SIDM01064,-0.6807461683348912,1.0234103648863537,-0.4954273662725213,-0.9521068899715175,-0.735792225242683,-0.8603678852955783,-0.5778534024049585,0.950613984018672,-0.8328096315311033,-0.6470835728028945,-0.7612517268505712,-0.7127248527077817,0.12561007301362406,-0.5099221426094163,2.919490601796169,-0.4457132286410602,1.8509542624253292,1.4417840283988694,2.0927057028545057,0.650617754126808,0.7269702973680692,-0.797605748949752,0.24120141521830074,-0.09193663237479605,0.7916946431236195,1.139741061167428,-0.7014104434081031,-0.3993650904422652,-0.7593746532350308,-0.7615119622024282,1.680778780777626,-0.834811026614557,0.13652348756754912,0.2949512476891537,0.16139310931571213,-0.8179249900716709,-0.9845802787508409,0.5565221402379428,-0.7175522801655319,-0.007675246569230654,1.7268781743105956,-0.9183962995323677,-0.6396718756707096,-0.8018802026694946,-0.926929158798077,-0.8776788620201819,-0.3945479523912369,0.8401351677691578,-0.8622137461735759,-0.7596509164817542,-0.1515186574056071,-0.10113901006162213,-0.8212164603800876,0.8552306137604624,0.12557867898362654,-0.8145439237286827,0.17604218848619743,-0.8342317311990037,0.7023517661193566,-0.934321718119304,-0.5686019693876301,-0.0545482199443172,-0.988438266256322,-0.6618275277795173,1.9842008930097044,-0.9582128536486991,-0.7349414283500133,2.6178962245186987,-0.5756731281458728,1.5459154551539112,0.6696829957689749,-0.7491547537256324,-0.5431813803408978,1.006196374863881,-0.027493709231506656,0.04558505890749956,-0.7374424527428846,-0.8361374148733384,0.08393290950962787,-0.3908068370725033,-0.8563183730413033,3.554030155527734,1.9155998546539936,0.8651038677438343,-0.7721991156267811,-0.7201320469346826,0.3029800839083233,-0.4081790405513158,1.478716183298434,1.187079652225721,1.2876952170804103,0.9835257733314337,-0.8280390902955945,1.6287778773425128,0.8405282911163392,2.5437341842099106,0.12873562617667442,-0.7509882770389413,-0.4857960212000399,0.3927698596262352,-0.776923537369381,-0.8598901517608617,3.0250573482784473,-0.9235022663099877,-0.4978691802916767,1.305311154087349,-0.8438985407240663,0.28386611874865914,1.855068768194796,0.8426407443195816,2.4667807881071107,-0.6358647863216048,-0.791005667363509,-0.8712444832903755,2.246080442121826,-0.7477821937067323,-0.1821638354109493,-0.4620590210344882
