,JUN,ZAP70,MALT1,CD28,PDPK1,PPP3CC,PPP3R1,PAK4,ICOS,VAV1,IKBKB,MAP3K8,MAP3K7,AKT1,AKT2,NRAS,AKT3,CHP2,NFAT5,NFKB1,NFKBIB,NFKBIA,PAK6,NFKBIE,CTLA4,CSF2,PIK3R5,CD4,NFATC4,MAPK14,MAPK12,NFATC3,RELA,KRAS,CD8A,CD8B,CD247,NCK2,MAP3K14,CD3D,CD3E,PAK1,CD3G,CBLC,LCP2,PLCG1,NFATC2,NFATC1,LCK,CDC42,RASGRP1,SOS2,PAK3,CHUK,RAF1,TNF,CARD11,PAK2,RHOA,PTPN6,PDCD1,MAPK9,MAPK11,MAP2K2,PRKCQ,MAPK13,MAP2K1,MAP2K7,GRAP2,GRB2,MAPK3,IL10,PTPRC,SOS1,MAPK1,HRAS,IKBKG,TEC,GSK3B,CBLB,CBL,ITK,IFNG,IL2,CD40LG,PIK3R3,CDK4,PPP3CB,DLG1,PPP3CA,PIK3CA,PIK3CB,PIK3CD,BCL10,IL4,FYN,IL5,FOS,PIK3CG,VAV3,PIK3R1,PIK3R2,CHP1
SIDM00519,1.450651171689224,-0.6045768253033916,0.46090261619730694,-0.9311927655030178,1.2480937511442078,0.11411858638168945,0.6006131335263584,0.05205675167458793,-0.8639943493118833,-0.29271956221701273,-0.13511638424224445,0.3935452395812294,1.4429260628253475,-0.3955558339139622,-0.7032513775795374,1.221839698263148,-0.29600760340522414,-0.8245934981203595,0.8029011509859189,1.6810797093900343,-0.34890968302054115,1.5124775933865677,-0.6285576966138914,0.7205480756816781,-0.8917641008859385,-0.6216097533500622,-0.8367236396892249,-0.8893415969116252,-0.8210818751642682,0.37111776949571185,0.22566466874088495,0.14223913067863656,-0.04413591818367234,1.5419688881072011,-0.937336258221774,-0.8903575225384422,-0.8477381016111809,-0.2160679738997095,-0.46043308971780417,-0.8953536874077132,-0.8878859173572006,1.258227015239765,-0.8442010559330491,-0.7927789540679651,-0.99778731510827,-0.0034989349945850107,-0.756545736040116,-0.7407026394973882,-0.8821549782123423,-0.25600809403688,-0.17726261765949936,0.0498076182111507,-0.6679620629581446,0.8161035609072119,0.41097071018801634,-0.5600337566519754,0.7620410980448058,0.8935655973365362,2.336611588025909,-0.340566845307433,-0.8321609869362155,0.7229490449626709,-0.4275518556801686,1.2117328419628624,-0.9051919164249741,0.5838466638312486,1.4682702253736368,-0.13095442971362944,-0.7288374082133466,1.7411622420718154,0.5154256853947725,-0.8536327205195777,-0.9436863931863493,0.5708231736562318,0.20225978087680163,0.8798485214472693,-0.46833018718845176,-0.7511903390525814,1.3510624486918985,-0.647993994586536,-0.03141944906364873,-0.8289665885827248,-0.9300840824322217,-0.9240046300844071,-0.8809258530671084,-0.7187735136670106,2.234465398685669,1.0595067925802728,0.5840044273890072,0.4624333910765997,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,0.16187551831784955,-0.9271930406874138,1.307152286069642,-0.8675141182544702,-0.2966005646921992,-0.8386561761109992,-0.7551533582386583,-0.22309303738012728,-0.07939079386696714,1.6441251892035962
SIDM00917,0.3557040154974996,-0.6350212138425455,1.0091991810403074,-0.6433808897176444,1.1117795845019818,1.4073343429485472,0.5031292249178309,-0.4604744663586069,-0.7424807941531727,0.6058303991855325,0.36611728776337293,0.8960824196753857,1.3335708815362415,-0.44961501627394507,-0.43991493639764384,1.5502036363871254,-0.53140709085529,-0.8433782154006646,1.509834124016156,2.706514981805068,0.01275492218989675,2.926357499895323,-0.7161318035188599,2.1220857546689444,-0.9234676630322638,-0.4444410039062148,0.4079912195723818,-0.8853507588397779,-0.5427612633405228,0.2015353129556218,0.181379694899807,0.7972661786730947,-0.01219307294287043,0.6747655177517772,-0.8880033993129236,-0.8663005975321821,-0.7413645446251239,0.23762616099669084,-0.2897616012455139,-0.7533741315656707,-0.8942701883997404,1.7345939641854828,-0.827068679438502,-0.8999405698822873,2.1653396157857343,-0.02056146040246094,-0.6339409823117056,-0.6519239209292012,-0.15642031414978935,0.44944808904324823,0.9007205582063627,0.777404455271312,-0.7157253657658932,0.9771338680956163,0.6703226732559828,1.830999589279416,-0.06725309516236233,0.8619869852825898,2.6126260305947806,1.6031943454128226,-0.8509057729513468,0.3279819575978883,-0.525953339268432,1.4353305093647586,-0.7558514489149276,0.47021257552627205,2.1682208807797045,-0.2359058389791639,-0.5579301136675253,2.0967618944171535,0.12581611851856564,-0.8572141517941781,0.7932557169976354,0.5455241666444859,0.7518296918279702,0.5785314872233444,-0.4990074757813973,-0.6444803848722401,2.04988231234367,-0.7149193416171191,0.018010350725628243,-0.7789834925460207,0.0483493715889996,-0.8903612096981379,-0.7726088462316814,-0.33826179106292537,1.8123176406853694,1.421329490820309,0.3299310997785629,-0.9550305402844965,1.6959402178273975,0.29428175640692444,0.6552993831852555,0.4759504543337843,-0.7488772612517122,1.0727373579708706,-0.8178315766669182,-0.763011425278973,-0.7207299110933022,-0.7231712567390318,0.09639864077465503,-0.45814276637380663,1.0619232141102706
SIDM00309,1.1989135914686246,-0.607408926401795,0.29626354276095046,-0.9736594079017136,1.0417012936541494,0.239530686891279,0.4586945316334438,-0.02010618667079231,-0.8250419191106813,-0.7327293340903663,-0.03539533274547862,-0.07284621490403262,1.3720361928870406,-0.2912125403265399,-0.5673413731578653,1.256524659301111,-0.323607853268389,-0.840162665915936,1.2422612697902125,1.4951173730900065,-0.32725474022634793,2.224831625741866,-0.7994839546429688,0.7503478128869373,-0.8899182864497048,-0.6465416422103746,-0.8541154838838494,-0.8854825580157517,-0.8560703161417678,0.027781658176252295,0.16320294456720882,0.7219802571115488,-0.07075364474348073,0.44635764588407606,-0.8167229835629615,-0.9184153538120557,-0.8259734935447833,-0.20371061498863988,-0.29934054273754584,-1.0267846552120472,-0.9268127314986092,0.8343008677626348,-0.840378965041138,-0.9262680849602798,-0.9780715558534443,0.03367052596493218,-0.8034805451055725,-0.7620115974132645,-0.8484027373351773,-0.1229129380584758,-0.7950521512042377,-0.055147137698300645,-0.7807695638963471,1.0570803897792147,0.7255659061086115,-0.8252947442022723,-0.039447535232402166,1.435747437791394,2.857779503124727,0.08030536800994867,-0.8419965557498921,0.7807549866059781,-0.6920362432120015,1.29693709399388,-0.9230638654061724,-0.6167940378906848,1.533801591408699,-0.24323890091214959,-0.7743622782526346,1.551214464507327,0.5986800821643932,-0.8284773833065676,-1.0180250870329397,0.6321035255310687,0.19821987316206793,1.0882773068400704,-0.35404607635741997,-0.41148737293892657,1.5938635558462186,-0.8057084974725208,-0.3420208379162094,-0.9380041091295171,-1.080285910491681,-0.8973873176543059,-0.7930068416082126,-0.5719067588538529,2.108265807077271,1.1348244033746662,1.4255222246902632,0.7846956195278735,0.9023372519923574,0.4332412209128918,-0.5018997117469767,-0.07450094808964759,-0.9816497481095143,2.1707496772515524,-0.7537781344851271,-0.7280138679522405,-0.7952065883643438,-0.8438744664001151,-0.33145082133245723,-0.1603682274832688,1.7579141813487515
SIDM00099,1.2804267594778411,-0.6434553581282575,0.9325846100493573,-0.9910990043675716,0.9734616798497266,1.139087154857637,0.9383392124847367,-0.11049390111615294,-0.862235482606821,-0.7726990256436767,-0.178519674526836,-0.6036421853453281,1.4850624809205493,-0.2291313922542609,-0.5616008280392394,1.2061207614674792,0.4590628778438762,-0.8432639551399868,1.4906761880878825,1.4286800173594663,-0.3128482765511934,1.3423688261952067,-0.8120971220518199,0.05387269328336505,-0.8926485723067067,-0.5885795519622585,-0.8097681129008282,-0.8743210390549863,-0.8552614825016744,0.15698173939898816,0.19782956718958974,0.4907166525947159,0.13366079755805624,0.6730085000785737,-0.905846553043016,-0.8793587053604415,-0.8118806728051102,-0.36026978728763265,-0.3193356044533718,-0.8523770980351802,-0.9186809471624761,0.05773351879501439,-0.774024030619387,-0.8588552445705597,-0.9390186531056561,0.3041178582883408,-0.7297280377807519,-0.5712186187752463,-0.852814101316093,-0.3063931104141543,-0.6949717407553743,0.23750660699476628,-0.6743388240877359,0.9480620406235725,1.1767266262913327,-0.8381578425807334,0.035320502344057036,1.2441172639914138,2.662829847610818,-0.6120101741715228,-0.8001387673026318,0.3390362523399091,-0.6524415497699577,1.6865245406992782,-0.7971101179302654,-0.6743050407145389,1.4524860221399285,-0.08853232014296893,-0.8253176201968544,1.5303667233180474,0.6202538847874911,-0.8578138576088669,-0.951492647288759,0.833796751022729,0.4272251428179874,1.0093641595797609,-0.48127298654902717,-0.8009331115976982,1.7953402335997541,-0.5636716404629954,-0.002930302308622005,-0.919483552675736,-0.931121734606555,-0.8355179391865548,-0.826034249357654,-0.745840851085465,2.35319881192637,1.3225179014283042,0.5341657565153759,1.0484953055855488,0.9772417205774084,0.2470462313405816,-0.60403659056009,1.1370214927699496,-0.9004948197222211,0.9698603220525946,-0.8250072987568752,0.032363518786125416,-0.7412131459935081,-0.7464210122780767,-0.30151261608262947,-0.29295489699624994,1.5173131678875098
SIDM00276,1.1495267237151896,-0.6792408209692262,-0.34088614385932386,-0.9223655621736347,0.833516480644265,0.14944474233641536,0.7380633156463018,-0.24702081182234953,-0.8777763096592112,0.018827202302377277,-0.22945576373960963,-0.8319947349210246,1.2861609568192804,0.11933883765264834,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,-0.8075367709930855,0.46729077348319253,1.5166522702960785,-0.17021109562150152,1.8837504521796675,-0.4898190144427076,1.1406307202167623,-0.8871720862337114,-0.610467458621638,-0.8267639290855728,-0.8562972938599723,-0.6704676022637825,0.3161658464418772,-0.0616438838510233,0.5402510445726798,0.2185667859797125,0.6515748950888393,-0.8329159405482388,-0.7833931572513155,-0.6906602868294406,0.010401566834162544,-0.2838531134299047,-0.9485327118298268,-0.9462380215940103,1.4485348529477764,-0.807892556516528,-0.8458751624680838,-1.035045946780302,-0.03665739673160678,-0.8009237497953396,-0.9062178075717767,-0.7238878903102137,-0.18699906706649816,-0.8228914259232322,-0.0659297637105213,-0.7730830318639567,0.5164845613433473,0.6944907569106895,-0.7093612735075637,0.6823914912987055,0.9538448073099771,2.5206409028438705,0.8219184729154284,-0.8446264384660316,0.22516520348511637,-0.7072319325125542,1.5730502356630185,-0.5998812591545832,1.4914025585674724,2.019959361654287,-0.19761384906400065,-0.814408469179458,1.9575623215250881,1.1105277507367421,-0.7896059243898568,-0.9970548626961622,0.4636340472715856,0.3901472004011665,1.1816656923996194,-0.576300583743626,-0.5369546389645599,1.6862762082929676,-0.44320454736521914,-0.07779895785991249,-0.9250379372174151,-0.9907004059819221,-0.853053712366457,-0.7708399116371276,-0.6488194164256283,2.049498912743563,0.9749929377434926,0.18975659502318612,1.1017332648282585,0.4020237646019066,0.030209795559018312,-0.5315367247175582,0.4099805954626639,-0.9522851726014916,1.2409770589816889,-0.9002127589764983,-0.5043323766106234,-0.8724342233570149,-0.7054601585509422,-0.49045962005312094,-0.4121884693058777,1.8004960987401966
SIDM00311,1.6009746532649622,-0.6585756273852325,0.4839045030379289,-0.9411540743837576,0.9924763886210323,0.5372556161210008,0.33983197724746034,-0.350180345706061,-0.7695403192835497,-0.8689779586238847,-0.1436366764423288,-0.6069985763286129,1.5217649565572562,-0.04068572253821361,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,-0.8158154101321047,1.0653170309099644,1.7807493777478833,-0.21095981177158787,1.7433000336297542,-0.8886306283160915,0.49755738215924966,-0.8336979849720685,-0.49713460958519035,-0.751888574666709,-0.9525792054758552,-0.8776166274923565,0.22038630050524832,0.1215856797023061,0.3741323540730578,0.15884163586295352,0.5102474431294666,-0.8443881593686545,-0.8947506033125615,-0.7929076536740447,-0.38885848261538425,0.16136630476819105,-0.7773485658111411,-0.8867908151426424,0.6672431865164238,-0.8832267374104769,-0.8287666590836056,-0.9089914177431525,0.24234045098963491,-0.749702553287369,-0.6073710930588813,-0.8260516498554193,-0.029608362448675183,-0.7734785142955437,-0.03247697834325912,-0.7678814318561907,0.8036714917234041,0.5447987316773143,-0.7630319113703132,-0.0932900115410462,1.1668714680617331,2.962453528951947,-0.7275842771008386,-0.8502046744041393,0.5474182472045206,-0.53551381406055,1.3593653195542226,-0.8144072120552219,-0.558065289953534,1.8896826961927777,-0.27496927592504694,-0.7796797585511244,1.635529327971572,0.29001810221540564,-0.7882661454750398,-0.9310322728172075,0.6037743687259487,0.38729023043362193,1.1499067182680816,-0.41368099135544933,-0.6347515257357534,1.282951438624949,-0.002421370819849334,-0.0810526231746209,-0.9042965025405982,-0.9983434829906185,-0.8947551983743558,-0.8211018253688963,-0.677359328236902,2.154206687974875,1.2093930196224365,0.6854607699831072,0.947465542602499,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,0.6486743706917789,-0.866873692571956,1.4117324812219323,-0.8322675174813061,-0.47377415735670114,-0.7787929081177212,-0.6994468276851648,-0.1528127154303174,-0.2815786822959473,0.7540254640885538
SIDM00970,1.1125033789495749,-0.7643416894176579,0.13380052363739628,-0.9345641858074027,1.2089254783997123,0.030852483894811232,0.5069331571714352,0.17913257839711824,-0.8144758700024951,-0.7808174088188924,-0.0316694772888078,-0.27869032346843203,1.1408235307705439,-0.10547988580351268,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,-0.7022949505622341,1.3601499438898244,2.047102764470724,-0.1340406003864184,2.2527880968170315,-0.12548187628659088,0.5536917965221776,-0.9350395677986156,-0.5407567958220008,-0.8149726060877294,-0.9203545374223284,-0.8292913973608347,0.22025738468349013,-0.283948733105749,0.54216188023287,0.02339370108682473,0.8955143169693113,-0.7627368034359896,-0.8442227037639555,-0.736016708011663,-0.382037146677231,-0.4917263410151084,-0.8774317488138749,-0.8994592850945919,0.9820464646986934,-0.7884393402765009,0.9850910999284843,-0.9291380512463268,-0.20487850156093684,-0.6591845002345471,-0.7053407019267107,-0.8640674454664702,-0.0044976200404464785,-0.8321882703225227,0.06815208203162508,-0.8618154103732047,0.3015782067203512,1.0032059249628758,-0.9528144348089674,0.7561496814679478,1.0205892370760392,2.798015426118431,0.6126547607518921,-0.8602358865847081,0.17957833961123676,-0.7101858439138434,1.0350064504926018,-0.8303802041829504,1.1320125379614268,1.5480021660770813,-0.2499960950436658,-0.8431974208470557,1.7772022885091538,0.3293145122295789,-0.8775637011727477,-0.9892180028472713,0.7419548768709279,0.8119872597350951,1.3507311932125972,-0.6183407853938081,-0.6734968596954369,1.5783739419319924,-0.6440513887172788,-0.372850295071207,-0.8728595778631916,-1.0016024397027243,-0.9685678471241579,-0.8554872832435594,-0.4642723288066422,2.0836698866468724,1.3200824079518878,0.20474910875406369,1.1064490655090542,0.6516507787099076,0.07842511824996666,-0.7197542934563707,0.7713358563663716,-0.8563244637310119,-0.010292471860073364,-0.8738129336902587,0.970328271120959,-0.8051315465966639,-0.047028253319504124,0.024174200640533106,-0.3230373291454919,1.7144994215516516
SIDM00103,1.9346272657562575,-0.7107054039721898,0.7268561094098882,-0.9285399505055926,0.9419679025363212,1.39866427863796,0.5453880413287697,-0.2440956091781148,-0.8026112271445895,-0.7562903116397408,0.1526785008488658,-0.632341803494112,1.3831803282219355,-0.06847722136698463,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,-0.7919491553438586,1.5894483937733366,1.2461389920078365,-0.4345943136841946,1.3316515770819293,-0.7688282178168442,0.3332103366463939,-0.8611193003398795,-0.5763506104166625,-0.8467818040121766,-0.8608661988468177,-0.5451930369162776,0.0013004073611845926,0.15811161940364743,0.333849265286775,0.05682964877522256,0.019609299068091418,-0.9653325461723489,-0.7988368382376725,-0.750239257542475,-0.45100359127684325,-0.43983027683691234,-0.7829319459377696,-0.8653294504630612,1.2219708033261014,-0.8075298357735216,-0.8914532999648367,-0.7952772766162892,-0.1470608013499035,-0.8243914979942017,-0.7073016849798737,-0.7924706960616359,-0.28401500007289676,-0.63173400450441,0.11201949844336118,-0.5628251567606234,0.8192588864072707,0.842042295483723,-0.7985828210686804,-0.12636079000016132,1.2473264817799543,2.784596803999962,-0.6190684972746465,-0.8005628366758788,0.06579980602104345,-0.6616446450437894,1.7208696588265395,-0.8407918647791499,-0.40427665466322144,1.3916393884940752,-0.14844929526096878,-0.7010737480534945,1.6238428467390442,0.80055510601947,-0.8873494022381585,-0.8959644229928266,0.6115918772422926,0.3533626797819316,1.4511064022891142,-0.4292891057591731,-0.39689265862146506,1.8739563973929787,-0.49930878613587715,-0.4006511678695992,-0.9231110315963067,-0.9662912596215301,-0.946801039619253,-0.7901236509869108,-0.8018036490477344,2.343809602022163,1.1609808763492704,0.7254762340292973,0.931967646087815,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,0.44652201240545436,-0.8332045865226951,1.3198761775309895,-0.8206538940805392,-0.760248912439599,-0.8415395909860525,-0.7108082069880823,-0.19631857119045654,-0.10318863179885122,1.7219521346837794
SIDM00266,0.7547732186794955,-0.587889359050985,0.058385162193134034,-0.9507617311332528,0.6750494982901337,0.059452434153442264,0.7518863505157191,-0.3668691190112027,-0.7318855379111857,-0.43423365118197577,-0.2454207720614906,-0.8793103130253153,1.4709432974225625,-0.3555052293772311,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,-0.8471823115370111,0.8225539262431254,1.2716264406624573,0.04159796809956709,1.5394493332535957,-0.8250553715722624,0.2551099405062088,-0.9317483641058454,-0.5380023161451661,-0.8496389728152324,-0.8977705963630613,-0.5472135560595207,0.20226953876461828,-0.08669129486398476,0.24565822843564036,-0.248028129252309,0.9111993007529532,-0.8083815871009254,-0.8812181905744572,-0.7697269428824925,-0.6881238047705561,-0.7036240165569714,-0.928492620427092,-0.9327777576411418,1.253827961612637,-0.9121587093029354,-0.8287662823695146,-0.9314801457677792,0.12465917458109645,-0.7181169584038343,-0.6735704101789105,-0.9032966898049805,-0.15869170900966262,-0.8306758493022599,0.18691646827734318,-0.7373882479019702,0.73891556292186,0.7998530910773893,-0.6886728367980001,0.060131188393909296,1.1739721253351092,2.6792092150928486,-0.6332264740823457,-0.8353523285873357,0.4323758508759002,-0.7213032168910508,1.421884080467031,-0.8875007637108979,0.020916236547061776,1.3033679463501235,-0.1614697313923173,-0.8698165885032705,1.4884797745308012,0.43598438125523226,-0.8662196745749828,-0.9430256704963312,0.5948286514554698,0.5203234391390296,0.7427837498526729,-0.5568467555927609,-0.7678926942397256,1.608867664968994,-0.5242393306366948,0.09627253022619521,-0.8296597129165211,-1.0339788944272246,-0.9394326481390457,-0.8448909171229004,-0.5568906287862644,2.1912185207380555,1.6327421418768657,0.16247514484647527,1.6648138934646912,0.975240071825603,-0.33462897669646635,-0.6595534890448225,0.14897608747420513,-0.8215947046643177,1.5092997359795841,-0.785609961393071,1.5013876299231168,-0.6325575608303017,-0.7238248028637337,-0.043248545248515055,-0.44868059800330085,1.301229601043689
SIDM01064,1.1767698825357338,-0.6879661229832771,0.6388007109811069,-0.8958202328794158,1.5397970858077232,1.2825025270747707,0.7706577661199161,-0.3722411159617376,-0.6313251912753567,0.3878281994828493,-0.051216720492121844,-0.47959176633519296,1.3905928719004024,0.12561007301362406,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,-0.8555506126949551,0.5756187915761554,2.224705986401305,0.3642839661736418,2.441087912138068,-0.8420120025949221,1.278783700345138,-0.879193821097628,-0.6589215034887966,0.00999373611543667,-0.8848590133041605,-0.849907290383355,0.3799612684593851,-0.003268500461773034,0.4729958487755104,0.054157544537158105,1.139741061167428,-0.9103354314920529,-0.7803315205603071,1.6300420516741565,0.2622159011917113,-0.06396921498978138,-1.004864148050743,-0.8655130758457301,1.218593717846548,-0.807580206012378,-0.8783249358451041,-0.3709366082686787,-0.4206900010717696,-0.5762247744328114,-0.5573720633816219,-0.8535813984254174,-0.10113901006162213,1.2481288255514862,0.4878491632261718,0.7667273141939772,1.136571207278792,1.1271093323880224,1.2615577021538715,-0.026867677307719443,0.7261012544823194,2.6178962245186987,0.03950683878386853,-0.8267587618506537,1.5451934254228694,-0.4817365671169845,1.1257725690972324,-0.8361374148733384,0.30136442387271595,1.9344409784512715,-0.21505805647415066,0.24415856436813424,1.7085587502100803,1.0024155733741154,-0.7432726821938074,-0.9266141336552949,0.8955226757344096,1.324784881453375,0.8651038677438343,-0.2614683980259644,-0.6856102546796348,1.0044439342394096,-0.8287468115394749,-0.010160713992846956,-0.7557849656292663,-0.8997361848249146,-0.9395830653140689,-0.7689878989113619,-0.5222596854068073,1.855068768194796,1.4965333639248315,-0.5417356445960066,1.2064258194788318,1.6317312906782862,0.201441486318639,0.5128280268281551,0.3543847076618535,-0.5609866696001622,-0.7862023710063906,-0.7421805862317838,-0.7361677029592799,-0.7788569289509498,-0.7695841706409674,0.8846240816513324,-0.3221179351293593,1.1989393237284054
