,SOS2,RAF1,PRKCB,PRKCA,PDPK1,TNF,MAP2K4,PLA2G3,FCER1G,MS4A2,FCER1A,PRKCD,INPP5D,PRKCE,MAPK9,MAPK10,PLA2G6,IL13,PLA2G2E,PLA2G10,MAPK11,MAP2K2,PLA2G2A,RAC3,MAP2K3,PLA2G4A,MAPK13,PLA2G5,PLA2G12B,MAP2K1,VAV1,MAP2K7,MAP2K6,AKT1,PLA2G2F,AKT2,AKT3,NRAS,GRB2,MAPK3,RAC1,SOS1,PLA2G1B,MAPK1,CSF2,PIK3R5,HRAS,MAPK8,IL3,MAPK14,MAPK12,GAB2,KRAS,SYK,PLA2G4E,BTK,PIK3R3,PIK3CA,PIK3CB,LCP2,PIK3CD,PLA2G2C,PLCG1,PLA2G2D,PLCG2,PLA2G12A,IL4,FYN,IL5,PIK3CG,VAV3,LYN,PIK3R1,PIK3R2
SIDM00519,0.0498076182111507,0.41097071018801634,-0.693256665426057,-0.14177020028773454,1.2480937511442078,-0.5600337566519754,0.8536117751585641,-0.6850179934614118,-0.589081500954868,-1.0218790075280464,-0.9036053973511594,-0.16217541688124437,-0.6445948568621265,0.2467610685660952,0.7229490449626709,-0.8000735354340742,-0.7554360435351557,-0.8805088955737076,-0.8433965079575642,-1.0091032468882672,-0.4275518556801686,1.2117328419628624,-0.908346409006008,0.6351820544066088,0.9184842646917146,-1.0116036917247377,0.5838466638312486,-1.0585534009949649,-0.6626791441003931,1.4682702253736368,-0.29271956221701273,-0.13095442971362944,-0.32925879534820157,-0.3955558339139622,-0.9895476338726719,-0.7032513775795374,-0.29600760340522414,1.221839698263148,1.7411622420718154,0.5154256853947725,2.769353667407342,0.5708231736562318,-0.8607035765925894,0.20225978087680163,-0.6216097533500622,-0.8367236396892249,0.8798485214472693,-0.3898911071975693,-0.8465210496793664,0.37111776949571185,0.22566466874088495,-0.06637235057079378,1.5419688881072011,-0.8009619951846767,-0.915282395936786,-0.9963362085214063,-0.7187735136670106,0.31954704636902964,-0.18112189125699452,-0.99778731510827,-0.5861729564811344,-0.8463618549593636,-0.0034989349945850107,-0.8869410620692143,-0.23385840083667578,0.9829538935460095,-0.9271930406874138,1.307152286069642,-0.8675141182544702,-0.8386561761109992,-0.7551533582386583,1.0616726236766958,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.777404455271312,0.6703226732559828,1.6723657668354104,-0.5834552659254151,1.1117795845019818,1.830999589279416,0.9061781709798711,-0.7055607273055641,-0.25668701604711314,-0.7993360462221617,-0.8119168423510454,1.5657473081576383,0.07375993449014455,-0.34761794029644505,0.3279819575978883,-0.4789249487721815,-0.6983322727342728,-0.8431255098011188,-0.8268625016050603,-0.9810378849179168,-0.525953339268432,1.4353305093647586,-0.8391205397817006,-0.07227826244569432,1.1114459492290452,-0.8022800340243171,0.47021257552627205,-1.0038074211075247,-0.8662341496460776,2.1682208807797045,0.6058303991855325,-0.2359058389791639,-0.06804046775688463,-0.44961501627394507,-0.9505741889748194,-0.43991493639764384,-0.53140709085529,1.5502036363871254,2.0967618944171535,0.12581611851856564,2.1032589178303955,0.5455241666444859,-0.8616015082723868,0.7518296918279702,-0.4444410039062148,0.4079912195723818,0.5785314872233444,0.7084240651382601,-0.782377959904495,0.2015353129556218,0.181379694899807,-0.6273721673672108,0.6747655177517772,0.846966397865307,-0.6117874873680419,1.359672450036133,-0.33826179106292537,1.6959402178273975,0.29428175640692444,2.1653396157857343,0.6552993831852555,-0.5902381844032991,-0.02056146040246094,-0.7835150385827508,2.521525918877269,0.9387272697614286,-0.7488772612517122,1.0727373579708706,-0.8178315766669182,-0.7207299110933022,-0.7231712567390318,2.599953714582175,0.09639864077465503,-0.45814276637380663
SIDM00309,-0.055147137698300645,0.7255659061086115,-0.8444723115073255,-0.2444585548068717,1.0417012936541494,-0.8252947442022723,0.6856889106587097,-0.6997536519140191,-0.7227210819485265,-0.8477085405241028,-0.8177956812885382,-0.16192114428717402,-0.7453242757512184,-0.010849607542058605,0.7807549866059781,-0.8191751222390329,-0.698775437850522,-0.9129512453576132,-0.8110858275877346,-0.9720171270898533,-0.6920362432120015,1.29693709399388,-0.9554116438070824,1.127406172706436,0.914281731536143,0.37204762457276763,-0.6167940378906848,-1.045958199149002,-0.8266731319775593,1.533801591408699,-0.7327293340903663,-0.24323890091214959,-0.32064613607320613,-0.2912125403265399,-0.9321267724225204,-0.5673413731578653,-0.323607853268389,1.256524659301111,1.551214464507327,0.5986800821643932,2.5778827866642704,0.6321035255310687,-0.9305593624071036,0.19821987316206793,-0.6465416422103746,-0.8541154838838494,1.0882773068400704,-0.39617924839638224,-0.8700228737315242,0.027781658176252295,0.16320294456720882,-0.13888804622220252,0.44635764588407606,-0.6241813455249899,-0.8396045563178794,-0.9830227622883678,-0.5719067588538529,0.9023372519923574,0.4332412209128918,-0.9780715558534443,-0.5018997117469767,-0.8320019248002899,0.03367052596493218,-0.7977798730879978,0.08187136456782916,1.70553371557291,-0.9816497481095143,2.1707496772515524,-0.7537781344851271,-0.7952065883643438,-0.8438744664001151,0.6441326067299576,-0.33145082133245723,-0.1603682274832688
SIDM00099,0.23750660699476628,1.1767266262913327,-0.8126854339693373,-0.13137744725192088,0.9734616798497266,-0.8381578425807334,0.49088961829913735,-0.6520919920808488,-0.5726199139991015,-0.866854588234418,-0.8578989636123857,0.08749614809878069,-0.6330770555164758,-0.011093741128729333,0.3390362523399091,-0.7705711201622135,-0.7387936053109125,-0.8967612692441943,-0.6719447568385949,-1.0210522435705907,-0.6524415497699577,1.6865245406992782,-0.858795850759276,0.7354802762086091,0.8757885213634468,-1.0218854526357262,-0.6743050407145389,-0.9976272469691949,-0.8568144494221323,1.4524860221399285,-0.7726990256436767,-0.08853232014296893,-0.4856989509765795,-0.2291313922542609,-0.972993659074612,-0.5616008280392394,0.4590628778438762,1.2061207614674792,1.5303667233180474,0.6202538847874911,2.5640336413202114,0.833796751022729,-0.8556420818499619,0.4272251428179874,-0.5885795519622585,-0.8097681129008282,1.0093641595797609,0.13335399968062153,-0.9155384639091868,0.15698173939898816,0.19782956718958974,-0.29155910421871256,0.6730085000785737,-0.7187895426531591,-0.8210140128213779,-0.9726525568727691,-0.745840851085465,0.9772417205774084,0.2470462313405816,-0.9390186531056561,-0.60403659056009,-0.86124548210325,0.3041178582883408,-0.7504937461532906,-0.4496306432321909,0.43443701066540386,-0.9004948197222211,0.9698603220525946,-0.8250072987568752,-0.7412131459935081,-0.7464210122780767,-0.13631200820160339,-0.30151261608262947,-0.29295489699624994
SIDM00276,-0.0659297637105213,0.6944907569106895,-0.7890798899543415,-0.40676241488024195,0.833516480644265,-0.7093612735075637,0.7319338128724997,-0.6799268319117648,-0.7038372507889541,-0.9051345150401511,-0.832297056897756,0.6637941091877231,-0.6677738451485075,0.21101288368288423,0.22516520348511637,-0.693685319706086,-0.6837233923198708,-0.9281846658402625,-0.9156763157550357,0.3876511881634544,-0.7072319325125542,1.5730502356630185,-0.8057537278720598,1.320257080883738,1.2755666797266043,-0.6802706896435589,1.4914025585674724,-1.0456382015192203,-0.8849210300509877,2.019959361654287,0.018827202302377277,-0.19761384906400065,0.07916000121860613,0.11933883765264834,-0.9713400771111201,-0.5956790432627415,-0.5519477570600904,1.9524905147513523,1.9575623215250881,1.1105277507367421,2.537790164982142,0.4636340472715856,-0.9329671401851335,0.3901472004011665,-0.610467458621638,-0.8267639290855728,1.1816656923996194,-0.0691404580401485,-0.934533323069126,0.3161658464418772,-0.0616438838510233,-0.3308871749955511,0.6515748950888393,0.49155265882209953,-0.6196206763585796,-0.962710503745344,-0.6488194164256283,0.4020237646019066,0.030209795559018312,-1.035045946780302,-0.5315367247175582,-0.825849163375806,-0.03665739673160678,-0.80878416615467,-0.028502178643651007,1.0599953897512413,-0.9522851726014916,1.2409770589816889,-0.9002127589764983,-0.8724342233570149,-0.7054601585509422,1.538287484023975,-0.49045962005312094,-0.4121884693058777
SIDM00311,-0.03247697834325912,0.5447987316773143,-0.8105801305761055,0.7056643480085137,0.9924763886210323,-0.7630319113703132,0.5121588476229368,-0.7036655802229366,-0.6863904261090722,-0.8643966630941818,-0.8358904649312494,0.3732942372692227,-0.7579816717625386,0.6361110097270698,0.5474182472045206,-0.8049432169992577,-0.8051409034030218,-0.9054926841253845,-0.8394633264695162,-1.054186096606148,-0.53551381406055,1.3593653195542226,-0.8547788795453823,1.0092042678574253,1.0915739940647466,0.13027171813925953,-0.558065289953534,-0.9550506598284961,-0.8069346609114783,1.8896826961927777,-0.8689779586238847,-0.27496927592504694,-0.5161589198999724,-0.04068572253821361,-0.9974412198044029,-0.6105409974472994,-0.27243689547260147,1.5785594577365645,1.635529327971572,0.29001810221540564,2.5336087504973483,0.6037743687259487,-0.8780408538143946,0.38729023043362193,-0.49713460958519035,-0.751888574666709,1.1499067182680816,-0.07582413085830866,-0.8901203558210279,0.22038630050524832,0.1215856797023061,-0.2938008355705803,0.5102474431294666,-0.8753313190884853,-0.8672145225539768,-0.8449021753776194,-0.677359328236902,1.2324268605147033,-0.16744840637044256,-0.9089914177431525,-0.5452007531527697,-0.8579385075539958,0.24234045098963491,-0.8653644261684323,0.22047856944745903,0.9595621741522522,-0.866873692571956,1.4117324812219323,-0.8322675174813061,-0.7787929081177212,-0.6994468276851648,0.5216602945623253,-0.1528127154303174,-0.2815786822959473
SIDM00970,0.06815208203162508,1.0032059249628758,-0.7355939801807603,-0.23316708625249377,1.2089254783997123,-0.9528144348089674,0.2539807798261478,-0.6784045593186835,-0.7869812036387362,-0.8997930279845233,-0.7956441778338282,1.3945888705784915,-0.5852904881654436,0.11704625043704507,0.17957833961123676,-0.0005214666553748757,-0.7574719229506964,-0.843441762096804,-0.6888230047759513,1.3217577016747517,-0.7101858439138434,1.0350064504926018,-0.3908837056288941,0.19980267442914598,0.7436446832470484,0.6571301454544184,1.1320125379614268,-0.994838682054863,-0.8011085379766891,1.5480021660770813,-0.7808174088188924,-0.2499960950436658,0.17634610993410874,-0.10547988580351268,0.4334215230072857,-0.32945864135872244,-0.8508602838977936,1.2890579677789475,1.7772022885091538,0.3293145122295789,2.70133784532971,0.7419548768709279,-0.8362080727679566,0.8119872597350951,-0.5407567958220008,-0.8149726060877294,1.3507311932125972,-0.3662241185702077,-0.9173445051188092,0.22025738468349013,-0.283948733105749,-0.7490890955709114,0.8955143169693113,0.7555729284712365,-0.7967784638565522,-0.897447883561647,-0.4642723288066422,0.6516507787099076,0.07842511824996666,-0.9291380512463268,-0.7197542934563707,-0.8498109810761587,-0.20487850156093684,-0.848123374276097,0.41264517800793504,1.2699804597788635,-0.8563244637310119,-0.010292471860073364,-0.8738129336902587,-0.8051315465966639,-0.047028253319504124,1.2608411430676931,0.024174200640533106,-0.3230373291454919
SIDM00103,0.11201949844336118,0.842042295483723,-0.8670659958030608,-0.28424573269653736,0.9419679025363212,-0.7985828210686804,0.4193752403248207,-0.645315576779291,-0.6086454454038864,-0.8172159828162842,-0.7498874528071574,0.350730680716894,-0.6621347121450256,1.0314702720977094,0.06579980602104345,-0.8092251083840144,-0.6726244867374868,-0.9068389704197788,-0.79915342753613,-1.0820791556080098,-0.6616446450437894,1.7208696588265395,-0.7998276058930084,1.0316353661159339,1.253334838882961,-0.9942213356313719,-0.40427665466322144,-0.9444389806237633,-0.8693087562790918,1.3916393884940752,-0.7562903116397408,-0.14844929526096878,-0.4248265892447458,-0.06847722136698463,-0.9606979439575039,-0.5499446939252121,-0.24893693507670495,1.5912580346491147,1.6238428467390442,0.80055510601947,2.5729208617833472,0.6115918772422926,-0.8928968330839427,0.3533626797819316,-0.5763506104166625,-0.8467818040121766,1.4511064022891142,-0.40114405850187046,-0.7187742464688747,0.0013004073611845926,0.15811161940364743,-0.21413587996231648,0.019609299068091418,-0.738292880671025,-0.9498515779066433,-0.9535682793888517,-0.8018036490477344,0.8649885642906499,-0.012228360223561519,-0.7952772766162892,-0.5742533021236681,-0.7861875438867996,-0.1470608013499035,-0.7947851954592112,-0.5946701851889066,0.500807688870367,-0.8332045865226951,1.3198761775309895,-0.8206538940805392,-0.8415395909860525,-0.7108082069880823,0.8321479795950905,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.18691646827734318,0.7998530910773893,2.4447941496261234,-0.4922111936441592,0.6750494982901337,-0.6886728367980001,0.4011389814825354,1.7826819544649817,-0.5426725691264814,-0.9656288896549271,-0.9141988031027186,-0.05871988004598698,-0.7471451250078748,-0.4401287169458169,0.4323758508759002,-0.3600812305976859,-0.7591196404868659,-0.9269483526953852,-0.9374146182193293,-0.7518317989959907,-0.7213032168910508,1.421884080467031,-0.8801709330413998,0.9651475071789204,0.37867268065868775,-0.3083381519564571,0.020916236547061776,-1.018096110526356,-0.9458011921767625,1.3033679463501235,-0.43423365118197577,-0.1614697313923173,1.498995925038835,-0.3555052293772311,-0.9138732875823558,-0.5117967119573102,-0.8347357449295455,1.6647147494627599,1.4884797745308012,0.43598438125523226,2.423210183355695,0.5948286514554698,-0.836883294058943,0.5203234391390296,-0.5380023161451661,-0.8496389728152324,0.7427837498526729,-0.30005824183715535,-0.866738647902201,0.20226953876461828,-0.08669129486398476,-0.37959803940356013,0.9111993007529532,-0.8482683906998657,-0.7870936499375204,-0.9479561099779149,-0.5568906287862644,0.975240071825603,-0.33462897669646635,-0.9314801457677792,-0.6595534890448225,-0.8172758917945459,0.12465917458109645,-0.835237241354834,1.042684104369696,1.6893030339626087,-0.8215947046643177,1.5092997359795841,-0.785609961393071,-0.6325575608303017,-0.7238248028637337,0.7012087593342549,-0.043248545248515055,-0.44868059800330085
SIDM01064,0.4878491632261718,1.1271093323880224,-0.8145439237286827,0.17604218848619743,1.5397970858077232,1.2615577021538715,0.49371136136102367,-0.5925676505631666,-0.7886746484256089,-0.9182919328920003,-0.7547561990455384,1.006196374863881,-0.3939216172902523,0.04558505890749956,1.5451934254228694,-0.8948051722627113,-0.7122782191068401,1.6733268425637091,-0.76018020586711,-0.8006073310145412,-0.4817365671169845,1.1257725690972324,-0.8125914513044605,-0.038295302397666216,0.8352703443306618,1.0999819084382731,0.30136442387271595,-0.9390141126265353,-0.7970281733185461,1.9344409784512715,0.3878281994828493,-0.21505805647415066,-0.24627051765342797,0.12561007301362406,-0.8022317497224494,-0.5099221426094163,-0.4457132286410602,1.8509542624253292,1.7085587502100803,1.0024155733741154,1.8105522688699511,0.8955226757344096,-0.9008787124480435,1.324784881453375,-0.6589215034887966,0.00999373611543667,0.8651038677438343,0.49006099709420986,-0.8818443452759771,0.3799612684593851,-0.003268500461773034,-0.23189461171957151,1.139741061167428,-0.7029059951603241,-0.7291847804771081,-0.7778273802927627,-0.5222596854068073,1.6317312906782862,0.201441486318639,-0.3709366082686787,0.5128280268281551,-0.736715753611964,-0.4206900010717696,-0.776347159391237,-0.661233852400993,0.774666341696827,-0.5609866696001622,-0.7862023710063906,-0.7421805862317838,-0.7788569289509498,-0.7695841706409674,1.8926205883781668,0.8846240816513324,-0.3221179351293593
