,ENPP2,PAFAH1B1,LPCAT1,PLA2G3,ENPP6,LPCAT4,PLA2G4E,CHPT1,AGPS,PLA2G6,PAFAH1B3,PLA2G2E,PLA2G10,PAFAH2,PLA2G2A,PLA2G4A,PLA2G5,PLA2G12B,PLA2G7,PLA2G2F,PLA2G2C,PAFAH1B2,PLA2G2D,LPCAT2,PLD1,PLA2G12A,PLD2,PLA2G1B
SIDM00519,-0.3588789144118446,1.7580564434259833,1.863489808233746,-0.6850179934614118,-0.8875341549574194,0.0010986491398234195,-0.915282395936786,1.4788519040782115,0.9610446472613838,-0.7554360435351557,1.4939084060657037,-0.8433965079575642,-1.0091032468882672,-0.5144053850888609,-0.908346409006008,-1.0116036917247377,-1.0585534009949649,-0.6626791441003931,-0.9054477897145765,-0.9895476338726719,-0.8463618549593636,0.3896484319305958,-0.8869410620692143,0.22942614049235596,0.08952501488936536,0.9829538935460095,-0.42778744262526036,-0.8607035765925894
SIDM00917,1.8052904609974432,1.4089347744616538,2.445280710272734,-0.7055607273055641,-0.884093397745608,-0.1486203665597267,-0.6117874873680419,0.7349269635961367,0.5789097048398584,-0.6983322727342728,0.7274859139318866,-0.8268625016050603,-0.9810378849179168,-0.5060102748472888,-0.8391205397817006,-0.8022800340243171,-1.0038074211075247,-0.8662341496460776,-0.929125785004346,-0.9505741889748194,-0.5902381844032991,-0.03821204137346498,-0.7835150385827508,-0.826386127045064,2.05851846338494,0.9387272697614286,-0.40217561206026603,-0.8616015082723868
SIDM00309,-0.858358230582171,1.4976844244459893,1.8297649771269087,-0.6997536519140191,-0.7943409994669248,-0.294682482321887,-0.8396045563178794,1.7229370345761872,0.6579630132972745,-0.698775437850522,1.7460959383735697,-0.8110858275877346,-0.9720171270898533,-0.4028306375724407,-0.9554116438070824,0.37204762457276763,-1.045958199149002,-0.8266731319775593,-0.9041147030584921,-0.9321267724225204,-0.8320019248002899,0.3695893835746845,-0.7977798730879978,0.16856889106157683,-0.236486328604705,1.70553371557291,-0.4246775518930443,-0.9305593624071036
SIDM00099,-0.7854295518203391,1.6030920019641728,1.5124416641002862,-0.6520919920808488,-0.839005556928532,-0.2214119021532276,-0.8210140128213779,2.093308640295033,0.6344288803172372,-0.7387936053109125,0.8484302632443729,-0.6719447568385949,-1.0210522435705907,-0.6808354576367529,-0.858795850759276,-1.0218854526357262,-0.9976272469691949,-0.8568144494221323,-0.8529971471510381,-0.972993659074612,-0.86124548210325,0.42635308068098565,-0.7504937461532906,0.13111282189386037,-0.3920564817104374,0.43443701066540386,-0.4507546403798565,-0.8556420818499619
SIDM00276,-0.8898815455141358,1.5603112880630907,2.052596872164682,-0.6799268319117648,-0.8714479266581536,0.23378429678761242,-0.6196206763585796,1.4466905970720532,0.8039416730044682,-0.6837233923198708,1.6488666954803382,-0.9156763157550357,0.3876511881634544,-0.14491554569569753,-0.8057537278720598,-0.6802706896435589,-1.0456382015192203,-0.8849210300509877,-0.8862784900268673,-0.9713400771111201,-0.825849163375806,0.3179014236740273,-0.80878416615467,-0.6708459991302628,-0.11198844640858856,1.0599953897512413,-0.43574937906933203,-0.9329671401851335
SIDM00311,-0.7299975037517997,1.4566236815047475,1.9136206576952366,-0.7036655802229366,-0.8004380089884592,-0.3143787500025729,-0.8672145225539768,1.446935976911905,0.8007600322648345,-0.8051409034030218,1.4471310550089245,-0.8394633264695162,-1.054186096606148,-0.6197524798692605,-0.8547788795453823,0.13027171813925953,-0.9550506598284961,-0.8069346609114783,-0.7388968328855203,-0.9974412198044029,-0.8579385075539958,0.45102096364870287,-0.8653644261684323,0.30344374429026455,-0.4267310830038636,0.9595621741522522,-0.483193484597924,-0.8780408538143946
SIDM00970,-0.8299531916266046,1.1424135186378936,1.9747521064231335,-0.6784045593186835,-0.8574708698400914,1.01947739122325,-0.7967784638565522,0.797123632619099,0.8971472534857088,-0.7574719229506964,2.323065810507144,-0.6888230047759513,1.3217577016747517,-0.3511869415058074,-0.3908837056288941,0.6571301454544184,-0.994838682054863,-0.8011085379766891,-0.8816463611709098,0.4334215230072857,-0.8498109810761587,0.07137917798587054,-0.848123374276097,0.6439217708507111,-0.5966965990311485,1.2699804597788635,-0.476725855366429,-0.8362080727679566
SIDM00103,-0.5759325821673408,1.4597918709266384,1.3617784579182959,-0.645315576779291,-0.7821306325703248,-0.07038465489806252,-0.9498515779066433,2.1597616973084937,0.9390953267593305,-0.6726244867374868,1.315323665115758,-0.79915342753613,-1.0820791556080098,-0.7029532241920465,-0.7998276058930084,-0.9942213356313719,-0.9444389806237633,-0.8693087562790918,-0.8175317177730003,-0.9606979439575039,-0.7861875438867996,-0.1277684821111095,-0.7947851954592112,-0.29177141234455933,0.1279126044820992,0.500807688870367,-0.5421045263703609,-0.8928968330839427
SIDM00266,-0.9032253596741441,1.337470155119433,1.1749248598019872,1.7826819544649817,-0.7786423783041344,-0.05358177699052523,-0.7870936499375204,1.9095734829689,1.0711651760713874,-0.7591196404868659,2.031543708932576,-0.9374146182193293,-0.7518317989959907,-0.7000688012796333,-0.8801709330413998,-0.3083381519564571,-1.018096110526356,-0.9458011921767625,-0.8502014726611052,-0.9138732875823558,-0.8172758917945459,0.27630751514294816,-0.835237241354834,-0.8665589753480938,-0.4575713727885775,1.6893030339626087,-0.6808518265738267,-0.836883294058943
SIDM01064,0.7438358550929257,1.4721898993047842,2.029310796493129,-0.5925676505631666,-0.8623090225081566,-0.08097643328662064,-0.7291847804771081,1.79224365293966,1.0687890734643404,-0.7122782191068401,1.9458560179830247,-0.76018020586711,-0.8006073310145412,-0.523437877960505,-0.8125914513044605,1.0999819084382731,-0.9390141126265353,-0.7970281733185461,-0.8381244453383941,-0.8022317497224494,-0.736715753611964,0.20076801368324243,-0.776347159391237,-0.17035181491719079,-0.2176454889852269,0.774666341696827,-0.4227333335709346,-0.9008787124480435
