,ACSS2,GCK,PGK2,PGK1,PDHB,PDHA1,PDHA2,PGM2,TPI1,ACSS1,FBP1,ADH1B,HK2,ADH1C,HK1,HK3,ADH4,PGAM2,ADH5,ADH1A,ALDH7A1,LDHAL6B,PKLR,LDHAL6A,ENO1,PKM,PFKP,BPGM,PCK2,PCK1,ALDH1B1,ALDH2,ALDH3A1,AKR1A1,FBP2,PFKM,PFKL,LDHC,GAPDH,ENO3,ENO2,PGAM4,ADH7,ADH6,LDHB,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,GALM,ALDOA,DLD,DLAT,ALDOB,G6PC2,LDHA,PGM1,GPI
SIDM00519,0.29511761952327087,-0.851856790810811,-0.8454849898321378,1.8135921985528953,2.3969787262500835,2.0318384817801918,-0.8791824657691152,0.9335897091139952,2.1364894738284255,-0.5232081993295642,-0.648032084980427,-0.8639936704632867,0.01468437794139422,-0.8865377809181778,0.8728449019245373,-0.7483145559433166,-0.9246894509836264,-0.746102863652442,1.4931135479183482,-0.8972642907709713,-0.04734848633950823,-0.9630461719698113,-0.776407906036647,-0.8199571689843174,3.3394096141079452,1.040664692787864,2.0415926643481996,0.6155899270420719,-0.520767737402791,-0.9713397927461586,0.3268015394243121,1.5815824349005054,-0.4943125919693578,1.2676166411589276,-0.7992528123398597,1.9410368568556409,-0.07209073379686992,-0.8435072148808965,3.69791634840694,-0.40687027975127665,-0.02464902215756948,-0.7170044052253063,-0.7999371153626388,-0.7747153403065632,3.1969906449327063,2.201568402854045,1.232119752372071,-0.8287292028572647,1.7085690665840134,0.8409676884375483,-0.2415887168657148,2.998507091230003,2.3574594457173115,1.3563903559299733,-0.8610961503513928,-0.9005579995358337,3.2514106245128693,1.5147393731037777,2.0722138518839395
SIDM00917,-0.3012730783617963,-0.9308760474518427,-0.8363273154809259,1.7822443111074606,2.2927971273300978,1.882185361736023,-0.7543959467432741,0.6257092828936457,2.2619298609629737,0.7618701740394169,-0.7021280097365227,-0.8668439199695565,0.9878059854859959,-0.8150553637703514,0.6073633654010221,-0.7808321119030809,-0.9204021218444922,-0.9077443615060351,1.1455941180254978,-0.7725774738490442,-0.7657183485170751,-0.9257808205868472,-0.7749853803013764,-0.8578580274183351,3.3607177271714765,0.8551162367446061,1.6592962388659467,0.3218767631033693,1.5628348025876244,-0.8772411303974126,0.16178218933883895,0.9875022302127456,-0.6387510042013984,2.084911218626873,-0.3914919080481729,1.9216707304609457,-0.020634716418905245,-0.17995731620204564,3.6480424078746676,-0.20818022390694546,1.1702572970822882,-0.753621427486013,-0.8820351704267511,-0.748018008523109,3.4506279829399045,-0.7628504927195283,-0.3917130883246354,-0.556022597946201,1.3250852221660985,-0.5058578943192685,-0.6736676725639358,2.720946008929624,2.581099354957047,0.8000798020078022,-0.7694409660643609,-0.838126928839499,2.8678666604260337,0.7972197694338519,1.6739062990161744
SIDM00309,-0.03028763836064123,-0.8654967979506697,-0.9015481656879945,1.9948411737477059,2.776907285701644,2.1637142305635044,-0.755176295644106,1.627901556053579,2.5235568104245925,-0.23573086709942173,0.8097814494072972,-0.8887183344914309,0.23534756228249887,-0.8245196013651369,1.2193397084238555,-0.7458371428922206,-0.9403106886783873,-0.8679896885473568,1.553993935262898,-0.8872896747363866,0.24218797152292582,-0.9041400495394192,-0.7836999865545959,-0.9089258859309005,3.4241012094564334,0.7259929512196759,1.9727297824072623,0.07900871369790216,-0.1836013138611848,-0.9947996642237837,0.9844704359577299,1.6300128197525552,-0.544209361441012,1.6948812571031995,-0.7288773969762321,1.6006627642964362,0.37374022150526703,0.0608437933490491,3.813447520949777,-0.6672755618657508,0.05580135471598455,-0.7429643322439603,-0.715599381672713,-0.8766172495321594,3.477275800113581,2.507038407196217,1.2315013221627489,-0.8364496437560559,1.8339944601095088,1.4691261244116733,0.4503002152302717,3.1330927472181167,2.6235774140218213,1.0739426659859639,-0.923008966596766,-0.8744728788856433,3.3343110031972407,2.616625162759445,2.097252756886021
SIDM00099,-0.0013473714606467336,-0.9140020422628103,-0.6878764754995,1.580939284187324,2.0318087289295415,1.8471939673329147,-0.6992779451105047,0.06260766498664262,2.517481208501184,-0.18928460949109388,-0.6724822889005005,-0.8269146587852985,0.1200636428588885,-0.8621557082615988,1.3125618397379044,-0.6674179921082567,-0.8854880254952894,-0.8261628123349127,1.8193570674188622,-0.987828231416663,-0.22052098185750413,-1.0206689738543115,-0.7419947159271147,-0.8236971253443145,3.179472929765802,0.9287519574133235,2.3943792500681336,0.684545540559463,0.8156044688297786,-0.9518379246629353,-0.04974230606188002,0.8255992518663462,-0.6892421907487165,1.8367848400592586,-0.7766994471654115,1.7796936994616286,0.026759040100666667,-0.9196515659196373,3.7326468890313813,-0.4209744967471994,0.391804853417168,-0.699201446464602,-0.8670489196765222,-0.7927259969301272,3.463786142027431,-0.4992900544528711,1.1017647634080756,-0.8145923068250598,1.6297378894987773,0.832568243536906,-0.7554310669589438,3.0479242390107433,2.0558383126069044,0.8022420356997684,-0.8200075853801017,-0.8440222625693281,3.3186882941346876,1.447934290585334,1.9523074184377895
SIDM00276,0.578721269719088,-0.870078532919965,-0.884114887015941,2.5505536234535313,1.9614454106166586,2.0148901195140376,-0.8020474984879744,0.8195282200972472,2.8083507448105047,0.0805496840526151,-0.4323966448350795,-0.8155535563952719,0.5539035868355162,0.057271847344521606,1.5279334381796006,-0.8228190604383028,-0.8909251959568735,-0.583135522614801,1.2484476224471972,-0.8283695572375359,-0.2715353348482606,-0.8657375953577826,-0.7843056258198139,-0.8716678248317035,3.5647231299674456,0.8633541890310813,2.603002484721678,1.0096455850122192,0.7416376797674441,-0.9095681404847161,0.2367673266587503,0.903857136505525,1.134520216583569,1.5446262543541134,-0.7527875666178487,1.343624156819663,-0.2281366852190709,-0.7902924644522992,3.8862092016143874,-0.6716898971116653,-0.26729516414635845,-0.6623994615204719,-0.8872468249286143,-0.7580648031074187,3.2970195384274934,0.2860005221020032,0.7223954927403983,-0.7236065603977224,1.3776031459929157,1.4218166096185478,1.390003926052094,3.4129476274548116,2.320147548651848,1.2853364286614113,-0.8395255609576909,-0.9277700812222082,3.34544033941942,1.9963310881134306,2.5509270642727837
SIDM00311,-0.27573942453245953,-0.8608042374066757,-0.8734415505788129,2.559903794725127,2.653735006158347,2.0168288479313285,-0.7536922757409688,1.1924093760073244,2.852880605722651,-0.0505908990557558,-0.6216480905820867,-0.7611277518148802,1.0784918106849626,-0.756682904280826,1.7179456415340506,-0.8724701867505567,-0.9904433143650033,-0.6216799951685726,1.95318936679265,-0.9677750127508427,0.37060933935053214,-0.912002358635423,-0.8123729671874719,-0.834503014499932,3.7120285392827914,1.5363665717290682,2.4644402409602906,0.21601813633589015,0.5335854535840204,-0.9358074124728981,0.5375278773673092,-0.39572946679666754,-0.5814100970045081,1.3005002543145592,-0.7558938128304016,1.5907501815090193,-0.17029690879171194,-0.8124379379720148,3.885501307073123,-0.7884630118412129,0.6074517070316661,-0.6760074615566176,-0.8680359316192019,-0.7550490335675363,3.258151629066105,1.7980728328230706,0.13066379173635326,-0.8058547336555968,1.403225295754775,0.7039665427985154,0.2941563317624671,3.2937442688828185,2.227946913237322,1.0522283060074178,-0.8736161380227071,-0.8989250110153957,3.7035303705118965,1.5850749380918925,2.2841977532406013
SIDM00970,-0.20421617813623721,-0.8127138879874172,-0.7171051056492421,2.071550591260375,2.1207296553149657,1.8099129036270083,-0.790118127264569,1.6195398455499674,2.666583944705898,-0.03546332023494202,1.6002493661036274,-0.8150242130896151,1.0831821691631967,-0.7928066946601496,1.6211494532565083,-0.9169784988868717,-0.8927754489628261,-0.9976936068109987,1.7099275011940989,-0.9171948463586909,-0.6490675668523387,-0.8456451255926264,-0.8650316453786014,-0.8739730626653679,3.3890189717594286,1.1451164792831907,2.0140912793407395,1.7540876698702843,0.37070217563053226,-0.8865654963797573,0.33591301963711573,-0.7201920148016463,0.6446979223660867,2.161881907485233,-0.8002635103032052,1.7028386118262173,0.12521562131411187,-0.46676817287556144,3.692840275183034,-0.7345239099047823,0.12989885613225666,-0.6253150993932444,-0.8153819257416929,-0.7713124435329201,3.499014681363831,2.279971983796373,0.2859330465149035,-0.6858233852615048,1.4491222181167558,1.0380871160648786,1.2879306421788799,2.8776723242853453,2.503001469396825,0.8623994527877187,-0.8431029599579656,-0.8756620268608777,3.034010313460711,-0.509864224696751,2.2461391084797464
SIDM00103,0.22467955986547286,-0.8472998312581437,-0.7282979228310872,2.0522272124497793,2.612542752847421,1.8784509191795395,-0.7281922730313234,1.3048529343636555,2.223157549172616,-0.5252269030388881,-0.7110531907866597,-0.8908604158767134,1.7664864651931547,-0.8535660708136315,1.6850886314318008,-0.8320424784181192,-1.0223034566746192,-0.7305469894236687,1.9251759839969573,-0.8827647053872165,-0.2946678181916362,-0.9819859427627553,-0.8341732326940375,-0.8265597023796025,3.193379733591826,1.264724710650215,2.1958235720457244,-0.009709191246026443,0.7001919680304667,-0.9724739990703349,1.2594088871511915,0.4389370103908405,-0.5647726997449514,1.704471159923699,-0.6381879969736433,1.552202796662341,0.3225148075493362,-0.7780216303914902,3.575499700230301,-0.6462468734654875,-0.018561000399530316,-0.719892502643553,-0.8124479978251832,-0.7924359787075794,3.1865614879524715,-0.49144650089135417,1.2533507381313578,-0.791756556304869,1.9695101279538043,0.24834820655537557,0.5184089002007115,3.1706817791801,2.202863754809861,0.46831746326186735,-0.787735119590109,-0.850646164936155,3.359897013087449,1.5904794964365891,2.0897286531506625
SIDM00266,0.8195315435065648,-0.9203336529953521,-0.793292811798837,1.827717084467062,2.5532721832222443,2.0422445798988567,-0.7584083288069189,1.0851446184717681,2.5349479527814944,0.5028498374932346,-0.5482109043166243,-0.8868621942949583,1.3963905478109235,-0.8745974852188635,0.8779630766330278,-0.9004506970951371,-0.937587049701355,-0.5518284364980356,1.7384996067940814,-0.9037726226685252,1.1381351972950031,-0.8763090604513163,-0.7518317989959907,-0.8702297787241525,3.3994390419649667,0.763663823700026,1.9093989031285696,-0.1284704683478987,1.1423020406974322,-0.8841199365630958,-0.10244850770486642,1.6582370703601024,-0.7592498385835662,2.0435374458684636,-0.8202034905005181,2.2130571881504255,-0.2238090111213678,-0.9376583186836714,3.8043932874379314,-0.2132167679018919,0.8851543432436291,-0.7931520165183884,-0.8155017324503779,-0.8109027286021374,3.56176928105793,-0.8162536457833733,-0.5066299488730533,-0.8342915428559363,1.8155206378386164,0.7871429610249502,0.7807274435247475,2.947006712360702,1.9527535319167684,0.9957383670105221,-0.8069353187021777,-0.8791640368401177,3.325970090142578,1.4981546744962324,1.8511321279834905
SIDM01064,-0.7145933846227724,-0.9352146283943806,-0.7835696913320046,1.7684054607629227,2.3010533195696574,1.59761976147336,-0.7963712359344854,0.8930305251125091,2.9028367693055124,-0.657689674646519,-0.44770765553859493,-0.854009946277104,0.46040730652207634,-0.8500028666623597,1.1505061654248148,-0.6519672388145558,-0.937290247774769,-0.6800767410718395,1.0593909845911706,-0.5993474984851579,-0.6808861758033511,-0.9000034165049233,-0.7626777218484814,-0.805417001290536,3.4641040654964903,1.4657151882263066,1.8591926833089487,1.1666256620238458,0.6631232376814669,-0.941576874297403,0.5992779551442026,-0.7301487036633993,-0.7496058976159035,1.3565989746126201,-0.7888612124919064,0.22589471978920792,-0.2987654638342584,-0.8791317911286247,3.795965026937412,1.5659396122272426,1.4671430501240004,-0.6390354932754122,-0.7905561357647367,-0.7666016470171295,3.3148586521844505,-0.8893049815638298,-0.4723343463077326,-0.7948221684280004,1.1305584264127977,0.4509594922089069,0.955733607362055,2.6936028758559276,2.3642205193447445,0.9501436970901475,-0.7814946905044399,-0.9162873713441665,3.3769195498792537,1.235733839367164,2.308721806569674
