,ALDH1B1,UGT2B28,ALDH2,MIOX,UGDH,UGT2A1,ALDH9A1,ALDH3A2,ALDH7A1,UGT2B11,UGT2B10,UGT2B7,UGT2B4,UGT2A3,UGT2B17,UGT2B15
SIDM00519,0.3268015394243121,-0.82031647201751,1.5815824349005054,-0.8534978297716607,0.711481257646751,-0.9042632837709682,1.7085690665840134,0.8409676884375483,-0.04734848633950823,-0.9668374874718498,-0.8136425030719703,-0.7881922421034362,-0.9822907899181706,-0.9755920119544125,-1.0507368802864394,-0.8346090656911848
SIDM00917,0.16178218933883895,-0.8003932286815031,0.9875022302127456,-0.6951033720439519,0.8176659512758493,-0.8555782531987597,1.3250852221660985,-0.5058578943192685,-0.7657183485170751,-1.0244361502091766,-0.830892609094296,-0.7401498117258457,-0.9102517800415708,-0.9296821275975992,0.1910455290305892,-0.7194089580653549
SIDM00309,0.9844704359577299,-0.8070125815292547,1.6300128197525552,-0.7688619002779445,1.045729202842332,-0.881424689446013,1.8339944601095088,1.4691261244116733,0.24218797152292582,-0.9345691724377109,-0.9799512328916787,-0.8086807680226303,-0.9434718914778469,-0.9423795121048735,-1.0158685466878936,-0.9107215858057593
SIDM00099,-0.04974230606188002,-0.7239348108304712,0.8255992518663462,-0.7527701642975879,1.1734807870878137,-0.7894889988141145,1.6297378894987773,0.832568243536906,-0.22052098185750413,-0.9503559895003176,-0.9314442936494274,-0.6452563150686119,-0.9512975048674717,-0.9172709158309721,-1.0250560029306743,-0.8647849849280048
SIDM00276,0.2367673266587503,-0.683542219825438,0.903857136505525,-0.6391468583282374,1.8547868228309636,-0.8626312100008882,1.3776031459929157,1.4218166096185478,-0.2715353348482606,-0.9824906556451823,-0.843052717652555,-0.7897514042333919,-0.9935646626331794,-0.9703098908795459,-1.0612419988128055,-0.827480726584247
SIDM00311,0.5375278773673092,-0.7655543728869196,-0.39572946679666754,-0.7612615147820132,1.4745833711961833,-0.8083436238400878,1.403225295754775,0.7039665427985154,0.37060933935053214,-0.9382193360420664,-0.8803820812056731,-0.9030402014050612,-1.0316916503671039,-0.9212547752531339,-1.0604807042078208,-0.896525161195093
SIDM00970,0.33591301963711573,-0.8381245557622392,-0.7201920148016463,-0.8193888570529508,1.8280704069762521,-0.8144136820398553,1.4491222181167558,1.0380871160648786,-0.6490675668523387,-1.0083395456659905,-0.8420200451141695,-0.7555930864907768,-0.98687876025118,-0.9002148254246108,-1.0126214878689273,-0.8567025082469868
SIDM00103,1.2594088871511915,-0.8014826063347923,0.4389370103908405,-0.8693186711162596,1.3346697800839635,-0.8394946533168942,1.9695101279538043,0.24834820655537557,-0.2946678181916362,-0.8721697320264769,-0.8962325681924299,-0.8326916053243125,-0.9934736543805543,-0.956050263172138,-1.0328781822069153,-0.8569153754104231
SIDM00266,-0.10244850770486642,-0.7930657289755331,1.6582370703601024,-0.76468236780218,1.1746664093102366,-0.8501808671803883,1.8155206378386164,0.7871429610249502,1.1381351972950031,-0.9567034788102454,-0.8543325455427438,-0.7795239061140025,-0.9804455810288456,-0.9637016174958742,-1.0362888754175024,-1.0503499681557618
SIDM01064,0.5992779551442026,-0.7914102568807918,-0.7301487036633993,-0.14508276022939814,0.5485734931500257,-0.7727916312462797,1.1305584264127977,0.4509594922089069,-0.6808861758033511,-0.7362692051402573,-0.8199123305446021,-0.7411651663062993,-0.9213748659044738,-0.8814729325127854,-0.9748527805476254,-0.7599006955685264
SIDM00098,-0.06635347209409072,-0.7462067028726946,0.5761811551435289,-0.7502202691724599,1.4971914582999855,-0.8054738668397816,0.9842510271287487,1.623593964827056,-0.6527187853564729,-0.9517058947572912,-0.9251896255100607,-0.8151828600220804,-0.952093668044057,-0.9413226056959203,-1.0222583418128588,-0.8677929741973631
SIDM00225,-0.29563665618370144,-0.7935943453579798,0.6713468761532514,-0.704236971784289,1.4281644008858436,-0.7953921310965556,1.358500960488616,0.6221571316640836,0.4686842488259858,-0.945337935446959,-0.982039469252121,-0.754449150059479,-0.8992858571919354,-0.9912903365422944,-1.0644024116214899,-0.9380475839249166
SIDM00846,0.9238200134030584,-0.6994579543065258,1.3828682917205475,-0.7454235410451084,1.2398511608869143,-0.7923227529603447,1.440411745512638,1.6678620989330197,0.25370049956775415,-0.9222445487325805,-0.8913127877581521,-0.7870954370870136,-1.0510938497626263,-0.9547479165268341,-1.002096718771684,-0.9574370899735438
SIDM00291,-0.5544699149988913,-0.8424237828065982,-0.6241745926626697,-0.8226896294004653,0.8869247984445334,-0.8765000181759927,1.4981781380878465,1.0927225743085471,-0.8931123829889631,-1.0043674735253176,-0.7293496388721521,-0.832943332842469,-0.9679703636768383,-0.9311365797528557,-1.0507438304324197,-0.9711558988318769
SIDM00520,0.5023747738009452,-0.8439004859579495,0.07089782903247402,-0.7355375176309752,0.7856850356383809,-0.787650250581698,1.5467747697618395,0.7462904789140488,-0.10892524641018639,-0.9048549296027879,-0.8210466425134307,-0.5963948515682339,-0.9289567653492521,-0.9993698764303643,-1.0457188286413166,-0.7916510585013975
SIDM00003,0.11832669998126902,-0.842863571334719,-0.5802939162625425,-0.6654807677628765,0.8107325142874778,-0.8521872642486024,1.6329414801558872,0.5184369272940491,0.076245773004792,-0.8558132568956126,-0.8180382443412909,0.9786392985454025,-0.9070486738668441,-0.9163647929601066,-0.980226690895956,-0.8021889460367159
SIDM00136,-0.09067014027885144,-0.7841512308553751,2.091804710886594,-0.7558588462693256,1.511433954741451,-0.826009192600707,1.270565541827003,1.0299903053124788,-0.13099561485533465,-0.9100708476160055,-0.8102448073182247,-0.7387563956006166,-0.9606642770870718,-0.9270723867110274,-1.0666225894941048,-0.7358603953429557
SIDM01155,0.3862317577085262,-0.9111893962893866,1.22532486885538,-0.8147545943889278,1.5047684317971475,-0.825002712491636,1.4437894610824373,0.6540576746787307,0.03275265004302767,-1.0642161797905,-0.9589686671647454,-0.7814136194175367,-0.9989817995439144,-0.9425439615661786,-1.0216233249121427,-0.8582816177113044
SIDM00224,0.23703793295840178,-0.7847538670920299,1.1887490563019467,-0.7838480496426048,0.7210397927069653,-0.7841900330013235,1.119431220249174,1.1905462745550288,0.11194085454775134,-0.9330778098876744,-0.776996473750707,-0.7983596650833782,-0.9006048103984529,-0.8917977852994857,-0.9975788159336644,-0.8499012219206994
SIDM00783,0.38661856569196,-0.8563349385401041,1.3148256444323754,-0.7990246421269068,1.4171822904604041,-0.8279361924005672,1.432951384785273,1.2339173120992784,0.07734890988346849,-0.9878948936152601,-0.928351254999872,-0.868463133612253,-1.0305500693969691,-0.9622665672830875,-1.0749289135382132,-0.9076182501500137
SIDM00490,0.1591477396533475,-0.8713347252735192,1.3568513696617832,-0.8697117796502467,1.4304651943294953,-0.8027181552868691,1.5154199800099963,2.43193631352906,-0.1052216491724092,-0.8862851550538784,-0.8114500734131298,-0.8923993435326821,-0.9437596466361535,-0.9501379735298777,-1.0320471941556182,-0.9160722388246149
SIDM01090,0.6802870800932579,-0.924016148283278,1.5764706660122638,-0.789093483148705,1.1186294807695576,-0.8250779791139621,1.3844022272129906,0.37259356332460114,-0.283149644139446,-1.0717893607495679,-0.7966897061472887,-0.9275460383870789,-0.9708061109573043,-0.8702663976170956,-1.0148366197153063,-0.8398910353686605
SIDM00394,-0.17673551723721506,-0.94882350948154,0.8166556096108479,-0.7444222657639595,0.8506144569944639,-0.84766862699277,1.1611121660365775,1.0614498693316332,0.3496047494437112,-0.9549157051016732,-0.7832830538151887,-0.8494940598129181,-0.9072965117983038,-0.9654374357192714,-0.964797276637937,-0.8409007858948206
SIDM00538,-0.38753506820127814,-0.6493491205891984,2.113475949016514,-0.7561015274761361,2.6240220827246428,-0.8646439699011033,1.2533845382928603,1.7418214331933886,-0.38158455755844334,-0.9351311445093881,-0.8721733938829516,-0.807480261373322,-0.9830220749985682,-0.8997855549059016,-0.9552191115404352,-0.830848380583325
SIDM01140,0.5362616078317186,-0.7256120331975966,1.6280540186865768,-0.8587208659029205,1.0895613365272618,-0.8417396975465128,1.6261522822882362,0.6526124427842548,0.7222588267945949,-0.9465145470684634,-0.8457216956598695,-0.8545906200805021,-0.9546767905430819,-1.0071679161879967,-0.9742966239112462,-0.861642413178452
SIDM00101,0.15007413251923932,-0.8331539007934171,-0.5962912732147594,-0.8196279467307346,1.0097218132708652,-0.8483610743690564,1.449720107139152,1.2120101496695226,0.09213513131307399,-0.9045498839639131,-0.8022941178653427,-0.7956560597509251,-0.9441076265740588,-0.9599664922941477,-1.0680895640395724,-0.8587787185442944
