,PLCB2,CALM2,INPP1,PLCB1,PLCD1,PRKCB,PRKCA,PLCB3,CALM1,PLCB4,DGKZ,INPP5A,DGKE,INPP5B,DGKD,INPP4A,PRKCG,INPPL1,DGKH,INPP5D,SYNJ2,PIP4K2B,ITPR3,PLCD3,PIKFYVE,IMPA1,IMPA2,PIP5K1A,PIP5K1B,INPP5J,CDS1,INPP5K,SYNJ1,PLCD4,ITPKA,PIK3R5,ITPKB,ITPK1,CDIPT,ITPR1,ITPR2,DGKQ,CDS2,INPP4B,DGKB,DGKG,DGKA,DGKI,PLCE1,CALML5,PIP5K1C,PIK3C3,PIK3C2B,PIK3C2G,PIP4K2A,PIK3C2A,PTEN,PIK3R3,PIP4K2C,IPPK,CALML3,PIK3CA,PIK3CB,PIK3CD,PLCG1,PLCG2,PLCZ1,PI4KB,CALM3,INPP5E,PIK3CG,PIK3R1,OCRL,PIK3R2,CALML6,PI4KA
SIDM00519,-0.5224688389682631,3.405443011020229,1.753939101607814,-0.28388167354621846,-0.6811673848792261,-0.693256665426057,-0.14177020028773454,-0.17219165357449026,2.0679101728721148,0.07490848976441174,1.39985757051533,0.43424094438932276,-0.7276831935963454,-0.609077520975554,1.0663572804088028,0.039617837012446394,-0.7837771690016947,0.7976780132225622,-0.742727380634583,-0.6445948568621265,-0.5984957859151064,0.23509716739136644,0.23130577724304688,-0.4461535310843368,-0.617269527312013,1.7371984074660392,0.10485513790847739,0.7538690841306975,-0.8521291484005075,-0.5369989431343961,0.14460716896248244,0.14259694222249877,-0.6675313221649455,-0.7835404996496732,-0.5190905093127788,-0.8367236396892249,-0.4447494395691043,-0.4180995964565849,0.7201559756661072,-0.7203016974859953,0.41355116441195894,-0.6128410181478339,0.8656429314893923,-0.8667845909575544,-0.8406977514869313,-0.8289494549205406,-0.5082458575172767,-0.7899933467623328,0.731410762855249,-0.7856983964087129,-0.4645254166695385,1.5744915998006301,0.9593474641728034,-1.023656317284506,-0.5773747315606148,-0.5018868941263531,1.2291206931556173,-0.7187735136670106,1.7188069430572321,-0.07088500880392747,-0.8929151937982222,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.0034989349945850107,-0.23385840083667578,-0.9761814520050398,0.902664532680247,0.07201739826156277,-0.3704770189414888,-0.8386561761109992,-0.22309303738012728,0.3941038290873018,-0.07939079386696714,-0.7289957667192392,1.3730776600842527
SIDM00917,-0.7484199006984038,2.9377746023401605,1.723248255467042,-0.8155343332125046,-0.383156913804892,1.6723657668354104,-0.5834552659254151,-0.625387120020742,2.017225902945296,-0.7800565199128136,1.5301351785875619,0.30217488963482053,-0.6521004096793385,-0.1829138951928801,1.6292019871557382,0.5584878165537651,-0.8209437091275041,0.5896374640572658,-0.6270905147997048,0.07375993449014455,-0.3730192204955714,-0.05309255270785134,0.2803950818865365,-0.8091532623484908,-0.42733563348673537,2.072338075608331,-0.5878106595390363,0.10147381392824177,-0.09428310444106462,-0.6105540581227594,-0.8511890736112387,0.5683691176113173,-0.7366559947576115,-0.8697428073613566,-0.5331126941658254,0.4079912195723818,-0.06724327113558017,-0.2814166323424211,0.368390504414435,2.084349108020831,-0.23188268718698102,-0.7384188205802076,1.23732838291619,0.005608474114685615,-0.821056968946455,-0.7114316626069049,-0.2934899176735582,0.27326673210965224,-0.6714974693300418,-0.8438875245171338,-0.265492339294578,1.7191057031092314,1.3621119304653566,-0.9452286775041521,-0.09152266355555506,-0.45585766176651515,1.6334552938488958,-0.33826179106292537,1.264521020954868,-0.3457619493891176,-0.7875357893135947,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.02056146040246094,2.521525918877269,-0.9894974249443049,0.8598631907629547,0.37466265137866067,-0.32313118936209634,-0.7207299110933022,0.09639864077465503,0.1865953121375808,-0.45814276637380663,-0.7107302263572529,1.4154564502826639
SIDM00309,-0.8288201783708491,3.288812513982851,1.773795171255385,-0.8099176556565033,-0.13019234612195024,-0.8444723115073255,-0.2444585548068717,-0.30167521091617444,2.1810960642285777,-0.6675338271001798,1.3508834250972994,0.11245539769286435,-0.6877786464037304,-0.4472088980878928,0.7768147313553361,-0.1013062397487005,-0.7892785415681088,0.866712496734002,-0.7859582997784685,-0.7453242757512184,-0.4919056758685728,0.3131013133985392,-0.060644982753957216,-0.02584102739056873,-0.5912013280866811,0.9844082165186464,1.0013377172230813,0.46041332734125145,-0.7509386625626394,-0.5624716402281217,0.7031439066222542,0.45368055549132674,-0.7330664164307765,-0.7897871460306076,-0.574465636742286,-0.8541154838838494,-0.5580419604904112,-0.21034889934891596,0.6476021811272032,0.1758981765566195,-0.5964080220174995,-0.4393676557729387,0.3953785800542619,-0.6329050649627455,-0.8278111801526397,-0.8102358318807983,-0.6336083057004888,-0.8176735983984141,-0.16388895724269734,-0.925941766277124,-0.32510670110076234,1.4092759633739211,-0.0323738983467374,-0.9145382318536637,-0.5921958015081707,0.01905657524949854,1.5772688397020425,-0.5719067588538529,1.7167259112960922,-0.4811080848879493,-0.7432149974902954,0.9023372519923574,0.4332412209128918,-0.5018997117469767,0.03367052596493218,0.08187136456782916,-0.9946806583470564,0.4574525107149673,0.4199465953508991,-0.5966399144658181,-0.7952065883643438,-0.33145082133245723,0.4999047202888529,-0.1603682274832688,-0.8365190917981722,1.190045024169677
SIDM00099,-0.828473055770185,3.346714649910355,0.722401225179832,-0.06562375297592993,-0.5909615284647721,-0.8126854339693373,-0.13137744725192088,-0.2828811985284016,2.4110779704303242,-0.010766273318534629,1.510748409200845,-0.23577952877602215,-0.7876258986028675,-0.3547665912167904,1.031186656425057,0.3243285058299105,-0.7737446713268549,0.9695580111538835,-0.7894519508815774,-0.6330770555164758,-0.6013751144676224,0.2799900249898952,0.4071124894127082,0.0300461742572514,-0.5747824787164777,1.2872089904471067,0.1287219881429454,0.5684240373982458,-0.8293608305966537,-0.5715768483234114,-0.7608811691796715,0.4195249278087753,-0.7230619861503622,-0.753208059883349,-0.09294515279545092,-0.8097681129008282,-0.6173972600552243,-0.5412783052492222,0.6408752462124792,-0.48277610031675605,-0.6708161837967919,-0.6157544959241911,0.8005679608844891,-0.7858989057523997,-0.7929796040765529,-0.8894505540524946,-0.32200238251196744,0.23165085189155243,-0.4737812024313766,-0.9201892349624028,-0.31917394894543316,1.964452238578116,-0.3836839703356939,-0.9640417008631221,-0.3739364976139604,-0.26696389446740304,1.5501048087287475,-0.745840851085465,1.1816567033336054,-0.31987257726731083,-0.8482326855644008,0.9772417205774084,0.2470462313405816,-0.60403659056009,0.3041178582883408,-0.4496306432321909,-0.922788473245279,0.5558628801784619,0.3371163731411872,-0.3154191179665953,-0.7412131459935081,-0.30151261608262947,0.9442900929843312,-0.29295489699624994,-0.7477793077570957,0.911531378667739
SIDM00276,-0.8201330135193009,3.240136851313997,0.9683864160537193,-0.7788636541550895,0.04810277118431698,-0.7890798899543415,-0.40676241488024195,0.003181374961338923,2.640025073890035,-0.7093503530086754,1.4776014614375985,0.4530714829161849,-0.7547218747300877,-0.6165299291457957,1.2593986699710409,0.03795725827156937,-0.7574964145062062,0.9738916632772417,-0.6625826000934386,-0.6677738451485075,-0.45807718837757155,0.034905459787874314,0.5243242550444455,-0.6534035876681872,-0.6859664485581259,0.7791963514522582,1.3868663437440742,0.3777133068419122,-0.7947879020197687,-0.6034398298712191,1.6057574628758406,0.7280530410610359,-0.8602203255660377,-0.5242995623956992,-0.42517991378677544,-0.8267639290855728,-0.08104199862332875,0.3134391897587577,0.9005027929904568,-0.5443190874339499,-0.7489707943437317,-0.2657434546596225,1.2704980925699623,0.15319876970083357,-0.8037136207928965,-0.5905084278601089,-0.34694632600190006,-0.7964799593983519,0.40640188687616946,-0.946973893608282,-0.4050827120773105,1.1630161759410993,0.7005767560687519,-0.8383058041250577,-0.5907589013270879,-0.5358988296283649,0.900585957550162,-0.6488194164256283,1.9167186620196222,-0.3538324007298223,-0.7270777119510755,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.03665739673160678,-0.028502178643651007,-1.0764486861444873,0.9008152303376881,0.3278868998570511,-0.6255070958336347,-0.8724342233570149,-0.49045962005312094,0.5123324697393474,-0.4121884693058777,-0.6295154616598309,0.9002347606835809
SIDM00311,-0.8575282564558809,3.301473029237035,1.148015283428618,-0.6990640606832124,-0.14988099255204276,-0.8105801305761055,0.7056643480085137,-0.011229847868629248,2.3985497785788255,-0.14213813901389724,1.6148175393210582,0.24874534306325466,-0.6844750442741042,-0.5503785236850659,1.4267359453474944,-0.2343869806821074,-0.7393564213780424,1.0160919635225003,-0.7384339475783072,-0.7579816717625386,-0.3642962155474048,0.33130657437952143,-0.14954882203939818,-0.5503164526501161,-0.6286564135674927,1.6853115221255217,0.35036831111076633,0.22190172765399782,-0.8562188283286094,-0.3526891435308758,-0.5753349420119125,0.3127193240235862,-0.7439413983958115,-0.8454699983242059,-0.6390245061278982,-0.751888574666709,-0.5704477129314356,0.023798257934076975,0.5541929355885332,-0.297196916930855,-0.6355736511643333,-0.6462178558317029,1.0491881603901445,-0.6510632403709842,-0.8554826357561656,-0.8824384099900899,-0.7533451703837195,-0.7618100990788879,-0.6662014749943638,-0.8082354228107739,-0.20768318779909117,1.630790769865548,-0.6657875008264027,-0.9517652526206087,-0.5374901158728704,-0.10317190079658745,1.271290093423999,-0.677359328236902,1.4019006853236535,-0.18158376778875962,-0.90894741819379,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,0.24234045098963491,0.22047856944745903,-0.8892983950492612,0.39900706982209294,0.3964635671903048,-0.27800210060133396,-0.7787929081177212,-0.1528127154303174,0.28514078840706936,-0.2815786822959473,-0.8262110264974655,1.1129956832402734
SIDM00970,-0.8729264863234977,2.997127622667184,2.000954798791536,-0.2056887890907924,1.9423378831269906,-0.7355939801807603,-0.23316708625249377,0.3691638520888408,2.9816846982138316,0.018608130776813853,1.8973763374440622,0.7587037299434386,-0.6427336162115941,-0.6154700887108473,0.9230001358007199,0.7044952342526298,-0.8510645530002491,0.35202409715560695,-0.3422568662008,-0.5852904881654436,-0.5961529828413357,0.18170442777458007,0.0232715350514139,0.033504308181786104,-0.6833200777143145,1.6524814995531834,1.0066481044235203,0.09836607148141062,-0.8839027404965354,-0.2835563213480815,1.2265431046042483,-0.1919043945827655,-0.8541056402010324,-0.871117689217135,-0.6653336813691104,-0.8149726060877294,-0.4968226175735744,-0.3360118740792578,0.5603609270873405,-0.3849159694104453,-0.8231778836173611,-0.5304766045320712,1.037055352146423,0.5612482247041318,-0.8492358651737247,-0.7375376923991198,0.07779333436289627,-0.7931544903499981,0.31737117848876706,-0.8660533697298957,-0.24776095997986278,1.309753707442717,2.018925840295898,-0.9631971228229248,-0.5943335188316304,-0.5082421980086488,0.979103906486245,-0.4642723288066422,1.6236592362107611,-0.3365055396578115,-0.7680933459775284,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.20487850156093684,0.41264517800793504,-0.9106457984011357,0.47868495560256324,0.5755221068530932,-0.5267667891221091,-0.8051315465966639,0.024174200640533106,0.4514731276185901,-0.3230373291454919,-0.8652414681128265,1.4828189196496162
SIDM00103,-0.7878343911565672,3.3787375877429024,2.2519101374816333,-0.8394236156336857,0.09468838355272673,-0.8670659958030608,-0.28424573269653736,0.10537069320392656,2.350299357280336,0.6929036419545747,1.3944312696804049,0.4712965852233159,-0.6410083275988196,-0.37691704843391144,1.0764582620282102,0.2048743726402529,-0.7682631555429059,0.9626695006868857,-0.742555347430725,-0.6621347121450256,-0.7082956810372089,0.23076105241188097,0.6363394407494628,-0.24117446875520035,-0.6089064479207409,1.6334503770855269,0.9057358969479143,0.30655549978105123,-0.831451795699067,-0.6659549542695743,-0.715841581634711,0.5649292531382759,-0.8610278789012872,-0.8570633719924177,-0.45522764290705314,-0.8467818040121766,-0.5939164617343471,0.03828061796930577,0.8165496614580582,-0.6334190648656081,-0.8590883299385064,-0.49003288286434626,1.0631338750525812,-0.35279198778917503,-0.8190568771143216,-0.832277125147033,-0.2356643292699668,-0.589031683642928,-0.006894081551640171,-0.8485331953771983,-0.09958507986715248,1.8377856311426923,-0.2582429320977663,-0.8620453132627314,-0.40651032339950116,-0.04305336992312115,1.4321080197998055,-0.8018036490477344,1.4645503924137984,-0.1512588178757842,-0.7985815630346397,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.1470608013499035,-0.5946701851889066,-0.8640604990218843,0.4748719807775792,0.36799501682737706,-0.3647701435729556,-0.8415395909860525,-0.19631857119045654,0.6653121581917945,-0.10318863179885122,-0.7354375173791132,0.4289173594160928
SIDM00266,-0.8498200598777886,2.9941010345052836,1.3059910065260132,-0.5241061003921688,-0.24315547061340106,2.4447941496261234,-0.4922111936441592,-0.30980612618380193,3.5543218072134084,-0.43998132982956734,1.5830429857076997,0.12687949613447197,-0.8017140254175547,-0.4821583315115069,2.8410795433798612,0.11063703566493908,-0.7934670783701385,0.46800681843224085,-0.7103596300564659,-0.7471451250078748,-0.7209810603806782,0.16571177821635227,-0.1795405296831473,-0.8899291600738533,-0.442682288037836,1.5357661346180604,1.1719581398231884,0.4222214025100966,-0.8300242578001157,-0.009677886741359958,1.013150223065727,0.14709641823928327,-0.6656217119230312,-0.8241499549265003,0.35368602966842383,-0.8496389728152324,-0.4405620107024597,-0.4805791146570338,0.38825623662789954,0.8955894175660499,-0.7532473379076112,-0.5046125083114009,0.9257252412046066,-0.5280362297941681,-0.8116706297558738,-0.6765590811623525,-0.44371196433830185,-0.8073453915946143,-0.7247485622640121,-0.6894949735774384,-0.5718530709306198,2.077700414993858,0.21313480322960493,-0.9586928947689899,-0.6645515558883914,-0.3292142113557249,1.0316435530116193,-0.5568906287862644,1.3869062782665331,-0.32328799783943457,-0.7968717278372824,0.975240071825603,-0.33462897669646635,-0.6595534890448225,0.12465917458109645,1.042684104369696,-0.7709635546478725,0.47670950500183573,0.14106793089805592,-0.31419723303430064,-0.6325575608303017,-0.043248545248515055,0.47869434057445787,-0.44868059800330085,-0.5547975582084855,1.3145745512947018
SIDM01064,-0.8419211342160129,3.1039004230882568,1.94210918602123,-0.8149221125354579,-0.019309375256637246,-0.8145439237286827,0.17604218848619743,-0.12677338058176302,2.764487050354022,-0.737437860661444,1.69943356440772,-0.1443239416570484,-0.37426020415403954,-0.12530019624812966,2.0958990974653062,0.6445583864295594,-0.7491547537256324,0.6941429743593266,-0.664467538766496,-0.3939216172902523,-0.596200655550897,0.18586263914150872,0.1407450704668801,-0.838750430317397,-0.7656715211091727,1.9066758615308341,1.2616280737711674,0.16784293565056468,-0.35741841218448406,-0.6468252783081297,-0.2821444746154625,0.43724995784390336,-0.7153594445381881,-0.870475051899374,-0.23494508486633298,0.00999373611543667,-0.615633444204545,-0.04651728050078142,0.40050628416564593,2.2630260065738272,-0.5372407202241409,-0.6706985259829111,1.0215884421296932,-0.8900579935557603,-0.8083682786194097,-0.07097950125230659,-0.49851225288468914,-0.8287495772722736,-0.6775550571871832,-0.8267772031766903,-0.24988837920432286,1.4988959375950188,0.03594865529844241,-1.0148707793806322,0.2954967527571008,-0.49829405800749954,1.305311154087349,-0.5222596854068073,0.9775528492419423,-0.028127197542316237,-0.766686096323822,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.4206900010717696,-0.661233852400993,-0.8733208061971858,0.7195534650069203,0.6075850662639282,-0.06368381305071082,-0.7788569289509498,0.8846240816513324,-0.6730811275579796,-0.3221179351293593,-0.7553292354973423,1.6427592922246101
