,B3GNT4,B3GNT2,ST3GAL6,B4GALT1,B3GNT5,FUT9,FUT7,FUT6,FUT5,FUT3,FUT2,FUT1,GCNT2,B3GNT3,ABO,B4GALT3,B4GALT2,ST3GAL4,B4GALT4,ST3GAL3,B3GALT2,B3GALT1
SIDM00519,-0.4098239106801025,1.482344896419938,-0.10536925580107757,-0.3570816542236682,-0.39898845691122725,-0.9239779244911873,-0.5729198425477986,-0.8134144711944785,-0.7085757040564095,-0.6930766790103314,-0.8158354235886399,-0.59936485248741,0.10565193628341184,-0.81539920557438,-0.8906113202144875,1.3941383898555113,0.3668430836596042,0.6624035866741288,0.4717178330904339,-0.7750699875455663,0.5721661809217887,-0.8902629506317269
SIDM00917,-0.36843596091519376,2.3337567926171374,0.6270819026203872,-0.4069326756790907,-0.7602263369639826,-0.9442913594491185,-0.2641874376932155,-0.8020322096849496,-0.8158901185416222,-0.6197552157921691,-0.8704451107794029,-0.5067229514018796,-0.3596158769956144,-0.8179522337321307,-0.8266071793687758,1.3137359961151716,0.04864245912098151,-0.5791899681935939,0.45474597343254664,-0.5829766866976548,-1.0298017069556413,-0.9186731227721622
SIDM00309,-0.6023246477957047,1.5320378591005905,-0.3264420881048109,-0.4996110138969836,-0.48850063294105667,-0.881058712701736,-0.8986792842813902,-0.8659282213207413,-0.6062969802871228,-0.7736244801367829,-0.8322365950992284,-0.6773326501275665,-0.5232438822639185,-0.8312136865129285,-0.9379093992366933,0.7626640352559975,0.7582036103155168,0.13044881305735104,1.612603201025771,-0.6641860093325918,-0.9520616917696704,-0.8940027291874518
SIDM00099,-0.3353344958637876,0.7366777950786415,-0.150068294547429,-0.5079507573765537,-0.6978593377000121,-0.8982812702483345,-0.8327863640826171,-0.8970300589846802,-0.8640927992395913,-0.6358787046970187,-0.8463487136355261,-0.6344959826504802,-0.7930441550400934,-0.8067588576141673,-0.9189054167135314,1.3264082193563795,1.1499582950577403,0.02198765010424212,1.5607768236407549,-0.5048403660672464,0.8720780846243401,-0.9682060711396407
SIDM00276,-0.6821621221631953,1.1368740455727249,-0.8326660080756121,-0.37228751539032306,-0.054778034702685496,-0.8539599898625619,-0.8910821524558014,-0.8140430513863507,-0.6253288648333474,-0.3246816895943033,-0.392216080233698,-0.3857911383316693,0.2096265571152898,0.15151019582905156,-0.6741784167172302,1.4439342072579426,0.8530873465250995,0.9249731056927568,0.8588005723566016,-0.7457739117474702,-1.046309381822747,-0.9098781285800118
SIDM00311,-0.5995041875595014,0.42876431636451,0.4871845001455863,-0.31185116878864194,-0.269220515592851,-0.87133772703727,-0.8329498986889534,-0.8525661540449508,-0.831542591717305,-0.7414802538697659,-0.8736028991552914,-0.7269249247259142,-0.4785036081001382,-0.8151957695735181,-0.953851618222441,0.932121395726278,0.8089105905804903,-0.35617244097108336,1.3674773703742706,-0.7032748618446872,-1.0084676367546874,-0.9308634736398342
SIDM00970,-0.7958468231339901,1.1140105451104265,-0.5960608957903105,-0.34908008634370985,-0.2943623901116071,-0.757504380181131,-0.7591245834019618,-0.8297214832293679,-0.8713590911308468,0.07016278579573647,-0.274093335623011,-0.33925983608659777,-0.70117458708213,0.32982849622161403,-0.8896084147542725,1.2743894580271045,0.7452848895805091,1.163877287836612,0.8896744431095928,-0.858116465618126,-0.9767206026017037,-0.9792894865489193
SIDM00103,-0.7038830608549168,0.6016834101001154,-0.27715347640038557,-0.3284305822145648,-0.6275004483990011,-0.9281323921642471,-0.8450250958307468,-0.8370997384897446,-0.7954756252118906,-0.7593574300054949,-0.8634921519059656,-0.7496978932522433,-0.5618229649856273,-0.872614633964739,-0.9121478770520632,1.2641363772259575,0.9339730003097616,-0.29430474993859906,0.9338805309761501,-0.4977083673363359,-0.9636141357311249,-0.9219458167460014
SIDM00266,-0.6947373739253612,0.7730679240151024,-0.36421224452185114,-0.5906293265535952,0.12937125653554263,-0.824485856297666,-0.8468141835297471,-0.8322732736315146,-0.7804393809917145,-0.7428635505726775,-0.8649893054962405,-0.634390654584888,-0.8154675034894006,-0.8473891617157954,-0.8532534553841362,1.4341727234018273,0.7411202508217538,-0.4010207151948306,0.14823415458825429,-0.4262336579700029,-0.993410236884457,-0.8234189888802568
SIDM01064,0.17811193131195202,1.3939878654528692,-0.6328328613342232,-0.00873577998921473,-0.7524751690035839,-0.7872022252519123,-0.8272759537637376,-0.8061314846914196,-0.7406928567734863,-0.7465062663805324,-0.8606047519446809,-0.5806477556770505,-0.2395490937374016,-0.8544942958466174,-0.8654435482959761,1.2470784173463478,0.6618323694897517,-0.2161279359237369,0.5200815996430986,-0.6794727917446108,-0.9550148771631283,-0.8724970467641638
