,CALM2,CALM1,TYR,CREB3L1,FZD1,FZD4,FZD6,FZD7,LEF1,CREBBP,CREB3,FZD8,FZD9,POMC,WNT9B,WNT9A,CREB1,WNT2B,WNT11,EDN1,WNT10B,NRAS,EDNRB,KRAS,PRKX,GNAI1,GNAI2,CALML5,ADCY3,ADCY2,ADCY1,CREB3L3,WNT5B,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PRKACA,GNAQ,PRKACB,PRKACG,GNAS,GNAI3,WNT16,GNAO1,CALML3,DCT,CALM3,PLCB2,ADCY8,ADCY9,PLCB1,ADCY6,ADCY7,PRKCB,RAF1,PLCB3,PRKCA,PLCB4,ADCY5,CREB3L4,ASIP,KITLG,PRKCG,WNT3A,DVL2,MAP2K2,MAP2K1,KIT,FZD3,DVL1,ADCY4,TYRP1,WNT4,WNT10A,MAPK3,TCF7,MAPK1,TCF7L2,HRAS,WNT1,EP300,GSK3B,WNT7A,WNT7B,WNT8A,WNT8B,WNT2,WNT3,WNT5A,CTNNB1,WNT6,FZD10,CREB3L2,FZD5,TCF7L1,MITF,FZD2,CALML6
SIDM00519,3.405443011020229,2.0679101728721148,-0.7135645404981119,-0.4155331520410912,-0.25039869425318145,-0.5826586206104697,1.3124150452906727,1.3047370919622128,-0.7667498242748586,0.7804463899523163,1.5532914130119975,0.46805592079089237,-0.7180171827763548,-0.7539375791878562,-0.603708781140173,-0.8011436477949192,0.32996328476870707,0.884432312479872,-0.8304558082643441,0.027237199274793858,-0.31454133185129296,1.221839698263148,-0.9388729655402512,1.5419688881072011,0.009070405730790947,1.5624281652834855,1.204096884232378,-0.7856983964087129,1.0890773088790928,-0.876292904812085,-0.6225659736773329,-0.7401257783179707,-0.6103275501572655,0.18150273205412243,-0.6596592776837715,0.21609175543106074,-0.10317503087378249,-0.6642417916566798,1.3348226942570265,-0.19396801661267524,-0.7547095192082567,3.0824770249581417,1.3494180606695867,-0.9678818198567822,-0.8444535392985851,-0.8929151937982222,-0.9055771089711574,0.07201739826156277,-0.5224688389682631,-0.8197097615542076,-0.3761925150605204,-0.28388167354621846,-0.3708795690060417,-0.7190695396731633,-0.693256665426057,0.41097071018801634,-0.17219165357449026,-0.14177020028773454,0.07490848976441174,-0.8264178627985858,0.5692820927215675,-0.6656418006602218,-0.724695171766512,-0.7837771690016947,-0.8159052403356879,0.21019007409702098,1.2117328419628624,1.4682702253736368,-0.973283927602634,-0.6490712348777485,0.6400654740121293,-0.7573625113558111,2.296965001274727,1.5234917039050204,1.8957689417182395,0.5154256853947725,-0.7871562844557515,0.20225978087680163,-0.3214029222485103,0.8798485214472693,-0.9697800389832493,0.42957933691496025,1.3510624486918985,-0.9216122454333966,-0.6479457945228304,-0.9646863888577806,-0.8439883274866068,-0.8940493879381352,0.7760237785994262,1.0808357762576402,1.2176476867537853,-0.1350309538907119,-0.845676365475211,-0.5786566154442975,-0.4608584595027187,-0.1982741848813393,0.4469164711751845,2.240119619896659,-0.7289957667192392
SIDM00917,2.9377746023401605,2.017225902945296,-0.7033557661134776,-0.6850960021225068,-0.57368122002606,-0.7868269421255817,-0.9112916391169785,-0.4200524090346898,-0.845652064579716,0.3954024949423983,1.338334932273832,-0.22086548293225725,-0.5593562438009021,-0.6495451022945876,-0.693597865601388,-0.8371096875544206,0.9905951288813049,-0.789211172438897,-0.5491219616106073,-0.7619474968772634,-0.5795430734057055,1.5502036363871254,-0.9770572030780423,0.6747655177517772,-0.0030871924810914725,-0.8015429212983989,1.3337234561834943,-0.8438875245171338,1.1120563915100519,-0.8639147417245175,-0.7424661071244673,-0.7702050369423559,-0.4059985574058303,-0.8248880897902924,-0.8365109445339176,0.1472783472451084,-0.2496021959814038,-0.6980003707464469,1.333536923318862,-0.7685558875984023,-0.7451376266929471,2.997911791706883,1.5765793998814601,-0.9294512457046094,-0.8048207724775841,-0.7875357893135947,-0.8041741183374572,0.37466265137866067,-0.7484199006984038,-0.736023673057336,-0.7262704888656341,-0.8155343332125046,-0.42718424679709555,0.49095225179449475,1.6723657668354104,0.6703226732559828,-0.625387120020742,-0.5834552659254151,-0.7800565199128136,-1.0031337627221115,0.564927082605413,-0.6976213224195212,-0.8011715552848275,-0.8209437091275041,-0.7772355767786246,0.1976574029183226,1.4353305093647586,2.1682208807797045,-0.8269206886393036,-0.8217918645349661,1.04683245854064,-0.6176678574062296,-0.8274882777746294,-0.6204068927865473,0.8147197721984492,0.12581611851856564,0.6162921631342847,0.7518296918279702,-0.8294919534732412,0.5785314872233444,-0.9102826111219146,0.7794190322807186,2.04988231234367,-1.0212595275913874,-0.8364171475079455,-0.8760326060643516,-0.9297170127601166,-0.5935597057244835,-0.5555568232364749,-0.4675096294722655,1.2852809793337285,-0.11086131885591344,-0.8167228878351597,-0.6908944153962893,-0.655900653496104,-0.7452880684152653,-0.6900693941989298,-0.7525162193420624,-0.7107302263572529
SIDM00309,3.288812513982851,2.1810960642285777,-0.8714814962346986,-0.13943586042630793,-0.2938497774389799,-0.5513237391264986,0.737173376041319,-0.1770822833734774,-0.8265444768270023,0.45239454760209463,1.147763286233921,-0.13789606810298677,-0.32308372603510666,-0.7615636839618167,-0.6761532344948097,-0.8231843726291196,0.45075864080864786,0.4271072418368796,-0.8294988567732231,-0.5218578315825966,-0.6834601409322497,1.256524659301111,-0.9384256694310543,0.44635764588407606,-0.3506946920234881,1.0431219546695902,1.7260176775013463,-0.925941766277124,1.2981620284639448,-0.8882832658521452,-0.6919039205970113,-0.8065586678831088,-0.6577882973509022,-0.560412471674076,-0.7659499181723805,0.013686211910347072,0.036832030268477915,-0.6548918264125425,0.9300509381485954,-0.32250331188668446,-0.796842937710926,3.23694400189608,1.2577300723385132,-0.8967168537212481,-0.843360248516831,-0.7432149974902954,-0.963530269174305,0.4199465953508991,-0.8288201783708491,-0.8095859802542961,-0.03929455467457163,-0.8099176556565033,-0.4091885176566541,-0.7092400268259906,-0.8444723115073255,0.7255659061086115,-0.30167521091617444,-0.2444585548068717,-0.6675338271001798,-0.866293312010003,0.3950850461111661,-0.606835294646126,-0.6858897940448794,-0.7892785415681088,-0.8922335680225032,0.16041871977767527,1.29693709399388,1.533801591408699,-0.8922157968847098,-0.9104959122608851,1.3572636525999902,-0.7225668182173891,-0.4177920861957386,-0.2837748855743531,0.834664118630433,0.5986800821643932,-0.7015432307637346,0.19821987316206793,-0.04938563469555932,1.0882773068400704,-0.9706912082691557,0.4579589061151084,1.5938635558462186,-0.9331791877553454,-0.5903650662570663,-0.8790846016868283,-0.9387975069781754,-0.8366477983949671,0.34058631791161814,-0.1535628056813112,1.531051666763261,-0.49632513368494974,-0.8315885348755875,-0.6313072114380596,-0.4930296651681176,-0.42172379788324077,0.8047971812654048,1.7909110297130497,-0.8365190917981722
SIDM00099,3.346714649910355,2.4110779704303242,-0.8634885973052357,0.18283289187023502,-0.21281438081486462,-0.608152835870796,1.5558040489183362,0.8102493763001887,0.034040901227907885,0.5498496685699232,1.2478765894550923,0.4591727410026285,-0.6418927261835415,-0.7338821188805589,-0.6315145482646964,-0.818729381875385,0.6299711438164668,-0.6680618233137058,-0.8300867168126116,-0.8699504108454383,-0.6576266139461817,1.2061207614674792,-0.9283810479500414,0.6730085000785737,0.24545625125314027,0.9279949003657944,1.3334506185405113,-0.9201892349624028,1.1497249312574733,-0.5990377147306057,0.4569788463465034,-0.825330800844958,0.5951303933051416,-0.8295315740877559,-0.6867341929402653,0.46308077226321653,0.07545791300626167,-0.5869944303847916,1.6313964212235816,0.12689241603057716,-0.7381890646027427,3.400105283773008,1.772365471261806,-0.9557627259979441,-0.8287445205131835,-0.8482326855644008,-0.8644379793464323,0.3371163731411872,-0.828473055770185,-0.6498613700267414,-0.18517704180743702,-0.06562375297592993,-0.2576992610259169,-0.4458734750819432,-0.8126854339693373,1.1767266262913327,-0.2828811985284016,-0.13137744725192088,-0.010766273318534629,-0.7281494818796146,-0.1314351669885786,-0.8460262977843375,-0.6712887039804424,-0.7737446713268549,-0.8776684723858021,0.23783102253379865,1.6865245406992782,1.4524860221399285,-0.8843414114120594,-0.8098949303116791,1.4161345306299022,-0.9230177894996229,-0.8077868937595851,-0.6961832123548339,-0.7813682852983648,0.6202538847874911,-0.7347915157505426,0.4272251428179874,-0.4890676835513929,1.0093641595797609,-1.013004897941291,0.39921775645209767,1.7953402335997541,-0.9591393452969665,-0.7257260153160826,-0.8945513721497378,-0.985026724788037,-0.7876200407054321,0.6124372705966847,0.32016366249384914,1.4339588043516427,-0.5913697852316513,-0.8306095923490177,-0.5641982815937756,-0.6930710523632051,-0.2503047552254338,0.9169260014563315,2.608864067857704,-0.7477793077570957
SIDM00276,3.240136851313997,2.640025073890035,-0.98491253720436,-0.47383488992087736,-0.5480463041919902,-0.7731293940930366,0.890937383869386,0.502547877171304,-0.9211039188489438,0.3161848239752825,1.674335808678893,-0.4862201662621162,-0.7510552216745144,-0.6566932268300157,-0.7527260136252119,-0.8000869009504923,0.6547302772448635,-0.779273159426278,-0.6318455860894079,1.2147128211060472,-0.614973736747614,1.9524905147513523,-0.9169233837944185,0.6515748950888393,-0.13406283809776876,0.5008446396137698,1.361698122446652,-0.946973893608282,1.2370817294319385,-0.8543191801528256,-0.7197081432223705,-0.8255138781172602,-0.13888443553190347,-0.8408028764830664,-0.8103528387628942,-0.6148705563465235,0.2019613956200795,-0.726402678006925,1.2079609471188764,-0.18959251099276647,-0.7414626369710949,3.3563369398163165,1.729278170054739,-0.9124257554765272,-0.8036438490089528,-0.7270777119510755,-0.8108693712485527,0.3278868998570511,-0.8201330135193009,-0.787935756460015,-0.5225389598422249,-0.7788636541550895,-0.3121261130971343,-0.4374733797239699,-0.7890798899543415,0.6944907569106895,0.003181374961338923,-0.40676241488024195,-0.7093503530086754,-0.9070478476260756,0.9347232620628585,-0.6928851034453622,-0.7983959191857456,-0.7574964145062062,-0.7987924649159575,0.6155882034157504,1.5730502356630185,2.019959361654287,-0.9064691751333078,-0.6536735403937293,1.5697260494235796,-0.6108730396463931,-0.7535973683018172,-0.757510121802741,1.5794158487166634,1.1105277507367421,-0.6869865589032614,0.3901472004011665,-0.41397870405731296,1.1816656923996194,-0.9252325305774035,0.26240778424630146,1.6862762082929676,-0.84296023286256,-0.4543923005209215,-0.8971466490935702,-0.9446073897586287,-0.8446800271967081,-0.1391311925133974,-0.7274912474714871,1.3183493700636075,-0.41805580104619644,-0.8534931303955017,-0.5246445880461084,-0.2865462100849648,-0.6224876156625813,0.6937031676186611,1.9580631757713303,-0.6295154616598309
SIDM00311,3.301473029237035,2.3985497785788255,-0.7520485191284003,-0.6774638423541632,-0.5786722614794163,-0.44247542185975447,0.9588899468899811,0.25194890714191004,-0.8430178040505248,0.5379680922769874,1.649974251484997,-0.2860768844850466,-0.5704477129314356,-0.6986167104004898,-0.8236176861961565,-0.9141259652272522,0.6322739910185315,-0.8121723569567791,-0.8959190971349758,0.1970426526291729,-0.6671954526851781,1.5785594577365645,-0.9244355764876707,0.5102474431294666,-0.43949852066979184,0.6190998396265972,1.7660340308372604,-0.8082354228107739,1.4867196035450856,-0.9197123081666504,-0.4839696158533931,-0.8707224463134619,-0.5239688805151003,-0.8838636629378673,-0.8314846368484712,-0.33790594601758,-0.04741662479732327,-0.5088950164142347,1.38581750818193,-0.11699589132220085,-0.7612137915489496,3.3097942154221136,1.8407117244370457,-0.8406372869834161,-0.8160834603972159,-0.90894741819379,-0.7978616890660926,0.3964635671903048,-0.8575282564558809,-0.8338650298806419,-0.2018835395922187,-0.6990640606832124,-0.17004751774736446,-0.5707866226762848,-0.8105801305761055,0.5447987316773143,-0.011229847868629248,0.7056643480085137,-0.14213813901389724,-0.6634210375995113,-0.05800355752280554,-0.6880828810719016,-0.42238986204402945,-0.7393564213780424,-0.8226890679123049,0.07124003735374497,1.3593653195542226,1.8896826961927777,-0.8747400849392194,-0.7126643697047299,1.1396870720238725,-0.8024440377522937,1.1633489295043011,-0.8430911770790941,-0.8606451142469631,0.29001810221540564,-0.4863196877432758,0.38729023043362193,-0.4086980928180935,1.1499067182680816,-0.9192867436833994,0.3726661133755071,1.282951438624949,-0.9438030720508768,-0.7855084802779485,-0.853475597920043,-1.0487540960489168,-0.79985480891062,0.021037104647142958,-0.5192246614271693,1.7525331315109194,-0.5919248474369708,-0.8179078788424243,-0.5386402134063379,-0.6678195196930468,-0.19058832911240217,0.00826473711098673,1.2278232706649639,-0.8262110264974655
SIDM00970,2.997127622667184,2.9816846982138316,-0.8499372820978119,-0.7944774564879362,-0.313632391671471,-0.6084482324394205,1.5871000659029166,-0.25861423613410683,-0.8504491830167896,0.4361938112367892,1.1953376291286242,-0.49589165629893484,-0.6953520246415543,-0.7733982786777358,-0.716690134426651,-0.9443024102502328,0.9012617058387902,-0.7794794549496473,-0.8560472283457293,-0.3557197489114985,-0.7059131172553883,1.2890579677789475,-0.927628273596806,0.8955143169693113,-0.0036272333850462333,0.7577928930312189,1.5581281885373102,-0.8660533697298957,1.1609521373897784,-0.8810710387313534,0.8377013906306389,-0.8430843037827455,-0.728770875986109,-0.8894647622897656,-0.8567212730857549,0.2915994873314407,0.40655452505328643,-0.6435096983966702,1.3877255711812926,-0.02148999828132397,-0.8275878392458749,3.230436858915878,1.8706812423030812,-0.9208810225695623,-0.803655653543426,-0.7680933459775284,-0.845529599722788,0.5755221068530932,-0.8729264863234977,-0.6906937174444193,-0.7448599744154192,-0.2056887890907924,0.0016497048016924222,-0.7010909604646125,-0.7355939801807603,1.0032059249628758,0.3691638520888408,-0.23316708625249377,0.018608130776813853,-0.8502856930618422,0.4088838041853898,-0.7037528174945431,-0.45922447689576007,-0.8510645530002491,-0.7891909759567697,-0.21526356647949618,1.0350064504926018,1.5480021660770813,-0.8121864155950902,-0.2685060071464121,1.419426270167821,-0.7460463355224911,-0.8972166684311091,-0.38666219550485387,0.9322425501532191,0.3293145122295789,-0.6940898776794232,0.8119872597350951,-0.12257386523000707,1.3507311932125972,-0.9129302221666779,0.950953038465395,1.5783739419319924,-0.9004254642656055,-0.19381939472166015,-0.9280486597632155,-0.8121734734818622,-0.8293214927119352,-0.29546775199927156,-0.24230532326900564,1.875124878476745,-0.49172789231261554,-0.8051712012350546,-0.6324745662779586,-0.00818667301714452,-0.7587748205084407,0.41109105116388955,0.9410111871195217,-0.8652414681128265
SIDM00103,3.3787375877429024,2.350299357280336,-0.8658149336288912,0.032242709803042786,-0.4916049023194926,-0.5561509452267414,1.3234185286069038,-0.11378806119713021,-0.8549719750111858,0.35132433999866564,1.8978223731815576,0.029546886053182952,-0.8027150207955084,-0.7474546651264047,-0.6427339590786465,-0.9879598557047271,0.5596997983149516,-0.43099446582320955,-0.8784130709611935,-0.7533375846393605,-0.6067169852864243,1.5912580346491147,-0.8951058640010867,0.019609299068091418,-0.141904177810424,0.9331583259683843,1.7040941639938407,-0.8485331953771983,1.1816378700321182,-0.8645975638065646,-0.6664243563686305,-0.7727753529250456,1.4358192933764453,-0.8431575061735065,-0.89668513910147,1.1348553177287841,-0.12774355548768823,-0.5592154262132353,1.1908561462898601,0.319056458936254,-0.7280524335108798,3.2486743295430394,1.9663959762821708,-0.8772711625622852,-0.8598105031063454,-0.7985815630346397,-0.7424875246011492,0.36799501682737706,-0.7878343911565672,-0.7545610996114599,-0.24442607537513414,-0.8394236156336857,-0.4929876868343497,-0.42275532301870344,-0.8670659958030608,0.842042295483723,0.10537069320392656,-0.28424573269653736,0.6929036419545747,-0.8117901204860103,0.03518218325869957,-0.8172432524523403,-0.8127130971916547,-0.7682631555429059,-0.8410268581760296,0.41680289424221967,1.7208696588265395,1.3916393884940752,-0.8166987833055024,-0.7905421816465716,1.4218153210110682,-0.8249554116357566,-0.7478555602860133,-0.9301262018292766,-0.8194999948538342,0.80055510601947,-0.6853490195046105,0.3533626797819316,-0.32664288476617903,1.4511064022891142,-0.967800319341584,0.14464132941274382,1.8739563973929787,-0.7731330693882728,-0.7647317879794474,-0.9602616983978421,-0.9603529040048436,-0.819873802192795,0.5765800424849691,-0.8023046049998319,1.319050504339812,-0.5937172221101743,-0.7942870264322154,-0.5112781826152797,-0.5169559768399763,-0.3875862553480194,0.15595452281856428,2.231721104937708,-0.7354375173791132
SIDM00266,2.9941010345052836,3.5543218072134084,-0.8101182221184245,-0.636729203202526,0.8017173898320383,-0.41765595793648336,0.6946495578469419,0.4245131147128787,-0.3384008476793809,0.5044365911171107,1.022659073854535,0.7585396905642193,-0.7738562437140931,-0.6969242893469026,-0.6735871304361537,-0.7874826715146896,0.9413423946144405,-0.7381172513515957,-0.8042099511928055,-0.8006856666113314,-0.04679592727614707,1.6647147494627599,-0.9828151093080499,0.9111993007529532,0.33201053192936386,-0.30140136424836733,1.1658435046116802,-0.6894949735774384,0.9219132995513944,-0.8875121490756173,-0.6623390878355583,-0.8042179766401557,-0.5219833711385421,-0.8637623341643526,-0.8165924218160808,0.5398541971565853,-0.3475376764836021,-0.7803909825069223,1.3619032506322748,0.36874910338888944,-0.8099666108176443,3.306362028489332,1.9219700959908683,-0.9231714615307619,-0.863393710017343,-0.7968717278372824,-0.8675563257838719,0.14106793089805592,-0.8498200598777886,-0.8383722459025567,-0.26475644225969447,-0.5241061003921688,-0.269054779103005,-0.7230544883647042,2.4447941496261234,0.7998530910773893,-0.30980612618380193,-0.4922111936441592,-0.43998132982956734,-0.7695400954168218,0.6590577147888692,-0.3755282713611126,-0.7807390187078461,-0.7934670783701385,-0.8697231230659773,0.4004184256915675,1.421884080467031,1.3033679463501235,-0.7119304115667727,-0.5365882190376178,1.30321743246193,-0.7790981750231987,-0.8703395826794765,-0.8175863979968111,-0.16027027565404872,0.43598438125523226,-0.7361585838228143,0.5203234391390296,-0.6945217951117894,0.7427837498526729,-0.8699044867121528,0.6946840758175171,1.608867664968994,-0.9521232145848645,-0.8134773546725079,-0.9571926492061363,-0.9501211079284092,-0.8910101200026245,-0.26835218489523327,-0.1982963785499579,1.3629373334990487,-0.46397442255320354,-0.7990659662496606,-0.7797198244518034,-0.5923735935576011,-0.3696895716185509,0.1093771764618308,1.505671229427538,-0.5547975582084855
SIDM01064,3.1039004230882568,2.764487050354022,-0.7580858030472204,-0.7997190112181882,-0.8088728363801602,-0.7733555607835432,0.6503884909480773,-0.23610790779153235,-0.8129703626216489,0.9311953063125066,1.4177359754703631,-0.6903257928972989,-0.7555315640055933,-0.7738743785327087,-0.6488896163322074,-0.9634809554566856,0.9041467708888243,-0.8186600140610513,-0.6532174201270808,-0.8653425056763172,-0.7482728208518449,1.8509542624253292,-0.9271451562844887,1.139741061167428,0.1056745475013724,-0.7615119622024282,1.680778780777626,-0.8267772031766903,1.6605406835355598,-0.8710000108144892,1.2536498824211928,-0.49991072198858444,-0.12317847060858352,-0.8796326014562149,-0.25733493587577766,0.6465186648715905,-0.13039191760931326,-0.5473229927479505,-0.524437168006727,0.07765749165441556,-0.6808190530892965,2.595688350816121,1.7268781743105956,-0.9443322329267433,-0.8047269916805145,-0.766686096323822,-0.7595032435850643,0.6075850662639282,-0.8419211342160129,-0.7328274176960781,-0.251120669100297,-0.8149221125354579,-0.66266757633644,0.2807882806754634,-0.8145439237286827,1.1271093323880224,-0.12677338058176302,0.17604218848619743,-0.737437860661444,-0.7035891690409853,0.5145193299498427,-0.7360469010934407,-0.7196643266559739,-0.7491547537256324,-0.8767121574069694,0.12679249446512014,1.1257725690972324,1.9344409784512715,-0.8644551771523948,0.2738075515971727,1.0933921981430195,-0.27055712673893534,-0.7917423057412728,-0.7608715361407272,0.8836439748757167,1.0024155733741154,-0.7454782273242749,1.324784881453375,-0.7432987552748739,0.8651038677438343,-0.9175494226223446,0.7549958733303839,1.0044439342394096,-0.9586256802204746,-0.8543933625382939,-0.899873416091469,-0.8809757047579215,-0.8487207297301881,-0.587094681185943,-0.7997122990421351,1.187079652225721,-0.5647364593184938,-0.8293553591412205,-0.6254464969080018,-0.6513806996277985,-0.6416339521020705,-0.7393248349100255,0.261447704792968,-0.7553292354973423
