,ATG4A,ULK3,BECN1,IFNA5,IFNA4,IFNA2,GABARAPL1,ATG12,IFNG,ATG4B,PRKAA2,PRKAA1,GABARAPL2,PIK3C3,ATG5,ULK1,PIK3R4,ATG7,IFNA21,IFNA6,IFNA7,IFNA8,IFNA10,IFNA14,ULK2,IFNA16,ATG4C,ATG4D,ATG3
SIDM00519,0.7732752441514238,-0.42673578040842736,1.7461231045786434,-0.9545172274613523,-1.0129931015747884,-1.0039804812469049,0.7278637146404034,0.17141033338346717,-0.9300840824322217,0.6717872101721304,-0.6675840276501216,-0.27933054517075334,2.0602648303859703,1.5744915998006301,1.3736050224677028,-0.2887355734437961,0.707440166655835,-0.25577912017653726,-0.8521458703408168,-0.934189271756039,-0.8809774858524404,-0.7783965622126561,-1.014608444281772,-0.7443906954699843,0.5075284235756575,-1.005563280054395,-0.406629118200007,-0.011276482335618255,1.5596677728218176
SIDM00917,1.1725771540166894,-0.4750935774148386,1.7979886526360689,-0.9846807475030495,-0.9034954879655271,-0.1912172530333991,-0.3287832634294349,-0.12255524539489779,0.0483493715889996,0.6351720862905927,-0.8058248723213525,-0.3356137034329139,2.899323353206361,1.7191057031092314,1.1744933750256226,-0.11039672487973685,1.572237408076912,-0.1648905300143302,-0.9271066337250823,-0.7472278565975979,-0.9501366300578844,-0.6430285373891311,-0.8520899851215884,-0.579628723323272,-0.6414440448592466,-0.9860393778203127,0.7088061697481716,-0.14778787720803244,2.03299029190839
SIDM00309,0.7827513194475029,-0.4864465356444099,1.9901535739382838,-0.9764532022570535,-0.786920370637195,-0.9890018209755258,0.6359900337379459,0.0057494889210173315,-1.080285910491681,0.08845827159663,-0.3270748791955065,-0.3390231429193135,2.5637826079680153,1.4092759633739211,1.2927946272578619,-0.34772712044387866,1.2286128612108793,0.3247190988858584,-0.9160398720931994,-0.7874953443645246,-0.9250245024213454,-0.6846273300573748,-0.9332687143000141,-0.6637140629338979,0.4733919892868796,-0.9126444980590723,0.4291873134626603,-0.2722895854422476,2.0433852929971152
SIDM00099,0.7847515550044678,-0.49506150755144795,1.9481284898342153,-0.9314825197041255,-0.765466022188897,-0.839476962741347,0.6737174637681882,0.342760637768543,-0.931121734606555,0.6168629445442638,-0.43641158513789957,-0.17406254146970138,1.8667451146194973,1.964452238578116,1.166530264043445,-0.1633998171866841,1.2331872427024988,0.0684294235042511,-0.8483775017250621,-0.8748401624059226,-0.8642024137798934,-0.7194479493262311,-0.9689928714425293,-0.6168004833558962,0.44581663993328347,-1.0013842105084956,0.1972614627981252,-0.19084331328834292,2.128733658243401
SIDM00276,0.34387005896773526,-0.6483192071870577,1.5875067185257765,-0.9825985233488319,-0.9167971715193116,-0.9873527477870035,0.8709344954896574,-0.34174571140198584,-0.9907004059819221,0.7514107902276046,-0.35750665213871724,-0.09503180392762578,2.441499851079463,1.1630161759410993,1.626922935843452,-0.07551987190100021,0.8271195123055592,-0.09842290912418722,-0.809077285411035,-0.9158989527804375,-0.9047895635859892,-0.6948294171203327,-1.0397376885474026,-0.6801464845557731,-0.38801817999040195,-1.0220052669089603,0.14610393426167384,-0.3358098470814227,1.9909549835267502
SIDM00311,0.683537468398292,-0.6009626061206741,1.8589188394163296,-0.9430374891017629,-0.7182755826109317,-0.8524077813194925,0.6812811848261405,0.3341317562636926,-0.9983434829906185,0.6535887503124175,-0.6629143808157649,-0.19102290521584547,2.288533909416047,1.630790769865548,1.6294919117434863,-0.4676384194740981,0.9108955734493076,-0.296331617277036,-0.8512110830222311,-0.8368740494826495,-0.8840334802052052,-0.7421597812625467,-0.9829654201076409,-0.7050104279154906,-0.665939618482909,-0.9090494889245361,0.37118146401054425,-0.39177164101453743,2.279808651862992
SIDM00970,0.5110997519218683,-0.5593631758771457,1.9806123043617379,-0.950460404113569,-0.8086353560648755,-0.9628458212461521,-0.06937902909218915,-0.45189676471314116,-1.0016024397027243,0.8207022745355074,-0.7912535894730398,-0.24425768572681933,2.1888137699936014,1.309753707442717,1.4208912255550041,-0.4222291461398262,1.25631992561245,-0.1449180798277473,-0.9285609017144162,-0.8686470096722771,-0.8993150702671108,-0.5363557712034847,-0.9252176392017352,-0.8112331965919161,-0.808760040380536,-0.9003975499844092,0.34242926639679583,-0.3505281708587061,1.920710037069482
SIDM00103,0.461059961421807,-0.6427174411092674,1.8657766486857696,-0.957865194267097,-0.877539704681847,-0.9658273185517992,0.2553759552829653,0.12472790546999896,-0.9662912596215301,0.6773347884456639,-0.8245646930413032,-0.3951590475236151,2.324240400384988,1.8377856311426923,1.4179863609203536,-0.3381908808974071,1.0309382881705562,0.4480409446579618,-0.8664884361914473,-0.739806507655852,-0.892657891155546,-0.6929126982956768,-0.9216055554093888,-0.763702385209971,-0.17546055241049244,-0.8888302497889217,0.12327249068053743,-0.2865437151497009,2.257730716805193
SIDM00266,0.3995526875854381,-0.4433224510465577,1.6986402655134156,-0.9923470920742694,-0.8129946085672685,-0.8798001759838683,0.5471759960101199,0.050499168828782595,-1.0339788944272246,0.6475305283441251,-0.6429799528274376,-0.433540571841085,2.1168362702728607,2.077700414993858,1.127005490690351,-0.37002157673890423,1.0298583900235665,-0.08532860832983555,-0.8746654531784199,-0.87606911962658,-0.9137514337276893,-0.5265917579278834,-0.7866057380276715,-0.7153788230482185,-0.5549498045113112,-1.0558918364766967,0.5782469731268796,-0.2878524147481566,1.9033493363604361
SIDM01064,1.1543722746586187,-0.32579970462023355,1.9368494222310113,-0.8798472352642068,-0.7597015631410159,-0.8925987486119213,-0.43703232199784087,0.879071511608172,-0.8997361848249146,0.4778545567577188,-0.7578736138716626,0.17199441797815895,1.9208880028882978,1.4988959375950188,1.5543245027671706,-0.5646014268732705,1.2821348484647135,-0.053994526873320035,-0.8537455885241033,-0.8428301898563473,-0.8879849273672796,-0.7391270942505996,-0.9639943186570036,-0.6984660886578938,-0.2784994304972675,-0.9253239990831639,0.4177142154837591,-0.30014762736534956,1.3433294996791483
