,TNFRSF13C,HLA-DRB5,HLA-DOA,HLA-DOB,CD80,CD86,CD28,TNFSF13B,IL15RA,IL15,ICOSLG,ITGA4,TGFB1,ICOS,CCR9,MAP3K14,CXCR4,CCL25,TNFRSF17,HLA-DMB,CCL28,LTBR,PIGR,IL2,CD40LG,HLA-DPA1,CD40,AICDA,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,TNFRSF13B,ITGB7,CXCL12,CCR10,MADCAM1,IL4,IL5,IL10,IL6,HLA-DRB1,HLA-DRA
SIDM00519,-0.828365030752248,-1.0386262726376774,-0.759487187615111,-0.8995066411033797,-0.8773960331696109,-0.8494147967707412,-0.9311927655030178,-0.4755406531800378,0.4470636688233479,-0.3233473094681747,-0.42584900257458896,-0.6821227591647605,-0.7328772199613526,-0.8639943493118833,-0.8293886985237787,-0.46043308971780417,-0.8516211866453532,-0.7907214414056837,-0.8622702019067412,-0.6528306856265902,-0.798840834587123,0.935329758087389,-0.8916807364202607,-0.9240046300844071,-0.8809258530671084,-0.14036690293772516,0.7556309314959715,-0.9219115638120213,-0.6835902490495037,-0.8552762103619947,-0.8500095596348652,-0.9122944676291965,-0.7668883650698494,-0.665481587489008,-0.9146593411170519,-0.7550924274315279,-0.812282196842589,-0.9271930406874138,-0.8675141182544702,-0.8536327205195777,-0.06574918497559652,-0.28720554554339617,-0.906367164563807
SIDM00917,0.5454951130545254,2.564093744552317,0.34617692899567964,0.12764982889070794,1.826736739893343,2.2939909671583387,-0.6433808897176444,2.1864588938849123,1.227606167660536,1.0729718079312904,-0.5105366726092216,-0.7620170533924799,-0.05252370331954249,-0.7424807941531727,-0.6913098620398312,-0.2897616012455139,1.2181610230538444,-0.8069277117350961,1.0261567954548227,0.9145743162847568,-0.19292288429102333,-0.7025673220087657,-0.6841898217647505,-0.8903612096981379,-0.7726088462316814,3.5048573757347694,3.0185796191821663,-0.8059723797422018,0.42175124772919653,2.8754514899834267,-0.6888859523753298,0.4211067066924665,1.1070378226779216,0.4798854354507409,-0.7709808691910792,-0.15891453191228272,-0.8254237555987596,-0.7488772612517122,-0.8178315766669182,-0.8572141517941781,-0.5730148655163706,1.9781012486340996,3.494590086395887
SIDM00309,-0.778155995692627,-0.960016427006162,-0.7349895016732227,-0.8650262547556056,-0.8756893981451909,-0.8970896840721696,-0.9736594079017136,0.25051919023869257,0.6922408956042428,0.12767110206159066,-0.17527116355788586,-0.8757329080998536,-0.398022946651397,-0.8250419191106813,-0.8200471902392151,-0.29934054273754584,-0.851099530109846,-0.8091275227189196,-0.8775915922379396,-0.702628022902575,-0.6135462786160156,1.2617674980177398,-0.8385591524251625,-0.8973873176543059,-0.7930068416082126,-0.31685623071890795,-0.09459870333919498,-0.9246513560645213,-0.820810202798485,-0.8822903017517721,-0.8334600041818734,-0.7269201019206271,-0.7432226302652126,-0.7446717730834719,-0.8763829386233011,0.28107461359813996,-0.8441049838333604,-0.9816497481095143,-0.7537781344851271,-0.8284773833065676,-0.5258352209916104,-0.2404282112448008,-0.7582596087680119
SIDM00099,-0.7800592322467734,-0.8855662207886726,-0.7591319998223833,-0.8509585785792771,-0.9153341784676792,-0.8352389370433234,-0.9910990043675716,-0.8049334026152276,0.33780044839549106,-0.5212077551424732,-0.6554662595106523,-0.7158013375438856,0.3631753301796315,-0.862235482606821,-0.8464163840526676,-0.3193356044533718,-0.5947374986332217,-0.7401291492200464,-0.9221216455532465,-0.6384798976138358,-0.7612913004400472,1.5250652163438219,-0.8098771695162474,-0.8355179391865548,-0.826034249357654,-0.6696810121536299,-0.7347886175356101,-0.8177511139843577,-0.8052691501803051,-0.8360266712271515,-0.7175044414193924,-0.9120635014572644,-0.75001438493213,-0.6637093158772014,-0.7232270403716308,-0.6349196272243776,-0.8369610060419119,-0.9004948197222211,-0.8250072987568752,-0.8578138576088669,-0.813236293695699,-0.347542825813449,-0.8855155724255507
SIDM00276,-0.8074492716048756,-0.9916581306334903,-0.759468284672014,-0.2016403598949984,-0.8830804637983855,-0.888641716585704,-0.9223655621736347,-0.7352465963016594,0.6839542757304935,0.277315834398667,-0.7302047030023138,-0.8481755148207543,-0.48433843117361014,-0.8777763096592112,-0.8916468143149463,-0.2838531134299047,-0.8170336552883594,-0.7781906747398861,-0.9213341061001368,-0.45326220425159125,-0.11191383000007539,1.2927716290361122,-0.7893644297612646,-0.853053712366457,-0.7708399116371276,0.2515226328457574,0.5995141011266852,-0.9138769683045239,-0.6126236524364589,-0.896588229704589,-0.7795969948078352,-0.7637220139450531,-0.7539861551903404,-0.6907687720304181,-0.8838986387940353,-0.78878929449299,-0.8286717892663569,-0.9522851726014916,-0.9002127589764983,-0.7896059243898568,-0.2037712524924354,-0.42318176084016773,-0.8612612736173961
SIDM00311,-0.854914282512272,-0.9068704989248833,-0.8078909537741438,-0.9008898153248025,-0.9333903376864,-0.8897458545697337,-0.9411540743837576,-0.16491139400675836,1.1767127178149297,0.7287509001778738,-0.7250324864976355,-0.07085414906357987,-0.13474756891173795,-0.7695403192835497,-0.9063185712790397,0.16136630476819105,-0.902250080323319,-0.8412268434886748,-0.891319658956104,-0.7143681679650374,-0.7634904313239014,1.0573433599103208,-0.8050841497206837,-0.8947551983743558,-0.8211018253688963,-0.26491364605303597,1.1005456651389136,-0.9477890333602558,-0.6971919202266059,-0.8367602643151758,-0.8443897017756382,-0.7821481246194653,-0.8074077688080132,-0.7087395077694401,0.002821460489704014,-0.8477124788989288,-0.8342446009604947,-0.866873692571956,-0.8322675174813061,-0.7882661454750398,1.278100008928427,-0.5868674423644858,-0.8604028326316883
SIDM00970,-0.7380418147399657,-0.8755449884900229,-0.7738828000186729,-0.8644795362332542,-0.8623098708920847,-0.7858965953472125,-0.9345641858074027,-0.9847715290009043,-0.3394547229548832,-0.5941829235684729,-0.7699528868040447,-0.8483730809648506,-0.24560597450788194,-0.8144758700024951,-0.8901345610919045,-0.4917263410151084,-0.8997084063178503,-0.8176128286988703,-0.857626038498053,-0.46547376106870697,-0.8068325482495214,1.5658008995605481,-0.8436264181694049,-0.9685678471241579,-0.8554872832435594,-0.2908684676498212,0.3478553319942334,-0.8707667645452841,-0.8010047431387585,-0.8481901017126019,-0.852247864580324,-0.7245226127527773,-0.7446066030818852,-0.5950328498261548,-0.8581692584890349,-0.862269243869618,-0.8861127748607128,-0.8563244637310119,-0.8738129336902587,-0.8775637011727477,-0.7280346011888512,-0.44943125610196627,-0.7502764860897346
SIDM00103,-0.6959987310412001,-0.913591553549024,-0.7458778443958731,-0.8746732181425017,-0.8787626600903105,-0.849583314479646,-0.9285399505055926,-0.8601051463097916,0.0464659658780907,0.9925427184632915,-0.47973616086588394,-0.7049512001506142,-0.5518795733650771,-0.8026112271445895,-0.9151394749530583,-0.43983027683691234,-0.9136727307117235,-0.8315171637254708,-0.9337919568606408,-0.6158311292088278,-0.10106724135232666,0.9523379452289872,-0.7930384903660573,-0.946801039619253,-0.7901236509869108,-0.014606005088172187,0.42989452965257147,-0.8825946142437917,-0.43747900117128874,-0.8705528104410781,-0.714399399536755,-0.8214621981494243,-0.757369951856656,-0.7357209433811243,-0.8400535540999683,-0.7958222856453048,-0.8494982465900813,-0.8332045865226951,-0.8206538940805392,-0.8873494022381585,-0.3129267717127321,-0.3324986756890726,-0.9028877008665502
SIDM00266,-0.6824778556942813,-0.8695237638441671,-0.6614686722720333,-0.8273876326163914,-0.8951051895649392,-0.7784463507029376,-0.9507617311332528,0.160169807137122,-0.33181828804078806,-0.4742256404968836,-0.6685854743239451,-0.7375807523366853,-0.17615706719771163,-0.7318855379111857,-0.855409736747582,-0.7036240165569714,-0.8196308013164767,-0.8691613322843558,-0.9990725527957034,-0.5495218626620307,-0.7350973508614537,-0.587794664283865,-0.8462472666092741,-0.9394326481390457,-0.8448909171229004,0.3645437775747787,0.906066289592875,-0.859247952914698,-0.37230222210173347,-0.9272710252616172,-0.7070607866133303,-0.8111739066562624,-0.6785001740941392,-0.8013513590161238,-0.8676235820067993,-0.6648342535047859,-0.8597992419118349,-0.8215947046643177,-0.785609961393071,-0.8662196745749828,-0.8609391685527416,-0.35737153835192254,-0.8858743292050493
SIDM01064,-0.9524684269935066,2.5597213838742223,0.26198006825270514,-0.680158197205942,0.35024018260585893,1.9345792136160118,-0.8958202328794158,0.9651103364609687,1.4655655512282817,1.0768636978191426,-0.6686251701972687,-0.8288864661826276,0.06787615621053905,-0.6313251912753567,-0.8170965564186901,-0.06396921498978138,1.4910919168484482,-0.8284013113855648,-0.9470296376305486,1.1949111794702933,-0.7098886310919111,-0.60672075338016,-0.8515747842129857,-0.9395830653140689,-0.7689878989113619,3.591794618345647,1.5576623811316819,-0.8589948509053875,1.419922603441871,3.169894136401991,-0.7081885708248863,0.9082229504652144,-0.7262095600246976,-0.33577131766268087,0.9014548342800506,-0.7543158438544232,-0.844377744713149,-0.5609866696001622,-0.7421805862317838,-0.7432726821938074,1.0169902188629425,2.5233771458313368,3.410092265365584
