,ATP6V1G1,PDIA4,ADCY9,PRKCB,SLC12A2,SEC61B,PRKCA,TJP2,KDELR3,ATP6V0A1,ATP6V0B,ATP6V1G3,ATP6AP1,PRKCG,CFTR,ATP6V1F,ATP6V0A4,ATP6V0A2,ATP6V0D1,KCNQ1,ARF1,ACTG1,ATP6V0E2,SEC61G,ATP6V1H,PRKX,ATP6V1E2,MUC2,KDELR1,ADCY3,ATP6V0D2,ATP6V0E1,ATP6V1C2,ACTB,TJP1,TCIRG1,PRKACA,PRKACB,PRKACG,GNAS,ATP6V1D,SEC61A2,ATP6V1A,PLCG1,PLCG2,ATP6V1E1,ATP6V1B2,ATP6V1B1,SEC61A1,ATP6V1C1
SIDM00519,2.907465011311493,2.4283561792694552,-0.3761925150605204,-0.693256665426057,0.019449068914401398,3.1195930442019564,-0.14177020028773454,1.1207994858298307,0.9676876213163546,-0.20059881179149502,1.5196592605107913,-0.4946481256628702,1.3947301542864174,-0.7837771690016947,-0.8664959692990208,2.5008979181890854,-0.02087325456552204,-0.2605739971444991,1.436049661142533,-0.7456059540278848,3.0212818536298833,3.765490955547292,-0.4935853712224422,3.1735149581280107,1.0439494101047369,0.009070405730790947,0.10056582644675856,-0.9369821624397604,0.9741997625988384,1.0890773088790928,-0.9072002982864708,2.776160872637635,-0.827963009765431,3.1301584994449243,1.9394143257115308,1.252682822241085,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,3.0824770249581417,1.7793514150834784,-0.5231980564947185,0.905105922565385,-0.0034989349945850107,-0.23385840083667578,2.1852263963548015,1.2346398017616511,-0.45273724834585866,0.754893790610187,1.5531267160709008
SIDM00917,2.3944422849663862,1.8016231040968147,-0.7262704888656341,1.6723657668354104,0.1559320544945993,3.0475450040038092,-0.5834552659254151,1.649755872951376,-0.5223110886174628,-0.08631967104613343,1.9617679464179987,-0.8971935829170196,1.1492829781447036,-0.8209437091275041,-0.8696775084180387,2.260140323180828,-0.8736148877949553,0.5772754179851607,1.5433563211987602,0.03365066802628683,2.763649023903197,3.4423811707248406,-0.6022886565255863,2.966489200973639,1.2212478567701608,-0.0030871924810914725,0.13352268952292443,-0.8807316357378074,0.6187568461854452,1.1120563915100519,-0.27620945095051097,2.5091746385994966,-0.7706056041287815,3.1127066181298892,-0.875587153541646,1.4095064685663588,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,2.997911791706883,2.0165828726783657,-0.46434945169903574,1.4113627934318338,-0.02056146040246094,2.521525918877269,2.516752248270955,1.611811617071035,-0.8935853131867245,0.8309356699862473,0.7510685324571527
SIDM00309,2.2210616853795213,2.345510274165071,-0.03929455467457163,-0.8444723115073255,0.19695323477907456,2.8230719050247632,-0.2444585548068717,0.902538084623424,1.1509905688383895,-0.2502169445580526,2.1106327720909084,-0.9934238625374116,1.337500630948071,-0.7892785415681088,-0.8444521280594237,2.454779782214314,-0.6378497587850042,-0.12648053171652965,1.7641720218225254,-0.646537359452792,2.8478467568946932,3.6588408169077304,-0.44057622434410637,3.0478933342034775,1.2579923068213208,-0.3506946920234881,0.12643982764197795,-0.955792233119128,1.3856227749650214,1.2981620284639448,-0.8198629987297726,2.7346133324056483,-0.8099950726496012,3.0413373217260644,1.5115203098904548,0.8769131060804838,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,3.23694400189608,1.902819426270316,-0.503107640818459,1.5468982109380953,0.03367052596493218,0.08187136456782916,2.4250257737905154,0.9906293320683801,-0.33026737417654634,1.3139153357595752,0.9980398243917682
SIDM00099,2.5010218991393596,2.05036191522725,-0.18517704180743702,-0.8126854339693373,0.428466636611338,3.074523726875975,-0.13137744725192088,0.7099132837999294,2.094827581465075,-0.48949013460945645,1.8503448374897904,-0.8758078102116572,1.1855805540293767,-0.7737446713268549,-0.7927493895234924,2.522900809748225,-0.821853075753285,-0.23842620074957033,0.8518554611070398,-0.7005530881966999,2.944889265702828,3.6956251491267103,-0.7403532747525846,3.064663624627145,1.2535817068253483,0.24545625125314027,-0.06928484851216725,-0.8828393647952074,1.7524392789416379,1.1497249312574733,0.14241924446798002,2.5289037028995947,-0.7446270582952864,2.9799974161351592,1.2535097774651247,0.8261881263372265,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,3.400105283773008,2.103963079979293,-0.6078795812269742,0.8957683038405856,0.3041178582883408,-0.4496306432321909,2.0279992668368902,1.78240481951656,-0.4323605790096464,1.2763829848425674,1.1231556874446922
SIDM00276,2.4662264190120013,2.7500530797184792,-0.5225389598422249,-0.7890798899543415,0.1775855933867065,2.8456637799517925,-0.40676241488024195,1.8185744333606153,0.9212142350470542,-0.33582199827688586,2.0994378816566184,-0.9987876131903619,1.807950755832988,-0.7574964145062062,-0.8761684013512079,2.8255224177875538,0.33474281828533337,-0.2713210104100718,1.701294386361307,-0.8061427566369973,3.332128847956959,3.7314976282726335,-0.5547287265040993,3.1898698380766257,1.256633452195935,-0.13406283809776876,0.19857770754199938,-0.9741810401120053,1.2629777142744303,1.2370817294319385,-0.6823841895776848,2.288842402219206,-0.7959522911427194,3.189163461947727,1.9487640109185833,0.9497929254009825,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,3.3563369398163165,1.9260550297942935,-0.5384892214021831,1.0469811322852232,-0.03665739673160678,-0.028502178643651007,2.349813824861233,0.986663215871402,-0.6507804738104336,1.1365246759092626,1.14948660456975
SIDM00311,2.2644081270167313,2.357960643287999,-0.2018835395922187,-0.8105801305761055,0.5163971107604237,3.1214755603699906,0.7056643480085137,1.6794873726367625,0.890899697618015,-0.3607218230492301,1.8114655644210458,-0.836721611707752,1.356489928321301,-0.7393564213780424,-0.7883362440832801,2.165017208711869,-0.6030845360693259,-0.07831120492194346,1.5870360524779976,-0.7478338282778118,2.6627027254875215,3.7180542573840034,-0.6898305077292037,3.2192963505040906,1.306798768135302,-0.43949852066979184,0.022534974559913417,-0.7088865045609648,1.1773913576143482,1.4867196035450856,-0.7296714411722941,2.5916776300567372,-0.7201023699776503,3.0285771558650887,0.9868075994589622,0.9021687759712688,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,3.3097942154221136,1.9291052769974901,-0.6188558081761404,1.2705430010286605,0.24234045098963491,0.22047856944745903,2.060162523854552,1.3224329699161004,-0.8677098789880288,0.9966339534164856,1.5558048330916556
SIDM00970,2.5480772212412064,2.252761451144304,-0.7448599744154192,-0.7355939801807603,0.618410439524511,2.72671244367776,-0.23316708625249377,1.7419257517526847,1.1105851861931189,-0.6227232538941051,1.824164644128188,-1.0167887184395468,1.4301245202860653,-0.8510645530002491,-0.7757611177662844,2.212404530155551,-0.1834073335877168,-0.3283356554405496,1.3119153298660657,-0.5715860746086364,2.8251040055108336,3.740781327271597,-0.6171378508445311,2.8974401165198826,1.0640121198951444,-0.0036272333850462333,-0.19140946947063492,-0.8480349617281576,1.7455360517780665,1.1609521373897784,-0.8970806245554135,1.8369668993033992,-0.9215684393379479,2.8398138701074793,1.120372046950549,0.8483937255957914,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,3.230436858915878,1.6082804463803406,-0.41421166292579703,0.9053859245915241,-0.20487850156093684,0.41264517800793504,2.046871788048204,0.8274824549410654,-0.8041166242949351,0.9552371737872017,1.1446427770671446
SIDM00103,2.698730320451988,1.3318070247423677,-0.24442607537513414,-0.8670659958030608,-0.06176925707219582,3.020404406522891,-0.28424573269653736,1.2193020443667175,0.8362417523197894,-0.433623370405663,1.7473690623889526,-0.5110209820686333,1.1299963386379424,-0.7682631555429059,-0.7377227514563173,2.7838505154110673,-0.11881102461503124,-0.24217821462670766,1.617769459007423,-0.7652158626388553,2.770943166769307,3.728604032543116,-0.5634531741366781,2.8477840120453153,1.1762761371366048,-0.141904177810424,-0.42909931392257794,-0.8372135513989695,1.4173904601113874,1.1816378700321182,-0.8265572089176918,2.030049514855766,-0.8732304161912626,2.859653318573004,1.0565694097283715,0.8288714111545904,-0.5592154262132353,0.319056458936254,-0.7280524335108798,3.2486743295430394,2.1718111069499177,-0.6502861470455646,0.9022488055925546,-0.1470608013499035,-0.5946701851889066,2.1902246672065826,1.6344304923155153,-0.8340025380730789,1.1503044206675803,1.4543920507109132
SIDM00266,2.6815412222852975,2.1227755556228103,-0.26475644225969447,2.4447941496261234,-0.22289223172169487,2.914141827185329,-0.4922111936441592,-0.3011937496925131,1.1415957313547935,-0.37406288503485924,1.718060020204827,-0.83180528298944,1.094173107066291,-0.7934670783701385,-0.8001194398487154,2.0419410169790586,-0.8971558811357331,0.2827615096051464,0.6840059066962224,-0.8433705179618858,2.650255919877838,3.4886724914879905,-0.7190408649933885,2.862899196220752,0.7810383759985414,0.33201053192936386,0.19993442125474703,-0.7854822231822872,1.1515879141100955,0.9219132995513944,-0.8728874929288386,1.6156165118131522,-0.7164495466013804,2.2635325447355523,0.958712902678172,0.02512181707537012,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,3.306362028489332,2.1380984537306165,-0.5729148895336976,1.2276779714208543,0.12465917458109645,1.042684104369696,2.23910915765209,1.128691630817959,-0.22438943697027044,0.8813092277517411,0.8047402730173104
SIDM01064,1.9162180693511066,1.875156503780595,-0.251120669100297,-0.8145439237286827,0.37995267912756187,2.961769189621913,0.17604218848619743,1.9842008930097044,-0.5313000760161274,-0.3987203525328494,1.9254884763587692,-0.9643292400365727,0.8226066954259099,-0.7491547537256324,-0.7680449572161135,2.202963735278934,-0.763905179627945,0.41684229119850347,0.9333313467406501,-0.8247482785289206,2.7383438641032227,3.554030155527734,-0.396734207760901,3.033926858365052,1.204282425766123,0.1056745475013724,0.6052710649483474,-0.7443783469948384,0.8071726193122061,1.6605406835355598,-0.7869158028816086,2.920146764863215,-0.6904570887375447,3.0250573482784473,-0.9235022663099877,1.161407847963382,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,2.595688350816121,1.5978905538456087,-0.5499197121533547,0.6613687019972625,-0.4206900010717696,-0.661233852400993,2.1321439447607102,0.9181487583250952,-0.756890199727895,0.8830586154572659,0.9901396018796591
