,CYP2F1,CYP2E1,AKR1C4,EPHX1,CYP3A5,UGT2B28,CYP3A4,GSTP1,GSTT1,AKR1C3,GSTZ1,ADH1B,CYP2S1,ADH1C,ADH4,ADH5,GSTO1,ADH1A,GSTA5,MGST2,MGST1,MGST3,GSTA3,UGT2B11,CYP2C9,GSTA4,CYP2C19,GSTM4,CYP2C8,GSTM3,CYP2B6,UGT2A3,CYP3A7,GSTA1,GSTA2,ALDH3A1,GSTK1,AKR1C2,AKR1C1,CYP1A1,ADH7,CYP1A2,CYP1B1,ADH6,UGT2A1,ALDH1A3,ALDH3B1,ALDH3B2,CYP3A43,DHDH,GSTO2,UGT2B10,UGT2B7,UGT2B4,UGT2B17,UGT2B15
SIDM00519,-0.6576312836545009,-0.13761166106064918,-0.8237198918944576,0.2472971631852817,-0.7241817474445538,-0.82031647201751,-0.8964939900580688,3.2634541327993083,-0.5341081955419265,0.5964889148334755,-0.38459068706184535,-0.8639936704632867,-0.33393874321606015,-0.8865377809181778,-0.9246894509836264,1.4931135479183482,2.620395005654532,-0.8972642907709713,-0.835277364964678,1.4067248558653191,-0.6201665907358099,2.705321149747115,-0.610663970374928,-0.9668374874718498,-0.9006245067195148,1.3319442863955717,-0.8216669352747868,-0.812823201795721,-0.9642306991770149,-0.25918537825745913,-0.7404426594290838,-0.9755920119544125,-0.8884159421327231,-0.8059189558528619,-0.8796352347559917,-0.4943125919693578,-0.34244897893764925,-0.7156979743063517,-0.4010641932212791,-0.969541526190708,-0.7999371153626388,-0.8595976412251743,1.8907011642994254,-0.7747153403065632,-0.9042632837709682,2.201568402854045,1.232119752372071,-0.8287292028572647,-0.8983061797306987,-0.7651820075047407,-0.7517679169203204,-0.8136425030719703,-0.7881922421034362,-0.9822907899181706,-1.0507368802864394,-0.8346090656911848
SIDM00917,-0.6932451933300194,-0.8464875760748738,-0.8711158192148913,-0.8058894018453581,-0.8598181344526225,-0.8003932286815031,-0.8848248680807167,3.3573954832989554,-0.24769215062807726,-0.17199306797209676,0.8912180375222726,-0.8668439199695565,-0.8268053690886222,-0.8150553637703514,-0.9204021218444922,1.1455941180254978,2.147573813011179,-0.7725774738490442,-0.7113371429342117,1.4651527803580158,1.9177724631810815,2.160267652711978,-0.47751434518829333,-1.0244361502091766,-0.8335405051421858,0.07776544527629657,-0.8825989147505446,-0.582219945389764,-0.9696361074706138,-0.6816973346340518,-0.3256711244786066,-0.9296821275975992,-0.8658670022914701,-0.7016434742751102,-0.7613422913717166,-0.6387510042013984,-0.384223409377038,-1.0113492821072778,0.9825037063333822,-0.8864913934596663,-0.8820351704267511,-0.9408739339991185,0.5073645952798883,-0.748018008523109,-0.8555782531987597,-0.7628504927195283,-0.3917130883246354,-0.556022597946201,-1.0292294831130941,-0.7959566626401283,-0.6334072407993528,-0.830892609094296,-0.7401498117258457,-0.9102517800415708,0.1910455290305892,-0.7194089580653549
SIDM00309,-0.7779786701628821,-0.6510213106379527,-0.8318970503525251,0.5480666059782366,-0.5774843599937453,-0.8070125815292547,-0.8506540475801644,3.206954755368168,-0.5732544618924635,0.7130930281729935,-0.09294409606424353,-0.8887183344914309,-0.7111278422215553,-0.8245196013651369,-0.9403106886783873,1.553993935262898,2.620905504116547,-0.8872896747363866,-0.8127736716611652,1.5115442480555665,3.267172301032461,2.724481817418659,-0.46363018067337175,-0.9345691724377109,-0.853730703507499,0.7731903526032379,-0.8882208189352758,-0.05625278403715779,-1.0566298863596728,0.12516513583652336,-0.7610376306989808,-0.9423795121048735,0.1344599281340213,-0.7872794111062741,-0.9138802883739915,-0.544209361441012,-0.32625220037003055,-0.8424851766198771,-0.7695348910593833,-0.874664436430996,-0.715599381672713,-0.8757767662587655,-0.024282561124855256,-0.8766172495321594,-0.881424689446013,2.507038407196217,1.2315013221627489,-0.8364496437560559,-0.995695942975797,-0.7377255737790477,-0.7585798463049903,-0.9799512328916787,-0.8086807680226303,-0.9434718914778469,-1.0158685466878936,-0.9107215858057593
SIDM00099,-0.8603719469467349,-0.5478414853490231,-0.8124064202977784,-0.4609704927181181,-0.572180233211101,-0.7239348108304712,-0.8660326053873985,3.0532204681686075,-0.6237517536701899,0.9012516060129161,0.4945050585068194,-0.8269146587852985,-0.7432969036216232,-0.8621557082615988,-0.8854880254952894,1.8193570674188622,2.1369115145216275,-0.987828231416663,-0.804485997079439,-0.3148666701896935,2.499758668211832,2.6791207430720183,-0.590925160464168,-0.9503559895003176,-0.8882618079268578,0.2844691828610726,-0.8424703966672882,-0.5483150480017231,-0.969858263118518,-0.018653678513332588,-0.7629991028964965,-0.9172709158309721,-0.629298766503107,-0.6765479079126646,-0.7437483118530651,-0.6892421907487165,-0.699582279995199,-0.7130020367647716,-0.5944839373361117,-0.9285652822132329,-0.8670489196765222,-0.8374298576385106,0.9196521122231874,-0.7927259969301272,-0.7894889988141145,-0.4992900544528711,1.1017647634080756,-0.8145923068250598,-0.8107043570410777,-0.6087276173195154,-0.7873366417338424,-0.9314442936494274,-0.6452563150686119,-0.9512975048674717,-1.0250560029306743,-0.8647849849280048
SIDM00276,-0.6288248493571434,-0.6578742495629705,-0.700236163947018,1.6173213916266145,-0.8522776311852674,-0.683542219825438,-0.9357303584382178,3.610447047329042,1.2040415161337075,3.230668217971953,1.3544866029389446,-0.8155535563952719,-0.5927213964438822,0.057271847344521606,-0.8909251959568735,1.2484476224471972,2.4186806606912636,-0.8283695572375359,-0.8641730574000525,2.3987744259724484,3.3433902782664005,2.6158454047496753,-0.4605384820592175,-0.9824906556451823,-0.916286885202106,-0.3120900980117849,-0.8466304145569195,-0.02368841087614719,-1.0045235933440069,-0.19228882114169643,-0.7646634462618472,-0.9703098908795459,-0.8892562751570464,-0.8408805769749406,-0.8279985408004302,1.134520216583569,0.12127313706771996,2.804922254913533,3.4181284044117675,-0.8213774436822636,-0.8872468249286143,-0.8950896749445737,-0.07526392431615811,-0.7580648031074187,-0.8626312100008882,0.2860005221020032,0.7223954927403983,-0.7236065603977224,-0.9546795304512699,-0.4468192138460186,0.3251962836841278,-0.843052717652555,-0.7897514042333919,-0.9935646626331794,-1.0612419988128055,-0.827480726584247
SIDM00311,-0.670124790647349,-0.7259946624184879,-0.6097887055217948,0.2898613650839184,-0.8825408539434803,-0.7655543728869196,-0.9093417888834024,3.218455362277995,-0.5541310167986698,2.283049421841278,0.3507111789196912,-0.7611277518148802,-0.5104410121238082,-0.756682904280826,-0.9904433143650033,1.95318936679265,2.3634223735217073,-0.9677750127508427,-0.821266438320686,0.7754755181138765,2.189814145882138,2.0611130557917825,-0.5398489020691325,-0.9382193360420664,-0.904375128199863,1.6370620903841224,-0.7931718119654442,-0.796249894412695,-0.9373360932609647,-0.31680831572730866,-0.8095727315206481,-0.9212547752531339,-0.8464639288781505,-0.7488376606098617,-0.8736976544317366,-0.5814100970045081,-0.6470885164974755,1.6217408808541978,2.556729903416153,-0.8224617181269839,-0.8680359316192019,-0.7717094951457953,0.4639569252905829,-0.7550490335675363,-0.8083436238400878,1.7980728328230706,0.13066379173635326,-0.8058547336555968,-0.8625962623802835,-0.7627772002499692,-0.7824755662564722,-0.8803820812056731,-0.9030402014050612,-1.0316916503671039,-1.0604807042078208,-0.896525161195093
SIDM00970,-0.6628545985269022,-0.8053141733897253,-0.19663152417747337,0.4147295321033084,-0.0027906003241154067,-0.8381245557622392,-0.8849027209459569,3.551318309040386,-0.6291624134438899,3.1389278194454833,0.784922630438723,-0.8150242130896151,-0.6118620634694368,-0.7928066946601496,-0.8927754489628261,1.7099275011940989,1.7983079631341752,-0.9171948463586909,-0.9230557317569135,2.5562595271423403,3.4078189218571096,1.9731311976219645,-0.6005778583557339,-1.0083395456659905,-0.8200548639990504,0.09631013924387656,-0.8895243036692521,-0.6182686509006275,-0.9103785293545108,0.47121637508783654,-0.7683670308261966,-0.9002148254246108,-0.4501143201143669,-0.6694495957982813,-0.8717619215323443,0.6446979223660867,-0.4431058335398088,2.6801196084621264,2.9307623321010468,-0.8294593528799306,-0.8153819257416929,-0.8255272496945147,-0.8010572211756208,-0.7713124435329201,-0.8144136820398553,2.279971983796373,0.2859330465149035,-0.6858233852615048,-0.9014613815069711,-0.4817332788345888,0.300662630659763,-0.8420200451141695,-0.7555930864907768,-0.98687876025118,-1.0126214878689273,-0.8567025082469868
SIDM00103,-0.5954026308328295,-0.5118668080339999,-0.71753959602721,-0.2760683235217463,-0.7889700588477045,-0.8014826063347923,-0.9352949257800942,2.958465604529141,0.7603331164444097,-0.09171608395727747,0.192612840727733,-0.8908604158767134,-0.8931316314590078,-0.8535660708136315,-1.0223034566746192,1.9251759839969573,3.0298341532202127,-0.8827647053872165,-0.8166480594299386,0.3831476423277169,-0.6575016604317198,2.837402115440242,-0.46556870608465356,-0.8721697320264769,-0.82292726037636,0.17502060512588818,-0.7639999876281398,-0.7188898294580196,-0.9561044607108066,-0.265803147344721,-0.8234258250114335,-0.956050263172138,-0.8117098036824965,-0.6267109346507547,-0.628344558153731,-0.5647726997449514,-0.5289827337607339,-0.5431100216135625,-0.5210225133216881,-0.9155368394193062,-0.8124479978251832,-0.8907128789912832,-0.2551758634564205,-0.7924359787075794,-0.8394946533168942,-0.49144650089135417,1.2533507381313578,-0.791756556304869,-0.9314321465556115,-0.6594602720189038,-0.2939920110154515,-0.8962325681924299,-0.8326916053243125,-0.9934736543805543,-1.0328781822069153,-0.8569153754104231
SIDM00266,-0.6592852158166216,-0.7607707666829119,-0.6615531261009261,-0.3048069222528884,1.0561774427678103,-0.7930657289755331,-0.9227875281873379,3.061270423425398,-0.5940917048976189,0.9230219920728536,0.6889244250135003,-0.8868621942949583,-0.14147062939942892,-0.8745974852188635,-0.937587049701355,1.7384996067940814,2.4650298036148452,-0.9037726226685252,-0.7516798463556498,-0.4271835727925545,2.9360691313108953,2.8416095103431047,-0.5318612614893238,-0.9567034788102454,-0.8813818046973435,2.126520595885823,-0.9472315002818571,-0.1198990706570876,-0.9495357348670088,-0.16923362521108914,-0.7347082686062195,-0.9637016174958742,-0.747665781194796,-0.8654384183766977,-0.8144846140881801,-0.7592498385835662,-0.6419540701997205,0.7017962950533942,0.9240970903282348,-0.9204019018050188,-0.8155017324503779,-0.874071466483248,0.48947398061799813,-0.8109027286021374,-0.8501808671803883,-0.8162536457833733,-0.5066299488730533,-0.8342915428559363,-0.952449596515776,-0.5397362635450274,-0.736284181095688,-0.8543325455427438,-0.7795239061140025,-0.9804455810288456,-1.0362888754175024,-1.0503499681557618
SIDM01064,-0.4576258334143998,-0.7186108875263566,0.6324451832066855,-0.5378411935182338,-0.8580775394260363,-0.7914102568807918,-0.8988631646710569,3.2433268058588194,-0.7019786612874508,-0.6880889998343731,0.4284488692882142,-0.854009946277104,-0.8473477241974766,-0.8500028666623597,-0.937290247774769,1.0593909845911706,2.1683211301404666,-0.5993474984851579,-0.7511380756879991,1.1880335663845338,-0.4315529963940889,3.4492448911125133,-0.4704451040946269,-0.7362692051402573,-0.8614905376375549,-0.31162479107653085,-0.7677720813291204,-0.5805778542985577,-0.9390413858893444,-0.6153079639390509,-0.7032076830811195,-0.8814729325127854,-0.8976696608309968,-0.8437704028759831,-0.791225922117296,-0.7496058976159035,-0.14260094032308798,-0.8989106742399183,-0.7903911640999195,-0.9953253767174097,-0.7905561357647367,-0.9639984984278166,0.2578117464312207,-0.7666016470171295,-0.7727916312462797,-0.8893049815638298,-0.4723343463077326,-0.7948221684280004,-0.8907891042391812,-0.7498285441080532,-0.7709650321645163,-0.8199123305446021,-0.7411651663062993,-0.9213748659044738,-0.9748527805476254,-0.7599006955685264
