,CALM2,CALD1,CALM1,CYP4A11,CALCRL,PTGIR,PPP1R14A,ROCK1,PLA2G6,PLA2G2E,PLA2G10,BRAF,ITPR3,MYL6B,PLA2G2F,EDNRA,GNA12,GNA11,GNA13,PRKX,GUCY1A2,MYLK,ADCY3,MYL6,CALML5,ADCY2,ADCY1,PLA2G4E,KCNMB3,PRKACA,GNAQ,PRKACB,PRKACG,GNAS,CALML3,PLA2G2D,PLA2G12A,AGTR1,MYH11,CALM3,PLCB2,KCNMB2,ADCY8,PLCB1,ADCY9,PPP1R12B,ADCY6,ADCY7,PRKCB,RAF1,PLCB3,PRKCA,ADCY5,PLCB4,MYL9,ARHGEF11,KCNMB1,KCNMA1,RHOA,PLA2G3,PPP1R12A,PRKCG,PRKCD,PRKCE,PLA2G2A,MAP2K2,CACNA1D,PLA2G4A,PRKCQ,PLA2G5,PLA2G12B,MAP2K1,CACNA1C,ARHGEF12,MYLK2,CACNA1F,CACNA1S,ADCY4,PPP1CC,PPP1CA,PPP1CB,MAPK3,ACTG2,PRKG1,PLA2G1B,MAPK1,RAMP3,RAMP1,ACTA2,RAMP2,ITPR1,ADORA2B,ITPR2,ARAF,NPR2,AVPR1A,AVPR1B,ROCK2,NPR1,ADRA1D,ADRA1B,ADRA1A,KCNMB4,PLA2G2C,ARHGEF1,MYLK3,CALML6
SIDM00519,3.405443011020229,2.5494984853672005,2.0679101728721148,-0.614436203822954,-0.9363264970452608,-0.7225541234993856,-0.8477199876145195,-0.7523052539818814,-0.7554360435351557,-0.8433965079575642,-1.0091032468882672,-0.5413997596560421,0.23130577724304688,0.9037217892548505,-0.9895476338726719,-0.7136946979099895,-0.027699052895415573,1.759509928435881,-0.7643596271581187,0.009070405730790947,-1.1277859687413132,2.3085596068662064,1.0890773088790928,3.2489177699299514,-0.7856983964087129,-0.876292904812085,-0.6225659736773329,-0.915282395936786,-0.5759171955901541,-0.6642417916566798,1.3348226942570265,-0.19396801661267524,-0.7547095192082567,3.0824770249581417,-0.8929151937982222,-0.8869410620692143,0.9829538935460095,-0.6512376129901314,-0.7645570999935253,0.07201739826156277,-0.5224688389682631,-0.9299663940713898,-0.8197097615542076,-0.28388167354621846,-0.3761925150605204,-0.820484495073378,-0.3708795690060417,-0.7190695396731633,-0.693256665426057,0.41097071018801634,-0.17219165357449026,-0.14177020028773454,-0.8264178627985858,0.07490848976441174,1.3239280985053734,-0.44604364027846544,-0.8523720265289177,1.8078995238270286,2.336611588025909,-0.6850179934614118,1.3252319950370464,-0.7837771690016947,-0.16217541688124437,0.2467610685660952,-0.908346409006008,1.2117328419628624,-0.9267804143791178,-1.0116036917247377,-0.9051919164249741,-1.0585534009949649,-0.6626791441003931,1.4682702253736368,-0.8599463753321505,-0.24655389621269502,-0.7696842048181548,-0.5919623709124651,-0.7536578846054568,-0.7573625113558111,2.6691031273684325,2.2778510656409945,-0.3179556892114843,0.5154256853947725,-0.7501546006273425,-0.7738641203613367,-0.8607035765925894,0.20225978087680163,-0.7679710642691021,-0.10764970213727512,2.6674209295664806,-0.6905774345817768,-0.7203016974859953,1.264008570364789,0.41355116441195894,0.07456749189187163,-0.221692200468881,-0.8169578125844156,-0.8300142045795769,0.7585674205699963,-0.8538132998680572,-0.737742291195273,-0.6446307071950517,-0.830708672451843,-0.8735529737458266,-0.8463618549593636,-0.6095617393853457,-0.7262385364368209,-0.7289957667192392
SIDM00917,2.9377746023401605,-0.6930783697028505,2.017225902945296,-0.5484942115618944,-0.43449965967032844,-0.056392720100419624,-0.728950604126719,-0.7543480452060052,-0.6983322727342728,-0.8268625016050603,-0.9810378849179168,-0.08737606934962737,0.2803950818865365,1.2923525581677697,-0.9505741889748194,-0.5651787057447578,-0.26588173770816,0.6190993811339816,-0.28958453673464024,-0.0030871924810914725,-1.0714340085707588,-0.6607844696243211,1.1120563915100519,2.866828402759984,-0.8438875245171338,-0.8639147417245175,-0.7424661071244673,-0.6117874873680419,-0.07796622877846182,-0.6980003707464469,1.333536923318862,-0.7685558875984023,-0.7451376266929471,2.997911791706883,-0.7875357893135947,-0.7835150385827508,0.9387272697614286,-0.8676385280338333,-0.7270855212573211,0.37466265137866067,-0.7484199006984038,-0.842756902485846,-0.736023673057336,-0.8155343332125046,-0.7262704888656341,-0.8113310819470944,-0.42718424679709555,0.49095225179449475,1.6723657668354104,0.6703226732559828,-0.625387120020742,-0.5834552659254151,-1.0031337627221115,-0.7800565199128136,-0.5334793082961188,-0.3654873481578768,-0.18261289149266746,0.032868275422645477,2.6126260305947806,-0.7055607273055641,1.4674642705329721,-0.8209437091275041,1.5657473081576383,-0.34761794029644505,-0.8391205397817006,1.4353305093647586,-0.68834948379689,-0.8022800340243171,-0.7558514489149276,-1.0038074211075247,-0.8662341496460776,2.1682208807797045,-0.8989352661310939,-0.5310335024437998,-0.7342018239250724,-0.6492499505738857,-0.7925092387689823,-0.6176678574062296,2.5598023261929037,2.1656333773028362,-0.4818221338672584,0.12581611851856564,-0.817264160318077,-0.6403495025951672,-0.8616015082723868,0.7518296918279702,-0.7746157181912855,-0.8405320329521818,1.708751270594638,-0.9504523168986367,2.084349108020831,-0.7514944183324711,-0.23188268718698102,0.3104583380836929,0.0880344837185116,-0.873736911603755,-0.8239720791387503,-0.1530102653394292,-0.6804879210873689,-0.7872746819925951,-0.8817622504335452,-0.8665939591094081,-0.6158837872410081,-0.5902381844032991,0.02196846734479809,-0.7102315220901932,-0.7107302263572529
SIDM00309,3.288812513982851,2.627779049711367,2.1810960642285777,-0.6962775749869374,-0.9010887359877159,-0.7756130107888455,-0.6277563876951686,-0.6859334283277749,-0.698775437850522,-0.8110858275877346,-0.9720171270898533,-0.5982155072109197,-0.060644982753957216,0.8131129032943112,-0.9321267724225204,-0.8514518726332458,-0.1752781626131636,1.5926576742677376,-0.6733080286689712,-0.3506946920234881,-0.9959237312543462,1.898157197069194,1.2981620284639448,3.3635816600870534,-0.925941766277124,-0.8882832658521452,-0.6919039205970113,-0.8396045563178794,-0.4210168446874072,-0.6548918264125425,0.9300509381485954,-0.32250331188668446,-0.796842937710926,3.23694400189608,-0.7432149974902954,-0.7977798730879978,1.70553371557291,-0.9906866310784317,-0.8024961645685361,0.4199465953508991,-0.8288201783708491,-0.841206328917283,-0.8095859802542961,-0.8099176556565033,-0.03929455467457163,-0.8066967936857798,-0.4091885176566541,-0.7092400268259906,-0.8444723115073255,0.7255659061086115,-0.30167521091617444,-0.2444585548068717,-0.866293312010003,-0.6675338271001798,1.4717446433803438,-0.48159406822760803,-0.8283791095897844,-0.009351355849345001,2.857779503124727,-0.6997536519140191,1.2545986673221867,-0.7892785415681088,-0.16192114428717402,-0.010849607542058605,-0.9554116438070824,1.29693709399388,-0.892140631001195,0.37204762457276763,-0.9230638654061724,-1.045958199149002,-0.8266731319775593,1.533801591408699,-0.8985738596381093,0.0047387094221157874,-0.8838788671153863,-0.627145881601741,-0.7115613422902661,-0.7225668182173891,2.692446101999217,2.089666817517967,0.09146383849094515,0.5986800821643932,-0.8322352135885105,-0.6334222463470289,-0.9305593624071036,0.19821987316206793,-0.7164847631845044,1.6353013477046996,1.528273645138142,-0.6796643244152817,0.1758981765566195,0.4697825834197138,-0.5964080220174995,0.07713419241059723,-0.577198324553074,-0.7919651210287786,-0.7612629482634036,0.9363253725929757,-0.7876071999924104,-0.8348977630343818,-0.9320757796278324,-0.8230757548184753,-0.4263313205833346,-0.8320019248002899,-0.5077993016484573,-0.7786861522764842,-0.8365190917981722
SIDM00099,3.346714649910355,2.6199564861684688,2.4110779704303242,-0.6465783724065638,-0.9117489291651815,-0.6369208609511539,-0.7218444294947263,-0.7281503381432305,-0.7387936053109125,-0.6719447568385949,-1.0210522435705907,-0.4747716843383623,0.4071124894127082,1.1225148752276277,-0.972993659074612,-0.8641422940936713,0.23554763224771882,1.619188059490869,-0.49576915959398726,0.24545625125314027,-0.991029239578319,2.3397103543508755,1.1497249312574733,3.3302712296912813,-0.9201892349624028,-0.5990377147306057,0.4569788463465034,-0.8210140128213779,-0.3942498403391364,-0.5869944303847916,1.6313964212235816,0.12689241603057716,-0.7381890646027427,3.400105283773008,-0.8482326855644008,-0.7504937461532906,0.43443701066540386,-0.8599952704043731,-0.6789254758234754,0.3371163731411872,-0.828473055770185,-0.8306935117112658,-0.6498613700267414,-0.06562375297592993,-0.18517704180743702,-0.8324603112587895,-0.2576992610259169,-0.4458734750819432,-0.8126854339693373,1.1767266262913327,-0.2828811985284016,-0.13137744725192088,-0.7281494818796146,-0.010766273318534629,1.6290767829335053,-0.613304531785204,-0.8739900120429133,1.1600736049961704,2.662829847610818,-0.6520919920808488,2.0196564572030455,-0.7737446713268549,0.08749614809878069,-0.011093741128729333,-0.858795850759276,1.6865245406992782,-0.8726638848981728,-1.0218854526357262,-0.7971101179302654,-0.9976272469691949,-0.8568144494221323,1.4524860221399285,-0.8819801281143722,-0.2396773804602981,-0.7080611471437305,-0.6300371130952537,-0.8934494623745697,-0.9230177894996229,2.661218946963459,1.8398135744634367,-0.40395373862765394,0.6202538847874911,-0.855017314609433,-0.6902782682250636,-0.8556420818499619,0.4272251428179874,-0.8322157766262037,1.0492245319742384,2.0012346244129087,-0.8706078722081322,-0.48277610031675605,1.2796126139700394,-0.6708161837967919,0.007434448992897634,0.12504414142086617,-0.8904231999856936,-0.8115581724481303,0.8139784723992741,-0.8966128758946742,-0.7672320056743889,-0.7615857613298308,-0.8540103765206685,0.3622159997549084,-0.86124548210325,-0.5632962497233588,-0.7863091800254595,-0.7477793077570957
SIDM00276,3.240136851313997,1.3968690998716105,2.640025073890035,-0.5956059660062517,-0.9345843987964956,-0.7117521671596673,-0.37656951515441106,-0.7616783682984835,-0.6837233923198708,-0.9156763157550357,0.3876511881634544,0.4225250613223542,0.5243242550444455,1.216513257215963,-0.9713400771111201,-0.8352458394893816,-0.19648133975242713,1.694768933111216,-0.5511766540550338,-0.13406283809776876,-1.0332731746646098,-0.05682136804991039,1.2370817294319385,3.382797801613888,-0.946973893608282,-0.8543191801528256,-0.7197081432223705,-0.6196206763585796,-0.5911626440147608,-0.726402678006925,1.2079609471188764,-0.18959251099276647,-0.7414626369710949,3.3563369398163165,-0.7270777119510755,-0.80878416615467,1.0599953897512413,-0.9225626360114709,-0.7687275418919269,0.3278868998570511,-0.8201330135193009,-0.8113153379941255,-0.787935756460015,-0.7788636541550895,-0.5225389598422249,-0.7868375364479971,-0.3121261130971343,-0.4374733797239699,-0.7890798899543415,0.6944907569106895,0.003181374961338923,-0.40676241488024195,-0.9070478476260756,-0.7093503530086754,0.7625797242605553,-0.5131223762978975,-0.8269101725448601,-0.8060835048385916,2.5206409028438705,-0.6799268319117648,1.0195418170525197,-0.7574964145062062,0.6637941091877231,0.21101288368288423,-0.8057537278720598,1.5730502356630185,-0.911619553627882,-0.6802706896435589,-0.5998812591545832,-1.0456382015192203,-0.8849210300509877,2.019959361654287,-0.9475335632409008,-0.41507325742636647,-0.7611852083895231,-0.6528849787401175,-0.7232178654711192,-0.6108730396463931,2.485535958399745,2.6242095109708483,-0.4896288876957792,1.1105277507367421,-0.9002802697819452,-0.823273462337547,-0.9329671401851335,0.3901472004011665,-0.7483225259155999,1.2389971662742842,-0.15451919923648902,-0.8086522344563472,-0.5443190874339499,1.902818283150867,-0.7489707943437317,0.3319259955565263,-0.5055467923321676,-0.8234594612170004,-0.8586012165721315,0.0833445328460359,-0.8272829406171278,-0.7714334447365867,-0.8497640412556295,-0.8254430836294924,1.7010581174016486,-0.825849163375806,-0.39715922512474433,-0.7288948984924646,-0.6295154616598309
SIDM00311,3.301473029237035,2.068838692825392,2.3985497785788255,-0.5667415817865045,-0.8332249080949201,-0.7909104381695828,-0.705961171194203,-0.8568766925778432,-0.8051409034030218,-0.8394633264695162,-1.054186096606148,-0.7453538371884136,-0.14954882203939818,1.2809103348974742,-0.9974412198044029,-0.8522356973592565,0.24615387139158518,1.99544738342623,-0.4530859052950045,-0.43949852066979184,-1.0216377274479327,1.1845196619077532,1.4867196035450856,3.3407423553450766,-0.8082354228107739,-0.9197123081666504,-0.4839696158533931,-0.8672145225539768,-0.6307995760732724,-0.5088950164142347,1.38581750818193,-0.11699589132220085,-0.7612137915489496,3.3097942154221136,-0.90894741819379,-0.8653644261684323,0.9595621741522522,-0.8605472863833498,-0.7197103546373501,0.3964635671903048,-0.8575282564558809,-0.8537465754838927,-0.8338650298806419,-0.6990640606832124,-0.2018835395922187,-0.8906796156687674,-0.17004751774736446,-0.5707866226762848,-0.8105801305761055,0.5447987316773143,-0.011229847868629248,0.7056643480085137,-0.6634210375995113,-0.14213813901389724,1.2043880947257883,-0.5846524110668218,-0.8558180935226616,0.8248568175974134,2.962453528951947,-0.7036655802229366,1.1684727195528462,-0.7393564213780424,0.3732942372692227,0.6361110097270698,-0.8547788795453823,1.3593653195542226,-0.9071954875508508,0.13027171813925953,-0.8144072120552219,-0.9550506598284961,-0.8069346609114783,1.8896826961927777,-0.9109247693103822,-0.07430067051708122,-0.7266211106304811,-0.6484544999160443,-0.789517563182541,-0.8024440377522937,2.5956159398338534,2.2132241015140384,-0.4899323458559017,0.29001810221540564,-0.8958721361150525,-0.596212028758563,-0.8780408538143946,0.38729023043362193,-0.8354141363156173,-0.6070670691303028,0.5411998661713106,-0.8564441056408352,-0.297196916930855,1.3921613063740255,-0.6355736511643333,0.08589945360217498,0.33138675353711905,-0.9058898276130478,-0.8302369905900615,0.8359829109320396,-0.6523481080845148,-0.6503536206419758,-0.8400312711654844,-0.8435814010051776,0.20782088697497733,-0.8579385075539958,-0.44846784092009284,-0.8531957395559667,-0.8262110264974655
SIDM00970,2.997127622667184,0.0804526480566642,2.9816846982138316,-0.65992885125319,-0.9314372952376454,-0.7514769834545054,-0.7728162024193588,-0.8431934194547968,-0.7574719229506964,-0.6888230047759513,1.3217577016747517,0.16764458696924706,0.0232715350514139,0.9633073255017822,0.4334215230072857,-0.9364773407870045,-0.24104407850557782,1.5944586769210394,-0.28542703640142,-0.0036272333850462333,-1.0355886159555343,-0.7430059204519833,1.1609521373897784,3.413394297666125,-0.8660533697298957,-0.8810710387313534,0.8377013906306389,-0.7967784638565522,-0.6223037384180397,-0.6435096983966702,1.3877255711812926,-0.02148999828132397,-0.8275878392458749,3.230436858915878,-0.7680933459775284,-0.848123374276097,1.2699804597788635,-0.8814812125413624,-0.7837672838860151,0.5755221068530932,-0.8729264863234977,-0.8904271400037024,-0.6906937174444193,-0.2056887890907924,-0.7448599744154192,-0.570786832677392,0.0016497048016924222,-0.7010909604646125,-0.7355939801807603,1.0032059249628758,0.3691638520888408,-0.23316708625249377,-0.8502856930618422,0.018608130776813853,-0.49436934934466753,-0.5296606122030351,-0.7817887590363973,-0.8101314385746743,2.798015426118431,-0.6784045593186835,1.4251524358363599,-0.8510645530002491,1.3945888705784915,0.11704625043704507,-0.3908837056288941,1.0350064504926018,-0.6532647387976468,0.6571301454544184,-0.8303802041829504,-0.994838682054863,-0.8011085379766891,1.5480021660770813,-0.9687990573362196,-0.12376485740999382,-0.7234960473371952,-0.6040073971420742,-0.8084663223505886,-0.7460463355224911,2.7661270261580393,2.3029748098906118,-0.4192933597820453,0.3293145122295789,-0.8707198105888511,-0.8416770313957599,-0.8362080727679566,0.8119872597350951,-0.8297215880183622,-0.7200470255970607,-0.8115366236783318,-0.8297215880183622,-0.3849159694104453,0.9658637419856321,-0.8231778836173611,0.016143176077876336,-0.31043386928632016,-0.835797569871514,-0.842313106349488,0.5346246756994116,-0.9134356855951311,-0.6488124647562319,-0.9341832355126094,-0.843129622144614,0.6577356874871685,-0.8498109810761587,-0.42684066322407416,-0.6382963538998743,-0.8652414681128265
SIDM00103,3.3787375877429024,2.340556481595597,2.350299357280336,-0.6021590407304915,-0.9423145796885058,-0.6337479105975343,-0.829253777954495,-0.7743716451933206,-0.6726244867374868,-0.79915342753613,-1.0820791556080098,-0.3199136617291577,0.6363394407494628,1.521631395454427,-0.9606979439575039,-0.9008690571986688,-0.017898145198039717,1.7877853420598013,-0.5428958900820408,-0.141904177810424,-1.015674024147578,2.582248357052832,1.1816378700321182,3.3219171902655864,-0.8485331953771983,-0.8645975638065646,-0.6664243563686305,-0.9498515779066433,-0.46002461481958856,-0.5592154262132353,1.1908561462898601,0.319056458936254,-0.7280524335108798,3.2486743295430394,-0.7985815630346397,-0.7947851954592112,0.500807688870367,-0.877329705203886,-0.7154689525237125,0.36799501682737706,-0.7878343911565672,-0.8920303198218634,-0.7545610996114599,-0.8394236156336857,-0.24442607537513414,-0.8278533301773021,-0.4929876868343497,-0.42275532301870344,-0.8670659958030608,0.842042295483723,0.10537069320392656,-0.28424573269653736,-0.8117901204860103,0.6929036419545747,2.1054828993224066,-0.4855871133732731,-0.8215542696502212,0.6412438950206218,2.784596803999962,-0.645315576779291,1.4537796787674186,-0.7682631555429059,0.350730680716894,1.0314702720977094,-0.7998276058930084,1.7208696588265395,-0.885752070746853,-0.9942213356313719,-0.8407918647791499,-0.9444389806237633,-0.8693087562790918,1.3916393884940752,-0.8723192999102393,-0.3278492186213185,-0.7499060381594684,-0.5666967177655473,-0.7691125414372325,-0.8249554116357566,2.6082499410233693,2.0059867322452583,-0.525798493559705,0.80055510601947,-0.9119714632833924,-0.846112080811885,-0.8928968330839427,0.3533626797819316,-0.7837776094612092,1.0625370753662484,2.0470006633439195,-0.8286606956943225,-0.6334190648656081,2.060905669253715,-0.8590883299385064,0.0004835080749557808,0.782078839218375,-0.7998511846640267,-0.8103968310852063,-0.6872729785421735,-0.38506433750379204,-0.8274662079061741,-0.8498486642580222,-0.8191443535432842,-0.09097466662071171,-0.7861875438867996,-0.4705316034516855,-0.672261987641314,-0.7354375173791132
SIDM00266,2.9941010345052836,-0.8926970591654004,3.5543218072134084,-0.5888250868275653,-0.5747528016011384,-0.8013702907682956,-0.7199253964809389,-0.6893855660036172,-0.7591196404868659,-0.9374146182193293,-0.7518317989959907,0.1151396341686013,-0.1795405296831473,1.7780479333320764,-0.9138732875823558,0.20150145031378464,-0.36515573611713625,1.3661727213425148,-0.5190287192064339,0.33201053192936386,-1.0034320191810666,-0.3075482019384291,0.9219132995513944,2.8003292184478776,-0.6894949735774384,-0.8875121490756173,-0.6623390878355583,-0.7870936499375204,-0.5728978395062584,-0.7803909825069223,1.3619032506322748,0.36874910338888944,-0.8099666108176443,3.306362028489332,-0.7968717278372824,-0.835237241354834,1.6893030339626087,-0.8068827020565827,-0.7711134060883602,0.14106793089805592,-0.8498200598777886,-0.8531438298133296,-0.8383722459025567,-0.5241061003921688,-0.26475644225969447,-0.7391407650154033,-0.269054779103005,-0.7230544883647042,2.4447941496261234,0.7998530910773893,-0.30980612618380193,-0.4922111936441592,-0.7695400954168218,-0.43998132982956734,-0.7279199362075487,-0.5376601999340853,-0.7495662606353927,-0.8140602593834574,2.6792092150928486,1.7826819544649817,1.4231645738173022,-0.7934670783701385,-0.05871988004598698,-0.4401287169458169,-0.8801709330413998,1.421884080467031,-0.8972024279831587,-0.3083381519564571,-0.8875007637108979,-1.018096110526356,-0.9458011921767625,1.3033679463501235,-0.8612174626844602,-0.01997258057371207,-0.7372340656042418,-0.5907975434770865,-0.6854903321761104,-0.7790981750231987,2.876663801413975,1.8630661083364346,-0.5464420700201927,0.43598438125523226,-0.7743830023117213,-0.5823331162598453,-0.836883294058943,0.5203234391390296,-0.7433961966134539,1.5981583984574326,1.1570045338320643,-0.2921502741569243,0.8955894175660499,0.884552159983893,-0.7532473379076112,-0.1599034263136676,-0.4788851503869336,-0.8148470658166451,-0.8742848097615664,0.32932813593645077,-0.8216074010655937,0.25331709427610954,-0.7628669110685374,-0.7161894059990651,-0.4208295413669605,-0.8172758917945459,-0.4270224672602667,-0.6751526971079235,-0.5547975582084855
SIDM01064,3.1039004230882568,-0.8276918435001215,2.764487050354022,-0.651073435394108,-0.8007502785637763,-0.521504372761704,-0.7305894914351814,-0.5570838710983187,-0.7122782191068401,-0.76018020586711,-0.8006073310145412,-0.3823909016943919,0.1407450704668801,1.3725185145818528,-0.8022317497224494,-0.8042368902146153,0.5247118312430309,1.3890441933500592,-0.4009017437070787,0.1056745475013724,-0.9926337453083746,-0.7639355788086986,1.6605406835355598,3.2273468431694683,-0.8267772031766903,-0.8710000108144892,1.2536498824211928,-0.7291847804771081,0.16468563520408042,-0.5473229927479505,-0.524437168006727,0.07765749165441556,-0.6808190530892965,2.595688350816121,-0.766686096323822,-0.776347159391237,0.774666341696827,-0.8759255248069583,-0.7596509164817542,0.6075850662639282,-0.8419211342160129,-0.8696830796601617,-0.7328274176960781,-0.8149221125354579,-0.251120669100297,-0.8097359858878871,-0.66266757633644,0.2807882806754634,-0.8145439237286827,1.1271093323880224,-0.12677338058176302,0.17604218848619743,-0.7035891690409853,-0.737437860661444,-0.6618275277795173,-0.4661429739459668,-0.785706520882333,0.7676955655279806,2.6178962245186987,-0.5925676505631666,1.4323156339936558,-0.7491547537256324,1.006196374863881,0.04558505890749956,-0.8125914513044605,1.1257725690972324,-0.8954114719759686,1.0999819084382731,-0.8361374148733384,-0.9390141126265353,-0.7970281733185461,1.9344409784512715,0.18335384756784337,-0.23087162723864485,-0.8006804053317846,-0.615860413254957,-0.7351450489649145,-0.27055712673893534,2.93224165120046,2.258967133157781,-0.32446162696118624,1.0024155733741154,-0.896717278548444,-0.8258617582870075,-0.9008787124480435,1.324784881453375,-0.5608079651582424,2.1373014776453156,1.7722504282206557,-0.8809355971498475,2.2630260065738272,0.8646543660379915,-0.5372407202241409,0.11853981156144153,-0.33896474103530666,-0.8507486063351432,-0.9126242661150247,0.6904693931103755,-0.8741896922039708,-0.7127405388135549,-0.9091711129668634,-0.8394860235260572,-0.15027552174586598,-0.736715753611964,-0.1553983598936189,-0.8254651839507496,-0.7553292354973423
