,GP1BA,COL6A2,COL6A3,COL5A2,COL6A1,LAMA1,VWF,HSPG2,TNN,FN1,ITGA9,GP9,COMP,CD36,CHAD,GP5,THBS4,ITGA4,ITGA3,ITGA2B,ITGA7,ITGA5,COL5A1,COL4A6,ITGA11,SV2C,COL2A1,COL3A1,COL4A1,AGRN,COL4A2,COL4A4,ITGB4,RELN,ITGB5,ITGB6,ITGB7,LAMC2,ITGAV,ITGB1,LAMB2,SPP1,LAMB3,LAMC1,COL1A1,LAMA4,LAMA5,LAMB1,COL1A2,ITGA10,GP6,ITGA8,LAMB4,TNR,CD47,SV2A,CD44,DAG1,LAMA3,SDC3,ITGB8,ITGA6,ITGA2,ITGA1,SV2B,TNC,COL11A1,LAMC3,COL11A2,HMMR,SDC2,SDC4,COL5A3,THBS3,COL6A6,THBS2,SDC1,THBS1
SIDM00519,-0.8008239591205544,-0.5254693619965356,-0.760275557014443,1.9919564728175538,0.3046834051660993,1.0125927037796167,-0.8307894690050999,0.2359759409631717,-0.9145900499928575,2.2376153139368746,-0.8299001018324714,-0.8809450560941915,-0.7162974653435982,-0.983320010249022,-0.8766654271974943,-0.9489650261772631,-0.8707106192599018,-0.6821227591647605,0.09205600190106576,-0.6638353430631249,-0.4890758836666831,-0.33092384083229753,1.8631081104740044,-0.7852317414313308,-0.6213763632956402,-0.9024077215663443,-0.8561497782392159,3.2060895019878717,1.9984426845934704,-0.33580214335466835,2.269862731293828,-0.7165981833320694,-0.2631398660332098,-0.9307492122507754,1.3856967405957306,-0.6703264774870937,-0.665481587489008,-0.02694171501371728,0.0009008262244029427,2.086497938027983,0.44548084786417264,-0.5709444123976785,-0.3133722975198173,2.418454787062464,-0.6259309067025957,1.1603752574158308,0.46069209640622893,1.3635376475743668,-0.3226753841755499,-0.873784416947437,-0.9122206368355517,-0.7304007155354405,-0.6118389492100208,-0.8278130918956684,1.5759899160730388,-0.8091054962157981,1.424467536262385,0.32220606023343284,1.0076836786390166,-0.6559287500656997,-0.4053639929168636,0.6634384165166023,0.9110265201367456,-0.48995037754061055,-0.8363694781302139,-0.16196456293266148,1.7331897409245345,-0.7139013253366052,-0.8026705094062025,1.3280577909945621,1.8776845413774803,2.058580320993033,-0.6613789607718815,1.0998276942577196,-0.8269373133018544,1.7479761094893969,0.4439931678235074,0.15012803486129228
SIDM00917,-0.3358873777534203,-0.8406959737351594,-0.8217105624038175,-0.7033557661134776,-0.5143992930802681,1.6863871545001639,-0.6229913780218945,-0.3992769345693402,-0.8901806252293574,-0.7286250732021204,-0.27836192835523066,-0.8240541922572332,-0.613027627991016,-0.8002284137952793,-0.9082676959396441,-1.0825141754588352,-0.19262710118435444,-0.7620170533924799,-0.6596355752874214,-0.7400576743919218,-0.7265277488181835,-0.4858524400225937,-0.5322460868860771,-0.7497754561978806,-0.8030619125846273,-0.7679305271946861,-0.9854842893523523,-0.9238202024938444,-0.696893158738483,-0.6320873195472132,-0.590147118003212,-0.8857489462612921,-0.7643712793779506,-0.8310338572277933,-0.17873638705210945,-0.9103041864323191,0.4798854354507409,-0.800160286683192,-0.9024899812836101,-0.5999323053013581,-0.2828030816731038,-0.8234728961144411,0.5831794961016443,0.9390085236376848,-0.7402651040870987,-0.8627471753834502,-0.746457447963015,-0.7949074671884588,-0.8281975287678903,-0.9001908952543967,-0.9663806208985518,-0.8420425537598755,-0.7389952976506082,-0.798459488583049,1.4815862750510367,-0.6089876965525881,1.8377921039294955,-0.3541575887950316,-0.5802307746774897,-0.21996835156635708,-0.8029778385870237,-0.9011456893296703,-0.8417244183819581,-0.7825082185449326,-0.42336700960409024,-0.6678832835806939,0.15527892192155912,-0.7736718466146872,-0.5107036712868446,-0.03546217957704823,-0.7252412576615549,0.8762114621043887,-0.7565804833182299,-0.4894792733722677,-0.8036309436795921,-1.000031126066312,0.17197251768885435,-0.8033850135945466
SIDM00309,-0.6143900630140456,-0.5734104383736381,-0.8491658327630898,1.4260381439893288,0.026625864232441964,1.1695204996484247,-0.7666707754597294,0.6516312682428628,-0.9223010739146608,0.5347772774532252,-0.8870712218535854,-0.7811171088768792,-0.6138187839975353,-0.9694505598307935,-0.8603092947576094,-0.9721354909025857,-0.5095123265689369,-0.8757329080998536,0.5519547682780463,-0.8281095488093168,-0.49269661136805004,-0.5199211986086799,0.7000393242146329,-0.38597556644957565,-0.7197482817177382,-0.8598491164581639,-0.803005393706386,2.040972158442395,0.6528765661692626,-0.548135561385241,1.303946616003434,-0.26736591695676826,0.17195164031638707,-0.8807145016412453,1.5134434780188968,-0.689643199389786,-0.7446717730834719,0.8050582369296546,0.02318201200707048,1.6650003876070572,0.9869007890516854,-0.9068914391053734,0.15754998705718853,1.7804193141735638,-0.8510715284123131,-0.06171775435536417,0.39569005278834024,0.7154422974727319,-0.8539213019842923,-0.8887559795583783,-1.021528309640128,-0.8746273567587348,-0.7383902859089356,-0.8592501575948717,1.9319124123316176,-0.8016448965743833,1.0697311226924924,0.5595013555281001,0.48584369555477463,-0.5340625504828823,-0.7682747172242385,0.6355730277905758,-0.3674746452568075,-0.9337024268887193,-0.7579193500636607,-0.7744640053082893,-0.9482881021631839,-0.4519825331453877,-0.753549868817378,1.4100057923994274,0.2282638729245223,2.1148762849047107,-0.7483316976002066,0.4917432343467169,-0.9061998693205229,2.0097654625930605,-0.22524322719021653,-0.5742307645116381
SIDM00099,-0.8058174193885588,-0.44370419301984576,0.9248914836585365,1.3104955277473633,0.8440561329488097,1.7296299992237363,-0.7554702234619806,0.400273220910708,-0.8436670303358498,2.838521993898353,-0.8773244183236929,-0.8348587683638364,0.0500107583621372,-0.9229485099043484,-0.8061166610791863,-1.0316918116253115,-0.5421461953178772,-0.7158013375438856,0.015888038036170272,-0.752799794549346,-0.5360501790971077,-0.3075029035047259,1.4502706837111807,-0.7272328854579349,-0.5310547381218049,-0.9986489939017881,-0.7969582058835818,0.9102341027295886,1.8939579936318882,-0.4941969719060852,2.2158052521933005,-0.42922348694463835,-0.29558437689098105,-0.8181032663428076,1.796034740393581,-1.0222142965708962,-0.6637093158772014,-0.5954806928345331,-0.33164264619797185,2.1164613662544722,1.0571088180985653,-0.9223360708397124,-0.6796179033976663,1.72872835623795,0.9048380382352386,-0.4415338331765242,-0.11006090481523623,0.3791881988765483,-0.7122120211596273,-0.6198450791306085,-0.873389284095244,-0.7653986708698698,-0.736550145761535,-0.9224449655361981,1.360502345909839,-0.7562354905813455,2.4293935342342667,0.09626229546308235,-0.8667647742150006,-0.4747650068767441,-0.6350100546246159,0.7397001617541373,-0.002309770087660232,-0.9369636631996553,-0.7685688911784082,-0.767091054368738,2.679413726854807,-0.7855607535775905,-0.8361756516121593,0.9433858589745945,2.250916248383572,1.9515445658559147,-0.7281289074459312,1.5165167273007893,-0.7897025776461406,2.3581362050305885,0.8648553101204888,0.8808563712275488
SIDM00276,-0.8229442976583033,-0.787415613084382,-0.8095514061196182,-0.743828794280077,-0.6098211474893979,-0.8495638673796531,-0.7434825332692211,0.5348016364473918,-0.8526811692945766,1.0850254448180183,-0.9396989825035806,-0.8014175402206265,-0.7903996185475961,-0.9349780195503837,-0.7201039368266839,-1.018611781101333,-0.6402931536175162,-0.8481755148207543,0.13496732555923086,-0.8348124793165309,-0.6151191786270258,-0.6117966547702302,-0.7385529873044168,-0.8340462534809868,-0.7262445740658572,-0.7841736518205625,-0.9330278970521073,-0.9264549921084108,0.780192300485655,-0.48098056415560303,1.6951119347766386,0.29217099213146175,0.10439188977784487,-0.800316122345854,1.6682914628414856,-0.09822908646888183,-0.6907687720304181,0.8202291404396987,-0.25759247262240875,1.9783318848585798,0.3706276012620287,3.036688318615151,1.5130580718064017,1.5448143573048398,-0.8304377076623057,-0.5256505737412457,0.3155348066183229,0.5533411582212312,-0.8393706635460223,-0.9021664547851839,-0.9707239559302305,-0.7984839721774005,-0.7235664753422448,-0.8263754210075607,1.169072720772046,-0.7818858246353378,1.0541378606391425,0.32251358374617073,1.3371986994646863,-0.33026199092027275,-0.390223295025274,0.669787471935834,1.151069661995485,-0.8042153038819799,-0.8201189333636302,-0.500556927626555,-0.9408510159346805,-0.7625838439334239,-0.8117908243731781,1.1687310382415848,-0.6153125441726325,2.291053355322749,-0.8078352502602744,-0.2945881058179421,-0.8176553307296409,-0.9839761910534562,1.5022638611242536,2.160684729513668
SIDM00311,-0.6989093862779892,0.16085337523056856,1.0072466690839712,1.2368619259057754,1.3486583030882937,0.888836813271322,-0.756496942973185,0.3123201336397182,-0.8270703688766914,2.3178606516572033,-0.880303578755901,-0.9257696375213007,-0.7738195189316835,-0.7838900012384836,-0.8014945523788447,-1.0130253382835086,-0.6462367007636367,-0.07085414906357987,0.43737174990329863,-0.6887818765640178,-0.6954663457559017,-0.3010232943691933,2.2322419080138696,-0.8132625776471759,-0.5852171011960592,-0.8886306283160915,-0.7922471097050149,2.4026991090999212,1.6163337455578264,-0.6088683775936731,1.5688295341565972,-0.3288064286617186,-0.8219410774145588,-0.7162428233496674,1.8778594952628878,-0.9082468169473575,-0.7087395077694401,-0.6073820375511421,-0.28451586249452937,2.109828675533141,0.7132709827399139,0.21061197102515572,-0.4966185791260692,1.7416232465179657,1.6831718530473698,1.096493041620801,-0.48013589796593314,0.4661589188174637,-0.6610551667867205,-0.8494940897936895,-0.8850194181563221,-0.8568766925778432,-0.7659624883457419,-0.8381725523474801,1.6154985493390634,-0.7741055572380756,2.475771337301574,0.20528252196813895,0.23733763293712656,-0.42862695806847295,-0.5991147373797197,0.6641523656689027,1.2717110425248945,-0.6735303475603186,-0.8334251923288651,-0.5950830767583288,-0.8971733599827589,-0.6996475033292228,-0.7809533692707866,1.7935929660067318,-0.1382995959676509,2.1438639838367157,-0.8476233423750126,-0.4251250937134485,-0.6500198244954973,2.557468848168528,-0.08120718069341981,1.4363275006766139
SIDM00970,-0.8847789440374719,-0.8540479367230185,-0.7866619191779932,-0.7051431197126226,-0.6594327294549264,-0.9491625444080215,-0.6015323352221291,-0.03833349411161749,-0.9101816322603268,0.03518458947001074,-0.8737798552778344,-0.8991450104056702,-0.7288085583264066,-0.8903793994328356,-0.8925441711721261,-0.9552798233915228,-0.7570073762684477,-0.8483730809648506,0.1768469821509556,-0.8561637026276979,-0.7229292080169238,-0.6538652974758378,-0.7348106945170002,-0.07796633694698978,-0.7129821386080933,-0.7807492600906829,-0.9223795697969464,-0.8805099120893357,-0.6858830845543586,-0.5988009756473717,-0.5693879426367895,-0.498695092439698,0.06350888779199039,-0.8402882903011393,1.372217963432028,1.0643107874075661,-0.5950328498261548,0.35938506483701094,-0.24391583092028785,1.694698650979929,0.09667269467807481,-0.6888132987394903,1.1506980899971733,1.529592866310352,-0.8440354693140362,-0.7648409198033718,0.08721811814312751,0.30796633497365694,-0.8166566034316883,-0.8121277627892138,-0.8921975602762127,-0.8495280016857213,-0.7734923238525461,-0.8747113922408393,1.3867251226749873,-0.5874387612796677,0.11223056292004056,0.24531033928985446,0.6950893476163884,-0.6243519503578827,-0.7199015517929959,1.593128444132788,0.43105352101918515,-0.9553041572232343,-0.8334867857046637,-0.8081072185291811,-0.9120830533690418,-0.8065223192889672,-0.8997725745201123,0.8544435164726825,0.2481034116462886,2.3402125206575985,-0.6279278340309539,-0.44481277206006187,-0.880591849575225,-0.9324684942660106,2.2927596081814334,0.964283841561531
SIDM00103,-0.7698807469570466,0.24827847361857674,-0.7239840093444828,-0.12943677721354171,0.5336903438040204,2.1039972528533415,-0.7532175489504005,-0.036191615412532456,-0.9538690530160632,2.7061211838064723,-0.9442137235094437,-0.8554091804721832,-0.8020933708661356,-0.5210109632433801,-0.7895832352933125,-0.9725227641944996,-0.6903197826871784,-0.7049512001506142,1.3606975463261584,-0.7946521882028632,1.5982998535982063,-0.2756820711644013,0.42332669400084044,-0.6927262474586338,-0.6387384506842162,-0.9859169158043699,-0.8923044850207803,1.2900334098522586,0.6872935552094029,-0.6435520243002731,1.5136860117540953,0.985480690933946,-0.4042469760340823,-0.8026693033059049,1.6145262502177598,-0.937998841326354,-0.7357209433811243,0.01747388300972316,-0.7335315627056597,2.443566252914627,0.7617485631358248,-0.8732138822298893,0.1374655315115833,2.0423243913650926,-0.35591593687657946,-0.055820892044911634,-0.6807428477736551,0.5411325350895093,2.304845115914705,-0.8511549869288678,-0.9101405610803248,-0.7987954970562944,-0.7015453518651543,-0.8597361037463688,1.4486118140399966,-0.526427040792626,1.7001616247709772,0.025167307668631664,1.2339243906108215,-0.43937522208073687,-0.6019615293486564,1.640517635021438,0.32354747588486,-0.9089255143987076,-0.8390740671441957,-0.705991498547238,1.4074760005125952,-0.7416402363408573,-0.8124603444120178,0.9855053161778331,0.1493714542441765,2.3816683625072654,-0.7107185300206912,0.8956917694862742,-0.794997748180948,2.3883136157705604,0.028238624418645587,0.5836726921151388
SIDM00266,-0.790854981526081,-0.523413905883424,-0.5675091844722574,1.9491658639183282,0.24164990611958137,-0.4758922544362344,-0.8229022026634525,-0.6735266512731825,-0.624398772924995,2.466137314593211,-0.862587542946882,-0.809415840692035,-0.9020544611870062,-0.9851895152988897,-0.8758990927992093,-0.8717724775126153,-0.8048426192538506,-0.7375807523366853,-0.8366397616807433,-0.6910634489552832,-0.012533723495948326,-0.32820822969269353,1.140285980075431,-0.8228214560856115,-0.7213091070785927,-0.8746670108034587,-0.9371831082640191,1.093841540044458,0.6405483944130606,-0.555890877106899,0.9622411265987856,-0.8772598513113027,-0.7853970854637333,-0.9151250565702728,1.046807904393501,-0.9652159618858713,-0.8013513590161238,-0.7417998583865326,-0.38548394037421735,1.627616334486582,0.3366184529534626,-0.8891367485826214,1.0272540239891967,1.282968225698058,-0.8423570000240679,-0.8791715901347011,-0.5235048343161105,-0.07768270889401664,1.8607111700767278,-0.9551040502249634,-0.8894347715575885,-0.7937310943028407,-0.738098572181379,-0.8399640868975906,0.6974476561879314,-0.14456494469821457,-0.6034401327418051,-0.17808736269553677,-0.7516401979709695,-0.4679606576166154,-0.8784999681816742,0.27571016831712136,-0.43495975458155317,-0.12510655933019899,1.3455087810418327,2.0823630136840636,-0.8896540558566478,-0.793318884213618,-0.7921336861619119,1.5074388195910735,0.5984902144297176,0.6617491747544366,-0.7435138460314777,0.02254358661799386,-0.7007528483134647,-0.9153694543149045,-0.72088318195503,-0.8119503063697466
SIDM01064,-0.8511532941588231,-0.6997265867612998,-0.6059259687147601,-0.8002020728734898,-0.5347402352848093,-0.6957139586247524,-0.7956665182360181,-0.7662113593525086,-0.8347785077289445,-0.8048155842960509,-0.8090345317541426,-0.7981046838037947,-0.8641552442893967,-0.9092852435451554,-0.8815973024908046,-0.8508933151717989,-0.6510145886575468,-0.8288864661826276,-0.667937318319128,-0.7921440483883032,-0.730661416033451,-0.6818507265320368,-0.7034619731242736,-0.6820171231064613,-0.7026271434434503,-0.8384919363778054,-0.8686810380645841,-0.840070422154615,-0.6548125454980869,-0.4811710697949954,1.3932948224880424,-0.8177869010217534,-0.7591233345901603,-0.8836940590918957,-0.23313144217138207,-0.9351976906965567,-0.33577131766268087,-0.7977274106841921,-0.7395640198512876,0.9275137453301685,-0.8071476112359446,-0.8198374124974013,-0.055302457973329396,-0.7113395961304901,-0.8900514810980024,-0.814387143121149,-0.5860773123594833,-0.8343753750862017,-0.7765643253723089,-0.8489410906477759,-0.8849038804913957,-0.8716022726646382,-0.6844284225808198,-0.8442150538667316,1.6615742366910162,-0.8131554314581414,1.431717680493207,-0.3345321417350764,-0.9409615893530845,-0.7741253416542411,-0.7888709639136522,-1.0060986940600265,-0.8991748061896326,-0.841332781228743,-0.8089903573687496,-0.8228701304484841,-0.8686952721513996,-0.7286720377848074,-0.7472922112038943,2.0729120661558715,-0.680846429414272,1.280176192903509,-0.7580975020957232,-0.41116781199140184,-0.6880097313507921,-0.9379286733913256,-0.7453245349221487,0.23388483506035573
