,POLR2G,POLR2E,UQCR10,POLR2F,PPARGC1A,NDUFA4,POLR2I,POLR2J,TAF4,NRF1,DCTN2,CREB3L1,NDUFS7,CREBBP,CREB3,POLR2K,UCP1,CLTCL1,DNALI1,POLR2L,MT-CO3,COX5B,COX4I1,CREB1,HIP1,AP2A2,AP2B1,DCTN4,TAF4B,AP2A1,NDUFA2,NDUFA3,NDUFA1,DNAI1,APAF1,VDAC3,UQCRQ,DNAH1,BBC3,BDNF,COX7A2L,CREB3L3,COX5A,GNAQ,DNAH2,SLC25A6,SP1,SLC25A5,SLC25A4,RCOR1,TGM2,SDHA,POLR2B,DNAL1,POLR2A,NDUFA4L2,POLR2D,POLR2C,SLC25A31,CASP9,PLCB2,GRM5,CASP8,PLCB1,PLCB3,PLCB4,DNAI2,IFT57,CREB3L4,PPID,SDHB,SDHC,TFAM,COX7B,COX7A1,COX7A2,COX6C,GRIN1,SOD1,GRIN2B,COX6B1,SOD2,BAX,COX7B2,CASP3,REST,UQCRB,COX6A2,CREB5,UQCRH,UQCRC2,UQCRC1,SIN3A,NDUFB3,NDUFB1,DLG4,TBPL2,NDUFB2,EP300,ITPR1,NDUFA10,NDUFAB1,NDUFA7,NDUFA8,DNAH3,UQCR11,NDUFA6,NDUFV3,COX6B2,COX4I2,GPX1,TBP,AP2S1,CREB3L2,NDUFS8,NDUFB10,NDUFC1,NDUFS1,NDUFS4,NDUFB6,NDUFV1,NDUFB7,NDUFS6,NDUFS5,NDUFB9,PPARG,NDUFS2,TP53,NDUFB4,NDUFS3,NDUFB5,CYC1,CLTA,CLTB,CLTC,HDAC1,HDAC2,TBPL1,HTT
SIDM00519,1.8906952210369108,1.2005002895060253,2.8717436117353654,-0.007347476623409865,-0.9326785079852166,-0.29394091983170373,2.55885393368624,2.2937803682632976,1.0629620625552834,-0.5623464350518038,1.8159710814721226,-0.4155331520410912,1.8054672487911094,0.7804463899523163,1.5532914130119975,2.150177868084231,-0.9804169295756667,-0.8692585295470002,-0.8713382709772012,1.9867909357922093,3.862569912718719,2.9774593418774993,1.9640332531308697,0.32996328476870707,-0.5645472991780967,0.12440040182387264,1.6549165759990419,0.35461046956937453,-0.8958436317780876,-0.5560209212120689,2.2794415572297844,2.6139800458754836,3.2301551158983792,-0.7778125399598897,-0.46457905330289656,2.646582181729853,2.2478182051361455,-0.38507201128043134,-0.31574654404277896,1.6420114919497721,2.3363657605532535,-0.7401257783179707,2.8630510921314696,1.3348226942570265,-0.8325646390121041,2.289528198505218,0.41449526627752575,3.122698503675134,0.34715344567508966,-0.6294941692335558,-0.6464124990413317,2.374708395974643,2.411422573341514,-0.7117944756798146,-0.04189753248909167,-0.8073938186549812,0.29498962788365574,0.7769951825580051,-0.9706143967770327,-0.16304697270656243,-0.5224688389682631,-0.9647954346433641,0.0006099864991469575,-0.28388167354621846,-0.17219165357449026,0.07490848976441174,-0.8135895315072693,-0.7258953543330673,0.5692820927215675,1.1195402854703762,1.7959278315655325,2.4465927780302943,0.9559633069801519,3.007197721442201,-0.8955042119619918,2.9381557230627746,2.3169151251033875,-0.8336545197363687,3.235557521260157,-0.8649656119941859,3.1318812234144797,1.3131405271404428,1.1283881213024127,-0.8376372800045262,0.7134332037451958,-0.5499166516548006,-0.14741648203320848,-0.9435131670941967,-0.21974631325374927,1.0364666972439447,2.5541954866984056,1.0338915132721955,0.3588152877230528,0.9394232949200425,2.4896328253157165,-0.7199714089720274,-0.8850516830930364,3.0867382084103485,0.42957933691496025,-0.7203016974859953,1.8265295438809943,2.932130410771814,2.369174909232661,2.1026857864505537,-0.9593117255170008,1.3498773224470086,2.476979433554559,1.3335428059077148,-0.6811072423798128,-0.906546274622956,3.179517172281839,0.6508708390133853,2.1135989491288583,-0.5786566154442975,1.706622818749828,2.337704251923193,2.6104941821622725,1.5738509069192494,2.756778209229791,2.3796115690726825,1.829401192978448,2.4426519057806777,3.3204494495805834,2.626849137093461,2.3511459931465826,-0.1700906585253548,1.1299256588464992,-0.5490992699972357,2.892004166484689,0.18307211457727443,1.899654971160509,2.502579863318232,2.9499314552395153,1.8422717809474052,2.57662732288495,1.4561251478930999,-0.5122632893305596,1.2249828217608125,-0.1294568835962018
SIDM00917,2.175396595305352,1.2618056645100213,3.0614508721382636,0.03198837437514632,-0.8555965366796938,-0.4058561428202305,2.3246291353460755,2.234274767635371,0.7612434606561147,-0.4711075535585578,1.6749903630989387,-0.6850960021225068,1.941605577163341,0.3954024949423983,1.338334932273832,2.5526334209406176,-1.0164969772388341,-0.7955786720605099,-0.8302090848710744,1.3883623075314069,3.677958864306688,2.970567169358438,2.246557157966709,0.9905951288813049,-0.7165855412504593,0.11957580818739018,1.2358402145629033,0.038401910008392694,-0.13824358268867282,-0.5503746884648067,2.4045482665965663,2.6364321279790643,3.0733803999166076,-0.7998372322419924,-0.4817598551934792,2.574250230666476,2.1246672555679926,0.23472238759231834,0.9261615044151505,0.3354117578840403,3.0409921222460112,-0.7702050369423559,2.9372378445530947,1.333536923318862,-0.8002892215086085,2.7975504017670754,0.35021771071886326,3.0839086920819208,0.513474697927666,-0.7253451031911788,-0.3986869982355967,2.0421108979814617,2.672546410185307,-0.39184213966216314,-0.24842271340050692,-0.7199304538754822,0.24171863014766373,1.1588038306693569,-0.9852195499592226,0.2536338368942526,-0.7484199006984038,-0.9727597483715021,0.17923875659352212,-0.8155343332125046,-0.625387120020742,-0.7800565199128136,-0.5676011596386662,-0.7051643810117905,0.564927082605413,1.7713517108211614,1.9734580413423115,2.314409107988728,1.0701743232238674,2.9010157358100144,-0.9949777178408387,2.832251948796705,2.4001324759772973,-0.8530250237639185,2.93680660728284,-0.8019169405197101,3.081767226684848,-0.5100939008796113,2.0651725725111083,-0.8999900001068128,0.9001218501554026,-0.4932191257041005,-0.44446861592390796,-0.8084164951300262,0.663765774420722,1.6643039253809968,2.7185408278200462,1.1439864903403674,0.3314792327892134,0.7000327459659514,2.834497497509193,-0.798593684132753,-0.7721894241168966,2.4870727938169943,0.7794190322807186,2.084349108020831,1.6323388696835464,2.8487430906875386,2.433297559721159,1.892691736615515,-0.8970575860082755,0.6948953859251366,2.7580856283141886,0.2976499255328116,-0.5060102748472888,-0.682864036581286,2.9910308463171176,0.6134780507012342,1.8247300469563164,-0.6908944153962893,1.5254904026978917,1.6496127629963115,2.463563256891285,1.3083510160513128,2.7215743633876306,2.102924236662697,1.675152238979228,2.1364731546032125,2.599505830728849,2.237858401850689,2.313496083359178,-0.3640478483180394,0.7258454806660635,-0.5377656233603392,3.272272124720095,0.2041795862540469,2.4820099488043756,2.373556274422809,2.464625735756058,0.9358928750858674,2.2777737391637793,1.9812879132323762,-0.8477311642907213,2.0168165952467088,0.4227358548397987
SIDM00309,2.23549108566751,1.3803260037307141,2.8001159540260265,-0.2368268508623635,-0.6646372344300893,-0.3534629778694106,2.4852540895632416,1.817956948669832,0.8126163810106698,-0.5350103509483405,1.7919244415800364,-0.13943586042630793,1.8213083851077947,0.45239454760209463,1.147763286233921,1.7958044498272852,-0.9047606942304084,-0.7315771759159936,-0.7774613054019222,2.6896036292133165,3.6061249598679197,2.9606543411455277,2.1779599430043453,0.45075864080864786,-0.7286825249285981,0.2773118852149825,1.6482124342891793,0.21516407623976472,-0.7047093577964195,-0.5024270279519334,2.3557326788211013,2.304860029932269,3.2521855000304543,-0.7966380484585002,-0.6448947396276308,2.623242663053969,2.27220627331566,0.09838785663478956,-0.20137185711245895,1.1650272608997065,2.5237550549400507,-0.8065586678831088,2.828338236998217,0.9300509381485954,-0.7673940759841789,2.3807307100072053,0.09235129455941518,3.2368393068320715,1.2457984145001468,-0.7409277523785781,-0.7942018996254497,2.0430240609087362,2.7668818267020145,-0.47727295290361504,-0.35506360212434407,-0.7935149836790847,0.2267773834343735,1.3711711379622435,-1.0662376694416076,0.3099802629052463,-0.8288201783708491,-0.981843343731525,0.04318044773879801,-0.8099176556565033,-0.30167521091617444,-0.6675338271001798,-0.8407647215925667,-0.47574233853973646,0.3950850461111661,1.1407016403318047,2.1311905020926676,2.278753433097384,0.9947455624766273,2.980769131965067,-0.930843680094797,2.829090084870947,1.950610124321013,-0.7916030438292029,3.2213579350357198,-0.8434691448664909,3.1431526378249193,0.5341032546107687,1.2889181462810615,-0.8982025438718771,1.5199915871511618,-0.36907771708135256,-0.5554371908248736,-0.7212306408447935,-0.7264453332169778,1.1898269926665166,1.989132680751659,1.6766599861211482,0.132457791707993,0.9924555276287974,2.459214997546807,-0.6428732550852156,-0.8855866867910738,2.968730746612531,0.4579589061151084,0.1758981765566195,1.3804383893621874,2.829875505997478,2.5190037256104896,1.6501262237679668,-0.8840484366044848,1.197907037195355,2.1741343448532335,0.8464355817049795,-0.7457877903285507,-0.8247247725783244,2.8427601429963176,0.5052178836017189,2.4369000234585165,-0.6313072114380596,1.7993633053175933,2.2276521241781255,2.5075356439771994,1.7410335853862144,2.6564188749368416,2.0911701475757645,2.0169540231151877,2.4695529192792254,2.731829058304928,2.7050932648340895,1.8262063401442552,-0.4836466316349483,0.8465206466186704,-0.4883528195407754,2.9918367008797846,0.3949768471772534,2.2559802490181666,2.0397627165910617,2.482610417672259,1.7188674636876333,2.6082339487928388,1.8099628019369962,-0.526073745169573,0.9559399885495639,0.48689473673916095
SIDM00099,1.9677299002809183,0.9953477881053988,2.6207881557566175,-0.11519563144214212,-0.8219649636650571,-0.48043519867953205,2.5820156589872187,2.3038507605757914,0.7898270744147686,-0.3868451300179704,2.0611344248213794,0.18283289187023502,1.6130894895304373,0.5498496685699232,1.2478765894550923,1.7287562873247198,-0.8682419851590693,-0.0726355458144773,-0.8294143376712662,2.2725130652855117,3.725890820412927,3.03959936598121,1.760449916951654,0.6299711438164668,-0.5992408829562764,0.4887562976592863,1.4910577816709671,0.3972494418262675,-0.3368904372645069,-0.34433774651222,2.0939448817144934,2.3824543426295914,3.0421923456946844,-0.7484048306373134,-0.5123098983380346,1.9726991475705458,2.114703955546781,-0.6509719782959432,0.7873647815762401,0.5531353624393288,2.708328527144328,-0.825330800844958,2.728772408302283,1.6313964212235816,-0.8252834792484347,2.466800511582716,0.42003952400274863,3.155667620975782,0.14872117505193772,-0.42759241982119056,-0.6317534734238162,2.2499999599688043,2.4648264301218297,-0.35042965255799174,-0.31317590552079083,-0.8381989735141564,0.29729339482515665,1.0069561149638733,-0.9177151507761493,-0.16120780182301667,-0.828473055770185,-0.9359463896791467,-0.2420353614863415,-0.06562375297592993,-0.2828811985284016,-0.010766273318534629,-0.9106058417411399,-0.6868264379696911,-0.1314351669885786,1.265608163720629,1.648826684729052,2.1604756393634648,0.7093927354771143,2.78526019991043,2.104456315630593,2.7182878537128374,2.1463690348058493,-0.8342193048062185,3.1771265219851124,-0.7872887852805356,3.0213924256480604,-0.45590415312283444,1.778221651865239,-0.8793425728578984,0.7852054929480522,-0.2701907153290146,-0.18095405930029332,-0.8449315419053656,-0.1894486610617859,1.464040025742948,2.2029163477388978,0.9679362781494374,0.6867602392942324,0.4237291164703365,2.645522892303461,-0.4890389185647279,-0.9396736779485432,2.6558541718311184,0.39921775645209767,-0.48277610031675605,1.786284092458406,2.359082609736613,2.3133917536005226,1.9367597709223368,-0.9314737946898043,1.0407449521387557,2.1947109654108155,0.774572924722825,-0.6898140319668599,-0.812589273545618,3.0456106820742503,0.6113940393029874,2.4530011361986253,-0.5641982815937756,1.6083028358468685,2.158690278380694,2.325656152559548,1.3019907058140512,2.6117511486886236,1.8734562712159462,1.7454350860698746,2.349978262615842,2.687534237566526,2.7149869560499176,2.255554614930616,-0.0892813221649675,0.7262410260859452,-0.4606656978346491,2.8066126581117636,0.3091897899883044,2.1756229925057915,2.3682323095515114,2.274170310706124,1.5369591911647007,2.5218412525007303,1.4385749635774001,-0.6819933749914281,0.9683594238931535,-0.26996132997822825
SIDM00276,2.4640039082809264,1.5863269662558173,2.889761248684471,0.04899308022604218,-0.7938638137234689,-0.5183725383644817,2.5293317851459474,2.447150021450007,1.0097196230211443,-0.447243309811577,2.1406728251903453,-0.47383488992087736,1.3150056225807776,0.3161848239752825,1.674335808678893,2.151337130782409,-0.9182438459961585,-0.6391194184910424,-0.8146660820933412,2.063073623956763,3.636124736357085,2.817586980119351,2.0583651729541828,0.6547302772448635,-0.5508769741319205,0.19497885569311804,1.8225660218731334,-0.2874687745439015,-0.7923412398740604,-0.5812510673161003,2.109092172356666,2.1288339266146195,3.05156098193859,-0.7452327870959654,-0.5289073356854165,2.501304673649993,2.0780981853695555,-0.6252603622718815,-0.4275635000819803,-0.2713547827565374,2.4583223525542826,-0.8255138781172602,2.7362354804034137,1.2079609471188764,-0.7474710708075942,2.450627730288568,0.6729816669866614,3.389830010045623,0.732182201238289,-0.3794574554711473,0.8542060388481834,2.4453436111173152,2.2557065678958397,-0.04303365873529932,-0.24875296274530506,-0.8268471295655351,-0.021503095379554724,1.157655752962655,-0.9684728223963551,0.5405277638057181,-0.8201330135193009,-0.9957613145141574,-0.15621800348254145,-0.7788636541550895,0.003181374961338923,-0.7093503530086754,-0.8236529017706664,-0.7410114308393185,0.9347232620628585,1.691574428775765,1.909327186603605,2.278087024735032,0.9466292078305135,2.7962126835428207,-0.9754631321118463,2.9403476769491226,2.1315456494025105,-0.7921997403841583,3.269740045698792,-0.8997220402904402,2.912749995477266,-0.14495205151214008,1.1320674877821444,-0.7995193732162669,1.1949182686427657,-0.42771454829533045,-0.400883322288765,-0.8408857770008366,-0.6447949345224916,1.295638792056172,1.8499285097055214,1.117089317320639,0.807289490581106,0.8720577346584706,2.756342073131159,-0.7284362288680375,-0.8282153833878572,2.955322287123919,0.26240778424630146,-0.5443190874339499,1.6709730631599222,2.737234387579139,2.0982932417967723,1.9625427378181548,-0.936697143099186,0.856551444692032,2.2503839282282634,0.7243120207214379,-0.692333006581198,-0.9022160801668198,2.876057651306437,0.7269916523125667,2.350314144367837,-0.5246445880461084,1.767021319026229,1.8234616123144336,2.802808412919517,1.4074404249188792,2.251714728732945,2.107614011269186,2.105069490093354,2.200161506318467,2.9555647973410877,2.758959257370965,2.1956535255448735,1.2639958822345088,0.7343017199718616,-0.3152874840479835,3.0519007479960694,0.16927186838485683,1.9341155689985345,2.5777580247148673,2.7622988713411925,1.7448005884503737,2.1386835384479284,2.1680881940881434,-0.6737866425514184,1.8452055013679394,0.4817634524871636
SIDM00311,2.294336795015045,1.1661095623670927,2.80302313808871,-0.08104808766799027,-0.8347291847590258,-0.5239693146721328,2.241922930818972,2.1498403125448435,0.9422190951860422,-0.3634294571130252,1.9171953512202167,-0.6774638423541632,1.3505560405320325,0.5379680922769874,1.649974251484997,2.123254800924496,-0.9832686043948308,-0.4783937683068074,-0.7195286397456309,2.0477270225782793,3.5679596843367367,2.6648840102608697,1.9946237082021752,0.6322739910185315,-0.5245126659866163,0.09495200344413592,1.8516414069725768,0.24905182943326487,-0.644964244210799,-0.5299680216712668,2.151896687402712,2.0313834457337094,2.97456991665718,-0.7607372627555782,-0.5693115362619589,2.7936304123089295,2.1957522438905865,-0.14420628687692819,-0.5636395208384921,1.4935912347250853,2.3540663639441823,-0.8707224463134619,2.726241594935203,1.38581750818193,-0.818918971333179,2.5376371493094,0.18345349733892152,3.168643516775801,0.5004834411163586,-0.3978948048233947,0.18652526016274087,1.9829914656455725,2.494427459110564,-0.030687550229443864,-0.40502177152590746,-0.8903372110305433,0.3109580889584591,1.3325739040435496,-0.8947551983743558,0.016676397282197126,-0.8575282564558809,-0.9331755407877509,-0.1161798164687677,-0.6990640606832124,-0.011229847868629248,-0.14213813901389724,-0.8816624644639187,-0.5850463138974085,-0.05800355752280554,1.7139857558692893,1.9336413097884553,1.9669366265055825,0.9374424393274537,2.7337410922030245,-1.0210813802365974,2.7762018377590203,2.1589684286674076,-0.8700051754780997,3.3034092051487,-0.8682536570055481,2.7664377255608965,0.6825284734087471,1.007198245658985,-0.7805865277452985,1.292328226521967,-0.46293903260499514,-0.15707987281716873,-0.8941562614163296,-0.8195218274826874,1.0193750722790476,2.03790654323593,1.416602514428008,0.5370368407232914,0.677497492125803,2.4759612349361024,-0.5840019015611051,-0.8497633355735228,2.7835134680333984,0.3726661133755071,-0.297196916930855,1.460898834764143,2.6149365499380792,2.0078523874670844,2.048010079491008,-0.9144557464960229,0.9638613905252394,2.3604511929335508,0.23757430564344362,-0.7642751060922864,-0.885576141419287,3.051024364453274,0.8362519636998306,2.348052219926336,-0.5386402134063379,1.6044490644505607,2.0820646409381465,2.528978611349894,1.2329909988404526,2.5638354635910576,2.492513574328965,1.79500146965017,2.219923460933643,2.681861950544985,2.410909515323092,2.4117159608714753,0.886441704822219,0.44233377380913413,-0.4660973343828472,2.537598933812452,0.35944513764290337,2.1573497327899473,2.426680870340117,2.7868875760243474,1.458101281981222,2.6874001338406255,1.8412143217293135,-0.5530022298506254,1.5410044856200298,-0.14857439660192237
SIDM00970,2.0201908170168243,1.2264870959611163,3.3061555733720835,0.22501101921868769,-0.8415285453931782,-0.37818409534410563,2.896930936879699,2.2824954489108458,1.3813460686963832,-0.46506947550634586,1.768603442768743,-0.7944774564879362,1.3732945724089847,0.4361938112367892,1.1953376291286242,2.056697470445091,-0.9372652613370248,-0.7652706136260182,-0.8123809457349876,2.2196282221799866,3.6558224606302057,2.7044467273575403,1.9613771893361374,0.9012617058387902,-0.5502630905485139,0.21582500595659265,1.23253134570377,-0.20668733022389887,-0.8908612544906847,-0.5059389732038918,1.9229259339972284,2.670425339927546,3.1449035138441475,-0.7943627779996699,-0.5592354542280012,2.7376547846782806,2.278806678517597,-0.46678981065282515,-0.6157958093883003,-0.8718573130154919,1.9999158019245338,-0.8430843037827455,2.9528254135252086,1.3877255711812926,-0.796782014785313,2.1959176148148543,0.48361552537320424,3.2281733790393004,0.10959679980735706,-0.14789965571013194,-0.901483773029713,2.073865623273684,2.7465754770662683,-0.21115187693151186,-0.26752980498040796,-0.846811836805021,0.289139353640706,1.2013808404165454,-0.9317830849773773,0.47699840145989814,-0.8729264863234977,-0.9412082136140476,-0.08559988515420308,-0.2056887890907924,0.3691638520888408,0.018608130776813853,-0.8814776459278347,-0.6156810276303498,0.4088838041853898,1.372679833191239,1.8898398550642632,2.3846449461358574,1.1881619677325503,2.904965217328487,-0.9780596367846325,2.8389025322545507,2.372432436770787,-0.8832018114353318,3.1189533735743655,-0.8665429834789505,3.3608538865009066,-0.5128208398804417,1.341199287042788,-0.8738076356279902,1.2696085940084265,-0.3878496077346115,-0.09330900847086689,-0.8414275416397562,-0.9149641444550596,1.6567194229589306,2.2302690711099338,1.3615226922174768,0.6036394380007595,0.6785837467977198,2.8849853732553155,-0.8132219983653743,-0.8098056307349645,3.0127062497587205,0.950953038465395,-0.3849159694104453,1.7254609485484984,2.7777511096138467,2.186633886206724,1.8863314877164208,-0.9656592299899707,1.0223979959417906,2.568653751567278,1.1504620614509944,-0.7845414419881207,-0.9423947679904816,2.9402181087025188,0.22781593815511883,2.5563295432149173,-0.6324745662779586,1.4196536797053882,2.232313182976116,2.6084205185775358,1.2264702224144695,1.9820451128471908,1.94586739905926,1.4969580883610558,2.2280948095397624,2.6808959882038352,2.729352496997331,2.441970514184741,2.5533724248740395,0.7303969330122458,-0.6567645675008575,3.0292299374670324,0.2522688275315328,1.9550670233742133,2.68193609898832,2.427166224861617,1.5366822342266966,2.5182861218847816,2.327293026074145,-0.4370566308122645,1.5815465490602028,0.04860287460345101
SIDM00103,2.1602555912087205,1.169887008790956,2.4541130845619983,-0.04520818918322785,-0.30207665095128766,-0.5953485364516666,2.763267396374521,2.338575662339396,0.728195263611429,-0.517955876126955,2.0755183590290653,0.032242709803042786,1.8185372286495702,0.35132433999866564,1.8978223731815576,2.1452366905321414,-0.9403713467199359,-0.5208258722221766,-0.8245698306548286,2.2271387698428,3.728426944887844,2.9442107079459188,2.0273056436341466,0.5596997983149516,-0.6037267802324925,0.46508768093418507,1.7501317934748026,0.4279726159421471,-0.5059857587793528,-0.47234958422001555,2.0197645022189397,2.3060893622102343,2.883266918556573,-0.7068338937694966,-0.6801308861233766,2.5796302851113624,2.1547812759328706,-0.6220537792844909,0.15799907809426797,1.5807612053181674,2.671537723617825,-0.7727753529250456,2.8285614743971275,1.1908561462898601,-0.8583169545841233,2.3585409455405553,0.3071195381433136,3.1190118348123037,0.507241820612547,-0.6381286795127972,-0.31659504279041245,2.0521371455577038,2.097210139294294,-0.23252456224552384,-0.6157905516492004,-0.8562672445124079,0.1731678427766573,1.0884360477916666,-0.9615805567915788,-0.21195830567363155,-0.7878343911565672,-0.947877638200008,0.05666128670094899,-0.8394236156336857,0.10537069320392656,0.6929036419545747,-0.8985822845684688,-0.436510834228533,0.03518218325869957,1.465863749449299,1.5660941729295272,2.2175594154506926,0.8231173667103358,2.6960183665705832,-0.80562922800111,2.7496281266972726,2.1790364570106093,-0.9051678607542724,3.233731808483555,-0.8579353270191581,2.9776579663286395,0.3956625803669708,1.3909918724212125,-0.8203539673978565,1.4164805506199207,-0.4460784122094723,-0.11880114156254427,-0.8579679204578198,-0.7082211704444847,1.5467250640500472,2.4261753931063854,1.4689498840303647,0.36542494003890696,0.5025263935129658,2.440766608846104,-0.6473885957801826,-0.90518887912782,2.4308257863675675,0.14464132941274382,-0.6334190648656081,1.7987000220135052,2.811523629375483,2.0028843950593744,2.127771704981388,-0.8964985465930678,1.0558641686774364,2.06876511554321,0.5254371575711373,-0.7219768069818232,-0.9677322755265984,3.1224348074260213,0.5496222425744416,2.066622325919066,-0.5112781826152797,1.724484531869512,2.2854015600620565,2.779658856044452,1.481760802072686,2.773472591780038,2.4061573864020356,1.9586291709440569,2.3361677292975203,2.7044050965767057,2.720041614557674,2.3337973122311046,1.5215535293443523,0.8162527235888317,-0.5608796842096238,2.9180259325376365,0.3817552629549723,1.9734501386104482,2.5539240376457175,2.854795889284968,1.1781324092409406,2.516533091006992,1.0247600047692527,-0.6851780362967921,1.2996881861331555,0.004726205908197986
SIDM00266,2.3969199688085965,1.322527249468263,2.6757156894414362,0.05983188239445097,-0.9026135079715938,-0.5986288713480191,2.6901869847927786,1.9152992844782195,0.8929112109953202,-0.45809221219551644,2.0047963728569096,-0.636729203202526,1.961787488534704,0.5044365911171107,1.022659073854535,2.096274019302105,-0.862287781400153,-0.6538976596942422,-0.8430860375427631,1.3293023359564065,3.6755033891555478,2.97131762566905,1.8540351318579433,0.9413423946144405,-0.2819253457295084,0.605816192308289,1.5424150669601626,0.23037105885431686,-0.3316646308924956,-0.5566459981313654,1.9958759626668594,2.5368234479010607,2.9350810091118906,-0.7719648314745997,-0.5488311224049399,2.35510384067938,2.207261380782209,-0.47259774146708555,0.09603258076874971,-0.8579601226652269,2.6214667560131195,-0.8042179766401557,2.9640017337976077,1.3619032506322748,-0.452569169052714,2.872713179034883,0.47587823727652206,3.110382211447876,0.5067441427788902,0.8172728781478332,-0.7976247863394453,1.643703006763596,2.8285885623792493,0.08868044922059631,-0.45508128507375634,-0.8951349095920739,0.4665308693928713,0.8165081118333872,-0.9875468042350235,0.1439342599588066,-0.8498200598777886,-0.9802349849778222,-0.1300122715286382,-0.5241061003921688,-0.30980612618380193,-0.43998132982956734,-0.8427366451591342,-0.5466229432783484,0.6590577147888692,2.1722708410619345,2.181510118763013,2.416494699398866,0.8850809223662361,2.691769744274513,-1.0090230173434838,2.8129213979077408,2.078588070212031,-0.9393497090919154,2.95701860817438,-0.8214330695060518,2.9516468739452546,-0.1200253168712086,0.7778950231981702,-0.7496683247579762,0.6822150047002127,-0.3627096811108413,-0.11238732346303185,-0.8880739685131752,-0.5208569282741627,1.9522675554311164,2.494169120914538,1.7414427171509856,0.6046808882497082,0.47433496549537935,2.8431437652589233,-0.3932815754093388,-0.8327254741735661,2.467777446556984,0.6946840758175171,0.8955894175660499,1.8398799848145357,2.9315078595565995,2.5987010939821853,1.9232342680038186,-0.9156213451514493,0.970487079179769,2.7336349568571245,0.34150622461720825,-0.7809221044720396,-0.9131105810355786,2.724993152362851,0.7029472282106706,2.6013769094596024,-0.7797198244518034,1.6431021967323074,2.277346398902745,3.1727451259030954,1.7536088633186562,2.6180350933141994,2.377924413873826,1.9194930568398514,2.534929843548474,2.6820001052611673,2.550355042586298,2.584757923720163,0.7911041600776344,1.3715531369039538,-0.6844618064062402,2.8744186077018443,0.4250970792135293,2.354231126284552,2.9224596918034105,2.6419300835621033,0.6497127951132811,2.6427485350639066,1.7333968909508612,-0.44544176398086593,2.280042006230586,-0.017961438091367552
SIDM01064,2.711397606922848,1.128746051742415,3.003416024886976,0.11245061823096607,-0.8657418400518652,-0.6270962544277191,2.872710856068504,1.9734170817758807,0.49480349010515673,-0.24273223434480978,1.8631481074784468,-0.7997190112181882,1.73129265979287,0.9311953063125066,1.4177359754703631,2.3695025117319353,-0.9090222648858924,-0.7508840213997527,-0.8400003317728162,1.9384480501251475,3.5994530728213783,2.8543674416180185,1.6555953914383483,0.9041467708888243,-0.6871052987375619,0.24257249334273898,1.287785384668347,0.35491891371872863,0.5159535680438533,-0.5375924794472274,2.1540597210007517,2.5181317573444013,3.1380434686999665,-0.6656673615938931,-0.5468074502680605,2.539406386780806,2.2033593757823597,-0.15060754381850427,-0.14921646677171382,-0.8411591889656114,2.568198657241533,-0.49991072198858444,2.9208330553865003,-0.524437168006727,-0.724013052571118,2.271511617910747,0.33868495500702667,3.040191145493448,0.896240038237262,-0.7175375423620163,-0.8046380040558547,2.5232775990081064,2.3852012016208506,-0.38209711433762455,-0.047619301025337214,-0.8015673552116257,0.49256808779538297,0.7201388721486595,-0.9630610848416604,-0.1351704207431215,-0.8419211342160129,-0.9384653484589875,-0.4158480958375661,-0.8149221125354579,-0.12677338058176302,-0.737437860661444,-0.6407436350725918,-0.5249872468134965,0.5145193299498427,2.806718394433715,1.859089970112888,2.0610933705862915,1.2182864086967302,2.6978047179664353,-1.0409266953588725,2.9459858486195034,2.2848142024336413,-0.9241175167379905,3.043805883924543,-0.8700058658108729,3.0542960116785802,-0.19093906108550165,1.0152931764565603,-0.760643574463554,1.5209681332346896,-0.5599731450851052,-0.12538383070003628,-0.8574409443468478,-0.8019626120050988,1.009186716981493,2.165423229596105,1.288712954035356,0.9359517512885149,0.8580745821497697,2.8752026275688607,-0.6285727681799469,-0.7713311514032821,2.857767934069986,0.7549958733303839,2.2630260065738272,1.5492670485303386,2.8489809719110126,2.574834751030366,1.9166488172201814,-0.8860348298112328,1.0469021347881386,2.216028938663448,-0.04243263208181871,-0.6214998956833925,-0.9717653674010659,2.499719379335193,0.653114272873939,1.8973194150185273,-0.6254464969080018,1.5813891039813885,2.087223536981422,2.479944929620607,0.7428154161651505,2.269841659147622,2.2663208921854103,1.8007284225484073,2.134946410430127,2.870764784477862,2.533427040669361,2.522558659576255,1.9581987025887575,0.538912408293041,-0.5881384431654524,3.001512069110377,0.3034808187878912,2.468940351743359,2.425686012845801,2.24786887937157,2.0719980952078427,2.478303727785553,2.1495605185121787,-0.49689301343976966,1.6735946248947229,0.14509282316237182
