,EFTUD2,LSM5,SF3A1,HNRNPA1L2,SF3B2,PRPF19,SNRNP27,HNRNPA3,LSM6,USP39,DDX42,NCBP1,SF3B1,MAGOH,CDC40,SF3B3,SRSF9,ACIN1,TXNL4A,TCERG1,U2AF2,RBM17,PRPF38B,THOC1,PLRG1,CCDC12,MAGOHB,HSPA8,LSM7,PQBP1,RBMX,LSM4,EIF4A3,SF3A3,DDX46,RBM25,PRPF40A,PRPF40B,LSM2,SRSF8,SF3A2,SMNDC1,BCAS2,NCBP2,PRPF8,ALYREF,CWC15,DDX23,CDC5L,SF3B5,SNRNP40,PRPF31,SNW1,DHX15,WBP11,HNRNPU,CTNNBL1,HNRNPK,TRA2A,SNRNP200,HSPA1L,HSPA1B,RBM22,HSPA2,HSPA1A,ZMAT2,PRPF6,DHX16,U2AF1,PRPF38A,HNRNPC,DDX5,DHX8,HSPA6,DHX38,XAB2,SNRPG,SNRPF,SNRPD2,SNRPD3,SART1,SYF2,CRNKL1,U2SURP,PRPF3,AQR,PRPF4,LSM3,SF3B4,PPIH,SLU7,BUD31,PHF5A,SRSF10,SRSF6,SNRPA,RBM8A,SRSF7,SNRPA1,HNRNPM,SNRPB,TRA2B,SNRPB2,PUF60,SRSF5,SNRNP70,PCBP1,PPIL1,SRSF4,SNRPD1,THOC2,SNRPC,PPIE,SRSF2,SRSF1
SIDM00519,1.2319606398616285,1.0120751917997177,0.9102023111569659,2.1756551847536736,1.880449661288923,2.2382033051341303,1.6188536107356255,0.32906351343628587,1.8033447636327464,1.7053772420671105,1.2772311974004298,0.8696505228341602,1.6734140407926361,1.0102824798850047,0.5294719600865125,-0.0103507927496648,2.5655938644520515,0.8815471394449303,0.13990360758853612,1.451470782525511,0.027211564884634616,1.2290555137216512,0.7861621982201118,0.2153215155089244,0.587664483603136,-0.7138497130085472,1.523851662771355,-0.06354671034610483,2.3070764475544294,1.1861346703215723,1.3119574393297893,2.13039168799949,2.4573948717984857,1.488113290517982,1.5259661643435902,1.3546087925474184,1.3153014404814678,-0.1622314373853798,2.20853324940157,1.0085378621077037,-0.05670689689671845,1.8191955338720123,0.3508194326190329,0.9044024993627957,2.4189471450551925,2.2667666572411127,1.0158734316535762,-0.443192866016445,1.409180462179251,2.5409022449172682,0.9246179554450116,0.9309714676963722,1.8144131491671773,2.09433078546181,-0.8491321577910396,2.364153500127417,0.7239882144702937,2.2840229210497327,1.7620103614542062,1.3991985710268797,-0.384561751695601,1.8626511717845733,0.5737990656246004,2.4039174369519025,2.6501021367749034,1.6533411323559513,0.29143651078456345,0.7329340015464785,2.6888860240971058,0.43584237030819484,0.4086748824569384,3.0887310603558977,0.2549898476716332,-0.6974431117183556,0.32276249270075785,-0.3832595458935558,2.7896899065851946,2.070731426228547,2.997719520163931,2.0386297908468958,0.06626093779880887,1.4874932071949931,0.8114146037229509,0.6909121988900894,0.7439464290672098,0.7078541730046766,0.9267664946957745,1.402706924994181,0.38722592916140036,0.3714066796407266,1.5931759618837982,2.330206913849242,1.1908482187994827,1.052280541399366,1.9633941173522051,0.7955563938948242,-0.22746618039260091,2.130743731669801,-0.11324334301685073,2.701272181365142,2.400271358012293,1.6167453032003158,2.1345049115011205,2.1858617864633567,1.411888656298345,0.8723684959960075,2.744950165593105,2.008892404074587,1.7518126284968445,0.8438369705848439,0.810103041550053,2.4833296123971547,1.1403058042816407,2.2375867758318093,1.8730530840450483
SIDM00917,1.0637532122479454,0.6933565666721413,1.691849164033434,1.9264772881194383,1.8069684756160944,2.3180488742448846,1.7426562728040693,0.1276921099668794,2.625313556391024,1.5387029681259299,0.9911619365179836,0.611810115686591,1.616773145546482,1.747375565752178,0.9475938486452701,0.4071041357711275,2.394783369458204,0.8642571042142388,0.05079714058903775,1.3193979733134964,-0.004535721438089194,1.1469919714548502,1.4483714786064659,0.978681765433117,1.1821460161208774,-0.4463362802618096,1.5461255680639285,-0.40915802100514026,2.180899624308268,1.1286418085498144,1.2365609484455289,1.4287568112494373,2.6072894666401263,1.4639903962583438,1.0406629086244252,1.5471001876373187,1.1827446453059574,-0.2311060946448059,2.388468330412775,1.6538917110459919,-0.09509788509272064,1.8665411229700215,0.7059109625179583,1.4392400193378196,2.2151002398456225,1.6916238764597031,1.0185358236579067,-0.4937912364358294,1.2425712072870496,2.64324583621171,1.6199712834903461,0.760745001771179,2.2152957572476075,2.252345787804634,-0.43423431985864686,2.0832228358603797,0.8026057333948051,2.6566253164641904,1.2873726256959528,1.3692291531279026,-0.02693619289939165,1.770327202728009,0.7447455214388179,-0.0404147832815545,2.408338445961112,1.732658697082562,0.7569450704065231,0.679894128692322,2.6104532238447224,1.3025465089365702,0.5274289312523126,3.1584111792299168,0.6506590049470771,-0.6920625061100205,0.7978975366509086,-0.1094566749058981,2.7855454077950608,1.99543888945857,3.202043785269261,2.280062452170086,0.2116824144967926,2.2719079503424733,0.7044277206483416,1.70285644933957,0.3733536363113852,0.6057402986510659,0.3454696080701318,1.598190502761072,-0.07255892165052921,0.2099643365774063,1.9092683808619146,2.740255735492465,1.5652247991794372,1.3269170370157215,1.6213892200000108,0.8716938161147527,-0.14409424370616516,2.000750245037655,1.1748752714093835,2.55309768687385,2.2166332778206908,2.147207092809124,2.1626461707397096,1.8956262429960191,2.3991128649708275,1.0004570076920183,2.8597170916716355,1.3499343163718767,2.2635501526137953,0.8798899976948723,0.9651895133020153,2.3512616750503748,1.5500879059930566,1.949497000989536,2.0515679910301006
SIDM00309,1.0258415302422232,0.8907128788143769,0.9432007942471841,2.0101579394753775,1.8051003066929392,2.273135725887496,1.583202728964179,0.7207158490552928,1.7910094547408935,1.6599148311098437,1.086448668827661,0.3945609332994429,1.8444343575755846,1.479182150924058,0.7912135741625994,0.6995892953506728,2.4409128932335378,0.7301030796725827,-0.05892109472922246,0.9397375444516618,0.08857258471995318,1.217746466469926,1.069353358722126,0.7255791096274375,0.35715390542978387,-0.6281952465516952,2.0958632162636537,-0.0031950168866511923,2.217212441008869,1.0034685307477154,1.4476912647992104,2.1593447698263173,2.427896751841868,1.8452815754529963,1.3893047914929253,1.281254298476392,1.3257940570752975,-0.24639992427898288,2.0796247000960664,0.917116451663803,-0.25692833279126354,1.862539237559627,0.5300824893608216,1.2965071389051253,2.330962705794326,2.24299500489596,1.067008553301795,-0.8210739412504239,1.320445122883706,2.548379898933856,1.4491112310196501,0.8730374238220288,1.6563512876734507,2.504594911003601,-0.6398044703004209,2.2105711628073768,0.5806669600830255,2.501153374494594,1.3028337631505202,1.5175476018630267,-0.3669271466704381,1.8499545055504576,0.5538870824687032,2.1920283567745424,2.5312393387769627,1.7416993964672578,0.4116582215555303,0.6308982249314244,2.3709153996325805,1.446550889622412,0.39493047350245586,3.093670992360545,0.3382276107575662,-0.7222960980185917,0.7563657360529559,-0.4246006242825554,2.727507726627304,1.9361131944748164,3.265636748013954,2.096525690377846,0.019862558551615884,2.005957915580599,0.42272335985137577,1.0616732385113563,0.47118729776595775,0.11916223179625998,0.3004723118139058,2.019576946817147,0.1674103635254977,0.7217791765073406,1.7177420182803154,1.9022793147415256,1.186151182442592,1.2603718085061029,1.5842648296699597,0.9250232798650861,-0.13776587456371323,2.2452820098458774,0.0638539893964274,2.6745173396224025,1.9010099687136766,1.9767470847981274,1.7332358022337406,1.5934525760155664,1.5537056522791275,1.2154017605816385,2.7697858979821626,1.8684253792455134,2.204308193102487,1.3134312783813213,1.126473952665561,2.4750718866748644,1.4079953439804505,2.307771857190913,1.8808168552454219
SIDM00099,1.0445410275683982,0.8376661591571762,0.8211245428384699,2.28298005972542,1.8560534301582559,1.9349116958587949,1.8409687700915829,0.33318981975042095,1.828978288108322,1.9222108383098033,1.2064863633386365,0.5719130914638977,1.7111034015427682,1.6724661149103337,0.3492327590905111,0.32698023594762404,2.472608621933991,0.8459221031257431,-0.015965201151633072,1.4406316192134114,-0.12831706909985363,1.291693685289846,1.3721611618393894,0.6813066347513278,0.5483213572493277,-0.7263517643533686,1.9526835097380009,-0.09059148380689654,2.3787315603367563,1.162329699712599,1.6392435128680587,1.999773900953191,2.2727824520637565,2.2059373857488165,1.0252626385716972,1.6715957924946772,1.2883902941656842,-0.16009728433895729,2.0807921719659346,-0.03186068080144842,0.019095942340873008,1.492134396125155,0.9640491462520747,1.4311551657770651,2.1014285059663824,1.9478875845034922,0.8609809012239741,-0.47368081481961827,1.3644783002565397,2.342254117111749,1.1819383304300752,0.8737837124715677,2.2009315813605546,2.123987678832889,-0.43141343959251155,2.1270797341476784,0.4777247892768353,2.351210012362286,1.5699709587527477,1.3772483857299067,-0.477339572455779,1.9824108452736444,0.7899523658365327,0.5363574830438862,2.5524761385760755,1.8499589808752586,0.4201126622923636,0.5717395446100673,2.625140749886471,1.1134741928454712,0.4286958502580614,3.050499196151478,0.38026472024240493,-0.809381139041618,0.3983417340566746,-0.16649276991336157,2.6196102538304307,1.7605657726818114,3.361315065947577,1.663835844732635,0.16968514980929944,1.7889987472441917,0.7424710854257683,1.062936500837572,0.3366837885647636,0.26350698537857953,0.838426716309469,1.699560945553983,0.20794372022915977,0.5186164724756355,1.800135865844854,2.4913880265805965,1.0405483490302097,0.8478216116451638,1.8744249987390678,0.9581764706302858,-0.20730398221107976,2.075394058327708,0.9041210940614206,2.340975922547962,2.391603585407969,1.7519228859068243,2.127014304454108,1.893715836429207,1.8696585770817713,1.2005601749954053,2.821872382525251,0.9932166698192094,1.9423369137986457,0.8659679424642717,0.9646223942333706,2.223620947172019,1.7049921729701312,1.8240869385511604,1.6437848285196097
SIDM00276,1.098313159552233,0.8493977819350337,1.126174118576426,1.9639635667417534,2.269464454595296,2.447090381155895,1.6755670307638082,0.17573083742798912,2.360558307074095,2.01072750375317,1.2165245497092712,0.6263604644484202,1.13882392152981,1.5333921683786103,0.5873476173679609,0.4051858286739982,2.608094918513366,1.1190910146522959,-0.2689509066705425,0.9746250034048008,0.23525264836685658,1.1499056914995907,0.9492555882046801,0.5642805499114971,0.7052986160346116,-0.6839724694954906,2.2939854002770317,-0.3922299156693341,1.9358514445613222,1.4403377846980265,0.8635182073244191,2.3437685883875803,2.8987136365981607,1.271183817983102,0.6955254328080201,1.1989719541567132,0.6760511631640954,0.016154457592878056,2.3911452133227606,0.6903979947714709,-0.05171957522527259,1.869315367005151,0.6795501920418613,0.7512747417530512,2.7325141150279975,2.743252537869931,0.8899337156361828,-0.3670853908002589,1.3151835596582935,2.711714930653555,1.8442521293653023,0.7166093757350912,1.9910388288376486,2.0748755913424355,-0.4438598209852036,1.9019158831895357,0.9173054695856538,2.5016908643306195,1.3213140888347874,1.7390889192564953,-0.47853765119834546,2.588650866982546,0.34225104112340454,0.7291734459548201,3.0087878149589096,1.5732394598290678,1.1520724746655313,0.9613780742781908,2.4582431040501747,0.6787284947553153,0.4149826759218675,2.7499869605986906,0.46014497173304514,-0.7257823736836623,0.9210098022028176,-0.34377389891717725,2.6846359733057623,2.0000244267496603,3.0612054992387407,2.337664107975003,0.46273225242479915,1.4499534485226362,0.5474056326532376,0.33128215705935526,1.0144281022091275,0.3315578415375785,0.6472119912902383,1.8715110379360007,0.531183912952412,0.719785965761652,0.9605224871402842,2.64216724711422,1.6478593343246226,1.1238563457105257,1.280823093357187,1.3648191973467714,-0.09192228535033067,1.9411370585314103,-0.3831285021301043,2.634479943398558,2.7091984286238096,1.8399883180947374,2.2674162400940983,2.4652290174868288,1.586164596868352,1.2412274816667934,2.7483971158882707,1.502147282135595,2.4270045204736794,1.104694845002663,0.2989454917802983,2.699670181876319,1.7909585460799842,2.145109658132538,1.745821408141699
SIDM00311,1.4302007570603608,0.933379240196432,1.1031954400782045,2.283841972736769,1.8370885854865797,2.3490217884568505,1.4652527400277358,0.425451703456783,2.2257700149456094,1.754965015061941,1.2882809123577246,1.1134263459980953,1.6002751590461453,1.7587436375970984,0.8342707080575205,0.46312685872610787,2.5390822233561208,0.8500628995498871,-0.10888866362559624,1.5148074801197569,0.11410935217396419,1.2332117845034418,1.1321365907101262,0.42063839618515475,0.9304404271166801,-0.5748430950208884,2.073950223441234,0.02948791882374791,2.0743646175423365,1.4073932303604877,1.4034150993571641,2.013102611659283,2.684754894761766,1.8504890955177962,1.2650590775874633,1.575381594888768,1.1240213831334065,-0.4961092978348925,2.4585052889679337,0.4132775774901667,-0.15706538766497782,1.8641022718827889,1.026420713015234,1.36222524750991,2.246658003642643,2.516369075863573,1.100595333422931,-0.5808036812766577,1.5835095986380792,2.6797793946678317,1.4804970280607768,0.8656176613039119,2.1389322162330586,2.2498306624002953,-0.4994841582114298,2.230875917278103,1.041417143956855,2.4953372053711735,1.6186117331523635,1.3512372858715926,-0.6434702279428876,2.1402028484791558,0.8870182075749917,0.8947661858278043,2.7369482822588087,1.7217038689941169,0.5624675950009038,0.8938221109962935,2.385829584362945,1.1855363751749204,0.5643024631073964,3.17583581430818,0.520223576807583,-0.6827786421949903,0.8282328846064734,-0.09112616824911199,2.3735614642593235,2.0091865736556933,3.174365449557325,2.232639419297916,0.4691410104273995,1.609002428169656,0.8578482239109747,0.805710122655461,0.6158799014513464,0.3279136882267384,1.1377600437334774,1.4954823685435532,0.20564903236979934,0.6777792543142013,1.7460197989691364,2.4587627423741516,1.4038570304525126,1.247470795613048,1.9972935546758703,1.1048899291185328,-0.34254031794573336,2.224790061190669,0.12995649786192917,2.718240058408828,2.4447250964005263,2.0470900188671632,2.175926221098537,2.318770016078729,1.9214091119903578,1.1580332046136599,2.325123762593632,1.9203706185864178,2.1666958407306725,1.1732348511622734,0.9440478030003671,2.5493430177208833,1.4818143475182752,2.3112287726987666,1.949976298140354
SIDM00970,1.17691260418457,1.0736343997152868,1.3371368047807324,2.0979069161983257,1.848950742990705,2.227102034986716,1.229945993710638,0.5939390292515956,2.555115514674215,1.643426442742368,1.16612761019265,0.8184470541753236,1.8146525345808084,1.731089370456277,0.4825436576350999,0.7108107461213792,2.692125124065343,1.099329424419269,0.411045026866014,1.4335159287487256,0.2890731634181759,1.506663346085953,1.445549048165899,0.7731564542412399,0.5987112808963855,-0.42785311390096925,2.0371358135798983,-0.07249629390140849,2.5276302373635584,1.0870213243869797,1.5777672596783894,2.0792505165754434,2.8624049181353186,1.8620510685032918,1.1250542021817038,1.8670272925607405,1.2460883780540146,0.1005180825162013,2.4522783914535986,1.4232372989033149,-0.19649794495801096,1.4284433522811157,1.0163991571986617,1.2178674022361067,1.8810974276261059,2.4995927283329284,0.9502051106567934,-0.2538163436179065,1.2278737641411908,2.293297260355143,1.7410969915398462,1.1045423138291102,2.1795143377647124,2.584812489365715,-0.4373816395998765,2.406886541476395,0.6735249844836196,2.483257177939972,1.6651666751631402,1.3188139710917504,-0.3861976559626113,2.6396159294416734,0.3806168468963832,-0.4595631766866778,2.807885324774813,1.1225651826025158,0.09663948701851656,0.48796149778626136,2.9007453095944036,1.3090275507177145,0.7494949135903096,3.173866833257713,0.5411618165314734,-0.6644797947474831,0.615428728946446,-0.5909372135920912,2.792312595290543,2.2626806437436664,3.4568442912568567,2.6221235088801733,-0.03501399775179693,1.601017227940259,0.7324385352230515,1.475765267836881,0.44341485322161606,0.8078717695349542,0.8903952494856114,2.0365413861881896,0.18823683327116086,0.6686592028131975,1.136327495474387,2.396008712181743,1.7692533323340278,1.551387970770444,2.077060557500384,1.2492530970930233,-0.012194648402976078,2.3778530853063162,0.004202717628613609,2.8050705616948406,2.463407572740413,2.099557492745324,2.036103224032242,2.330025296844779,2.0534750054188113,1.4952681377021664,2.6382695828760636,1.8355254981994793,2.328106605635148,1.4766158414192152,1.273138490278644,2.22925213029761,1.6445321759394294,2.481492683450792,1.9142481796800117
SIDM00103,1.0758425281403337,0.8463021298900462,1.0462362287146423,2.097514644040122,2.0273947740196196,2.1744394404274434,1.4747152099895786,0.4790840949452623,2.1047514443309487,1.7157146541788966,0.9805155985613597,0.8039412437682059,1.6672294600474216,1.640416891404805,0.5423866290705509,0.3985436254817208,2.3467000729561125,0.7719794623129749,0.1531041113349597,1.279156791864057,-0.17115387477403832,1.2073253293192938,1.3282349648930238,0.6527242729275241,1.1320446498336165,-0.6732273045052791,1.5637516824021263,-0.031022351363805115,1.9964748582436311,1.1702601649090405,1.1379012501177028,1.8017052726853555,2.3020570308303703,1.8076595998882865,0.9657813101619594,1.4056341003630917,1.281929882511829,-0.1897657873827389,1.9587300163223238,0.8116933559761228,-0.06523911321000846,1.803815613792414,1.0242445582791961,1.0814769952139778,2.090173158036011,1.9622226947267742,0.9645441593772637,-0.8475978282997059,1.3860153702179732,2.522244846216206,0.7937911456485468,0.7654699342478077,2.210121258289888,2.1160435022324457,-0.7092547831219815,1.9744854147085023,0.7587390521899003,2.352056413529498,1.204262140048145,1.2773025124149635,-0.5252269030388881,2.024727045566882,0.6124844635767975,0.6715294284185218,2.683658246192157,1.7668196239572893,0.46315158116042116,0.7155067125398824,2.544410296155853,0.5509445548631448,0.5768893591593294,2.920469016570623,0.297438245372749,-0.7809136795647932,0.7913521461124162,-0.28178243619670307,2.5199098781572697,1.81053169145169,3.2150003049010873,1.7608775743429415,0.24349661119949678,1.5432776019026644,0.8798957741417264,0.9067027881534592,0.3780898385557794,0.59034476832193,0.8658998861722289,1.6456133472165408,0.26457622757731664,0.4242481210902665,1.7856723581944176,2.5603354641748135,1.0286221459647718,0.7257305728154513,1.8400588452566125,0.8464897301897941,-0.35885821467279894,2.0088979416337795,0.23424121572765208,2.2153845280762874,2.529568313344564,1.6159290559102488,2.157329166177069,2.08494350719852,1.7707637386555741,1.1227516257749495,2.8562273815078716,1.4347521113673987,1.590723062809972,1.2380914926687385,0.5771208211213427,2.4348206106430204,1.3762052746906575,1.8174549167901723,1.4323301547808245
SIDM00266,1.1315337815387598,1.1534416780513959,1.2848878730298905,2.3119412862070585,1.9418507521784856,1.9748913914989177,1.849788417832809,0.8393668366616892,2.2139603119850118,1.8366300283600099,0.7569802672530879,0.9308518918587677,1.7903233931199896,1.6213389302025596,1.3198161154870884,0.09125634897424427,2.3152546516283268,0.9513761219016715,-0.07931501962728311,1.6171406698520563,0.035579781127340226,1.1392524796422638,1.3256218424865134,1.009289736138063,0.8903539586275502,-0.6912404892299694,2.01101648311309,-0.39294318292817837,2.0716943362809075,1.3690426937693974,1.330191078998185,2.1697941172027404,2.2469633836032696,1.5849333006961817,1.0994958827951657,1.811638198439435,1.1020203064568255,0.2886745394633982,2.3988946292602,0.4205289123101552,-0.1633341154280496,1.8482088548568247,0.8354456281771447,1.7006902533888897,2.2215762483133252,2.012864736180333,0.7052941556324532,-0.8913704088322468,1.3424205954240525,2.3490505980330223,1.4337061435447562,0.6824064898548231,2.47299127338077,2.5003168732066414,-0.4192974854640029,2.3390859101043437,0.4766920654913314,2.45004587874165,1.09425951919956,1.5748408757092607,-0.5099104438733575,1.0110211825560615,0.7163611639821332,0.32327514458916745,1.9437240953708337,1.6136379298949093,0.09309370772458514,0.531451250901649,2.4498262408771256,0.9343045710525774,0.45450558938235813,3.0973234399936382,0.41053525303158017,-0.6575041960712141,0.3005480719898773,-0.47317089593977457,2.6243516938966702,2.049657925600734,3.3472208634419984,2.454090942547444,0.19940244339303576,1.6961072586966723,0.8285285897291222,0.8590808378242307,0.79050350411633,0.5518204228790515,0.987646128437214,1.6700835248790076,0.1074467439573208,0.652618701191057,1.4594983201922835,2.8443984699788487,1.498584069294523,1.1234862950047502,1.3694272535927972,1.3944088730127162,0.15953335563848728,2.273274471269725,1.3915841010388543,2.453613451531978,2.4875438436081536,2.13147738815359,2.2017322957359386,2.1305557864667874,2.193246067479494,1.224628078659633,2.744463743889359,2.1421766011263053,2.1271928617834153,1.3902514908393997,0.7723824856321492,2.5164858842036053,1.6622455609714046,1.8243287809589825,1.905859057258662
SIDM01064,1.4787926500635151,0.7018133399229052,1.2874794528304818,2.5048939942345263,1.8527082459239494,2.3632305387998933,1.805416635352474,0.32289895297115406,2.6993255817223747,1.9285202321806862,0.6732245441707805,0.9506787208393829,1.8581594796754453,1.7081208439121205,0.834613965287242,0.32553874295110785,2.4724525637558927,1.0523857342760965,0.32543999130259665,1.7180687666491863,0.12469291225554033,1.6882507202976873,1.4335008297027536,0.5286538360273753,0.8909309006970323,-0.46500982773851746,2.185741698471025,-0.11303741249625987,2.4107379191040286,1.1244854219293148,1.479832093004689,2.1197418993628085,2.229308760930782,1.729271374502822,1.3643002634556034,1.7199311436481852,1.3296163710595077,-0.3917667425162635,2.595051501392722,1.6971150603922238,-0.16276974166222336,1.6955845373529361,0.7061493166269581,0.8869230369307717,2.15439994384515,2.1094108742947633,1.008846639684706,0.03578034615971507,1.6211374446778204,2.6232836436143003,1.8263962746195133,0.8796684817979309,2.0470924058893223,2.4374235464311726,-0.0271775204513935,2.207020503290488,0.3215987940674499,2.6619447546056083,1.4074337585128276,1.4167832312791386,-0.1459512768393714,1.746109980929255,0.9077325752685259,0.18585945805940876,2.669403199037595,1.5796131002284353,-0.11976706403080023,0.7056499816687664,2.7086581018439864,1.4971497557433617,1.0406666630565764,2.7367389955541723,0.5971042463087728,-0.7930981824862666,0.5376634754664219,-0.05963435625686645,2.9703961454136882,2.154563599879846,3.191912875309606,2.4150355253152243,0.2778704459986143,1.801240107548826,0.3908764504551669,0.969941200537184,0.5330331068441105,0.7909800144676417,1.0367951314338697,1.9259348208266824,0.012535502955535724,1.0083081773691447,2.046252516309749,2.4527235656485646,1.7496052056994893,1.604517394367783,1.7250253843413468,1.140268997608416,-0.1650188010540873,2.4277128276827544,0.12588450878962193,2.8155500889920066,2.2065231174571043,2.280500205640632,1.7305041112527186,2.0076625362070892,2.14919549701296,1.3360243424901617,2.7246024693211006,1.9694103017046842,2.3137901832640115,1.4196955378252156,1.0960283935110255,2.398300907810795,1.5006371329886967,2.3398490040432205,2.21886757301524
