Origin_idx,Drug name,Sanger ID,IC50
15458,Lapatinib,SIDM01126,3.703002
204326,PLX-4720,SIDM01146,4.546579333333334
196025,NVP-ADW742,SIDM00935,2.254265
108367,VE-822,SIDM00256,0.899192
65433,Dinaciclib,SIDM00202,-3.167406
184880,AZD5363,SIDM00214,2.616542
42317,5-Fluorouracil,SIDM00418,5.7789595
116469,RVX-208,SIDM00418,5.125604
216938,Dactolisib,SIDM01042,-3.5893565
108284,VE-822,SIDM00285,3.161564
214426,MK-8776,SIDM00528,0.159022
173221,MN-64,SIDM00379,5.273981
3462,Sorafenib,SIDM00198,2.295048
198261,Savolitinib,SIDM00444,3.461424
187657,Osimertinib,SIDM00976,2.130568
183616,Navitoclax,SIDM00905,1.7859495
216488,Palbociclib,SIDM00371,1.6910645
178842,Venetoclax,SIDM00732,3.401921
3356,Sorafenib,SIDM00364,1.679194
5023,Crizotinib,SIDM00211,0.5232545
50928,Crizotinib,SIDM00251,3.016666
193139,Axitinib,SIDM01042,1.6100465
143375,Ibrutinib,SIDM00129,3.595317
179506,Cytarabine,SIDM00324,0.483429
94796,Alpelisib,SIDM00343,4.524474
114843,Wnt-C59,SIDM00231,4.507613
271709,XAV939,SIDM00969,2.6484385
42353,5-Fluorouracil,SIDM00859,1.2615325
214978,MK-8776,SIDM00967,4.52843
74226,AZ960,SIDM00287,-0.444428
61212,Erlotinib,SIDM00532,4.665271
280958,Trametinib,SIDM00091,-3.727819
281117,Trametinib,SIDM00528,1.824311
171318,LY2109761,SIDM00308,3.273078
215077,MK-2206,SIDM00096,2.011594
297115,Fulvestrant,SIDM00389,2.527265666666666
233060,AZD4547,SIDM00406,1.0424033333333331
118407,GSK343,SIDM00483,4.4337295
56131,BMS-345541,SIDM00592,3.8329025
188413,Cediranib,SIDM00542,0.841714
56029,BMS-345541,SIDM01161,4.3389085000000005
231645,AT13148,SIDM00261,1.914519
90186,Sapitinib,SIDM00721,4.360081
142833,Ibrutinib,SIDM00970,-0.903292
86328,Linsitinib,SIDM00958,3.17934
163156,MIM1,SIDM00384,2.408671
199028,UMI-77,SIDM00214,4.704717
42134,5-Fluorouracil,SIDM01187,4.1845735
210817,Nutlin-3a (-),SIDM01205,4.254225
196182,NVP-ADW742,SIDM00371,4.165054
289837,AZD6738,SIDM01160,2.8419805
312606,AZD8186,SIDM00375,3.6156885
189233,Ipatasertib,SIDM00317,5.359137
112734,PFI3,SIDM00285,4.883352
189573,Ipatasertib,SIDM00976,2.979158
45613,Obatoclax Mesylate,SIDM00445,-0.142745
67275,Bortezomib,SIDM00592,-5.258968
87622,Epirubicin,SIDM00483,1.624325
54743,Irinotecan,SIDM00584,4.276712
110137,CZC24832,SIDM00264,5.938837
120723,Foretinib,SIDM00375,0.7252005
55153,Irinotecan,SIDM00539,3.010363
184225,AZD5363,SIDM00064,3.815291
105390,Entinostat,SIDM01183,1.309985
180538,Docetaxel,SIDM00264,-2.5038566666666666
333,Camptothecin,SIDM00612,1.446564
45886,Linsitinib,SIDM00973,4.0086260000000005
180085,Docetaxel,SIDM00091,-3.783799333333333
54320,Irinotecan,SIDM00489,1.483091
108992,WZ4003,SIDM00388,4.793199
190043,GDC0810,SIDM00528,4.13657
215572,MK-2206,SIDM00527,1.919003
175077,Wnt-C59,SIDM00137,4.0494345
94880,I-BET-762,SIDM00420,3.9790675
190342,GDC0810,SIDM00262,5.169992
45492,Linsitinib,SIDM00364,2.3189615
271475,XAV939,SIDM00201,4.0925225
202358,Afatinib,SIDM00291,3.244849
64769,MK-1775,SIDM00968,1.239317
63664,Niraparib,SIDM00371,3.823285
171579,LY2109761,SIDM00381,6.641162
173830,LGK974,SIDM00561,2.964461
89883,Sepantronium bromide,SIDM00444,-4.3186235
4811,Crizotinib,SIDM01229,2.8454225
218414,Pictilisib,SIDM00976,1.2836806666666665
231643,AT13148,SIDM00289,3.776477
174037,LGK974,SIDM00964,3.0005855
183077,AZD3759,SIDM00970,1.276144
120379,Foretinib,SIDM00814,1.354483
170306,Sabutoclax,SIDM00490,0.001984
187879,Cediranib,SIDM00591,1.379364
228537,BMS-536924,SIDM00538,4.421589
190603,GDC0810,SIDM00445,5.055658
271071,XAV939,SIDM00954,3.926068
156236,Alisertib,SIDM00444,1.7963425
192170,GSK2578215A,SIDM00285,5.17792
177211,Vinblastine,SIDM00953,-4.7269
48178,5-Fluorouracil,SIDM00234,4.061772
179104,Venetoclax,SIDM00969,3.602822
99509,Leflunomide,SIDM00267,5.361726
20102,Vinorelbine,SIDM01146,-1.9050725
881,Camptothecin,SIDM00688,-4.721565
202581,Afatinib,SIDM01247,1.75761
194394,AZD7762,SIDM00935,0.0380093333333333
199709,WIKI4,SIDM00196,4.037888
18441,Gemcitabine,SIDM00781,-0.9269006666666666
204029,PLX-4720,SIDM00489,4.822798333333334
218462,Pictilisib,SIDM00422,1.1975686666666665
117272,OTX015,SIDM00197,2.705576
42192,5-Fluorouracil,SIDM01093,5.1079680000000005
65532,Dinaciclib,SIDM00077,-2.206708
6524,Dasatinib,SIDM00655,1.6683884999999998
221085,AZ6102,SIDM00242,1.796982
174461,Wnt-C59,SIDM00489,3.3173805
50853,Crizotinib,SIDM00758,-1.105771
181200,Afuresertib,SIDM00367,3.266022
204398,PLX-4720,SIDM01097,3.8049313333333337
54530,Irinotecan,SIDM01206,0.263516
173884,LGK974,SIDM01140,3.1672905
109158,WZ4003,SIDM01198,1.826047
194605,MIRA-1,SIDM00367,5.05893
3525,Sorafenib,SIDM00374,1.9184365
196765,P22077,SIDM00504,3.467079
87605,Epirubicin,SIDM00969,-2.426152
94591,I-BET-762,SIDM00096,1.4924395
180020,ABT737,SIDM00688,2.586712
112806,PFI3,SIDM00198,5.147484
45619,Obatoclax Mesylate,SIDM00530,2.576676
174322,LGK974,SIDM00323,3.2537510000000003
96571,EPZ5676,SIDM00532,6.799769
119958,Foretinib,SIDM00719,2.946619
70522,EPZ004777,SIDM00241,4.441506
233010,AZD4547,SIDM00375,2.4044236666666667
109255,WZ4003,SIDM00259,3.721438
95366,Taselisib,SIDM01133,1.439817
20327,Vinorelbine,SIDM00328,-2.516825
17987,Gemcitabine,SIDM00905,-3.4424426666666665
90211,Sapitinib,SIDM00410,4.426807
89678,Sepantronium bromide,SIDM00098,-2.403866
108941,WZ4003,SIDM00612,3.327954
183328,AZD3759,SIDM00677,1.446812
88507,Cyclophosphamide,SIDM00973,4.564212
194639,AZD7762,SIDM00974,-0.4322053333333333
74182,AZ960,SIDM00251,1.676233
196318,NVP-ADW742,SIDM00389,0.895501
99841,Leflunomide,SIDM00407,3.475319
251462,Tamoxifen,SIDM00118,3.438177
52996,Sorafenib,SIDM00659,3.527053
182616,AGI-5198,SIDM00496,5.620657
712,Camptothecin,SIDM00519,1.07805
9888,BMS-536924,SIDM00374,2.239194
186358,Nilotinib,SIDM00969,2.4867765
105196,Entinostat,SIDM00291,2.786268
179407,Cytarabine,SIDM01090,-0.298409
214573,MK-8776,SIDM00317,6.401054
171877,LY2109761,SIDM00498,5.754102
90360,Sapitinib,SIDM00520,4.98144
204456,PLX-4720,SIDM00917,3.05846
143353,Ibrutinib,SIDM00198,5.396274
218072,Pictilisib,SIDM01175,1.3822963333333331
121064,PRT062607,SIDM00422,2.279776
176813,Buparlisib,SIDM00917,0.215182
65442,Dinaciclib,SIDM00259,-3.943138
177802,Ulixertinib,SIDM01198,2.2113725
178300,Venetoclax,SIDM00953,3.147523
88312,Cyclophosphamide,SIDM00289,4.361738
181356,Afuresertib,SIDM00599,1.150723
232777,AZD4547,SIDM00935,2.2789596666666667
98993,IWP-2,SIDM00214,3.448405
43650,Obatoclax Mesylate,SIDM00808,-1.0399035
183564,Gefitinib,SIDM00969,1.7519695000000002
187530,Osimertinib,SIDM00551,1.023755
187364,Osimertinib,SIDM01228,-0.475064
330845,Pevonedistat,SIDM00699,1.837928
184933,Vorinostat,SIDM01146,1.423771
90118,Sapitinib,SIDM00287,3.373166
296626,Fulvestrant,SIDM00504,3.139148
221009,AZ6102,SIDM00962,2.033476
296886,Fulvestrant,SIDM00266,2.904103
116249,RVX-208,SIDM01247,3.533613
192871,I-BRD9,SIDM00541,6.056723
211906,BIBR-1532,SIDM00098,5.305948
214038,AMG-319,SIDM00530,5.469846
282049,Dabrafenib,SIDM00241,3.026556
173604,MN-64,SIDM00362,3.368808
189266,Olaparib,SIDM00230,3.115492333333333
20196,Vinorelbine,SIDM01161,-4.606949999999999
96085,Taselisib,SIDM00508,-0.253912
190082,GDC0810,SIDM01145,4.402784
290022,AZD6738,SIDM00091,1.294928
187455,Osimertinib,SIDM00542,2.551985
192221,GSK2578215A,SIDM00234,3.722506
215451,MK-2206,SIDM00211,0.6856694999999999
177130,Buparlisib,SIDM00976,1.165757
184096,Navitoclax,SIDM01161,2.8488525
116079,RVX-208,SIDM00534,5.67087
