Origin_idx,Drug name,Sanger ID,IC50
172748,OF-1,SIDM00538,2.431155
185022,Vorinostat,SIDM01168,1.299576
178024,Ulixertinib,SIDM00099,4.2763335
45537,Linsitinib,SIDM00814,2.425993
189271,Ipatasertib,SIDM00962,2.967979
202129,Afatinib,SIDM00294,2.3004006666666665
176660,Buparlisib,SIDM00441,0.216644
211695,BIBR-1532,SIDM01155,5.277784
218990,AZD8055,SIDM00837,-0.6855985
155904,Alisertib,SIDM01197,3.938783
118957,ML323,SIDM00810,3.009535
58548,Ruxolitinib,SIDM00224,4.005586
176812,Buparlisib,SIDM00233,-0.382894
198854,UMI-77,SIDM00101,2.841831
120759,PRT062607,SIDM00896,1.264509
155820,Alisertib,SIDM00379,2.384269
202948,Afatinib,SIDM00422,2.262165
215090,MK-2206,SIDM00113,3.0661605
192206,GSK2578215A,SIDM00299,5.165479
219965,PD0325901,SIDM00287,1.6928424999999998
99846,Leflunomide,SIDM00416,2.572786
216102,Palbociclib,SIDM00553,0.158905
230735,PF-4708671,SIDM00562,3.1979430000000004
300,Camptothecin,SIDM00064,-3.36609
184719,Vorinostat,SIDM00145,0.061539
109281,WZ4003,SIDM00517,2.689261
55190,GSK1904529A,SIDM00233,2.8581665
133,Erlotinib,SIDM01251,1.554467
177751,Vinblastine,SIDM00201,-4.3740225
290333,AZD6738,SIDM00584,3.6164895
252012,Tamoxifen,SIDM00929,4.934259
211684,BIBR-1532,SIDM00379,4.591413
113938,PCI-34051,SIDM00445,5.641023
189740,GDC0810,SIDM00294,5.327022
172060,OF-1,SIDM00841,3.347917
97153,SCH772984,SIDM00905,2.382798
200575,KU-55933,SIDM00528,4.675533
187563,Osimertinib,SIDM00377,4.055046
213358,AMG-319,SIDM00930,5.742959
173253,MN-64,SIDM01183,5.002322
163238,MIM1,SIDM00196,2.3797875
116451,RVX-208,SIDM00565,5.690776
91050,Uprosertib,SIDM00962,2.000643
195586,NVP-ADW742,SIDM00136,1.011518
12271,Entinostat,SIDM01120,2.056971
265949,Talazoparib,SIDM00584,4.22721
209735,Wee1 Inhibitor,SIDM00276,2.0119155
55933,BMS-345541,SIDM01146,1.5160715
18677,Gemcitabine,SIDM00137,-3.778286
90408,Sapitinib,SIDM00043,0.755935
223153,VE821,SIDM00520,4.64033
217565,Dactolisib,SIDM00483,-3.258889
