Origin_idx,Drug name,Sanger ID,IC50
195040,MIRA-1,SIDM00384,3.819931
64640,MK-1775,SIDM00104,3.379158
88438,Cyclophosphamide,SIDM00104,5.389361
3266,Sorafenib,SIDM00277,-1.4240849999999998
198528,UMI-77,SIDM00291,1.676722
89883,Sapitinib,SIDM00808,2.384398
282110,Dabrafenib,SIDM00424,3.5483985
108012,VE-822,SIDM00596,3.909252
231517,AT13148,SIDM00842,4.375098
198385,UMI-77,SIDM00632,1.862514
51141,Crizotinib,SIDM00600,1.896409
215615,MK-2206,SIDM00199,1.838915
177783,Vinblastine,SIDM00100,-2.7876675
161423,LCL161,SIDM00195,4.746793500000001
184380,AZD5363,SIDM01092,3.388956
222320,GSK591,SIDM00323,4.643995
199523,WIKI4,SIDM00814,3.783762
98447,IWP-2,SIDM00549,2.350464
3183,Sorafenib,SIDM00174,2.754235
84946,VX-11e,SIDM00814,2.797421
170307,Sabutoclax,SIDM01245,-2.211047
161066,LCL161,SIDM00064,4.7967200000000005
282430,Dabrafenib,SIDM00668,3.3666485
231642,AT13148,SIDM00659,2.646426
161410,LCL161,SIDM00289,4.050837
194135,AZD7762,SIDM00537,-0.7981566666666667
189957,GDC0810,SIDM00544,4.549883
171116,LY2109761,SIDM00181,5.842761
217092,Dactolisib,SIDM00758,-0.3258620000000001
190354,GDC0810,SIDM00259,4.816113
172472,OF-1,SIDM01093,3.55292
221,Erlotinib,SIDM01090,3.512255
98923,IWP-2,SIDM00631,3.96279
198696,UMI-77,SIDM00833,3.113749
155436,Alisertib,SIDM01174,2.953261
89972,Sapitinib,SIDM01145,3.536024
216247,Palbociclib,SIDM01159,2.8642685
120159,Entospletinib,SIDM01114,2.743426
43485,Obatoclax Mesylate,SIDM00367,-1.1788905
58681,Ruxolitinib,SIDM01090,4.231919
202011,WEHI-539,SIDM00808,3.773133
108220,VE-822,SIDM00584,5.409889
117738,GSK343,SIDM00094,4.6097595
64699,MK-1775,SIDM00350,1.797601
179936,ABT737,SIDM00104,3.896989
99175,Leflunomide,SIDM00145,4.294098
95829,Taselisib,SIDM00592,-0.172352
172126,OF-1,SIDM00948,2.353748
182359,AGI-5198,SIDM00346,3.577688
170462,Sabutoclax,SIDM00388,-2.93629
55864,Oxaliplatin,SIDM00258,4.348038
94516,I-BET-762,SIDM00188,4.398816
98454,IWP-2,SIDM00677,3.441628
118237,GSK343,SIDM00565,3.967696
172563,OF-1,SIDM00638,3.550896
78816,Temozolomide,SIDM01140,6.167514
188211,Cediranib,SIDM01092,3.276328
116845,OTX015,SIDM00094,4.520529
261789,Daporinad,SIDM01041,-5.53571
15561,Lapatinib,SIDM00274,2.6166385
187668,Osimertinib,SIDM00668,1.722068
172127,AGI-6780,SIDM01161,3.2657
192842,I-BRD9,SIDM00679,4.26101
303083,AZD5582,SIDM00364,0.8576715
171609,LY2109761,SIDM00205,5.079471
116971,OTX015,SIDM00541,0.902817
118986,ML323,SIDM00285,3.972294
161524,LCL161,SIDM00491,4.853598
108028,VE-822,SIDM00599,0.397685
331286,Pevonedistat,SIDM00328,-0.288501
85102,VX-11e,SIDM00542,3.4062135
95240,I-BET-762,SIDM01006,0.680988
220118,PD0325901,SIDM00600,-2.445014
189284,Olaparib,SIDM00292,5.232077
195897,NVP-ADW742,SIDM00379,2.266055
214656,MK-8776,SIDM00332,4.2929
189874,Olaparib,SIDM01149,3.354598
43821,Obatoclax Mesylate,SIDM00832,2.092394
52396,Sorafenib,SIDM00320,2.42276
189592,Olaparib,SIDM00813,3.2612500000000004
63924,MK-1775,SIDM01174,2.513296
189246,Ipatasertib,SIDM01247,2.969833
214776,MK-8776,SIDM00600,3.141128
196084,NVP-ADW742,SIDM00262,1.586776
85195,VX-11e,SIDM00466,4.3269235
215929,Palbociclib,SIDM00417,2.952484
221225,AZ6102,SIDM00975,4.293448
88585,Cyclophosphamide,SIDM00047,5.417898
9831,BMS-536924,SIDM00195,1.941097
171773,AGI-6780,SIDM00181,2.78101
52121,Rapamycin,SIDM00137,-1.5885
183698,AZD3759,SIDM01220,2.980116
214463,MK-8776,SIDM01146,3.634168
58301,Ruxolitinib,SIDM01179,4.604934500000001
220259,PD0325901,SIDM00176,0.5709659999999999
195053,MIRA-1,SIDM00332,6.679339
118668,ML323,SIDM00923,4.747278
281627,Trametinib,SIDM00472,-0.6710055000000001
120729,Foretinib,SIDM00976,1.334209
214558,MK-8776,SIDM01159,4.595898
223256,VE821,SIDM00362,1.92069
182690,AGI-5198,SIDM00256,3.411647
219610,PD0325901,SIDM00121,1.3111785
49342,Dasatinib,SIDM00042,0.253865
213300,ZM447439,SIDM01042,1.8791845
42192,5-Fluorouracil,SIDM01093,5.1079680000000005
177931,Vinblastine,SIDM00350,-2.4945965
