"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,4.5859632,1
"2","Cisplatin","SIDM01114",2.006427,2.1937401,1
"3","WIKI4","SIDM00244",3.914198,3.866317,1
"4","BMS-536924","SIDM00537",1.733863,1.8116708,1
"5","Bortezomib","SIDM01093",-4.115848,0.21661651,1
"6","MK-1775","SIDM00094",1.91712,0.2623238,1
"7","LY2109761","SIDM00539",5.400771,5.797117,1
"8","LGK974","SIDM01233",3.895076,4.033501,1
"9","GDC0810","SIDM00496",4.965005,4.7684784,1
"10","Sorafenib","SIDM00551",2.384396,2.9243002,1
"11","BMS-536924","SIDM01093",3.1085975,1.369494,1
"12","Bortezomib","SIDM01161",-4.938108,-0.5662228,1
"13","LGK974","SIDM00520",3.924767,3.8008516,1
"14","Fulvestrant","SIDM00136",3.78035033333333,4.220269,1
"15","Entospletinib","SIDM00244",1.924032,4.028792,1
"16","MIM1","SIDM01175",4.770428,2.9429889,1
"17","Oxaliplatin","SIDM00561",1.8525435,1.9759375,1
"18","Epirubicin","SIDM00565",-0.311385,-1.7363925,1
"19","VE821","SIDM01090",3.11085,4.162548,1
"20","Dinaciclib","SIDM00291",-2.624957,0.43969077,1
"21","Cediranib","SIDM00837",1.05822,2.360047,1
"22","Vorinostat","SIDM01187",1.608329,1.4046526,1
"23","Buparlisib","SIDM00077",0.013728,1.5138743,1
"24","Cisplatin","SIDM00064",1.76325366666667,2.5208507,1
"25","PCI-34051","SIDM00332",5.746768,4.618284,1
"26","Vinblastine","SIDM00174",-4.4932405,-4.086819,1
"27","IWP-2","SIDM00793",2.146301,2.1095145,1
"28","VX-11e","SIDM00758",1.657313,1.475465,1
"29","LY2109761","SIDM00837",4.501555,5.457926,1
"30","Nilotinib","SIDM01247",1.1534605,1.244939,1
"31","Linsitinib","SIDM00699",2.579066,2.6455047,1
"32","AT13148","SIDM00537",2.842459,3.3655422,1
"33","Cisplatin","SIDM00120",2.25017733333333,2.8272262,1
"34","BMS-345541","SIDM00719",5.569043,3.1976817,1
"35","WIKI4","SIDM01229",4.344849,3.8182528,1
"36","Oxaliplatin","SIDM00539",4.1511535,5.1040635,1
"37","BMS-345541","SIDM00332",4.2296025,3.1092632,1
"38","Niraparib","SIDM01161",4.115739,4.6714153,1
"39","Cyclophosphamide","SIDM00561",4.404114,3.3973012,1
"40","Luminespib","SIDM00699",-0.6123465,-1.9366599,1
"41","Obatoclax Mesylate","SIDM00094",1.1680755,0.26201633,1
"42","AT13148","SIDM00758",3.034989,2.7423227,1
"43","PCI-34051","SIDM00244",2.471069,3.8720512,1
"44","Entospletinib","SIDM01161",3.186478,3.304506,1
"45","Crizotinib","SIDM01247",1.223581,1.1170502,1
"46","Dasatinib","SIDM01161",-3.3886935,-1.0194286,1
"47","Fulvestrant","SIDM00565",4.18899233333333,3.618078,1
"48","AZD7762","SIDM01175",2.46670966666667,-0.85272753,1
"49","Irinotecan","SIDM00539",3.010363,4.15845,1
"50","CZC24832","SIDM01114",3.823074,4.4204636,1
"51","MK-8776","SIDM00699",4.530687,2.989472,1
"52","AZD8186","SIDM00837",1.471513,3.217241,1
"53","BIBR-1532","SIDM01114",4.037107,5.151924,1
"54","Vinblastine","SIDM00699",-2.907739,-3.034599,1
"55","OF-1","SIDM00537",4.217272,4.328363,1
"56","PCI-34051","SIDM01233",4.978184,5.495029,1
"57","OF-1","SIDM00565",4.979893,4.3429,1
"58","MIRA-1","SIDM00793",4.095742,3.4807994,1
"59","CZC24832","SIDM00174",3.977655,4.6138754,1
"60","WZ4003","SIDM00551",2.017036,4.2992487,1
"61","Sorafenib","SIDM01175",5.0521495,2.6356986,1
"62","VE-822","SIDM01090",3.316805,3.393455,1
"63","Dabrafenib","SIDM00291",1.8860145,3.5142696,1
"64","I-BET-762","SIDM00064",3.430299,4.1259212,1
"65","Camptothecin","SIDM00537",-3.133379,-0.6944822,1
"66","Alpelisib","SIDM00699",4.345543,2.0269628,1
"67","Axitinib","SIDM00332",-0.0051045,3.7126086,1
"68","GSK2606414","SIDM01093",3.633744,4.0827417,1
"69","MK-1775","SIDM00719",2.743954,-0.036562797,1
"70","VE821","SIDM01233",5.84664,5.3939915,1
"71","Obatoclax Mesylate","SIDM00539",1.778222,0.1941679,1
"72","Lapatinib","SIDM00539",0.913972,2.380839,1
"73","VX-11e","SIDM01229",2.402507,1.8736733,1
"74","Pevonedistat","SIDM01175",4.3406435,-0.06484252,1
"75","AZD7762","SIDM01247",-1.898701,-1.7678833,1
"76","Temozolomide","SIDM00094",5.9999665,6.002253,1
"77","GSK343","SIDM01233",5.1984295,4.515291,1
"78","I-BRD9","SIDM01187",5.630752,4.4971657,1
"79","Daporinad","SIDM00517",-6.723251,-2.55856,1
"80","EPZ5676","SIDM00517",6.292871,5.8180795,1
"81","Uprosertib","SIDM00120",5.593971,3.9759798,1
"82","MIM1","SIDM00077",3.948924,3.5023532,1
"83","Irinotecan","SIDM00551",1.099242,3.6015875,1
"84","EPZ004777","SIDM00064",5.539148,5.558543,1
"85","PFI3","SIDM00517",5.774298,5.338654,1
"86","OF-1","SIDM00136",4.818226,4.756175,1
"87","Vinorelbine","SIDM00496",-3.901771,-2.3319762,1
"88","5-Fluorouracil","SIDM00719",6.5891225,2.4823225,1
"89","Foretinib","SIDM01233",1.689614,3.1775568,1
"90","Linsitinib","SIDM00517",2.102586,2.8143072,1
"91","Cyclophosphamide","SIDM00332",6.559315,5.036191,1
"92","Pevonedistat","SIDM01161",-0.3630345,-0.2305267,1
"93","AZD6738","SIDM01114",0.728305,3.1202404,1
"94","5-Fluorouracil","SIDM00332",5.864709,3.2004802,1
"95","Buparlisib","SIDM00136",1.140482,2.2491038,1
"96","VE821","SIDM00551",3.260586,4.276229,1
"97","VE-822","SIDM00565",5.373851,3.573775,1
"98","ABT737","SIDM01093",3.100827,3.5973213,1
"99","Cyclophosphamide","SIDM01090",4.693715,5.323704,1
"100","LCL161","SIDM00332",5.9473565,4.1447163,1
"101","Irinotecan","SIDM01114",1.554381,1.9786165,1
"102","GSK2606414","SIDM00064",3.139338,4.2562976,1
"103","LGK974","SIDM00496",3.1396395,2.968282,1
"104","NVP-ADW742","SIDM00699",2.261397,1.6588026,1
"105","RO-3306","SIDM00332",4.699782,4.2147083,1
"106","Sorafenib","SIDM00094",4.49228,3.5174286,1
"107","ML323","SIDM00332",5.15555,4.39811,1
"108","NVP-ADW742","SIDM00539",4.1592,3.345083,1
"109","Dabrafenib","SIDM01247",4.1038535,2.4252064,1
"110","SB505124","SIDM01233",1.638235,4.284711,1
"111","PD173074","SIDM01093",4.255533,2.440685,1
"112","Obatoclax Mesylate","SIDM00291",-1.0416785,-0.11680694,1
"113","AZD7762","SIDM00539",-0.516174666666667,-0.060092997,1
"114","Rapamycin","SIDM00174",-3.052181,-2.1189685,1
"115","Epirubicin","SIDM01175",1.486215,-1.4449117,1
"116","P22077","SIDM00539",4.655571,5.2117944,1
"117","Temozolomide","SIDM00517",5.836973,5.608332,1
"118","ABT737","SIDM00120",4.30424,3.722263,1
"119","Gemcitabine","SIDM00565",-3.45441533333333,-1.9214821,1
"120","Cediranib","SIDM00537",1.898705,2.1012585,1
"121","GSK2606414","SIDM00758",4.856177,4.0984964,1
"122","Linsitinib","SIDM00094",3.7899405,3.8787553,1
"123","AZD5363","SIDM00520",3.259521,3.8459194,1
"124","Sepantronium bromide","SIDM00539",-4.712461,-1.4027538,1
"125","EPZ004777","SIDM01247",4.348324,4.1880007,1
"126","Trametinib","SIDM00551",-2.325783,0.6777619,1
"127","I-BRD9","SIDM01247",2.615107,2.4015522,1
"128","WIKI4","SIDM01247",3.411874,3.4144669,1
"129","Oxaliplatin","SIDM00064",5.8683425,5.061763,1
"130","Sepantronium bromide","SIDM01233",-2.7867185,-1.3404284,1
