"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,2.8041875,1
"2","Cisplatin","SIDM01114",2.006427,0.30363834,1
"3","WIKI4","SIDM00244",3.914198,3.178953,1
"4","BMS-536924","SIDM00537",1.733863,1.7548279,1
"5","Bortezomib","SIDM01093",-4.115848,3.3508763,1
"6","MK-1775","SIDM00094",1.91712,3.433234,1
"7","LY2109761","SIDM00539",5.400771,2.7628658,1
"8","LGK974","SIDM01233",3.895076,3.9427164,1
"9","GDC0810","SIDM00496",4.965005,3.7224433,1
"10","Sorafenib","SIDM00551",2.384396,3.3264024,1
"11","BMS-536924","SIDM01093",3.1085975,2.611824,1
"12","Bortezomib","SIDM01161",-4.938108,2.028235,1
"13","LGK974","SIDM00520",3.924767,4.116026,1
"14","Fulvestrant","SIDM00136",3.78035033333333,3.1223643,1
"15","Entospletinib","SIDM00244",1.924032,2.7685516,1
"16","MIM1","SIDM01175",4.770428,5.111437,1
"17","Oxaliplatin","SIDM00561",1.8525435,1.683441,1
"18","Cisplatin","SIDM00064",1.76325366666667,0.6235031,1
"19","LY2109761","SIDM00837",4.501555,2.4940088,1
"20","Cisplatin","SIDM00120",2.25017733333333,2.340542,1
"21","WIKI4","SIDM01229",4.344849,4.1280518,1
"22","MK-1775","SIDM00381",0.971567,2.574196,1
"23","Oxaliplatin","SIDM00539",4.1511535,4.1341643,1
"24","WIKI4","SIDM00056",3.873413,3.973413,1
"25","MIM1","SIDM00042",3.76392,4.3246017,1
"26","MIRA-1","SIDM00817",5.042824,2.6423268,1
"27","LGK974","SIDM01126",3.0547295,3.0961077,1
"28","Entospletinib","SIDM00375",4.530611,3.8378942,1
"29","Cisplatin","SIDM01197",5.91721833333333,3.5006335,1
"30","Cisplatin","SIDM00842",2.67653266666667,1.4869549,1
"31","BMS-536924","SIDM01095",-0.1175565,1.4010822,1
"32","BMS-536924","SIDM00202",0.331521333333333,1.4600527,1
"33","GDC0810","SIDM00540",5.695754,3.4908092,1
"34","WIKI4","SIDM00377",4.253178,4.7301817,1
"35","MIRA-1","SIDM00896",3.206583,0.83560145,1
"36","LGK974","SIDM00230",3.247925,2.4535096,1
"37","Entospletinib","SIDM00407",0.132074,1.8159567,1
"38","GDC0810","SIDM00091",6.973783,4.621443,1
"39","Fulvestrant","SIDM00196",3.37484533333333,2.4543216,1
"40","Sorafenib","SIDM00377",3.169837,3.4870422,1
"41","Entospletinib","SIDM01161",3.186478,3.5794117,1
"42","MK-1775","SIDM00792",0.563692,2.4110925,1
"43","Oxaliplatin","SIDM00550",5.7256415,4.2572117,1
"44","Oxaliplatin","SIDM00287",1.0486,1.8091834,1
"45","MK-1775","SIDM01140",-0.266866,1.4959999,1
"46","LY2109761","SIDM00317",7.386086,5.4164286,1
"47","Fulvestrant","SIDM00565",4.18899233333333,3.6144223,1
"48","BMS-536924","SIDM01146",2.648853,2.0448892,1
"49","Cisplatin","SIDM00003",3.28203,0.90589064,1
"50","WIKI4","SIDM00842",3.679508,2.9669616,1
"51","Fulvestrant","SIDM01197",4.60808466666667,4.397381,1
"52","LY2109761","SIDM00835",6.28493,4.357167,1
"53","LY2109761","SIDM00688",3.231947,1.8076379,1
"54","Fulvestrant","SIDM00154",3.34695333333333,2.216167,1
"55","Oxaliplatin","SIDM00953",3.4108355,2.791867,1
"56","MIRA-1","SIDM00793",4.095742,2.268285,1
"57","Sorafenib","SIDM00974",1.369742,3.4352229,1
"58","LGK974","SIDM00346",2.4880465,2.2415717,1
"59","Cisplatin","SIDM00216",2.102376,0.5015012,1
"60","Sorafenib","SIDM01175",5.0521495,4.479869,1
"61","Sorafenib","SIDM00324",1.6373965,3.0016222,1
"62","MIRA-1","SIDM01205",4.267002,1.8011031,1
"63","GDC0810","SIDM00834",4.574205,3.8970566,1
"64","Bortezomib","SIDM00411",-3.866131,4.108605,1
"65","Entospletinib","SIDM00182",3.681224,3.5415232,1
"66","Bortezomib","SIDM00328",-3.679071,2.1689258,1
"67","LY2109761","SIDM01064",5.144615,2.4619298,1
"68","Oxaliplatin","SIDM00252",5.741103,3.917759,1
"69","MK-1775","SIDM00719",2.743954,3.6189816,1
"70","LY2109761","SIDM00195",6.166521,2.702675,1
"71","Cisplatin","SIDM01140",0.8183185,-1.0601234,1
"72","LGK974","SIDM00655",2.6276195,3.0151455,1
"73","Oxaliplatin","SIDM00251",3.969453,4.550229,1
"74","Oxaliplatin","SIDM00309",4.0868735,4.5411234,1
