"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,6.22877,1
"2","Cisplatin","SIDM01114",2.006427,3.2870452,1
"3","WIKI4","SIDM00244",3.914198,2.766264,1
"4","BMS-536924","SIDM00537",1.733863,1.5322223,1
"5","Bortezomib","SIDM01093",-4.115848,-2.8496702,1
"6","MK-1775","SIDM00094",1.91712,2.9747283,1
"7","LY2109761","SIDM00539",5.400771,4.8623657,1
"8","LGK974","SIDM01233",3.895076,3.4010327,1
"9","GDC0810","SIDM00496",4.965005,4.7168064,1
"10","Sorafenib","SIDM00551",2.384396,2.35928,1
"11","BMS-536924","SIDM01093",3.1085975,2.6762164,1
"12","Bortezomib","SIDM01161",-4.938108,-4.5511417,1
"13","LGK974","SIDM00520",3.924767,4.1591587,1
"14","Fulvestrant","SIDM00136",3.78035033333333,4.073838,1
"15","Entospletinib","SIDM00244",1.924032,3.266067,1
"16","MIM1","SIDM01175",4.770428,4.176285,1
"17","Oxaliplatin","SIDM00561",1.8525435,2.5515473,1
"18","Epirubicin","SIDM00565",-0.311385,0.26581097,1
"19","VE821","SIDM01090",3.11085,2.4005146,1
"20","Dinaciclib","SIDM00291",-2.624957,-1.2642722,1
"21","Cediranib","SIDM00837",1.05822,2.8222167,1
"22","Vorinostat","SIDM01187",1.608329,2.9267032,1
"23","Buparlisib","SIDM00077",0.013728,0.48459968,1
"24","Cisplatin","SIDM00064",1.76325366666667,3.239492,1
"25","PCI-34051","SIDM00332",5.746768,5.1651134,1
"26","Vinblastine","SIDM00174",-4.4932405,-4.068087,1
"27","IWP-2","SIDM00793",2.146301,2.5404446,1
"28","VX-11e","SIDM00758",1.657313,3.378681,1
"29","LY2109761","SIDM00837",4.501555,3.8680565,1
"30","Nilotinib","SIDM01247",1.1534605,1.870363,1
"31","Linsitinib","SIDM00699",2.579066,4.0415735,1
"32","AT13148","SIDM00537",2.842459,3.0308213,1
"33","Cisplatin","SIDM00120",2.25017733333333,4.255677,1
"34","BMS-345541","SIDM00719",5.569043,5.198929,1
"35","WIKI4","SIDM01229",4.344849,4.0758715,1
"36","GSK1904529A","SIDM00287",2.695081,2.5780203,1
"37","XAV939","SIDM00964",2.5174255,3.4483242,1
"38","AZD8186","SIDM00098",3.6110575,2.2372446,1
"39","Alpelisib","SIDM00309",4.972602,4.581236,1
"40","Navitoclax","SIDM00381",3.9914675,2.992963,1
"41","Nutlin-3a (-)","SIDM00885",4.1170585,4.5982065,1
"42","MK-1775","SIDM00381",0.971567,2.6319764,1
"43","Oxaliplatin","SIDM00539",4.1511535,4.592002,1
"44","SCH772984","SIDM00826",-2.371284,2.5256279,1
"45","WIKI4","SIDM00056",3.873413,3.4377687,1
"46","AMG-319","SIDM00351",4.381102,0.19906719,1
"47","MIM1","SIDM00042",3.76392,2.8551826,1
"48","Luminespib","SIDM00655",-3.239524,-0.9095435,1
"49","MIRA-1","SIDM00817",5.042824,6.209691,1
"50","BIBR-1532","SIDM01159",4.30429,5.6900206,1
"51","Alpelisib","SIDM00263",1.009765,3.2377014,1
"52","Vinorelbine","SIDM01006",-5.701762,-2.4273362,1
"53","Venetoclax","SIDM00388",3.261062,1.7465504,1
"54","Pictilisib","SIDM00542",2.492094,0.7972504,1
"55","Irinotecan","SIDM00111",2.03566,3.3455956,1
"56","LGK974","SIDM01126",3.0547295,3.2105038,1
"57","Dabrafenib","SIDM00201",4.4734655,3.668174,1
"58","AZD7762","SIDM00346",-0.446281,-2.1988022,1
"59","Leflunomide","SIDM00859",4.32032,4.0181274,1
"60","Wnt-C59","SIDM00534",2.810193,3.5386446,1
"61","WEHI-539","SIDM00203",3.061166,2.971629,1
"62","OTX015","SIDM00974",3.725203,2.7302244,1
"63","Dinaciclib","SIDM00976",-3.108552,-1.440887,1
"64","Ibrutinib","SIDM00411",5.899052,6.121457,1
"65","Sepantronium bromide","SIDM00042",-5.8211975,-3.9652197,1
"66","Dactinomycin","SIDM00632",-5.825258,-1.3365719,1
"67","CZC24832","SIDM00540",5.488764,3.682227,1
"68","VX-11e","SIDM00096",2.2575585,1.4401047,1
"69","Wnt-C59","SIDM00612",4.5870045,4.001609,1
"70","BMS-754807","SIDM00216",-1.291566,2.363784,1
"71","Sabutoclax","SIDM00308",-1.98858,1.355999,1
"72","Wee1 Inhibitor","SIDM00489",0.980307,2.255212,1
"73","Ruxolitinib","SIDM00599",4.3168945,3.810703,1
"74","Rapamycin","SIDM00542",-1.799362,2.875875,1
"75","GSK2578215A","SIDM00218",7.581259,7.320878,1
"76","ML323","SIDM00951",2.854192,3.191951,1
"77","PLX-4720","SIDM00958",2.60725733333333,2.92835,1
"78","AGI-6780","SIDM00579",2.1536795,2.072915,1
"79","VX-11e","SIDM00197",3.5317465,3.954291,1
"80","Uprosertib","SIDM00417",4.6382995,2.6774914,1
"81","Ipatasertib","SIDM00596",5.244861,3.4527223,1
"82","Foretinib","SIDM00410",0.6407845,1.8567355,1
"83","Wee1 Inhibitor","SIDM00003",1.012738,2.3919752,1
"84","BMS-345541","SIDM00332",4.2296025,3.4915864,1
"85","IWP-2","SIDM00422",2.032252,2.2994702,1
"86","Leflunomide","SIDM00427",4.257889,4.5603094,1
"87","Gefitinib","SIDM01228",0.2812125,2.1973403,1
"88","Entospletinib","SIDM00375",4.530611,3.8537288,1
"89","Dactolisib","SIDM00504",-3.410548,-2.6554058,1
"90","Nilotinib","SIDM01160",3.765993,3.4337995,1
"91","Alpelisib","SIDM00962",4.46513,2.7026725,1
"92","Dabrafenib","SIDM00826",-0.075091,3.7724755,1
"93","Cisplatin","SIDM01197",5.91721833333333,4.6465697,1
"94","Cisplatin","SIDM00842",2.67653266666667,2.9685357,1
"95","PD173074","SIDM00259",3.424969,1.6916878,1
"96","Niraparib","SIDM01161",4.115739,2.9258645,1
"97","WZ4003","SIDM00632",2.238154,3.387564,1
"98","Daporinad","SIDM01245",-6.725857,-0.5129931,1
"99","Afuresertib","SIDM00127",1.532706,3.3187797,1
"100","Trametinib","SIDM00234",-0.684452,1.0661339,1
"101","Navitoclax","SIDM00197",-2.674453,0.98280954,1
"102","Trametinib","SIDM00600",-3.9769335,0.8126682,1
"103","BMS-536924","SIDM01095",-0.1175565,0.9757761,1
"104","PD0325901","SIDM00638",0.9421035,0.8756306,1
"105","AZD7762","SIDM01183",0.205513666666667,0.6975913,1
"106","Dasatinib","SIDM00488",-0.674317,0.17535695,1
