"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,5.7229314,1
"2","Cisplatin","SIDM01114",2.006427,2.4574153,1
"3","WIKI4","SIDM00244",3.914198,3.927012,1
"4","BMS-536924","SIDM00537",1.733863,1.9867487,1
"5","Bortezomib","SIDM01093",-4.115848,-2.9944715,1
"6","MK-1775","SIDM00094",1.91712,1.4079988,1
"7","LY2109761","SIDM00539",5.400771,5.3193746,1
"8","LGK974","SIDM01233",3.895076,4.0079107,1
"9","GDC0810","SIDM00496",4.965005,3.014836,1
"10","Sorafenib","SIDM00551",2.384396,4.506697,1
"11","BMS-536924","SIDM01093",3.1085975,2.3669026,1
"12","Bortezomib","SIDM01161",-4.938108,-3.6234262,1
"13","LGK974","SIDM00520",3.924767,3.9641702,1
"14","Fulvestrant","SIDM00136",3.78035033333333,4.173509,1
"15","Entospletinib","SIDM00244",1.924032,4.687381,1
"16","MIM1","SIDM01175",4.770428,3.015042,1
"17","Oxaliplatin","SIDM00561",1.8525435,2.5133002,1
"18","Epirubicin","SIDM00565",-0.311385,-2.39732,1
"19","VE821","SIDM01090",3.11085,4.465696,1
"20","Dinaciclib","SIDM00291",-2.624957,-1.901948,1
"21","Cediranib","SIDM00837",1.05822,1.9221088,1
"22","Vorinostat","SIDM01187",1.608329,1.7283118,1
"23","Buparlisib","SIDM00077",0.013728,2.3693814,1
"24","Cisplatin","SIDM00064",1.76325366666667,2.8638072,1
"25","PCI-34051","SIDM00332",5.746768,5.5344005,1
"26","Vinblastine","SIDM00174",-4.4932405,2.4470804,1
"27","IWP-2","SIDM00793",2.146301,2.1893766,1
"28","VX-11e","SIDM00758",1.657313,1.5897977,1
"29","LY2109761","SIDM00837",4.501555,5.383458,1
"30","Nilotinib","SIDM01247",1.1534605,1.9685988,1
"31","Linsitinib","SIDM00699",2.579066,3.1133654,1
"32","AT13148","SIDM00537",2.842459,4.5257845,1
"33","Cisplatin","SIDM00120",2.25017733333333,2.869863,1
"34","BMS-345541","SIDM00719",5.569043,3.7704723,1
"35","WIKI4","SIDM01229",4.344849,3.7155647,1
"36","Oxaliplatin","SIDM00539",4.1511535,5.328132,1
"37","BMS-345541","SIDM00332",4.2296025,3.4119236,1
"38","Niraparib","SIDM01161",4.115739,3.8688705,1
"39","Cyclophosphamide","SIDM00561",4.404114,3.7494671,1
"40","Luminespib","SIDM00699",-0.6123465,-1.947562,1
"41","Obatoclax Mesylate","SIDM00094",1.1680755,1.8598492,1
"42","AT13148","SIDM00758",3.034989,4.586372,1
"43","PCI-34051","SIDM00244",2.471069,5.1655307,1
"44","Entospletinib","SIDM01161",3.186478,3.6343472,1
"45","Crizotinib","SIDM01247",1.223581,1.3555083,1
"46","Dasatinib","SIDM01161",-3.3886935,-0.17176042,1
"47","Fulvestrant","SIDM00565",4.18899233333333,4.014146,1
"48","AZD7762","SIDM01175",2.46670966666667,-1.1316423,1
"49","Irinotecan","SIDM00539",3.010363,4.729548,1
"50","CZC24832","SIDM01114",3.823074,5.3658175,1
"51","MK-8776","SIDM00699",4.530687,3.476906,1
"52","AZD8186","SIDM00837",1.471513,3.2913177,1
"53","BIBR-1532","SIDM01114",4.037107,5.065498,1
"54","Vinblastine","SIDM00699",-2.907739,2.5597317,1
"55","OF-1","SIDM00537",4.217272,4.3388176,1
"56","PCI-34051","SIDM01233",4.978184,5.7742686,1
"57","OF-1","SIDM00565",4.979893,4.321467,1
"58","MIRA-1","SIDM00793",4.095742,4.334743,1
"59","CZC24832","SIDM00174",3.977655,5.196669,1
"60","WZ4003","SIDM00551",2.017036,3.9707313,1
"61","Sorafenib","SIDM01175",5.0521495,3.9905894,1
"62","VE-822","SIDM01090",3.316805,4.0197825,1
"63","Dabrafenib","SIDM00291",1.8860145,2.3992083,1
"64","I-BET-762","SIDM00064",3.430299,4.5992503,1
"65","Camptothecin","SIDM00537",-3.133379,-1.3921076,1
"66","Alpelisib","SIDM00699",4.345543,3.3820512,1
"67","Axitinib","SIDM00332",-0.0051045,4.012122,1
"68","GSK2606414","SIDM01093",3.633744,4.403126,1
