"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,3.0095284,1
"2","Cisplatin","SIDM01114",2.006427,0.28216034,1
"3","WIKI4","SIDM00244",3.914198,0.95190334,1
"4","BMS-536924","SIDM00537",1.733863,-2.1663787,1
"5","Bortezomib","SIDM01093",-4.115848,3.193775,1
"6","MK-1775","SIDM00094",1.91712,3.634516,1
"7","LY2109761","SIDM00539",5.400771,-0.413482,1
"8","LGK974","SIDM01233",3.895076,3.2375665,1
"9","GDC0810","SIDM00496",4.965005,-1.1472573,1
"10","Sorafenib","SIDM00551",2.384396,2.3956041,1
"11","BMS-536924","SIDM01093",3.1085975,-1.0728166,1
"12","Bortezomib","SIDM01161",-4.938108,1.5397704,1
"13","LGK974","SIDM00520",3.924767,3.673663,1
"14","Fulvestrant","SIDM00136",3.78035033333333,-0.4945116,1
"15","Entospletinib","SIDM00244",1.924032,1.7483009,1
"16","MIM1","SIDM01175",4.770428,2.831479,1
"17","Oxaliplatin","SIDM00561",1.8525435,1.2111168,1
"18","Cisplatin","SIDM00064",1.76325366666667,0.3404572,1
"19","LY2109761","SIDM00837",4.501555,-2.2067983,1
"20","Cisplatin","SIDM00120",2.25017733333333,1.7423127,1
"21","WIKI4","SIDM01229",4.344849,1.5362687,1
"22","MK-1775","SIDM00381",0.971567,2.8039372,1
"23","Oxaliplatin","SIDM00539",4.1511535,1.9882281,1
"24","WIKI4","SIDM00056",3.873413,1.6663005,1
"25","MIM1","SIDM00042",3.76392,1.6071188,1
"26","MIRA-1","SIDM00817",5.042824,2.87941,1
"27","LGK974","SIDM01126",3.0547295,2.9242501,1
"28","Entospletinib","SIDM00375",4.530611,3.3101714,1
"29","Cisplatin","SIDM01197",5.91721833333333,1.4543762,1
"30","Cisplatin","SIDM00842",2.67653266666667,0.5078605,1
"31","BMS-536924","SIDM01095",-0.1175565,-1.8069129,1
"32","BMS-536924","SIDM00202",0.331521333333333,-1.4647747,1
"33","GDC0810","SIDM00540",5.695754,-1.1208333,1
"34","WIKI4","SIDM00377",4.253178,2.53072,1
"35","MIRA-1","SIDM00896",3.206583,1.0345178,1
"36","LGK974","SIDM00230",3.247925,2.7653801,1
"37","Entospletinib","SIDM00407",0.132074,1.218862,1
"38","GDC0810","SIDM00091",6.973783,-0.20567639,1
"39","Fulvestrant","SIDM00196",3.37484533333333,-1.2394013,1
"40","Sorafenib","SIDM00377",3.169837,3.9142778,1
"41","Entospletinib","SIDM01161",3.186478,3.3556707,1
"42","MK-1775","SIDM00792",0.563692,2.5360963,1
"43","Oxaliplatin","SIDM00550",5.7256415,2.0297172,1
"44","Oxaliplatin","SIDM00287",1.0486,0.90501183,1
"45","MK-1775","SIDM01140",-0.266866,0.016535405,1
"46","LY2109761","SIDM00317",7.386086,1.5549226,1
"47","Fulvestrant","SIDM00565",4.18899233333333,0.50746816,1
"48","BMS-536924","SIDM01146",2.648853,-2.043948,1
"49","Cisplatin","SIDM00003",3.28203,-0.34296745,1
"50","WIKI4","SIDM00842",3.679508,1.5442102,1
"51","Fulvestrant","SIDM01197",4.60808466666667,1.4835262,1
"52","LY2109761","SIDM00835",6.28493,1.5797586,1
"53","LY2109761","SIDM00688",3.231947,-2.5665743,1
"54","Fulvestrant","SIDM00154",3.34695333333333,-0.5977536,1
"55","Oxaliplatin","SIDM00953",3.4108355,1.0717984,1
"56","MIRA-1","SIDM00793",4.095742,2.1223686,1
"57","Sorafenib","SIDM00974",1.369742,2.9730778,1
"58","LGK974","SIDM00346",2.4880465,1.9325888,1
"59","Cisplatin","SIDM00216",2.102376,-0.3074094,1
"60","Sorafenib","SIDM01175",5.0521495,4.762478,1
"61","Sorafenib","SIDM00324",1.6373965,2.4039464,1
"62","MIRA-1","SIDM01205",4.267002,2.100758,1
"63","GDC0810","SIDM00834",4.574205,1.2075028,1
"64","Bortezomib","SIDM00411",-3.866131,3.8764782,1
"65","Entospletinib","SIDM00182",3.681224,3.7200794,1
"66","Bortezomib","SIDM00328",-3.679071,1.952923,1
"67","LY2109761","SIDM01064",5.144615,-0.68962765,1
"68","Oxaliplatin","SIDM00252",5.741103,2.4336364,1
"69","MK-1775","SIDM00719",2.743954,4.000313,1
"70","LY2109761","SIDM00195",6.166521,-0.89124393,1
"71","Cisplatin","SIDM01140",0.8183185,-1.2040603,1
"72","LGK974","SIDM00655",2.6276195,2.6264627,1
"73","Oxaliplatin","SIDM00251",3.969453,2.0271022,1
"74","Oxaliplatin","SIDM00309",4.0868735,2.5021212,1
"75","BMS-536924","SIDM00606",4.2037495,-1.8270531,1
"76","LGK974","SIDM00156",2.9715695,3.3562765,1
"77","MIM1","SIDM00077",3.948924,1.6724548,1
"78","WIKI4","SIDM00121",3.710353,0.64608264,1
"79","Sorafenib","SIDM00631",3.021151,2.8630002,1
"80","Cisplatin","SIDM00577",1.556485,0.11339784,1
"81","Cisplatin","SIDM00530",3.66276733333333,1.1036351,1
"82","GDC0810","SIDM00444",5.8931,-0.4915676,1
"83","Cisplatin","SIDM00316",2.198929,0.8094684,1
"84","GDC0810","SIDM00375",5.476823,0.17084016,1
"85","LGK974","SIDM00438",3.2050435,3.1285005,1
"86","Bortezomib","SIDM00266",-4.999663,0.313834,1
