"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,5.6514378,1
"2","Cisplatin","SIDM01114",2.006427,1.7675179,1
"3","WIKI4","SIDM00244",3.914198,2.524139,1
"4","BMS-536924","SIDM00537",1.733863,2.0059083,1
"5","Bortezomib","SIDM01093",-4.115848,-0.7690598,1
"6","MK-1775","SIDM00094",1.91712,2.1064334,1
"7","LY2109761","SIDM00539",5.400771,5.318233,1
"8","LGK974","SIDM01233",3.895076,3.8657477,1
"9","GDC0810","SIDM00496",4.965005,3.9161034,1
"10","Sorafenib","SIDM00551",2.384396,3.0245209,1
"11","BMS-536924","SIDM01093",3.1085975,3.166137,1
"12","Bortezomib","SIDM01161",-4.938108,-2.3511577,1
"13","LGK974","SIDM00520",3.924767,3.8943896,1
"14","Fulvestrant","SIDM00136",3.78035033333333,3.220883,1
"15","Entospletinib","SIDM00244",1.924032,2.6812778,1
"16","MIM1","SIDM01175",4.770428,4.8703732,1
"17","Oxaliplatin","SIDM00561",1.8525435,2.3878307,1
"18","Epirubicin","SIDM00565",-0.311385,0.011631921,1
"19","VE821","SIDM01090",3.11085,3.8586812,1
"20","Dinaciclib","SIDM00291",-2.624957,-1.1183187,1
"21","Cediranib","SIDM00837",1.05822,2.050052,1
"22","Vorinostat","SIDM01187",1.608329,1.6509947,1
"23","Buparlisib","SIDM00077",0.013728,1.6233785,1
"24","Cisplatin","SIDM00064",1.76325366666667,2.3829372,1
"25","PCI-34051","SIDM00332",5.746768,4.991246,1
"26","Vinblastine","SIDM00174",-4.4932405,1.32668,1
"27","IWP-2","SIDM00793",2.146301,2.9470124,1
"28","VX-11e","SIDM00758",1.657313,2.6507382,1
"29","LY2109761","SIDM00837",4.501555,5.047001,1
"30","Nilotinib","SIDM01247",1.1534605,2.4942176,1
"31","Linsitinib","SIDM00699",2.579066,4.0548596,1
"32","AT13148","SIDM00537",2.842459,3.5426812,1
"33","Cisplatin","SIDM00120",2.25017733333333,3.340681,1
"34","BMS-345541","SIDM00719",5.569043,4.7026315,1
"35","WIKI4","SIDM01229",4.344849,3.6258948,1
"36","GSK1904529A","SIDM00287",2.695081,2.9285226,1
"37","XAV939","SIDM00964",2.5174255,2.203898,1
"38","AZD8186","SIDM00098",3.6110575,2.489444,1
"39","Alpelisib","SIDM00309",4.972602,4.4860735,1
"40","Navitoclax","SIDM00381",3.9914675,3.2734232,1
"41","Nutlin-3a (-)","SIDM00885",4.1170585,4.649338,1
"42","MK-1775","SIDM00381",0.971567,0.9042631,1
"43","Oxaliplatin","SIDM00539",4.1511535,4.875902,1
"44","SCH772984","SIDM00826",-2.371284,0.17787945,1
"45","WIKI4","SIDM00056",3.873413,3.4321504,1
"46","AMG-319","SIDM00351",4.381102,4.073883,1
"47","MIM1","SIDM00042",3.76392,4.246109,1
"48","Luminespib","SIDM00655",-3.239524,-2.7214642,1
"49","MIRA-1","SIDM00817",5.042824,5.616027,1
"50","BIBR-1532","SIDM01159",4.30429,4.5626445,1
"51","Alpelisib","SIDM00263",1.009765,3.210111,1
"52","Vinorelbine","SIDM01006",-5.701762,-1.8415675,1
"53","Venetoclax","SIDM00388",3.261062,1.3572792,1
"54","Pictilisib","SIDM00542",2.492094,3.9592576,1
"55","Irinotecan","SIDM00111",2.03566,2.5958033,1
"56","LGK974","SIDM01126",3.0547295,3.6892405,1
"57","Dabrafenib","SIDM00201",4.4734655,3.3386366,1
"58","AZD7762","SIDM00346",-0.446281,-2.279182,1
"59","Leflunomide","SIDM00859",4.32032,3.1155908,1
"60","Wnt-C59","SIDM00534",2.810193,3.6329486,1
"61","WEHI-539","SIDM00203",3.061166,3.4025793,1
"62","OTX015","SIDM00974",3.725203,2.2463372,1
"63","Dinaciclib","SIDM00976",-3.108552,-1.9380308,1
"64","Ibrutinib","SIDM00411",5.899052,5.3850565,1
"65","Sepantronium bromide","SIDM00042",-5.8211975,-4.7654405,1
"66","Dactinomycin","SIDM00632",-5.825258,-3.6474586,1
"67","CZC24832","SIDM00540",5.488764,5.3601246,1
"68","VX-11e","SIDM00096",2.2575585,1.7184479,1
"69","Wnt-C59","SIDM00612",4.5870045,4.257201,1
"70","BMS-754807","SIDM00216",-1.291566,1.4955753,1
"71","Sabutoclax","SIDM00308",-1.98858,-1.4088693,1
"72","Wee1 Inhibitor","SIDM00489",0.980307,1.836966,1
"73","Ruxolitinib","SIDM00599",4.3168945,2.7566373,1
"74","Rapamycin","SIDM00542",-1.799362,-1.2829858,1
"75","GSK2578215A","SIDM00218",7.581259,6.2615676,1
"76","ML323","SIDM00951",2.854192,3.375049,1
"77","PLX-4720","SIDM00958",2.60725733333333,2.453763,1
"78","AGI-6780","SIDM00579",2.1536795,2.900817,1
"79","VX-11e","SIDM00197",3.5317465,3.308548,1
"80","Uprosertib","SIDM00417",4.6382995,3.9765558,1
"81","Ipatasertib","SIDM00596",5.244861,3.87144,1
"82","Foretinib","SIDM00410",0.6407845,0.34541488,1
"83","Wee1 Inhibitor","SIDM00003",1.012738,2.419807,1
"84","BMS-345541","SIDM00332",4.2296025,3.7046638,1
"85","IWP-2","SIDM00422",2.032252,2.37892,1
"86","Leflunomide","SIDM00427",4.257889,3.6106381,1
"87","Gefitinib","SIDM01228",0.2812125,2.54617,1
"88","Entospletinib","SIDM00375",4.530611,4.2176023,1
"89","Dactolisib","SIDM00504",-3.410548,-2.9174812,1
"90","Nilotinib","SIDM01160",3.765993,4.0531774,1
"91","Alpelisib","SIDM00962",4.46513,2.730157,1
"92","Dabrafenib","SIDM00826",-0.075091,3.996852,1
"93","Cisplatin","SIDM01197",5.91721833333333,3.2202735,1
"94","Cisplatin","SIDM00842",2.67653266666667,2.3717327,1
"95","PD173074","SIDM00259",3.424969,3.6459682,1
"96","Niraparib","SIDM01161",4.115739,2.7593331,1
"97","WZ4003","SIDM00632",2.238154,3.2137284,1
"98","Daporinad","SIDM01245",-6.725857,-4.456793,1
"99","Afuresertib","SIDM00127",1.532706,3.1526515,1
"100","Trametinib","SIDM00234",-0.684452,-0.77087367,1
"101","Navitoclax","SIDM00197",-2.674453,1.2826827,1
"102","Trametinib","SIDM00600",-3.9769335,-2.0166252,1
"103","BMS-536924","SIDM01095",-0.1175565,2.5091186,1
"104","PD0325901","SIDM00638",0.9421035,1.4183943,1
"105","AZD7762","SIDM01183",0.205513666666667,0.991318,1
"106","Dasatinib","SIDM00488",-0.674317,-0.28086382,1
"107","Cyclophosphamide","SIDM00561",4.404114,3.975688,1
"108","Navitoclax","SIDM00362",1.79578,0.56478554,1
"109","PD173074","SIDM00935",2.8530415,2.7513065,1
"110","Osimertinib","SIDM00549",0.792496,1.6716862,1
"111","Luminespib","SIDM00699",-0.6123465,-0.76989245,1
"112","Cediranib","SIDM00491",3.399394,1.9521371,1
"113","Dinaciclib","SIDM00343",-2.027895,-0.150875,1
"114","BMS-536924","SIDM00202",0.331521333333333,2.8545349,1
"115","Gefitinib","SIDM00266",2.5749515,2.2308574,1
"116","Buparlisib","SIDM00638",0.366617,1.8039938,1
"117","Afuresertib","SIDM00968",2.512336,4.104477,1
"118","PRT062607","SIDM00393",2.385608,3.3843372,1
"119","Cediranib","SIDM00350",2.2844,2.8515344,1
"120","PFI3","SIDM00362",3.486362,3.5759835,1
"121","CZC24832","SIDM01007",3.507873,3.898339,1
"122","ABT737","SIDM00202",-2.39304,1.3772218,1
"123","Ibrutinib","SIDM01120",5.42526,4.5630918,1
"124","Talazoparib","SIDM00260",5.934196,3.740733,1
"125","AMG-319","SIDM00448",4.236596,4.3513036,1
"126","CZC24832","SIDM00211",2.866025,3.8896372,1
"127","MK-2206","SIDM00243",-0.0307494999999999,1.9385687,1
"128","Linsitinib","SIDM00410",3.46691,2.8088694,1
"129","BMS-345541","SIDM00201",2.1755675,1.9579862,1
"130","Ruxolitinib","SIDM00781",5.242806,5.4629517,1
"131","Venetoclax","SIDM00808",1.713215,1.4097046,1
"132","GSK591","SIDM00427",4.140573,3.4354348,1
"133","VX-11e","SIDM00424",2.413135,2.2903564,1
"134","Ulixertinib","SIDM00274",1.6454695,2.7333608,1
"135","GSK2578215A","SIDM00114",6.25368,4.972807,1
"136","Erlotinib","SIDM01133",4.309572,2.7431197,1
"137","Olaparib","SIDM00875",2.91205033333333,3.277374,1
"138","GDC0810","SIDM00540",5.695754,2.6068978,1
"139","Ipatasertib","SIDM01149",2.057895,1.8128294,1
"140","Vorinostat","SIDM00444",1.80079,0.677711,1
"141","Talazoparib","SIDM00418",2.9362455,3.1143482,1
"142","Dabrafenib","SIDM00680",5.525158,4.607341,1
"143","Entinostat","SIDM01140",0.385456,1.09101,1
"144","Luminespib","SIDM00951",-3.966141,-3.6058726,1
"145","Obatoclax Mesylate","SIDM00094",1.1680755,3.039091,1
"146","Cyclophosphamide","SIDM01259",5.129478,4.5796394,1
"147","Palbociclib","SIDM00599",3.0441155,2.1449983,1
"148","AZD6738","SIDM00420",2.4414755,2.3742976,1
"149","Nutlin-3a (-)","SIDM00527",2.238203,4.373363,1
"150","Linsitinib","SIDM00832",3.7264865,3.4755697,1
"151","Pictilisib","SIDM00227",1.03166633333333,3.7714264,1
"152","Ulixertinib","SIDM00835",3.2002795,3.18288,1
"153","Entinostat","SIDM00501",2.45602,2.9606953,1
"154","MN-64","SIDM00814",5.15109,4.356148,1
"155","Uprosertib","SIDM00176",3.2102975,2.7838209,1
"156","Savolitinib","SIDM00422",1.949934,2.1657605,1
"157","Dabrafenib","SIDM00389",3.288884,2.3435197,1
"158","AZD4547","SIDM00817",3.81219666666667,2.4124427,1
"159","NVP-ADW742","SIDM00550",1.679199,2.4279718,1
"160","Wnt-C59","SIDM00047",4.068933,3.7395852,1
"161","Palbociclib","SIDM00638",4.2234255,2.587655,1
"162","XAV939","SIDM00316",4.2158325,4.224307,1
"163","Cytarabine","SIDM00974",-0.0426374999999999,-0.3075736,1
"164","IWP-2","SIDM00864",2.35505,2.9044714,1
"165","Taselisib","SIDM00627",-0.696875,1.0819167,1
"166","Dasatinib","SIDM00251",4.14583,1.488042,1
"167","Sabutoclax","SIDM00577",-2.165106,0.18839341,1
"168","WIKI4","SIDM00377",4.253178,3.8413913,1
"169","Sepantronium bromide","SIDM00047",-5.463869,-4.661692,1
"170","PFI3","SIDM00846",5.050288,5.4028707,1
"171","AGI-6780","SIDM01042",2.189475,1.9600605,1
"172","WEHI-539","SIDM00528",4.668635,4.2480135,1
"173","Daporinad","SIDM01155",-1.381173,-2.0035422,1
"174","Gefitinib","SIDM00205",1.0962685,2.6662083,1
"175","MIRA-1","SIDM00896",3.206583,3.3054025,1
"176","VE-822","SIDM01095",1.836412,2.827384,1
"177","LGK974","SIDM00230",3.247925,3.506364,1
"178","Luminespib","SIDM00465",-2.04523,-1.9050487,1
"179","Gemcitabine","SIDM00535",-1.66712733333333,3.995195,1
"180","AZD3759","SIDM00384",1.73871,1.731941,1
"181","Luminespib","SIDM00129",-1.9222365,-3.1907573,1
"182","Dasatinib","SIDM01174",3.357426,3.110441,1
"183","AT13148","SIDM00241",2.059037,1.8717791,1
"184","RVX-208","SIDM00214",5.345416,4.7445345,1
"185","I-BRD9","SIDM00261",3.161915,3.5804942,1
"186","Venetoclax","SIDM00951",2.499558,1.2729436,1
"187","AZD7762","SIDM00527",-1.591596,-0.6791302,1
"188","Tamoxifen","SIDM01259",2.3264295,3.04076,1
"189","Lapatinib","SIDM00045",2.0251475,0.45779607,1
"190","XAV939","SIDM00227",3.9083025,3.859365,1
"191","Gemcitabine","SIDM00659",-3.50887133333333,3.9980664,1
"192","Daporinad","SIDM00680",-4.55978,-2.8004665,1
"193","EPZ004777","SIDM00783",5.083257,3.6626225,1
"194","EPZ5676","SIDM00896",4.458965,3.3914502,1
"195","Dabrafenib","SIDM00632",1.724149,3.0573225,1
"196","Entospletinib","SIDM00407",0.132074,2.0526264,1
"197","GDC0810","SIDM00091",6.973783,4.7826624,1
"198","AT13148","SIDM00758",3.034989,4.176756,1
"199","Vorinostat","SIDM00427",0.38209,-0.2976719,1
"200","Ibrutinib","SIDM00103",6.349576,5.637622,1
"201","I-BRD9","SIDM00917",3.280439,2.9919262,1
"202","PCI-34051","SIDM00244",2.471069,3.8482728,1
"203","IWP-2","SIDM00056",2.97579,3.5180707,1
"204","Dactinomycin","SIDM00218",0.3218265,0.6134628,1
"205","VX-11e","SIDM01132",3.3916905,2.8733861,1
"206","Osimertinib","SIDM00214",1.115264,1.6027852,1
"207","NVP-ADW742","SIDM00592",2.270735,2.7808313,1
"208","Venetoclax","SIDM01168",3.390214,2.7918735,1
"209","Nilotinib","SIDM00154",3.3176005,3.2693586,1
"210","Fulvestrant","SIDM00196",3.37484533333333,2.8396578,1
"211","GSK1904529A","SIDM01160",3.757111,3.9290257,1
"212","Foretinib","SIDM00216",-0.894025,0.5354096,1
"213","KU-55933","SIDM00954",4.5482245,5.3175235,1
"214","PLX-4720","SIDM00532",3.96653133333333,3.5489514,1
"215","EPZ004777","SIDM00114",6.607752,6.0792055,1
"216","Erlotinib","SIDM00367",3.712832,2.751054,1
"217","Epirubicin","SIDM00299",-0.624894,-0.48763585,1
"218","Sorafenib","SIDM00377",3.169837,4.0777745,1
"219","Entospletinib","SIDM01161",3.186478,3.1630259,1
"220","Crizotinib","SIDM00606",3.93993,2.39075,1
"221","Sapitinib","SIDM00930",5.364807,4.876711,1
"222","PD0325901","SIDM00302",-0.49516,0.6165513,1
"223","AZD8186","SIDM00540",1.186744,1.1266669,1
"224","BMS-345541","SIDM00905",3.097411,2.9335341,1
"225","AZD5582","SIDM00218",5.3412885,5.508011,1
"226","PRT062607","SIDM00420",4.218709,3.4038815,1
"227","EPZ004777","SIDM00256",4.339178,2.7550535,1
"228","Pictilisib","SIDM00826",0.0008939999999999,3.382862,1
"229","BIBR-1532","SIDM00374",5.214057,3.888143,1
"230","Crizotinib","SIDM01247",1.223581,1.6851736,1
"231","AZD4547","SIDM00308",2.083488,2.2056327,1
"232","Gefitinib","SIDM00969",1.7519695,2.2223876,1
"233","Dasatinib","SIDM00375",0.144782,0.95446265,1
"234","UMI-77","SIDM00917",2.442734,2.021708,1
"235","Linsitinib","SIDM00242",0.6660615,2.1085515,1
"236","I-BET-762","SIDM00198",3.416004,4.2019386,1
"237","Cediranib","SIDM00047",1.290583,1.680973,1
"238","Camptothecin","SIDM00917",-5.095388,-3.8828907,1
"239","MK-1775","SIDM00792",0.563692,1.5265931,1
"240","5-Fluorouracil","SIDM00472",5.961737,4.913105,1
"241","Vinblastine","SIDM00176",-2.9221235,2.389319,1
"242","Ruxolitinib","SIDM00216",4.587106,3.7808857,1
"243","Oxaliplatin","SIDM00550",5.7256415,5.2317915,1
"244","Cytarabine","SIDM00262",0.970566,1.0199103,1
"245","Ulixertinib","SIDM00549",2.396136,1.762501,1
"246","Epirubicin","SIDM00411",0.987132,1.4905626,1
"247","Cyclophosphamide","SIDM00410",4.300019,4.535548,1
"248","UMI-77","SIDM00562",1.823414,2.6560678,1
"249","Dasatinib","SIDM01161",-3.3886935,-0.74165905,1
"250","PLX-4720","SIDM00218",4.76618333333333,5.33788,1
"251","Oxaliplatin","SIDM00287",1.0486,1.8239521,1
"252","Cytarabine","SIDM00427",-1.211762,-0.6616903,1
"253","MK-1775","SIDM01140",-0.266866,-1.50783,1
"254","LY2109761","SIDM00317",7.386086,6.962431,1
"255","Fulvestrant","SIDM00565",4.18899233333333,3.8582377,1
"256","Camptothecin","SIDM00101",-1.391849,-0.45229584,1
"257","OF-1","SIDM00257",4.206854,3.8267179,1
"258","Gemcitabine","SIDM01047",-2.903431,2.7458131,1
"259","Luminespib","SIDM00833",-0.625787,-1.0886168,1
"260","OTX015","SIDM00834",4.277906,4.1355186,1
"261","Savolitinib","SIDM00375",2.619515,2.9818048,1
"262","GSK1904529A","SIDM00114",3.10321,4.164797,1
"263","BMS-536924","SIDM01146",2.648853,2.2959375,1
"264","Sapitinib","SIDM00256",4.146909,4.0596557,1
"265","ML323","SIDM00833",4.499807,5.2352214,1
"266","PLX-4720","SIDM00261",4.321038,2.9029546,1
"267","Palbociclib","SIDM00842",2.157672,2.596117,1
"268","Ulixertinib","SIDM00320",4.453036,3.0424652,1
"269","Uprosertib","SIDM00482",2.3220785,1.5206159,1
"270","Docetaxel","SIDM00082",-1.45787466666667,1.9826041,1
"271","AZD7762","SIDM01175",2.46670966666667,2.434604,1
"272","Pevonedistat","SIDM00541",0.725677,2.6108825,1
"273","Paclitaxel","SIDM00328",-3.3222995,-2.1316,1
"274","Cisplatin","SIDM00003",3.28203,2.0690403,1
"275","WIKI4","SIDM00842",3.679508,3.3939116,1
"276","Irinotecan","SIDM00539",3.010363,3.6387582,1
"277","5-Fluorouracil","SIDM00958",2.850447,2.1872807,1
"278","Temozolomide","SIDM00576",2.8046,4.2109385,1
"279","Dabrafenib","SIDM00082",3.222405,3.9133737,1
"280","Fulvestrant","SIDM01197",4.60808466666667,3.7838078,1
"281","MK-8776","SIDM00732",4.019024,3.9585292,1
"282","EPZ5676","SIDM00406",3.338488,3.07224,1
"283","Epirubicin","SIDM00214",-0.753007,1.0083972,1
"284","PD0325901","SIDM00541",-1.9881325,-0.9409752,1
"285","Talazoparib","SIDM00407",3.2505315,2.163003,1
"286","CZC24832","SIDM01114",3.823074,5.107505,1
"287","RVX-208","SIDM01122",5.908953,4.944701,1
"288","CZC24832","SIDM00324",5.00421,4.8608217,1
"289","MK-8776","SIDM00699",4.530687,4.1472087,1
"290","AZD8186","SIDM00837",1.471513,2.241592,1
"291","LY2109761","SIDM00835",6.28493,6.3869405,1
"292","I-BET-762","SIDM00501",4.056707,4.623685,1
"293","PD0325901","SIDM00583",1.641708,1.3220104,1
