"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,5.660106,1
"2","Cisplatin","SIDM01114",2.006427,1.7989023,1
"3","WIKI4","SIDM00244",3.914198,3.3923342,1
"4","BMS-536924","SIDM00537",1.733863,2.6439025,1
"5","Bortezomib","SIDM01093",-4.115848,-4.5186887,1
"6","MK-1775","SIDM00094",1.91712,1.8670777,1
"7","LY2109761","SIDM00539",5.400771,5.4249825,1
"8","LGK974","SIDM01233",3.895076,4.744586,1
"9","GDC0810","SIDM00496",4.965005,4.1569657,1
"10","Sorafenib","SIDM00551",2.384396,3.3920536,1
"11","BMS-536924","SIDM01093",3.1085975,2.5288534,1
"12","Bortezomib","SIDM01161",-4.938108,-5.292355,1
"13","LGK974","SIDM00520",3.924767,4.464277,1
"14","Fulvestrant","SIDM00136",3.78035033333333,3.9576442,1
"15","Entospletinib","SIDM00244",1.924032,3.3257346,1
"16","MIM1","SIDM01175",4.770428,3.2348034,1
"17","Oxaliplatin","SIDM00561",1.8525435,2.3323605,1
"18","Epirubicin","SIDM00565",-0.311385,-1.3607495,1
"19","VE821","SIDM01090",3.11085,3.9150224,1
"20","Dinaciclib","SIDM00291",-2.624957,-0.7873485,1
"21","Cediranib","SIDM00837",1.05822,2.3349762,1
"22","Vorinostat","SIDM01187",1.608329,1.5514333,1
"23","Buparlisib","SIDM00077",0.013728,0.99873054,1
"24","Cisplatin","SIDM00064",1.76325366666667,2.1143014,1
"25","PCI-34051","SIDM00332",5.746768,5.1565266,1
"26","Vinblastine","SIDM00174",-4.4932405,-3.646312,1
"27","IWP-2","SIDM00793",2.146301,1.8639736,1
"28","VX-11e","SIDM00758",1.657313,2.490798,1
"29","LY2109761","SIDM00837",4.501555,5.3174586,1
"30","Nilotinib","SIDM01247",1.1534605,1.8889402,1
"31","Linsitinib","SIDM00699",2.579066,2.2571151,1
"32","AT13148","SIDM00537",2.842459,4.606274,1
"33","Cisplatin","SIDM00120",2.25017733333333,2.3536086,1
"34","BMS-345541","SIDM00719",5.569043,3.787594,1
"35","WIKI4","SIDM01229",4.344849,3.2011228,1
"36","Oxaliplatin","SIDM00539",4.1511535,5.3219695,1
"37","BMS-345541","SIDM00332",4.2296025,3.4755495,1
"38","Niraparib","SIDM01161",4.115739,4.10687,1
"39","Cyclophosphamide","SIDM00561",4.404114,4.0481524,1
"40","Luminespib","SIDM00699",-0.6123465,-0.8688528,1
"41","Obatoclax Mesylate","SIDM00094",1.1680755,0.4070115,1
"42","AT13148","SIDM00758",3.034989,4.447143,1
"43","PCI-34051","SIDM00244",2.471069,4.661188,1
"44","Entospletinib","SIDM01161",3.186478,2.8758552,1
"45","Crizotinib","SIDM01247",1.223581,1.5986574,1
"46","Dasatinib","SIDM01161",-3.3886935,1.5523874,1
"47","Fulvestrant","SIDM00565",4.18899233333333,3.3194475,1
"48","AZD7762","SIDM01175",2.46670966666667,0.018304184,1
"49","Irinotecan","SIDM00539",3.010363,4.220384,1
"50","CZC24832","SIDM01114",3.823074,4.979363,1
"51","MK-8776","SIDM00699",4.530687,2.7793353,1
"52","AZD8186","SIDM00837",1.471513,2.4828348,1
"53","BIBR-1532","SIDM01114",4.037107,5.154207,1
"54","Vinblastine","SIDM00699",-2.907739,-2.2464366,1
"55","OF-1","SIDM00537",4.217272,4.365491,1
"56","PCI-34051","SIDM01233",4.978184,5.8211756,1
"57","OF-1","SIDM00565",4.979893,4.0496473,1
"58","MIRA-1","SIDM00793",4.095742,4.109593,1
"59","CZC24832","SIDM00174",3.977655,4.6635027,1
"60","WZ4003","SIDM00551",2.017036,3.2780583,1
"61","Sorafenib","SIDM01175",5.0521495,2.6112018,1
