"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,5.0577006,1
"2","Cisplatin","SIDM01114",2.006427,2.0330029,1
"3","WIKI4","SIDM00244",3.914198,-0.9211392,1
"4","BMS-536924","SIDM00537",1.733863,1.3304012,1
"5","Bortezomib","SIDM01093",-4.115848,3.3825328,1
"6","MK-1775","SIDM00094",1.91712,3.4056199,1
"7","LY2109761","SIDM00539",5.400771,1.9202759,1
"8","LGK974","SIDM01233",3.895076,5.1765475,1
"9","GDC0810","SIDM00496",4.965005,3.1901648,1
"10","Sorafenib","SIDM00551",2.384396,2.5987012,1
"11","BMS-536924","SIDM01093",3.1085975,2.6406538,1
"12","Bortezomib","SIDM01161",-4.938108,1.6225417,1
"13","LGK974","SIDM00520",3.924767,4.83562,1
"14","Fulvestrant","SIDM00136",3.78035033333333,3.940481,1
"15","Entospletinib","SIDM00244",1.924032,0.4147902,1
"16","MIM1","SIDM01175",4.770428,4.859778,1
"17","Oxaliplatin","SIDM00561",1.8525435,-0.28150344,1
"18","Cisplatin","SIDM00064",1.76325366666667,2.256078,1
"19","LY2109761","SIDM00837",4.501555,1.2614782,1
"20","Cisplatin","SIDM00120",2.25017733333333,3.3054383,1
"21","WIKI4","SIDM01229",4.344849,1.337581,1
"22","MK-1775","SIDM00381",0.971567,2.5940523,1
"23","Oxaliplatin","SIDM00539",4.1511535,1.3935797,1
"24","WIKI4","SIDM00056",3.873413,2.3668659,1
"25","MIM1","SIDM00042",3.76392,2.8503778,1
"26","MIRA-1","SIDM00817",5.042824,5.334026,1
"27","LGK974","SIDM01126",3.0547295,3.7807837,1
"28","Entospletinib","SIDM00375",4.530611,2.6264908,1
"29","Cisplatin","SIDM01197",5.91721833333333,3.2988484,1
"30","Cisplatin","SIDM00842",2.67653266666667,1.8741162,1
"31","BMS-536924","SIDM01095",-0.1175565,0.832738,1
"32","BMS-536924","SIDM00202",0.331521333333333,0.50091517,1
"33","GDC0810","SIDM00540",5.695754,2.8874073,1
