"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,5.890515,1
"2","Cisplatin","SIDM01114",2.006427,2.1766272,1
"3","WIKI4","SIDM00244",3.914198,2.4179897,1
"4","BMS-536924","SIDM00537",1.733863,1.5265148,1
"5","Bortezomib","SIDM01093",-4.115848,-3.8152685,1
"6","MK-1775","SIDM00094",1.91712,2.5087163,1
"7","LY2109761","SIDM00539",5.400771,5.2231517,1
"8","LGK974","SIDM01233",3.895076,4.4341526,1
"9","GDC0810","SIDM00496",4.965005,5.0065794,1
"10","Sorafenib","SIDM00551",2.384396,2.6621065,1
"11","BMS-536924","SIDM01093",3.1085975,2.7360315,1
"12","Bortezomib","SIDM01161",-4.938108,-5.386764,1
"13","LGK974","SIDM00520",3.924767,4.4789414,1
"14","Fulvestrant","SIDM00136",3.78035033333333,3.7140577,1
"15","Entospletinib","SIDM00244",1.924032,2.804081,1
"16","MIM1","SIDM01175",4.770428,5.1047826,1
"17","Oxaliplatin","SIDM00561",1.8525435,2.6710458,1
"18","Epirubicin","SIDM00565",-0.311385,-0.92376065,1
"19","VE821","SIDM01090",3.11085,3.4413302,1
"20","Dinaciclib","SIDM00291",-2.624957,-1.3101978,1
"21","Cediranib","SIDM00837",1.05822,1.7242479,1
"22","Vorinostat","SIDM01187",1.608329,2.4875283,1
"23","Buparlisib","SIDM00077",0.013728,0.34639445,1
"24","Cisplatin","SIDM00064",1.76325366666667,2.4463003,1
"25","PCI-34051","SIDM00332",5.746768,5.4476,1
"26","Vinblastine","SIDM00174",-4.4932405,-4.5450444,1
"27","IWP-2","SIDM00793",2.146301,2.3981214,1
"28","VX-11e","SIDM00758",1.657313,2.7750406,1
"29","LY2109761","SIDM00837",4.501555,5.204862,1
"30","Nilotinib","SIDM01247",1.1534605,2.3825552,1
"31","Linsitinib","SIDM00699",2.579066,3.783394,1
"32","AT13148","SIDM00537",2.842459,3.894611,1
"33","Cisplatin","SIDM00120",2.25017733333333,3.3336632,1
"34","BMS-345541","SIDM00719",5.569043,4.305713,1
"35","WIKI4","SIDM01229",4.344849,3.9482965,1
"36","GSK1904529A","SIDM00287",2.695081,0.8612304,1
"37","XAV939","SIDM00964",2.5174255,3.8742578,1
"38","AZD8186","SIDM00098",3.6110575,2.1697307,1
"39","Alpelisib","SIDM00309",4.972602,4.6133323,1
"40","Navitoclax","SIDM00381",3.9914675,3.2060754,1
"41","Nutlin-3a (-)","SIDM00885",4.1170585,5.2655473,1
"42","MK-1775","SIDM00381",0.971567,1.7844343,1
"43","Oxaliplatin","SIDM00539",4.1511535,5.020142,1
"44","SCH772984","SIDM00826",-2.371284,1.2012755,1
"45","WIKI4","SIDM00056",3.873413,3.6468928,1
"46","AMG-319","SIDM00351",4.381102,4.221704,1
"47","MIM1","SIDM00042",3.76392,4.1310725,1
"48","Luminespib","SIDM00655",-3.239524,-0.8037777,1
"49","MIRA-1","SIDM00817",5.042824,5.870986,1
"50","BIBR-1532","SIDM01159",4.30429,4.8336253,1
"51","Alpelisib","SIDM00263",1.009765,2.9666514,1
"52","Vinorelbine","SIDM01006",-5.701762,-4.6926775,1
"53","Venetoclax","SIDM00388",3.261062,1.3691533,1
"54","Pictilisib","SIDM00542",2.492094,1.6189756,1
"55","Irinotecan","SIDM00111",2.03566,3.3090973,1
"56","LGK974","SIDM01126",3.0547295,3.7289348,1
"57","Dabrafenib","SIDM00201",4.4734655,3.4414964,1
"58","AZD7762","SIDM00346",-0.446281,-0.8864852,1
"59","Leflunomide","SIDM00859",4.32032,3.3670137,1
"60","Wnt-C59","SIDM00534",2.810193,3.0790496,1
"61","WEHI-539","SIDM00203",3.061166,3.2629032,1
"62","OTX015","SIDM00974",3.725203,2.7464542,1
"63","Dinaciclib","SIDM00976",-3.108552,-1.1794001,1
"64","Ibrutinib","SIDM00411",5.899052,5.5922894,1
"65","Sepantronium bromide","SIDM00042",-5.8211975,-4.1590276,1
"66","Dactinomycin","SIDM00632",-5.825258,-4.433485,1
