,drug,cell_line,IC50,prediction
0,Gemcitabine,SIDM00659,-3.508871333333333,-1.6882292
1,EPZ004777,SIDM00783,5.083257,5.6400175
2,Entospletinib,SIDM00407,0.132074,2.038546
3,GDC0810,SIDM00091,6.973783,5.635722
4,Ibrutinib,SIDM00103,6.349576,6.251917
5,I-BRD9,SIDM00917,3.280439,3.3989177
6,VX-11e,SIDM01132,3.3916905,3.1087368
7,NVP-ADW742,SIDM00592,2.270735,1.8508896
8,Venetoclax,SIDM01168,3.390214,3.3760798
9,Nilotinib,SIDM00154,3.3176005,4.0872054
10,Fulvestrant,SIDM00196,3.374845333333333,3.1784306
11,KU-55933,SIDM00954,4.5482245,4.4182925
12,PLX-4720,SIDM00532,3.9665313333333336,4.650998
13,Erlotinib,SIDM00367,3.712832,3.2185104
14,Epirubicin,SIDM00299,-0.624894,-0.93197286
15,Crizotinib,SIDM00606,3.93993,2.950287
16,Sapitinib,SIDM00930,5.364807,2.3542206
17,PD0325901,SIDM00302,-0.49516,0.88488007
18,BMS-345541,SIDM00905,3.097411,3.1584766
19,EPZ004777,SIDM00256,4.339178,4.6024327
20,BIBR-1532,SIDM00374,5.214057,4.7379484
21,Gefitinib,SIDM00969,1.7519695000000002,2.4012108
22,UMI-77,SIDM00917,2.442734,2.9294803
23,Linsitinib,SIDM00242,0.6660615000000001,2.1283634
24,I-BET-762,SIDM00198,3.416004,0.4783499
25,Camptothecin,SIDM00917,-5.095388,-3.4251075
26,MK-1775,SIDM00792,0.563692,1.2123032
27,5-Fluorouracil,SIDM00472,5.961736999999999,3.107003
28,Cytarabine,SIDM00262,0.970566,0.1968234
29,UMI-77,SIDM00562,1.823414,3.0477338
30,LY2109761,SIDM00317,7.386086,6.050848
31,Camptothecin,SIDM00101,-1.391849,-1.3400549
32,OF-1,SIDM00257,4.206854,3.9276156
33,Sapitinib,SIDM00256,4.146909,1.4737567
34,Talazoparib,SIDM00407,3.2505315,2.2523332
35,Fulvestrant,SIDM00154,3.346953333333333,4.164763
36,Lapatinib,SIDM00302,3.3607455,4.3198895
37,Navitoclax,SIDM00242,1.0465555,1.3307602
38,Ruxolitinib,SIDM00969,4.452237,4.82938
39,Savolitinib,SIDM00299,4.577383,3.6027727
40,WZ4003,SIDM00917,2.478805,3.6850832
41,WEHI-539,SIDM00905,4.292709,4.3941617
42,5-Fluorouracil,SIDM00198,3.907721,1.1526638
43,Lapatinib,SIDM00103,5.417033,5.731489
44,Uprosertib,SIDM00659,2.658066,3.060309
45,Ibrutinib,SIDM00198,5.396274,4.1189127
46,Vinblastine,SIDM00969,-4.0910875,-4.669015
