,drug,cell_line,IC50,prediction
0,Cytarabine,SIDM01102,-1.42943,-0.59471416
1,LGK974,SIDM00156,2.9715695,3.6675787
2,EPZ5676,SIDM00137,6.404606,6.4165425
3,Navitoclax,SIDM00412,-0.1452935,-0.007809326
4,AZD7762,SIDM01198,-1.1429156666666669,0.3107552
5,LCL161,SIDM00519,5.219727,4.0145664
6,AZD5363,SIDM00445,1.780595,3.2745035
7,XAV939,SIDM00584,4.563045,4.538235
8,NVP-ADW742,SIDM01237,3.701709,3.042563
9,NVP-ADW742,SIDM00323,3.387471,1.9801539
10,Cyclophosphamide,SIDM00099,6.269198,5.920928
11,VE-822,SIDM00323,-0.538824,1.4845545
12,PLX-4720,SIDM00631,4.426170333333333,4.877731
13,WIKI4,SIDM00121,3.710353,3.2617264
14,Dinaciclib,SIDM01041,-4.369375,-0.0042345673
15,Vorinostat,SIDM00679,2.053652,0.64262235
16,ML323,SIDM01011,3.769173,3.8391938
17,Sorafenib,SIDM00631,3.021151,3.1434467
18,Linsitinib,SIDM00530,4.276799,3.4164886
19,Cisplatin,SIDM00530,3.6627673333333335,3.5615249
20,Navitoclax,SIDM00584,3.342811,1.5487309
21,Dasatinib,SIDM00276,-2.5557135,1.9664166
22,CZC24832,SIDM00121,3.100095,3.0983238
23,GSK343,SIDM00190,3.118034,3.4667459
24,AZD3759,SIDM00466,3.802467,3.8336384
25,PLX-4720,SIDM00043,3.1252063333333333,3.8206308
26,Talazoparib,SIDM00569,2.6529315,3.7406187
27,Dinaciclib,SIDM00364,-3.90001,-1.9436877
28,WZ4003,SIDM00679,5.139198,3.1387422
29,Temozolomide,SIDM00538,6.4119005,6.4439054
30,Entinostat,SIDM00700,2.5609485,2.6768343
31,GSK343,SIDM00156,4.4624805,3.783214
32,Irinotecan,SIDM00193,4.257608,3.0789876
33,Palbociclib,SIDM00193,2.722442,2.5663445
34,Uprosertib,SIDM00231,3.542769,4.780097
35,Alpelisib,SIDM00543,5.227856,4.733691
36,Wnt-C59,SIDM00721,5.639853,3.4520085
37,Gemcitabine,SIDM01011,-3.540551,-3.7176397
38,RVX-208,SIDM00099,7.665686,5.303927
39,UMI-77,SIDM00621,2.625885,1.5209222
40,AZD8186,SIDM00412,-1.7198775,1.2127097
41,GSK2606414,SIDM00967,3.917071,3.27424
42,BMS-345541,SIDM00530,3.3593650000000004,3.8868098
43,MK-1775,SIDM00543,0.342718,1.2399096
44,Pevonedistat,SIDM01237,3.803114,1.178828
45,Cediranib,SIDM00156,1.800909,1.8683326
46,BMS-536924,SIDM00156,3.0951350000000004,1.3647664
47,OSI-027,SIDM00621,0.9035845,1.8181111
48,NVP-ADW742,SIDM01102,3.273198,1.7693083
49,Ulixertinib,SIDM01237,4.1118255,3.3904269
50,Palbociclib,SIDM00364,1.2879505,1.9496529
51,Trametinib,SIDM00679,-0.3267925,-2.6210756
52,Docetaxel,SIDM00543,-2.607687333333333,-3.6044977
53,GSK343,SIDM00099,6.1920905,5.07644
54,BMS-345541,SIDM00445,2.5977745,3.574099
55,IWP-2,SIDM00193,3.164829,3.0871444
56,Alpelisib,SIDM00043,2.875366,3.2371106
57,Buparlisib,SIDM00569,0.764833,1.201062
58,AMG-319,SIDM00569,3.768875,5.0445824
59,Sapitinib,SIDM00621,5.666476,2.5588508
60,VE-822,SIDM00721,4.55809,3.3739114
61,UMI-77,SIDM00679,4.023092,2.654693
62,LGK974,SIDM00137,4.3079575000000006,4.481638
63,PFI3,SIDM00190,6.769222,4.7523956
64,CZC24832,SIDM00193,4.748425,5.3439407
65,Dabrafenib,SIDM00137,4.162262,4.718459
66,Afuresertib,SIDM00156,4.641968,2.8931887
67,RVX-208,SIDM00193,5.487637,4.7183228
68,SCH772984,SIDM00631,4.218753,3.7792797
69,MN-64,SIDM01198,4.700229,3.9284875
70,Navitoclax,SIDM00967,3.7728755,0.56670123
71,Daporinad,SIDM00156,-3.854242,-4.2013206
72,Taselisib,SIDM00190,2.165325,2.5863113
73,LY2109761,SIDM00190,5.476123,5.078882
74,Nilotinib,SIDM01011,1.1869245,2.089013
75,Linsitinib,SIDM00099,4.0063585,4.1480603
76,Nilotinib,SIDM00099,5.4061615,4.1297274
77,LCL161,SIDM01198,3.9287095,3.4164345
78,Alisertib,SIDM00519,2.585704,0.9748452
79,BMS-345541,SIDM00190,3.1676575,3.0355709
80,Afatinib,SIDM00193,3.5815406666666667,1.9897947
81,Foretinib,SIDM00099,1.984698,1.6260595
82,Alisertib,SIDM00193,2.8006015,0.94985265
83,XAV939,SIDM00543,3.7133475,5.112595
84,VX-11e,SIDM00099,5.721693999999999,4.2644625
85,AZD5363,SIDM00276,2.794676,3.7938428
86,Camptothecin,SIDM00584,-1.625618,-0.6520839
87,I-BRD9,SIDM00156,4.325456,4.0584345
88,RVX-208,SIDM00543,4.813187,4.823043
89,Afuresertib,SIDM00445,1.752548,3.373388
90,Camptothecin,SIDM01237,-1.811713,-2.8192573
91,Luminespib,SIDM00156,-2.2235495,-0.67608166
92,Oxaliplatin,SIDM00190,5.759866,4.155985
93,Tamoxifen,SIDM00466,6.355379,4.850807
94,Sorafenib,SIDM00323,1.950347,1.851531
95,Paclitaxel,SIDM00445,-4.376856,-2.288196
96,Cisplatin,SIDM00967,4.0666226666666665,2.309427
97,AZ6102,SIDM00364,1.839163,2.1866624
98,Irinotecan,SIDM00543,4.437546,2.9260533
99,PRT062607,SIDM00584,3.806084,3.6872163
100,Afuresertib,SIDM01102,0.152251,1.89689
101,Oxaliplatin,SIDM00121,2.3998195,2.7439487
102,Foretinib,SIDM00156,-0.0350485,-0.40162557
103,PLX-4720,SIDM00445,4.726089666666667,4.818655
104,CZC24832,SIDM00569,5.311839,5.0291014
105,Sepantronium bromide,SIDM00967,-2.0750895,-2.5044937
106,Leflunomide,SIDM00276,5.977444,5.7877607
107,Docetaxel,SIDM00538,-2.2603926666666667,-2.57378
108,Dactinomycin,SIDM00679,-3.5763045,-4.0768013
109,SCH772984,SIDM00543,0.463525,-0.4503101
110,Luminespib,SIDM01041,-3.357477,0.8103812
111,GSK591,SIDM00543,4.801012,4.6493654
112,Ibrutinib,SIDM00445,3.480157,3.6011443
113,Camptothecin,SIDM00700,0.190717,-2.9530792
114,Foretinib,SIDM00121,-1.3458505,-0.68238497
115,Palbociclib,SIDM00276,2.0136565,3.2337902
116,AZD7762,SIDM00530,0.290417,2.555449
117,Ruxolitinib,SIDM01198,3.55497,3.4873836
118,Irinotecan,SIDM00121,0.103546,0.61355174
119,Alpelisib,SIDM01102,3.811606,3.2979665
120,Dasatinib,SIDM00679,2.72484,0.9338912
121,OTX015,SIDM00679,3.775427,2.0715868
122,Cediranib,SIDM01041,2.677004,3.3113198
123,AZD7762,SIDM00538,-1.7201083333333334,2.3402486
124,Dactinomycin,SIDM01237,-0.8130795000000001,-2.3843696
125,Pictilisib,SIDM00621,0.9486656666666664,1.0314851
126,Pevonedistat,SIDM01011,0.6193825,-0.28683215
127,BIBR-1532,SIDM00412,3.771983,3.8718371
128,Wnt-C59,SIDM01041,2.7822835,3.2834759
129,Talazoparib,SIDM00543,4.692346000000001,3.4792295
130,UMI-77,SIDM00276,5.276543,3.5611358
131,Pictilisib,SIDM00323,1.6305953333333332,0.663178
132,OF-1,SIDM00530,5.481943,4.2690988
133,AZ960,SIDM01011,1.337791,0.41648048
134,LGK974,SIDM00584,4.009641,4.1861324
135,Uprosertib,SIDM00364,2.06408,2.6478176
136,MIRA-1,SIDM00584,5.29915,5.9445505
137,Buparlisib,SIDM01198,0.517176,-0.0021873862
138,Entinostat,SIDM01237,2.4363,2.5926003
139,Vinorelbine,SIDM00466,1.8147225,-0.9464104
140,Erlotinib,SIDM00412,2.91859,1.9869418
141,Epirubicin,SIDM00156,-1.292066,-2.31608
142,Leflunomide,SIDM00569,4.966933,5.1690955
143,Dactolisib,SIDM00621,-1.256472,-1.6771286
144,Sorafenib,SIDM00156,1.7130655,2.1824152
145,Niraparib,SIDM01237,6.271179,5.389392
146,VX-11e,SIDM01102,1.640346,2.286744
147,WEHI-539,SIDM00364,3.795207,2.5644822
148,Ibrutinib,SIDM01198,2.89612,2.6684752
149,Afatinib,SIDM00099,3.219456333333333,3.1398578
150,Nutlin-3a (-),SIDM00631,4.8905685000000005,5.4698515
151,Buparlisib,SIDM00137,0.243329,1.2749257
152,Cyclophosphamide,SIDM01198,4.814448,3.961996
153,AZD5363,SIDM00530,1.21957,3.99587
154,Luminespib,SIDM00700,-1.7528975,0.70519865
155,PLX-4720,SIDM00967,5.714964666666667,3.55515
156,Nilotinib,SIDM01237,4.696213,3.423941
157,AZD5582,SIDM00569,2.654768,1.6844791
158,MK-1775,SIDM00584,0.902446,1.243819
159,Vinblastine,SIDM00137,-5.535166,-3.0443225
160,WZ4003,SIDM00519,4.728884,3.2384667
161,Savolitinib,SIDM00530,3.184643,3.4784148
162,Sapitinib,SIDM00412,0.816868,1.0713615
163,Obatoclax Mesylate,SIDM00679,1.094929,-0.72774947
164,PLX-4720,SIDM00099,5.237651666666667,5.074731
165,Alisertib,SIDM01011,2.872021,-0.5729438
