,drug,cell_line,IC50,prediction
0,Epirubicin,SIDM00289,-1.292702,-2.9054875
1,Fulvestrant,SIDM00813,3.984098,3.3147285
2,Talazoparib,SIDM00264,-1.575634,-0.34523383
3,GSK591,SIDM01092,5.125682,1.8520244
4,Vinorelbine,SIDM00118,-5.263187,-1.4838573
5,Vinblastine,SIDM00900,-4.41045,-4.993228
6,EPZ5676,SIDM01206,4.695475,5.580023
7,AGI-6780,SIDM00371,2.6546225000000003,3.4494731
8,Cytarabine,SIDM00118,-0.6120665000000001,1.8842946
9,Gefitinib,SIDM00973,1.931545,2.7480252
10,Alpelisib,SIDM00264,4.259628,2.235566
11,AZ6102,SIDM00973,1.882672,2.7711623
12,PLX-4720,SIDM01163,5.314484333333334,3.8582556
13,MK-1775,SIDM01163,1.949721,0.22323893
14,Cyclophosphamide,SIDM01163,7.034638,5.62588
15,WIKI4,SIDM00813,4.115607,3.6758335
16,AGI-5198,SIDM00813,3.842013,3.2665083
17,AZD7762,SIDM00258,1.1668213333333333,-1.0551769
18,Vinblastine,SIDM00113,-1.6090375,-3.5465193
19,RVX-208,SIDM00086,5.385999,5.468028
20,I-BRD9,SIDM00544,4.346624,3.1883202
21,MK-8776,SIDM00118,3.092557,3.8612163
22,Dactolisib,SIDM00104,-1.736081,-2.4690254
23,Talazoparib,SIDM00289,-0.8723485,0.0007186793
24,CZC24832,SIDM01206,4.24245,4.299836
25,Lapatinib,SIDM00889,2.498246,2.3563416
26,GSK2578215A,SIDM00591,2.412121,5.233126
27,Uprosertib,SIDM00889,0.217612,1.6132883
28,Linsitinib,SIDM01163,3.6651545,3.7695658
29,Dabrafenib,SIDM00591,3.9558605,4.214262
30,Paclitaxel,SIDM00483,-0.70484,-2.4547296
31,MIM1,SIDM00113,5.236097,3.8706486
32,MK-8776,SIDM00224,4.194507,3.6726165
33,XAV939,SIDM00145,3.675658,1.9792911
34,AZD5363,SIDM00100,4.122019,3.5519762
35,WEHI-539,SIDM00889,4.21662,2.7923014
36,BMS-345541,SIDM01163,4.7432845,3.9222782
37,GDC0810,SIDM00181,5.745348,5.584277
38,PLX-4720,SIDM00145,3.61208,2.604339
39,Temozolomide,SIDM00113,6.9382975,5.908585
40,AGI-5198,SIDM00889,3.982892,3.467416
41,Ibrutinib,SIDM00889,2.867082,3.1574395
42,Luminespib,SIDM00900,-3.914806,-3.6343427
43,LCL161,SIDM00104,5.1030555,4.1066217
44,GSK1904529A,SIDM00289,2.7785395,2.3891842
45,Cyclophosphamide,SIDM00224,5.429899,5.4014797
46,AGI-6780,SIDM00973,3.1712555,3.2639089
47,Dinaciclib,SIDM00188,-1.948281,1.1935029
48,Temozolomide,SIDM00813,4.380917500000001,3.9861958
49,VE821,SIDM01206,2.514762,3.8660169
50,Bortezomib,SIDM00813,-5.087346,-3.8940628
51,Taselisib,SIDM00293,4.54454,2.3481722
52,GSK1904529A,SIDM00188,3.9190535,4.3013716
53,AZ6102,SIDM01163,3.725288,3.1055849
54,Ipatasertib,SIDM00181,3.44886,3.9152894
55,EPZ004777,SIDM00289,4.648499,4.1367197
56,PRT062607,SIDM00264,3.211485,3.153735
57,RVX-208,SIDM00483,5.076804,5.738203
58,Vinblastine,SIDM00379,-4.5759015,-4.4255495
59,VE-822,SIDM00145,2.658013,0.90801984
60,Entospletinib,SIDM00973,4.424175,3.4832084
61,Ruxolitinib,SIDM00371,5.0132085,5.0806546
62,EPZ004777,SIDM00145,4.50723,3.9716556
63,AGI-5198,SIDM01206,2.402684,3.703452
64,Vinblastine,SIDM01092,-4.976646000000001,-4.9957666
65,Olaparib,SIDM00544,2.5456806666666667,2.7431428
66,MK-1775,SIDM00591,-0.424053,0.12916185
67,Docetaxel,SIDM00181,-3.5292246666666665,-2.5563338
68,WIKI4,SIDM01206,2.258782,3.9070058
69,AGI-6780,SIDM00813,2.476276,2.319749
70,MIRA-1,SIDM00483,7.397263,5.9006953
71,Cytarabine,SIDM00483,1.9936555,1.3584737
72,WEHI-539,SIDM00900,3.404886,2.856282
73,PD173074,SIDM01145,-2.544659,2.2549381
74,Luminespib,SIDM00483,-1.570667,-2.1331396
75,Savolitinib,SIDM00104,1.451791,3.5398042
76,Ruxolitinib,SIDM00086,4.964702,4.9616857
77,Gemcitabine,SIDM00267,-0.7089576666666666,-1.3056055
78,Bortezomib,SIDM01092,-4.902234,-3.754923
79,Afatinib,SIDM00118,2.086818333333333,1.1131281
80,Nutlin-3a (-),SIDM00293,4.572223,4.0220895
81,GSK2578215A,SIDM00289,4.675197,3.9444654
82,Wnt-C59,SIDM00293,3.7548725,3.3521137
83,Vinblastine,SIDM00104,-3.3821175,-3.7643044
84,Docetaxel,SIDM00889,-4.78964,-3.7235887
85,Irinotecan,SIDM00104,4.735371,2.4837387
86,Vinorelbine,SIDM00181,-2.426535,-2.2260454
87,Gemcitabine,SIDM00113,-1.0269940000000002,-1.8474805
88,MK-2206,SIDM00483,0.7737375,2.0474715
89,Entospletinib,SIDM00677,4.500123,3.6855257
90,Nutlin-3a (-),SIDM00813,0.920833,2.5472534
91,OF-1,SIDM00311,5.074133,4.1890626
92,Pictilisib,SIDM00100,2.069824666666667,2.339689
93,NVP-ADW742,SIDM01145,1.588318,2.4775906
94,Ipatasertib,SIDM01145,2.437372,3.8219845
95,MIM1,SIDM00258,2.9081725,2.9233997
96,Linsitinib,SIDM00100,3.871065,3.6682274
97,AZD7762,SIDM00100,1.9133276666666668,0.06082156
98,GSK2578215A,SIDM00104,5.507389,5.25941
99,Nilotinib,SIDM00258,3.0691115,2.5419915
100,Foretinib,SIDM00181,0.5104625,2.4961584
101,Paclitaxel,SIDM00973,-3.491688,-2.3417351
102,WZ4003,SIDM00224,4.386353,4.217062
103,Dasatinib,SIDM00813,-0.8652315000000002,-0.77282083
104,VE-822,SIDM01163,6.04735,3.7528389
105,AT13148,SIDM00544,4.183697,2.6069
106,GSK343,SIDM00181,4.112145,4.211116
107,SCH772984,SIDM00258,4.67731,2.4103901
108,P22077,SIDM00267,5.818261,4.7408667
109,Fulvestrant,SIDM01145,2.6778145,3.6098945
110,PCI-34051,SIDM00813,2.380487,3.2544682
111,Taselisib,SIDM00181,2.129958,1.6507467
112,Navitoclax,SIDM00293,-1.057539,0.8353068
113,Temozolomide,SIDM01145,5.356673,5.281568
114,Uprosertib,SIDM00973,2.353288,3.139849
115,GSK343,SIDM00371,5.143262,4.7893233
116,Cisplatin,SIDM00104,2.6749336666666665,2.1879666
117,Alisertib,SIDM00224,1.5583585000000002,2.00408
118,VE821,SIDM00544,1.050358,3.430388
119,BIBR-1532,SIDM00118,5.102753,5.326356
120,I-BET-762,SIDM00264,3.038692,2.6239078
121,Cisplatin,SIDM00379,2.529134,2.5523522
122,UMI-77,SIDM00973,3.353376,3.0883434
123,Lapatinib,SIDM00225,3.163055,4.119506
124,MIM1,SIDM00264,2.6642525,2.8401096
125,Nilotinib,SIDM00113,5.118755,3.7686741
126,Gefitinib,SIDM01206,1.930708,1.5039171
127,AZD7762,SIDM01092,0.8777789999999999,-1.1371701
128,Alisertib,SIDM00371,3.001354,2.4695292
129,AT13148,SIDM00264,4.802533,2.7432559
130,Dasatinib,SIDM00100,1.339936,0.53372276
131,AZ6102,SIDM01206,1.241505,1.806096
132,Camptothecin,SIDM00591,-1.716123,-0.78950024
133,I-BRD9,SIDM00483,5.536927,5.003761
134,Erlotinib,SIDM00100,4.710975,4.6296535
135,OTX015,SIDM00371,3.018321,2.878606
136,Docetaxel,SIDM00900,-4.765284666666666,-3.3649974
137,Buparlisib,SIDM00113,2.565248,1.7160372
138,GSK1904529A,SIDM00113,5.002657,4.4635262
139,Oxaliplatin,SIDM00677,1.7760415,4.1508474
140,Temozolomide,SIDM00544,6.136751,4.2348866
141,Cediranib,SIDM00544,1.181043,0.9803573
142,Wee1 Inhibitor,SIDM00267,2.7773185,2.4136183
143,Taselisib,SIDM00118,1.37725,1.2492789
144,Irinotecan,SIDM00311,1.349505,2.888952
145,ML323,SIDM00973,4.90368,5.121631
146,Leflunomide,SIDM00264,4.572252,4.630523
147,EPZ5676,SIDM00813,4.265302,4.9845257
148,GSK591,SIDM00118,5.109239,3.7484102
149,Daporinad,SIDM00100,0.2052564999999999,0.16778226
150,Gefitinib,SIDM00225,3.3594335,2.3682816
151,Obatoclax Mesylate,SIDM00289,-2.3445535,-0.03309441
152,Daporinad,SIDM01220,-4.1972385,-1.8956752
153,5-Fluorouracil,SIDM00677,1.25039,2.3535428
154,Sabutoclax,SIDM00677,-0.200939,-0.045697767
155,Cyclophosphamide,SIDM00900,4.831378,4.0938597
156,Dactinomycin,SIDM00181,-2.8531555,1.3798393
157,GSK2578215A,SIDM00113,7.242987,6.054247
