,drug,cell_line,IC50,prediction
0,MIRA-1,SIDM00517,6.073941,5.890515
1,Cisplatin,SIDM01114,2.006427,2.1766272
2,WIKI4,SIDM00244,3.914198,2.4179897
3,BMS-536924,SIDM00537,1.733863,1.5265148
4,Bortezomib,SIDM01093,-4.115848,-3.8152685
5,MK-1775,SIDM00094,1.91712,2.5087163
6,LY2109761,SIDM00539,5.400771,5.2231517
7,LGK974,SIDM01233,3.895076,4.4341526
8,GDC0810,SIDM00496,4.965005,5.0065794
9,Sorafenib,SIDM00551,2.384396,2.6621065
10,BMS-536924,SIDM01093,3.1085975,2.7360315
11,Bortezomib,SIDM01161,-4.938108,-5.386764
12,LGK974,SIDM00520,3.924767,4.4789414
13,Fulvestrant,SIDM00136,3.780350333333333,3.7140577
14,Entospletinib,SIDM00244,1.924032,2.804081
15,MIM1,SIDM01175,4.770428,5.1047826
16,Oxaliplatin,SIDM00561,1.8525435,2.6710458
17,Epirubicin,SIDM00565,-0.311385,-0.92376065
18,VE821,SIDM01090,3.11085,3.4413302
19,Dinaciclib,SIDM00291,-2.624957,-1.3101978
20,Cediranib,SIDM00837,1.05822,1.7242479
21,Vorinostat,SIDM01187,1.608329,2.4875283
22,Buparlisib,SIDM00077,0.013728,0.34639445
23,Cisplatin,SIDM00064,1.7632536666666667,2.4463003
24,PCI-34051,SIDM00332,5.746768,5.4476
25,Vinblastine,SIDM00174,-4.493240500000001,-4.5450444
26,IWP-2,SIDM00793,2.146301,2.3981214
27,VX-11e,SIDM00758,1.657313,2.7750406
28,LY2109761,SIDM00837,4.501555,5.204862
29,Nilotinib,SIDM01247,1.1534605,2.3825552
30,Linsitinib,SIDM00699,2.579066,3.783394
31,AT13148,SIDM00537,2.842459,3.894611
32,Cisplatin,SIDM00120,2.2501773333333333,3.3336632
33,BMS-345541,SIDM00719,5.569043,4.305713
34,WIKI4,SIDM01229,4.344849,3.9482965
35,GSK1904529A,SIDM00287,2.695081,0.8612304
36,XAV939,SIDM00964,2.5174255,3.8742578
37,AZD8186,SIDM00098,3.6110575,2.1697307
38,Alpelisib,SIDM00309,4.972602,4.6133323
39,Navitoclax,SIDM00381,3.9914675,3.2060754
40,Nutlin-3a (-),SIDM00885,4.117058500000001,5.2655473
41,MK-1775,SIDM00381,0.971567,1.7844343
42,Oxaliplatin,SIDM00539,4.1511535,5.020142
43,SCH772984,SIDM00826,-2.371284,1.2012755
44,WIKI4,SIDM00056,3.873413,3.6468928
45,AMG-319,SIDM00351,4.381102,4.221704
46,MIM1,SIDM00042,3.76392,4.1310725
47,Luminespib,SIDM00655,-3.2395240000000003,-0.8037777
48,MIRA-1,SIDM00817,5.042824,5.870986
49,BIBR-1532,SIDM01159,4.30429,4.8336253
50,Alpelisib,SIDM00263,1.009765,2.9666514
51,Vinorelbine,SIDM01006,-5.701762,-4.6926775
52,Venetoclax,SIDM00388,3.261062,1.3691533
53,Pictilisib,SIDM00542,2.4920940000000003,1.6189756
54,Irinotecan,SIDM00111,2.03566,3.3090973
