,drug,cell_line,IC50,prediction
0,ML323,SIDM00472,5.415662,5.2840953
1,Crizotinib,SIDM00923,2.558205,2.912079
2,GSK2606414,SIDM01251,3.235952,2.5859897
3,WZ4003,SIDM00023,5.06974,5.087558
4,Taselisib,SIDM00842,1.259014,0.8909255
5,UMI-77,SIDM00465,1.812187,3.4547768
6,Cisplatin,SIDM00528,3.5545546666666668,3.5965595
7,Pictilisib,SIDM00789,0.2670755,0.51996005
8,Venetoclax,SIDM01233,3.736786,3.21973
9,PD0325901,SIDM00465,-1.093416,0.20026556
10,P22077,SIDM00101,5.341781,6.3432717
11,CZC24832,SIDM00465,6.626288,3.783649
12,PFI3,SIDM00483,6.556791,5.432519
13,Osimertinib,SIDM00394,3.261981,3.007966
14,MIRA-1,SIDM01160,5.879767,4.9213467
15,AZD7762,SIDM00233,-2.9331763333333334,-1.6657374
16,OTX015,SIDM00969,1.474036,1.5659877
17,BIBR-1532,SIDM00520,5.359353,5.5762253
18,SCH772984,SIDM00317,5.956281,4.775334
19,Crizotinib,SIDM00810,1.2708,2.1231174
20,LY2109761,SIDM01198,4.573462,4.4118524
21,Cytarabine,SIDM00202,-2.4645650000000003,-0.8584303
22,Ulixertinib,SIDM00832,1.893703,3.5856218
23,AGI-5198,SIDM00973,5.544591,3.218852
24,Uprosertib,SIDM00875,2.6044655,2.6488943
25,Dactinomycin,SIDM00549,-5.776198,0.7486279
26,Wnt-C59,SIDM00136,3.1942295,3.2842855
27,CZC24832,SIDM00810,4.864108,4.007773
28,AMG-319,SIDM00962,4.364244,1.1226205
29,AGI-6780,SIDM00542,2.7747025,3.3281093
30,GSK2606414,SIDM00953,3.773049,3.304078
31,AZD5582,SIDM00231,2.850322,2.1124516
32,Dactinomycin,SIDM00043,-5.1193905,1.2024435
33,5-Fluorouracil,SIDM00565,4.2555655,2.5809288
34,I-BRD9,SIDM00968,4.693582,4.2064295
35,EPZ5676,SIDM00579,5.640479,5.0775037
36,I-BRD9,SIDM00111,6.019713,4.9647336
37,GDC0810,SIDM00243,3.789626,3.9607754
38,MK-2206,SIDM00496,3.183499,2.986309
39,Crizotinib,SIDM00438,3.4418775,2.5358672
40,Wee1 Inhibitor,SIDM00487,1.500371,1.736791
41,AZ6102,SIDM00218,4.569919,3.9328094
42,Sepantronium bromide,SIDM00407,-5.2695035,-4.6073656
43,MIRA-1,SIDM00102,6.639169,5.678537
44,5-Fluorouracil,SIDM00293,3.9220895,1.6560881
45,AZD5582,SIDM00488,3.347713,2.3800395
46,AZD3759,SIDM01198,2.427634,2.349062
47,Alisertib,SIDM00584,4.1041635,2.5019197
48,Bortezomib,SIDM00688,-6.328179,-1.7146969
49,AZD5363,SIDM01233,3.404528,3.281907
50,Epirubicin,SIDM00592,-2.374362,-2.6075313
51,WZ4003,SIDM00412,2.585028,2.4719663
52,Afatinib,SIDM01175,3.395642333333333,3.169014
53,AZD7762,SIDM00099,1.1559143333333333,1.2746277
54,Venetoclax,SIDM01175,3.720995,4.6394076
55,Docetaxel,SIDM00490,-5.623657000000001,-3.2586274
56,PFI3,SIDM01073,4.028007,4.610785
57,GSK2606414,SIDM00631,6.011463,4.106092
58,Trametinib,SIDM01197,-3.379181,0.5752069
59,Fulvestrant,SIDM00968,3.916983,3.7602205
60,Osimertinib,SIDM00100,2.547859,3.1771924
61,EPZ004777,SIDM01006,4.047629,4.62137
62,Camptothecin,SIDM00517,-1.884861,-1.3521997
63,Ulixertinib,SIDM00044,4.3327100000000005,4.178296
64,Alisertib,SIDM00814,2.629615,0.8801542
65,BMS-536924,SIDM00230,2.6082566666666667,0.10826218
66,MN-64,SIDM00145,4.089426,1.9821094
67,AZ6102,SIDM01159,3.665209,2.566735
68,Paclitaxel,SIDM00320,-3.717722,0.6353267
69,Gemcitabine,SIDM00180,-3.017155666666666,-2.5876536
70,BMS-536924,SIDM00951,1.0655743333333334,0.1275817
71,Afuresertib,SIDM00508,0.898802,1.0928631
72,Dabrafenib,SIDM00308,1.057541,1.5282313
73,OSI-027,SIDM00285,2.3193840000000003,2.180191
74,Ipatasertib,SIDM00416,3.32268,2.8795815
75,PD0325901,SIDM00203,2.7975000000000003,2.1277573
76,WIKI4,SIDM01122,3.438744,4.6382213
77,LGK974,SIDM01159,3.13875,3.3012192
78,VE-822,SIDM01019,4.20423,2.52759
79,Gefitinib,SIDM00487,-0.2769635,1.4604
80,AGI-5198,SIDM00832,6.053638,4.6019626
81,Dasatinib,SIDM01120,2.2747485,1.9925262
82,AZD8186,SIDM00256,3.3070885,1.4507066
83,VE821,SIDM00082,4.791747,5.2075763
84,Talazoparib,SIDM01205,2.6506435,1.3953515
85,Wnt-C59,SIDM00137,4.0494345,3.5790105
86,I-BET-762,SIDM00562,4.2686665,2.7016015
87,BMS-536924,SIDM00487,1.6207509999999998,1.7566652
88,Oxaliplatin,SIDM00262,5.6944110000000006,5.045213
89,Tamoxifen,SIDM01159,3.2052305,3.748949
90,Bortezomib,SIDM00832,-4.836992,0.27268794
91,AT13148,SIDM00900,3.404766,1.6611007
92,P22077,SIDM00835,6.575834,6.1425
93,MN-64,SIDM00371,6.375859,4.0191607
94,Savolitinib,SIDM00216,1.598547,2.2389405
95,Niraparib,SIDM00565,4.435582,5.4079566
96,AMG-319,SIDM00537,4.899616,4.047388
97,P22077,SIDM00833,6.168627,6.1989408
98,Docetaxel,SIDM00885,-5.304354,-2.034681
99,Uprosertib,SIDM00599,1.9227295,2.5514107
100,Wee1 Inhibitor,SIDM00114,3.3164985,3.1058025
101,Savolitinib,SIDM00294,2.591407,2.8827095
