,drug,cell_line,IC50,prediction
0,XAV939,SIDM01146,4.088289,3.4806926
1,Rapamycin,SIDM00781,-0.1076074999999999,3.7076762
2,Entospletinib,SIDM00098,4.652878,4.435438
3,UMI-77,SIDM01245,0.865939,2.5392644
4,AZD5363,SIDM00832,2.326271,3.8101978
5,Fulvestrant,SIDM01093,3.69158,4.5766516
6,Fulvestrant,SIDM00967,4.536540333333334,4.7330537
7,Foretinib,SIDM00308,-1.0490235,0.8826217
8,LY2109761,SIDM00205,5.079471,2.7106848
9,Paclitaxel,SIDM00551,-4.753337,0.13282223
10,AZ6102,SIDM00841,3.163473,3.74137
11,Dasatinib,SIDM00308,-5.4532515,-0.94826156
12,Wee1 Inhibitor,SIDM01041,1.618955,2.5150635
13,OTX015,SIDM00841,3.056384,3.1815796
14,Entospletinib,SIDM00310,3.800207,4.4879007
15,MIRA-1,SIDM00537,4.61754,4.810229
16,5-Fluorouracil,SIDM00863,1.9575485,3.0292246
17,AZD7762,SIDM01245,-1.6010203333333333,-1.7467103
18,ML323,SIDM00311,5.137557,4.7698627
19,EPZ5676,SIDM00638,5.521326,5.803503
20,AZD5582,SIDM00680,4.280206,4.006222
21,GSK343,SIDM00094,4.6097595,4.165525
22,Sapitinib,SIDM00483,2.323182,4.2715936
23,BMS-754807,SIDM00118,-0.153337,3.0334496
24,Sorafenib,SIDM00561,2.2465615000000003,1.7210326
25,GSK343,SIDM01120,3.7352915,4.022906
26,Tamoxifen,SIDM00576,3.2783775,2.7222989
27,SCH772984,SIDM00917,2.256927,2.5539098
28,Cisplatin,SIDM00973,1.756971,3.4808707
29,Alpelisib,SIDM00351,2.593093,3.684289
30,Cediranib,SIDM00885,3.869727,2.8810647
31,UMI-77,SIDM00289,2.239468,2.2661407
32,Docetaxel,SIDM01198,-5.454202,-3.6570032
33,AZD3759,SIDM00792,2.649468,2.8273723
34,SCH772984,SIDM00562,3.388513,3.1611354
35,MK-2206,SIDM00101,3.656577,3.090823
36,GSK2606414,SIDM00721,4.406675,4.8437443
37,WZ4003,SIDM00577,4.804609,3.4425452
38,VX-11e,SIDM00835,3.8570785,3.297625
39,NVP-ADW742,SIDM00826,0.192611,2.1421263
40,Irinotecan,SIDM00145,0.035002,1.2118794
41,Talazoparib,SIDM00885,4.550192,2.9992425
42,Temozolomide,SIDM01097,5.754828,4.9189034
43,AZD6738,SIDM00114,3.843737,2.6936996
44,IWP-2,SIDM00326,3.262484,2.7957835
45,EPZ004777,SIDM00948,4.573093,4.2032933
46,WEHI-539,SIDM00241,1.452862,3.486379
