,drug,cell_line,IC50,prediction
0,GSK1904529A,SIDM00287,2.695081,1.8185341
1,XAV939,SIDM00964,2.5174255,2.7021549
2,AZD8186,SIDM00098,3.6110575,3.9846294
3,Alpelisib,SIDM00309,4.972602,1.2172236
4,Navitoclax,SIDM00381,3.9914675,3.4392416
5,Nutlin-3a (-),SIDM00885,4.117058500000001,3.6761248
6,SCH772984,SIDM00826,-2.371284,2.504648
7,AMG-319,SIDM00351,4.381102,-1.4878956
8,Luminespib,SIDM00655,-3.2395240000000003,2.1620915
9,BIBR-1532,SIDM01159,4.30429,4.4312963
10,Alpelisib,SIDM00263,1.009765,-1.2773204
11,Vinorelbine,SIDM01006,-5.701762,2.0047948
12,Venetoclax,SIDM00388,3.261062,2.5990264
13,Pictilisib,SIDM00542,2.4920940000000003,2.641163
14,Irinotecan,SIDM00111,2.03566,4.140161
15,Alpelisib,SIDM00962,4.46513,-1.3423659
16,Navitoclax,SIDM00197,-2.674453,1.8737166
17,Navitoclax,SIDM00362,1.7957800000000002,0.9408908
18,Luminespib,SIDM00699,-0.6123465000000001,3.3193488
19,AMG-319,SIDM00448,4.236596,1.052777
20,Venetoclax,SIDM00808,1.713215,1.7580427
21,Luminespib,SIDM00951,-3.966141,0.49131602
22,Nutlin-3a (-),SIDM00527,2.2382030000000004,2.719488
23,Pictilisib,SIDM00227,1.0316663333333331,1.4277934
24,XAV939,SIDM00316,4.215832499999999,3.7950099
25,Luminespib,SIDM00465,-2.04523,2.6227162
26,Luminespib,SIDM00129,-1.9222365,2.0431175
27,Venetoclax,SIDM00951,2.499558,2.0542524
28,XAV939,SIDM00227,3.9083025,2.9589357
29,Venetoclax,SIDM01168,3.390214,4.265238
30,GSK1904529A,SIDM01160,3.757111,3.5617259
31,AZD8186,SIDM00540,1.186744,2.7918305
32,Pictilisib,SIDM00826,0.0008939999999999,0.7988203
33,BIBR-1532,SIDM00374,5.214057,4.137385
34,Luminespib,SIDM00833,-0.6257870000000001,3.665456
35,GSK1904529A,SIDM00114,3.10321,4.0510554
36,Irinotecan,SIDM00539,3.010363,4.1416664
37,AZD8186,SIDM00837,1.471513,2.3562462
38,BIBR-1532,SIDM01114,4.037107,4.869543
39,BIBR-1532,SIDM00498,5.408865,4.5278325
40,Navitoclax,SIDM00482,-0.1014015,1.1330817
41,Navitoclax,SIDM00242,1.0465555,2.1003556
42,Luminespib,SIDM00351,-3.2401515,1.5280383
43,BIBR-1532,SIDM00044,6.046545,4.987103
44,XAV939,SIDM00935,3.7960095,2.6210642
45,AMG-319,SIDM00389,3.173974,-0.20494466
46,Pictilisib,SIDM00577,0.9474143333333332,1.3115127
47,Irinotecan,SIDM00269,-2.022891,2.902725
48,Alpelisib,SIDM00699,4.345543,2.263909
49,BIBR-1532,SIDM01122,4.0479,4.4604335
50,GSK1904529A,SIDM00316,3.366958,3.2834356
51,Venetoclax,SIDM01179,4.376981,3.9017787
