,drug,cell_line,IC50,prediction
0,Afuresertib,SIDM00127,1.532706,3.9296563
1,Trametinib,SIDM00234,-0.6844520000000001,1.1647745
2,Trametinib,SIDM00600,-3.9769335,2.1377106
3,PD0325901,SIDM00638,0.9421035,2.0286002
4,Dasatinib,SIDM00488,-0.674317,2.459348
5,Cyclophosphamide,SIDM00561,4.404114,2.567388
6,Osimertinib,SIDM00549,0.792496,3.1323001
7,Afuresertib,SIDM00968,2.512336,3.6474144
8,PRT062607,SIDM00393,2.385608,2.0599968
9,PFI3,SIDM00362,3.486362,1.6648587
10,ABT737,SIDM00202,-2.39304,1.1929857
11,Talazoparib,SIDM00260,5.934196,2.6811488
12,MK-2206,SIDM00243,-0.0307494999999999,2.4432828
13,GSK591,SIDM00427,4.140573,1.0933373
14,Ulixertinib,SIDM00274,1.6454695,2.694787
15,Erlotinib,SIDM01133,4.309572,-0.34651786
16,Talazoparib,SIDM00418,2.9362455,4.6096506
17,Cyclophosphamide,SIDM01259,5.129478,2.872164
18,Ulixertinib,SIDM00835,3.2002795,3.6885908
19,Dasatinib,SIDM00251,4.14583,2.189205
20,PFI3,SIDM00846,5.050288,4.4075766
21,Dasatinib,SIDM01174,3.357426,4.2034693
22,Osimertinib,SIDM00214,1.115264,3.728491
23,Erlotinib,SIDM00367,3.712832,-1.743194
24,PD0325901,SIDM00302,-0.49516,-0.2721311
25,PRT062607,SIDM00420,4.218709,2.7621138
26,Dasatinib,SIDM00375,0.144782,2.8438203
27,Ulixertinib,SIDM00549,2.396136,2.548375
28,Cyclophosphamide,SIDM00410,4.300019,3.1493766
29,Dasatinib,SIDM01161,-3.3886935,1.8780935
30,Ulixertinib,SIDM00320,4.453036,4.4650044
31,PD0325901,SIDM00541,-1.9881325,1.6289109
32,Talazoparib,SIDM00407,3.2505315,-0.28692186
33,PD0325901,SIDM00583,1.641708,2.6539195
34,Ulixertinib,SIDM00056,1.1917325,2.1020231
35,GSK591,SIDM00875,3.624048,1.6604364
36,Ulixertinib,SIDM00958,1.1968715,2.020478
37,PD0325901,SIDM00350,-1.249941,2.485062
38,Talazoparib,SIDM00328,5.67477,1.4563076
39,Ulixertinib,SIDM01228,1.711931,2.8209608
40,ABT737,SIDM00975,0.613451,2.2370567
41,Osimertinib,SIDM00420,3.108283,4.478677
42,PRT062607,SIDM01095,3.05884,1.4154611
43,Trametinib,SIDM01248,-1.231516,4.114844
44,Cyclophosphamide,SIDM00233,4.507502,2.6750748
45,Dasatinib,SIDM00688,2.121135,1.7821655
46,GSK591,SIDM00444,5.896787,1.4594154
47,GSK591,SIDM00680,4.151777,1.9978979
48,MK-2206,SIDM00541,1.7603355,2.7451117
49,Osimertinib,SIDM00389,1.297342,2.304093
50,PD0325901,SIDM01098,0.8736655,0.75387144
51,Osimertinib,SIDM00256,1.115958,2.7809603
52,MK-2206,SIDM00974,2.312142,3.399061
