,drug,cell_line,IC50,prediction
0,RVX-208,SIDM00214,5.345416,3.507068
1,I-BRD9,SIDM00261,3.161915,3.5022628
2,Tamoxifen,SIDM01259,2.3264295,3.1029227
3,Lapatinib,SIDM00045,2.0251475,-0.48819667
4,EPZ004777,SIDM00783,5.083257,3.8906567
5,EPZ5676,SIDM00896,4.458965,-1.3866212
6,I-BRD9,SIDM00917,3.280439,2.8038356
7,KU-55933,SIDM00954,4.5482245,1.8756478
8,EPZ004777,SIDM00114,6.607752,4.9952116
9,Crizotinib,SIDM00606,3.93993,3.0430367
10,Sapitinib,SIDM00930,5.364807,-0.2728369
11,AZD5582,SIDM00218,5.3412885,5.9254804
12,EPZ004777,SIDM00256,4.339178,2.965083
13,Crizotinib,SIDM01247,1.223581,3.0780735
14,UMI-77,SIDM00917,2.442734,2.533919
15,I-BET-762,SIDM00198,3.416004,3.2949712
16,Camptothecin,SIDM00917,-5.095388,2.7890623
17,5-Fluorouracil,SIDM00472,5.961736999999999,0.92386913
18,UMI-77,SIDM00562,1.823414,3.9286335
19,Camptothecin,SIDM00101,-1.391849,5.5725913
20,Sapitinib,SIDM00256,4.146909,-1.5561434
21,5-Fluorouracil,SIDM00958,2.850447,-2.6235297
22,EPZ5676,SIDM00406,3.338488,-2.1383913
23,RVX-208,SIDM01122,5.908953,3.8325021
24,I-BET-762,SIDM00501,4.056707,3.916465
25,EPZ5676,SIDM00102,6.758178,0.0035349801
26,I-BRD9,SIDM00623,5.803791,4.2026
27,Lapatinib,SIDM00302,3.3607455,1.0856888
28,Crizotinib,SIDM00489,2.473663,2.4378068
29,Lapatinib,SIDM00885,4.0919035,2.2135603
30,Sapitinib,SIDM00688,4.505622,-2.2302597
31,Lapatinib,SIDM00896,2.1056980000000003,0.8999329
32,AZD5582,SIDM00056,1.379435,3.1328905
33,Lapatinib,SIDM01251,2.2817,0.29830557
34,I-BRD9,SIDM01149,3.388598,2.7167575
35,AZD5582,SIDM00577,4.642208,3.6086512
36,Camptothecin,SIDM00835,0.012046,5.500042
37,Camptothecin,SIDM00482,-4.387523,2.590335
38,I-BET-762,SIDM00064,3.430299,3.2813194
39,AZD5582,SIDM00668,1.92563,3.30258
40,5-Fluorouracil,SIDM00198,3.907721,-0.393143
41,Sapitinib,SIDM00266,5.005037,-2.1241682
42,Camptothecin,SIDM00537,-3.133379,4.443739
43,Lapatinib,SIDM00103,5.417033,1.9621305
44,Lapatinib,SIDM00326,2.4395995,1.1081694
45,Sapitinib,SIDM01042,3.471816,-0.9735898
46,Camptothecin,SIDM00971,2.836993,6.073122
47,EPZ5676,SIDM00814,5.400431,-1.0101163
48,5-Fluorouracil,SIDM00441,1.35804,-1.9290798
49,Lapatinib,SIDM00539,0.913972,1.6170763
50,Lapatinib,SIDM00923,2.094829,0.9364574
51,RVX-208,SIDM00310,5.92736,3.3180223
52,I-BRD9,SIDM00127,5.308305,4.6709127
53,EPZ004777,SIDM00487,4.404049,3.427534
54,UMI-77,SIDM00808,2.412656,2.793639
55,RVX-208,SIDM00875,4.043915,2.1842759
56,I-BRD9,SIDM01187,5.630752,4.2585983
57,EPZ5676,SIDM00517,6.292871,-1.7861599
58,AZD5582,SIDM00274,4.271529,3.8103368
59,5-Fluorouracil,SIDM00045,1.814785,-1.7751125
60,5-Fluorouracil,SIDM00875,2.249926,-0.46984875
61,EPZ5676,SIDM00137,6.404606,-1.5889993
62,5-Fluorouracil,SIDM00410,0.3689429999999999,-0.30078265
63,EPZ5676,SIDM00324,5.521895,-0.1299788
64,EPZ004777,SIDM00064,5.539148,4.2266436
65,Camptothecin,SIDM00599,-4.371271,3.9806607
66,5-Fluorouracil,SIDM01259,3.805786,-0.80104923
67,UMI-77,SIDM00227,3.677664,4.5649776
68,Sapitinib,SIDM00465,-1.078311,0.35226125
69,EPZ5676,SIDM00732,5.470037,-0.572146
70,5-Fluorouracil,SIDM00719,6.5891225,2.045965
71,Camptothecin,SIDM00328,1.324286,5.082969
72,UMI-77,SIDM00491,3.157632,4.16168
73,5-Fluorouracil,SIDM00332,5.864709,0.75185907
74,Tamoxifen,SIDM01042,2.6248685,2.335148
75,5-Fluorouracil,SIDM00216,2.7291325,-0.74706495
76,RVX-208,SIDM00099,7.665686,4.3955145
77,UMI-77,SIDM00621,2.625885,3.9399705
78,EPZ5676,SIDM01206,4.695475,-0.8090397
79,Lapatinib,SIDM01179,4.714086,1.4899503
80,Lapatinib,SIDM00101,5.751819,3.825804
81,Lapatinib,SIDM00491,3.885285,1.9495689
82,Sapitinib,SIDM00482,2.772847,-2.259299
