,drug,cell_line,IC50,prediction
0,Cytarabine,SIDM01102,-1.42943,0.20454583
1,LGK974,SIDM00156,2.9715695,2.5298624
2,EPZ5676,SIDM00137,6.404606,5.569426
3,Navitoclax,SIDM00412,-0.1452935,-0.29090992
4,AZD7762,SIDM01198,-1.1429156666666669,-1.1727033
5,LCL161,SIDM00519,5.219727,3.7127068
6,AZD5363,SIDM00445,1.780595,3.2985585
7,XAV939,SIDM00584,4.563045,3.868513
8,NVP-ADW742,SIDM01237,3.701709,2.7791522
9,NVP-ADW742,SIDM00323,3.387471,1.8629758
10,Cyclophosphamide,SIDM00099,6.269198,5.355658
11,VE-822,SIDM00323,-0.538824,1.5039251
12,PLX-4720,SIDM00631,4.426170333333333,4.583702
13,WIKI4,SIDM00121,3.710353,2.6319609
14,Dinaciclib,SIDM01041,-4.369375,-2.2040575
15,Vorinostat,SIDM00679,2.053652,1.3864391
16,ML323,SIDM01011,3.769173,3.7906632
17,Sorafenib,SIDM00631,3.021151,4.351957
18,Linsitinib,SIDM00530,4.276799,3.4900458
19,Cisplatin,SIDM00530,3.6627673333333335,3.2963707
20,Navitoclax,SIDM00584,3.342811,2.3145676
21,Dasatinib,SIDM00276,-2.5557135,-1.2384431
22,CZC24832,SIDM00121,3.100095,4.0194016
23,GSK343,SIDM00190,3.118034,3.0401595
24,AZD3759,SIDM00466,3.802467,3.7879188
25,PLX-4720,SIDM00043,3.1252063333333333,3.1482153
26,Talazoparib,SIDM00569,2.6529315,2.6714976
27,Dinaciclib,SIDM00364,-3.90001,-3.0932066
28,WZ4003,SIDM00679,5.139198,3.0478969
29,Temozolomide,SIDM00538,6.4119005,6.5902085
30,Entinostat,SIDM00700,2.5609485,2.4619
31,GSK343,SIDM00156,4.4624805,2.4824934
32,Irinotecan,SIDM00193,4.257608,2.4948263
33,Palbociclib,SIDM00193,2.722442,2.2531197
34,Uprosertib,SIDM00231,3.542769,3.4285147
35,Alpelisib,SIDM00543,5.227856,4.0873404
36,Wnt-C59,SIDM00721,5.639853,4.3713293
37,Gemcitabine,SIDM01011,-3.540551,0.10342589
38,RVX-208,SIDM00099,7.665686,5.4403114
39,UMI-77,SIDM00621,2.625885,2.5681515
40,AZD8186,SIDM00412,-1.7198775,1.5466657
41,GSK2606414,SIDM00967,3.917071,3.0505307
42,BMS-345541,SIDM00530,3.3593650000000004,3.6796129
43,MK-1775,SIDM00543,0.342718,0.35865468
44,Pevonedistat,SIDM01237,3.803114,0.95898384
45,Cediranib,SIDM00156,1.800909,1.6046727
46,BMS-536924,SIDM00156,3.0951350000000004,1.4365022
47,OSI-027,SIDM00621,0.9035845,1.7369169
48,NVP-ADW742,SIDM01102,3.273198,1.5989531
49,Ulixertinib,SIDM01237,4.1118255,2.2806427
50,Palbociclib,SIDM00364,1.2879505,1.8758945
51,Trametinib,SIDM00679,-0.3267925,-3.0222201
52,Docetaxel,SIDM00543,-2.607687333333333,-1.58724
53,GSK343,SIDM00099,6.1920905,4.297848
54,BMS-345541,SIDM00445,2.5977745,3.5809238
55,IWP-2,SIDM00193,3.164829,2.5254266
56,Alpelisib,SIDM00043,2.875366,2.5323107
57,Buparlisib,SIDM00569,0.764833,0.8834452
58,AMG-319,SIDM00569,3.768875,4.159213
59,Sapitinib,SIDM00621,5.666476,4.2428308
60,VE-822,SIDM00721,4.55809,3.634277
61,UMI-77,SIDM00679,4.023092,2.417361
62,LGK974,SIDM00137,4.3079575000000006,3.268279
63,PFI3,SIDM00190,6.769222,5.0011296
64,CZC24832,SIDM00193,4.748425,5.4174314
65,Dabrafenib,SIDM00137,4.162262,3.635068
66,Afuresertib,SIDM00156,4.641968,2.4550502
67,RVX-208,SIDM00193,5.487637,4.7517867
68,SCH772984,SIDM00631,4.218753,3.8911188
69,MN-64,SIDM01198,4.700229,4.499312
70,Navitoclax,SIDM00967,3.7728755,1.5019746
71,Daporinad,SIDM00156,-3.854242,-4.4123993
72,Taselisib,SIDM00190,2.165325,2.0574791
73,LY2109761,SIDM00190,5.476123,4.622022
74,Nilotinib,SIDM01011,1.1869245,2.259258
75,Linsitinib,SIDM00099,4.0063585,4.0810657
76,Nilotinib,SIDM00099,5.4061615,4.1898775
77,LCL161,SIDM01198,3.9287095,3.291921
78,Alisertib,SIDM00519,2.585704,1.641371
79,BMS-345541,SIDM00190,3.1676575,3.1397429
80,Afatinib,SIDM00193,3.5815406666666667,1.6058878
81,Foretinib,SIDM00099,1.984698,0.7434863
82,Alisertib,SIDM00193,2.8006015,1.4303826
83,XAV939,SIDM00543,3.7133475,3.8239748
84,VX-11e,SIDM00099,5.721693999999999,4.2315273
85,AZD5363,SIDM00276,2.794676,3.6165364
86,Camptothecin,SIDM00584,-1.625618,-1.7431399
87,I-BRD9,SIDM00156,4.325456,4.035429
88,RVX-208,SIDM00543,4.813187,4.8345695
89,Afuresertib,SIDM00445,1.752548,2.932881
90,Camptothecin,SIDM01237,-1.811713,-2.617792
91,Luminespib,SIDM00156,-2.2235495,-3.659135
92,Oxaliplatin,SIDM00190,5.759866,3.6691673
93,Tamoxifen,SIDM00466,6.355379,4.843565
94,Sorafenib,SIDM00323,1.950347,2.7489953
95,Paclitaxel,SIDM00445,-4.376856,-1.3993572
96,Cisplatin,SIDM00967,4.0666226666666665,2.167527
97,AZ6102,SIDM00364,1.839163,3.23562
98,Irinotecan,SIDM00543,4.437546,2.823126
99,PRT062607,SIDM00584,3.806084,3.021342
100,Afuresertib,SIDM01102,0.152251,1.6362209
101,Oxaliplatin,SIDM00121,2.3998195,1.68795
102,Foretinib,SIDM00156,-0.0350485,-0.82257617
103,PLX-4720,SIDM00445,4.726089666666667,4.2784963
104,CZC24832,SIDM00569,5.311839,5.171122
105,Sepantronium bromide,SIDM00967,-2.0750895,-3.4079838
106,Leflunomide,SIDM00276,5.977444,5.0526443
107,Docetaxel,SIDM00538,-2.2603926666666667,-0.7856142
108,Dactinomycin,SIDM00679,-3.5763045,-3.5026708
109,SCH772984,SIDM00543,0.463525,0.14881909
110,Luminespib,SIDM01041,-3.357477,-1.3257586
111,GSK591,SIDM00543,4.801012,4.2991166
112,Ibrutinib,SIDM00445,3.480157,4.7076297
113,Camptothecin,SIDM00700,0.190717,-3.1233172
114,Foretinib,SIDM00121,-1.3458505,-1.0614042
115,Palbociclib,SIDM00276,2.0136565,3.096251
116,AZD7762,SIDM00530,0.290417,0.21536805
117,Ruxolitinib,SIDM01198,3.55497,2.8457625
118,Irinotecan,SIDM00121,0.103546,0.3526592
119,Alpelisib,SIDM01102,3.811606,3.1642
120,Dasatinib,SIDM00679,2.72484,-2.4495704
121,OTX015,SIDM00679,3.775427,1.7699624
122,Cediranib,SIDM01041,2.677004,2.6019635
123,AZD7762,SIDM00538,-1.7201083333333334,-0.17557907
124,Dactinomycin,SIDM01237,-0.8130795000000001,-1.7871773
125,Pictilisib,SIDM00621,0.9486656666666664,2.4811294
126,Pevonedistat,SIDM01011,0.6193825,-0.32960263
127,BIBR-1532,SIDM00412,3.771983,2.5857437
128,Wnt-C59,SIDM01041,2.7822835,3.5326302
129,Talazoparib,SIDM00543,4.692346000000001,2.292701
130,UMI-77,SIDM00276,5.276543,3.1522248
131,Pictilisib,SIDM00323,1.6305953333333332,2.43187
132,OF-1,SIDM00530,5.481943,4.273937
133,AZ960,SIDM01011,1.337791,0.2731568
134,LGK974,SIDM00584,4.009641,3.140364
135,Uprosertib,SIDM00364,2.06408,1.9268355
136,MIRA-1,SIDM00584,5.29915,5.640309
137,Buparlisib,SIDM01198,0.517176,0.053020697
138,Entinostat,SIDM01237,2.4363,2.4452775
139,Vinorelbine,SIDM00466,1.8147225,-0.8258962
140,Erlotinib,SIDM00412,2.91859,1.7492101
141,Epirubicin,SIDM00156,-1.292066,-1.9267218
142,Leflunomide,SIDM00569,4.966933,4.651409
143,Dactolisib,SIDM00621,-1.256472,-1.2130462
144,Sorafenib,SIDM00156,1.7130655,3.0237586
145,Niraparib,SIDM01237,6.271179,4.8479056
146,VX-11e,SIDM01102,1.640346,2.504067
147,WEHI-539,SIDM00364,3.795207,2.2002084
148,Ibrutinib,SIDM01198,2.89612,4.0030885
149,Afatinib,SIDM00099,3.219456333333333,3.0823047
150,Nutlin-3a (-),SIDM00631,4.8905685000000005,5.169061
151,Buparlisib,SIDM00137,0.243329,1.3961197
152,Cyclophosphamide,SIDM01198,4.814448,3.8576577
153,AZD5363,SIDM00530,1.21957,3.677828
154,Luminespib,SIDM00700,-1.7528975,-2.7951128
155,PLX-4720,SIDM00967,5.714964666666667,2.892463
156,Nilotinib,SIDM01237,4.696213,3.5804534
157,AZD5582,SIDM00569,2.654768,2.0739748
158,MK-1775,SIDM00584,0.902446,0.28148612
159,Vinblastine,SIDM00137,-5.535166,2.6529236
