,drug,cell_line,IC50,prediction
0,Epirubicin,SIDM00565,-0.311385,2.795626401901245
1,VE821,SIDM01090,3.11085,4.231328964233398
2,Dinaciclib,SIDM00291,-2.624957,3.9771413803100586
3,Cediranib,SIDM00837,1.05822,1.790761947631836
4,Vorinostat,SIDM01187,1.608329,4.537752628326416
5,Buparlisib,SIDM00077,0.013728,3.76827335357666
6,PCI-34051,SIDM00332,5.746768,3.381026268005371
7,Vinblastine,SIDM00174,-4.493240500000001,2.996119260787964
8,IWP-2,SIDM00793,2.146301,0.7117887735366821
9,VX-11e,SIDM00758,1.657313,1.9300203323364258
10,Nilotinib,SIDM01247,1.1534605,0.34182822704315186
11,Linsitinib,SIDM00699,2.579066,3.691328763961792
12,AT13148,SIDM00537,2.842459,3.6272952556610107
13,BMS-345541,SIDM00719,5.569043,4.899064540863037
14,Dinaciclib,SIDM00976,-3.108552,3.585376739501953
15,VX-11e,SIDM00096,2.2575585,0.08856275677680969
16,VX-11e,SIDM00197,3.5317465,1.4172364473342896
17,BMS-345541,SIDM00332,4.2296025,3.9684224128723145
18,IWP-2,SIDM00422,2.032252,0.8557955026626587
19,Nilotinib,SIDM01160,3.765993,1.2570050954818726
20,Cediranib,SIDM00491,3.399394,2.4990878105163574
21,Dinaciclib,SIDM00343,-2.027895,4.2656402587890625
22,Buparlisib,SIDM00638,0.366617,3.735241651535034
23,Cediranib,SIDM00350,2.2844,2.077244758605957
24,Linsitinib,SIDM00410,3.46691,2.715773344039917
25,BMS-345541,SIDM00201,2.1755675,2.7385315895080566
26,VX-11e,SIDM00424,2.413135,0.7861770987510681
27,Vorinostat,SIDM00444,1.80079,3.792947769165039
28,Linsitinib,SIDM00832,3.7264865,3.6536383628845215
29,IWP-2,SIDM00864,2.35505,1.2600644826889038
30,AT13148,SIDM00241,2.059037,2.9867899417877197
31,AT13148,SIDM00758,3.034989,4.845792293548584
32,Vorinostat,SIDM00427,0.38209,2.873734474182129
33,PCI-34051,SIDM00244,2.471069,2.1153697967529297
34,IWP-2,SIDM00056,2.97579,1.1213760375976562
35,VX-11e,SIDM01132,3.3916905,1.8109050989151
36,Nilotinib,SIDM00154,3.3176005,0.9137985110282898
37,Epirubicin,SIDM00299,-0.624894,2.8415398597717285
38,BMS-345541,SIDM00905,3.097411,3.4864156246185303
39,Linsitinib,SIDM00242,0.6660615000000001,2.1238200664520264
40,Cediranib,SIDM00047,1.290583,2.6049301624298096
41,Vinblastine,SIDM00176,-2.9221235,3.984563112258911
42,Epirubicin,SIDM00411,0.987132,3.263063430786133
43,Epirubicin,SIDM00214,-0.753007,2.354987621307373
44,Dinaciclib,SIDM00182,-3.043977,3.784212112426758
45,Vinblastine,SIDM00699,-2.9077390000000003,4.042581081390381
46,PCI-34051,SIDM01233,4.978184,3.5921308994293213
47,VE821,SIDM00929,3.922259,4.9913763999938965
48,PCI-34051,SIDM00490,5.441132,3.3678953647613525
49,Buparlisib,SIDM00527,0.371307,3.087256669998169
50,Dinaciclib,SIDM01073,-3.314845,3.297835350036621
51,Vinblastine,SIDM00389,-6.368668,2.4298994541168213
52,Cediranib,SIDM00958,0.429045,1.283198595046997
53,Nilotinib,SIDM00424,2.126984,0.13511936366558075
54,VE821,SIDM01233,5.84664,5.601615905761719
55,Vinblastine,SIDM00969,-4.0910875,3.796996831893921
56,VX-11e,SIDM01229,2.402507,1.882054090499878
57,AT13148,SIDM00251,4.590344,3.9997787475585938
58,AT13148,SIDM00261,1.914519,2.3908326625823975
59,Vinblastine,SIDM00527,-5.760698,3.388111114501953
60,Epirubicin,SIDM01228,-1.496516,1.9621330499649048
61,Epirubicin,SIDM00833,0.390334,2.9437766075134277
62,Vorinostat,SIDM00351,0.3313785,3.4473791122436523
63,Nilotinib,SIDM00394,3.9324425,1.0935131311416626
64,Cediranib,SIDM00389,1.195298,1.5737330913543701
65,Linsitinib,SIDM00487,1.447848,2.7860453128814697
66,Cediranib,SIDM00970,2.058087,2.1717722415924072
67,Linsitinib,SIDM00230,2.7885565000000003,2.3642306327819824
68,Dinaciclib,SIDM01041,-4.369375,3.6083502769470215
69,Vorinostat,SIDM00679,2.053652,3.7167277336120605
70,Cediranib,SIDM00308,0.4148,1.504525899887085
71,Vinblastine,SIDM00198,-4.642701499999999,3.394773483276367
72,VE821,SIDM00285,4.398361,3.2534358501434326
73,Linsitinib,SIDM00530,4.276799,3.7960283756256104
74,IWP-2,SIDM00308,2.014507,0.3436158299446106
75,Vinblastine,SIDM00606,-4.0811355,3.499472141265869
76,Buparlisib,SIDM00550,1.012369,3.2627079486846924
77,Linsitinib,SIDM01073,3.70783,2.8173723220825195
78,Linsitinib,SIDM00885,2.6946295,2.7592859268188477
79,Dinaciclib,SIDM00364,-3.90001,2.5745835304260254
80,IWP-2,SIDM01140,1.295128,0.28327932953834534
81,VE821,SIDM00541,4.187496,4.816739559173584
82,VX-11e,SIDM00905,2.735075,1.5653525590896606
83,Nilotinib,SIDM00489,3.1715445,-0.12988382577896118
84,Nilotinib,SIDM00299,3.673846,1.8338679075241089
85,Linsitinib,SIDM00517,2.102586,2.6895720958709717
86,Buparlisib,SIDM00136,1.140482,3.8609795570373535
87,PCI-34051,SIDM00832,5.9183,2.9030251502990723
88,IWP-2,SIDM00310,4.323783,2.708097219467163
89,VE821,SIDM00551,3.260586,4.6437907218933105
90,BMS-345541,SIDM00292,3.9338005,4.693974494934082
91,PCI-34051,SIDM00592,4.222158,2.2431256771087646
92,Epirubicin,SIDM00289,-1.292702,1.0507028102874756
93,BMS-345541,SIDM00530,3.3593650000000004,3.909498453140259
94,Vinblastine,SIDM00900,-4.41045,3.0478241443634033
95,Cediranib,SIDM00042,2.109008,2.5749738216400146
96,Nilotinib,SIDM00441,1.548936,-0.32151809334754944
97,VE821,SIDM00792,4.608397,5.007981300354004
98,Nilotinib,SIDM00418,4.4716765,1.79593825340271
99,BMS-345541,SIDM00418,3.612985,4.72763204574585
100,Cediranib,SIDM00156,1.800909,2.268738269805908
101,BMS-345541,SIDM00351,3.026825,3.500061273574829
102,PCI-34051,SIDM00863,1.835628,2.3570666313171387
103,Vinblastine,SIDM00096,-6.548958,1.9196453094482422
104,Vinblastine,SIDM00113,-1.6090375,5.110556125640869
105,IWP-2,SIDM00394,3.366618,1.5496714115142822
106,BMS-345541,SIDM00732,4.310449,4.021347999572754
107,BMS-345541,SIDM00541,4.1409025,3.61169695854187
108,BMS-345541,SIDM00489,3.436412,3.1048271656036377
109,Epirubicin,SIDM01175,1.486215,3.1726326942443848
110,VE821,SIDM00487,2.83823,4.35078239440918
111,Buparlisib,SIDM00487,0.675281,2.687561273574829
112,Buparlisib,SIDM00308,0.607357,2.359125852584839
113,BMS-345541,SIDM00445,2.5977745,3.549598217010498
114,IWP-2,SIDM00193,3.164829,1.421779990196228
115,Linsitinib,SIDM00826,-0.6490984999999999,3.412876605987549
116,Cediranib,SIDM00537,1.898705,2.194746494293213
117,Cediranib,SIDM00056,1.8527,2.5942275524139404
118,Linsitinib,SIDM00094,3.7899405,4.138850688934326
119,Linsitinib,SIDM01163,3.6651545,4.623654842376709
120,Buparlisib,SIDM00569,0.764833,3.753406286239624
121,Cediranib,SIDM01126,1.783016,2.3514974117279053
122,VE821,SIDM00817,4.261795,5.001430511474609
123,Dinaciclib,SIDM00102,-0.808781,4.180764675140381
124,Linsitinib,SIDM00841,3.1614955,3.8607020378112793
125,Linsitinib,SIDM00441,-0.1022414999999999,1.6897399425506592
126,Nilotinib,SIDM00541,3.954562,1.0536116361618042
127,IWP-2,SIDM00389,1.391283,-0.6456716060638428
128,Linsitinib,SIDM01183,3.956882,3.653775215148926
129,Cediranib,SIDM00688,1.88615,1.5189024209976196
130,BMS-345541,SIDM01163,4.7432845,5.031789302825928
131,PCI-34051,SIDM00418,6.28894,3.9652366638183594
132,AT13148,SIDM00182,6.130891,4.450435638427734
133,AT13148,SIDM00103,3.617478,4.5792717933654785
134,Vinblastine,SIDM00953,-4.7269,2.808809280395508
135,Buparlisib,SIDM01175,2.449899,5.197708606719971
136,IWP-2,SIDM01174,3.41683,2.4695680141448975
137,IWP-2,SIDM00233,1.22916,-0.5990250706672668
138,Dinaciclib,SIDM00188,-1.948281,4.2876787185668945
139,AT13148,SIDM00606,4.679245,4.213089466094971
140,Nilotinib,SIDM00195,3.382126,1.0730053186416626
141,VX-11e,SIDM01047,1.357334,1.1792283058166504
142,VE821,SIDM01206,2.514762,3.1024656295776367
143,Buparlisib,SIDM00592,0.147832,2.6467173099517822
144,AT13148,SIDM00384,3.342455,2.141160011291504
145,Vinblastine,SIDM00732,-4.356448,3.841735363006592
146,Nilotinib,SIDM01011,1.1869245,0.43273964524269104
147,Buparlisib,SIDM00374,0.059628,3.3760921955108643
148,Cediranib,SIDM00196,1.764986,1.7049883604049683
149,Linsitinib,SIDM00099,4.0063585,4.710567474365234
150,Nilotinib,SIDM00099,5.4061615,2.507721424102783
151,AT13148,SIDM01161,2.380332,3.266883611679077
152,Linsitinib,SIDM00234,2.611617,2.3625380992889404
153,Epirubicin,SIDM00655,-0.200961,1.8732702732086182
154,Vinblastine,SIDM00379,-4.5759015,4.101665019989014
155,Nilotinib,SIDM01133,2.3077295,1.3576242923736572
156,BMS-345541,SIDM00190,3.1676575,4.212429523468018
157,Vinblastine,SIDM01092,-4.976646000000001,3.466522455215454
158,Epirubicin,SIDM00680,-0.650654,2.7321741580963135
159,AT13148,SIDM00427,3.098051,2.711994171142578
160,Nilotinib,SIDM00781,4.650303,1.6742448806762695
161,VE821,SIDM01064,3.399881,4.248144626617432
162,VX-11e,SIDM00099,5.721693999999999,3.7200965881347656
163,VE821,SIDM00472,3.634301,5.650003433227539
164,Buparlisib,SIDM00968,0.53668,3.9885456562042236
165,Vorinostat,SIDM00835,1.6779205,5.008953094482422
166,Vorinostat,SIDM00201,0.511714,2.8298964500427246
167,Vorinostat,SIDM01161,1.5491935,3.064099073410034
168,Cediranib,SIDM00974,1.985584,2.0813026428222656
169,Buparlisib,SIDM00250,0.775523,3.13259220123291
170,Vorinostat,SIDM00417,1.0225325,4.13165283203125
171,Vorinostat,SIDM00416,0.6891035,2.734553575515747
172,AT13148,SIDM00655,3.782534,3.919447898864746
173,Cediranib,SIDM00406,0.456767,1.2012332677841187
174,Buparlisib,SIDM00971,2.736042,4.62353515625
175,AT13148,SIDM00420,2.264557,4.554069519042969
176,Vinblastine,SIDM00104,-3.3821175,4.2692484855651855
177,Epirubicin,SIDM00583,-0.841272,2.598198652267456
178,BMS-345541,SIDM00668,2.4324545000000004,3.4953041076660156
179,Vorinostat,SIDM00103,1.402374,4.014296054840088
180,Cediranib,SIDM00230,2.080895,2.0110435485839844
181,AT13148,SIDM00535,5.772742,4.640855312347412
182,Cediranib,SIDM00242,0.546902,1.9764965772628784
183,Linsitinib,SIDM00299,3.6721345,3.350579023361206
184,Vorinostat,SIDM01247,0.325493,3.072073459625244
185,Dinaciclib,SIDM00638,-3.490056,3.533439874649048
186,Vorinostat,SIDM00098,1.6880035,4.222023010253906
187,AT13148,SIDM00127,6.823545,4.222217082977295
188,Epirubicin,SIDM00975,-0.836183,2.3894519805908203
