,drug,cell_line,IC50,prediction
0,OSI-027,SIDM01229,2.563645,3.0806158
1,Alisertib,SIDM00487,3.316337,1.5968586
2,Buparlisib,SIDM00362,-0.592701,0.57832766
3,PD0325901,SIDM00154,-1.1903484999999998,-1.1801143
4,Fulvestrant,SIDM00441,2.9244656666666664,1.8306893
5,AT13148,SIDM01042,2.129861,2.382073
6,Osimertinib,SIDM00532,3.03061,2.1016233
7,Buparlisib,SIDM01168,2.535855,2.8730643
8,5-Fluorouracil,SIDM00948,4.2459855,2.8020413
9,WIKI4,SIDM00627,4.137836,3.3965507
10,SCH772984,SIDM00565,3.63497,3.995066
11,Ipatasertib,SIDM00346,4.301814,2.6885278
12,AGI-6780,SIDM00407,1.0132295,0.56991374
13,Sepantronium bromide,SIDM01187,-4.871034,-2.8038907
14,Dabrafenib,SIDM00592,3.201337,2.1921587
15,WEHI-539,SIDM00783,3.360844,3.8819706
16,Luminespib,SIDM00783,-2.751055,-3.6410549
17,Gefitinib,SIDM01146,1.610083,2.5695302
18,SCH772984,SIDM00489,1.913982,0.89718145
19,I-BET-762,SIDM01047,1.395441,2.4918342
20,Lapatinib,SIDM01120,4.2256125,1.3116716
21,WEHI-539,SIDM00326,2.703397,3.762929
22,PRT062607,SIDM00328,3.44967,3.548625
23,AZD3759,SIDM01206,1.874136,2.361193
24,Daporinad,SIDM00241,-2.241152,-2.9970467
25,NVP-ADW742,SIDM00917,1.039335,2.0604277
26,BMS-345541,SIDM00381,4.3262385,4.108917
27,Sepantronium bromide,SIDM01019,-3.7955825,-3.7054913
28,Tamoxifen,SIDM00896,2.18107,2.2963274
29,Nutlin-3a (-),SIDM01132,3.8818875,3.6105092
30,Ipatasertib,SIDM00970,2.475246,2.4871194
31,Wnt-C59,SIDM00145,2.308117,3.027877
32,PFI3,SIDM00599,4.011661,3.9588466
33,Nilotinib,SIDM00045,1.310025,1.7761352
34,PRT062607,SIDM00234,2.831147,2.179605
35,Sapitinib,SIDM00810,3.485309,3.0970643
36,VX-11e,SIDM00291,0.0436045,1.2878736
37,Vinorelbine,SIDM00638,-4.7353895,-2.3435218
38,Alisertib,SIDM00606,2.783193,2.04338
39,Pevonedistat,SIDM00842,2.4301965,0.71150374
40,AZD6738,SIDM00832,2.424086,3.0624425
41,Luminespib,SIDM00519,-2.7474045,-1.6661905
42,WEHI-539,SIDM00377,5.428945,4.2390814
43,BIBR-1532,SIDM00316,5.341388,5.0539804
44,MIM1,SIDM00875,2.6403,3.3043036
45,Buparlisib,SIDM00688,0.109674,1.7448397
46,Sorafenib,SIDM00302,2.2275135,2.9536965
47,GSK2606414,SIDM00863,2.441361,3.1756794
48,Luminespib,SIDM00377,-2.3540755,-3.0360909
49,VX-11e,SIDM00606,1.572108,1.9033974
50,Vorinostat,SIDM00346,0.125999,0.021445923
51,MK-1775,SIDM00448,-0.153226,0.3529416
52,BMS-345541,SIDM00483,4.0116205,4.4153776
53,AZ6102,SIDM00935,1.668913,2.1206355
54,Vinorelbine,SIDM00328,-2.516825,-2.4575744
55,Venetoclax,SIDM00195,3.412755,1.486154
56,Tamoxifen,SIDM00875,3.2595125,3.2134979
57,Luminespib,SIDM00846,-1.74241,-2.5764155
58,PRT062607,SIDM00230,3.192082,2.8902647
59,PLX-4720,SIDM00596,4.439167666666667,2.9995546
60,Erlotinib,SIDM00264,2.301947,3.428759
61,AZD5363,SIDM00225,2.403269,2.1792722
62,Camptothecin,SIDM01149,-3.354422,-3.0954535
63,EPZ5676,SIDM00496,6.186874,4.40946
64,GSK343,SIDM00441,2.869875,1.761737
65,Dactolisib,SIDM00758,-0.3258620000000001,-0.009258099
66,Trametinib,SIDM00362,1.0561555,1.0228087
67,UMI-77,SIDM00441,2.726234,1.2651182
68,EPZ5676,SIDM00332,7.054772,4.7780256
69,CZC24832,SIDM00832,6.050238,5.5629363
70,Afatinib,SIDM01245,1.140959,1.5748283
71,AGI-6780,SIDM00291,3.5399705,3.2765377
72,Foretinib,SIDM01047,-1.555688,-0.93919986
73,P22077,SIDM00441,3.87005,2.007353
74,Fulvestrant,SIDM00422,3.377499333333333,2.9118726
75,Cisplatin,SIDM01248,1.9286366666666668,2.6182878
76,I-BRD9,SIDM00562,3.727432,4.3177276
77,CZC24832,SIDM00285,4.495829,4.1296186
78,Uprosertib,SIDM00541,1.962615,1.5676252
79,GSK1904529A,SIDM00317,4.9178765,4.643942
80,Trametinib,SIDM00793,2.5521205,2.764253
81,NVP-ADW742,SIDM00540,0.958313,1.6461942
82,Afatinib,SIDM00205,2.7261393333333337,1.5817252
83,GSK2578215A,SIDM00003,5.567331,1.9060642
84,PD0325901,SIDM00954,2.315091,1.8076376
85,MIM1,SIDM00813,2.845661,2.8560946
86,Venetoclax,SIDM00276,4.118228,3.185537
87,PD0325901,SIDM00294,2.363424,2.517669
88,WIKI4,SIDM00875,3.433239,2.7829275
89,OTX015,SIDM00808,-0.433211,1.6954144
90,Irinotecan,SIDM00487,2.788647,2.7614636
91,Dactinomycin,SIDM00544,-3.6664145,-1.4780668
92,Vorinostat,SIDM01011,-0.090417,0.7053928
93,RVX-208,SIDM00320,5.976016,5.3200483
94,Osimertinib,SIDM00324,1.345828,1.0469841
95,NVP-ADW742,SIDM00277,1.108186,0.38957494
96,Wee1 Inhibitor,SIDM00929,3.459457,2.4118173
97,AMG-319,SIDM01247,4.200936,3.172425
98,PCI-34051,SIDM00389,1.928321,2.3589387
99,Entospletinib,SIDM00389,2.579239,1.7431438
100,MK-8776,SIDM00197,0.682539,2.490343
101,Dactinomycin,SIDM00971,-0.0384979999999999,0.6124446
102,RVX-208,SIDM00538,5.649892,4.4395504
103,VE-822,SIDM00121,0.63406,1.2842295
104,AZD5582,SIDM00388,1.523068,0.9351227
